08_CONFUSE_001 えっと……さっきまでここにあった私の鞄、どこにいっちゃったんでしょうか？
08_CONFUSE_002 あれ？この地図だと右に曲がるはずなのに、なんで行き止まりになってるんだ？
08_CONFUSE_003 ええと……つまりその、君が僕の妹で、僕が君のお兄ちゃんではないってこと？
08_CONFUSE_004 うーん、この古文書の暗号、何度解読しても「猫が転んだ」にしかならないんだが……。
08_CONFUSE_005 どういうことだ……？斬っても斬っても、このスライムが増え続けているぞ！？
08_CONFUSE_006 はて……私、一体何のためにこの部屋にわざわざ入ってきたのかしら……。
08_CONFUSE_007 ん？待ってくれ、今から行くのは結婚式じゃなくて、お葬式だったのか！？
08_CONFUSE_008 あの……お客様？ステーキをご注文されたはずなのに、なぜパフェを食べているんですか？
08_CONFUSE_009 えっ？ちょっと待って、私の魔法の杖から水じゃなくて花びらが出てきたんだけど！？
08_CONFUSE_010 んんん……この設計図、どう見ても重力に逆らって建物を建てる指示になってるぞ。
08_CONFUSE_011 ええっと、つまり……このボタンを押せばいいのか、それとも押してはいけないのか……。
08_CONFUSE_012 あれれ？さっきまで晴れていたのに、急にバケツをひっくり返したような雨が降ってきたぞ？
08_CONFUSE_013 ん？この剣、よく見たら刃の表と裏が逆についているんじゃないか……？
08_CONFUSE_014 え？私が昨日買ったばかりのプリン、もう誰かに食べられちゃってるってこと？
08_CONFUSE_015 どういうことだ……誰もいないはずの密室で、なぜ花瓶が勝手に割れたんだ？
08_CONFUSE_016 あのぉ……先輩？今の説明、三回聞いてもさっぱり意味がわからなかったんですが……。
08_CONFUSE_017 はぁ……？なんで私が、こんなヘンテコな着ぐるみを着て踊らなきゃいけないわけ？
08_CONFUSE_018 ええっと、こっちの赤いコードを切れば爆発が止まるのか、それとも青い方なのか……。
08_CONFUSE_019 んん？この魔法書、呪文の詠唱じゃなくて、美味しいカレーのレシピが書いてあるぞ？
08_CONFUSE_020 あれ？私の時計、五分前に見た時から針が一秒も進んでないような気がするんだけど……。
08_CONFUSE_021 どうなってんだ……敵の大軍が、俺たちを見ると一斉に土下座し始めたんだが……。
08_CONFUSE_022 えっと……この書類のハンコ、なんで全部逆さまに押してあるんでしょうか？
08_CONFUSE_023 ん？おかしいな、この扉、押しても引いても横にスライドさせても開かないぞ……。
08_CONFUSE_024 はて……私、今日のご飯に何を入れようとしていたのか、完全に度忘れしてしまったわ。
08_CONFUSE_025 え？つまり、私が頑張って徹夜で作ったこの資料は、今日の会議では使わないってこと？
08_CONFUSE_026 どういうことだ……さっき倒したはずの魔物が、なんで笑いながらこっちに歩いてくるんだ？
08_CONFUSE_027 あのぉ……先生？この数式の答えが、なぜか「イチゴタルト」になるんですが……。
08_CONFUSE_028 ええと、この謎の液体は……飲むと元気になるのか、それともカエルになるのか……。
08_CONFUSE_029 んん？この地図、北を指してるはずのコンパスの針が、グルグルと回り続けているぞ？
08_CONFUSE_030 あれれ？私のメガネ、どこに置いたっけ……って、まさか頭の上に乗ってるんじゃないよね？
08_CONFUSE_031 どうなってんだ……この迷宮、さっきから同じ廊下をずっと堂々巡りしているんだが……。
