id,character_style,intensity,length_chars,punctuation,phoneme_tags,near_pair_group,reading_ease_score
FEAR_001,none,strong,9,！,SOKUON,,5
FEAR_002,none,mid,19,？,SOKUON;DAKUON,,5
FEAR_003,friend,weak,37,。,CHOON;DAKUON,P05,4
FEAR_004,none,weak,36,。,HATSUON;CHOON;DAKUON,,4
FEAR_005,none,weak,20,。,SOKUON;DAKUON,P11,5
FEAR_006,none,strong,37,！,SOKUON;HATSUON;CHOON;DAKUON;HANDAKUON,,4
FEAR_007,none,strong,19,！,HATSUON;DAKUON,,5
FEAR_008,none,mid,9,？,,,5
FEAR_009,none,weak,37,。,HATSUON;DAKUON;HANDAKUON,P12,4
FEAR_010,none,weak,22,。,HATSUON;DAKUON,,5
FEAR_011,none,weak,37,。,SOKUON;DAKUON,,4
FEAR_012,none,weak,37,。,DAKUON,,4
FEAR_013,none,mid,20,。,SOKUON;DAKUON,,5
FEAR_014,none,weak,37,。,HATSUON;DAKUON,P12,4
FEAR_015,none,weak,10,。,DAKUON,P09,5
FEAR_016,none,weak,19,。,DAKUON,,5
FEAR_017,friend,weak,36,。,SOKUON;HATSUON;DAKUON,,4
FEAR_018,friend,mid,18,？,SOKUON;CHOON,,5
FEAR_019,none,weak,37,。,SOKUON;HATSUON;DAKUON,P11,4
FEAR_020,none,strong,20,！,DAKUON,,5
FEAR_021,none,strong,9,！,DAKUON,,5
FEAR_022,none,weak,22,。,DAKUON,,5
FEAR_023,none,weak,36,。,SOKUON;CHOON;DAKUON,P20,4
FEAR_024,none,weak,39,。,CHOON;DAKUON,P01,4
FEAR_025,none,weak,19,。,SOKUON;HATSUON;DAKUON;HANDAKUON,,5
FEAR_026,none,weak,38,。,HATSUON;CHOON;DAKUON;GAIRAION,,4
FEAR_027,none,weak,22,。,DAKUON,,5
FEAR_028,none,weak,10,。,DAKUON,P18,5
FEAR_029,artisan,mid,36,。,HATSUON;DAKUON,,4
FEAR_030,none,strong,20,！,HATSUON;DAKUON;HANDAKUON,,5
FEAR_031,none,strong,37,。,YOUON;DAKUON,,4
FEAR_032,none,weak,37,。,YOUON;HATSUON;DAKUON;HANDAKUON,,4
FEAR_033,none,weak,18,。,DAKUON,,5
FEAR_034,none,weak,45,。,SOKUON;CHOON;DAKUON,,4
FEAR_035,none,strong,11,！,SOKUON,,5
FEAR_036,none,strong,21,？,CHOON;DAKUON;HANDAKUON,,5
FEAR_037,adventurer,weak,37,。,CHOON;DAKUON,,4
FEAR_038,none,weak,29,。,HATSUON;DAKUON;HANDAKUON,,4
FEAR_039,none,weak,36,。,SOKUON;CHOON;DAKUON,,4
FEAR_040,none,weak,20,。,SOKUON;DAKUON,,5
FEAR_041,none,weak,8,。,,,5
FEAR_042,none,weak,21,。,SOKUON;DAKUON,,5
FEAR_043,friend,weak,36,。,SOKUON;HATSUON;CHOON;DAKUON,,4
FEAR_044,knight,weak,38,。,HATSUON;DAKUON;HANDAKUON,P07,4
FEAR_045,knight,weak,21,。,CHOON;DAKUON,,5
FEAR_046,none,weak,36,。,SOKUON;DAKUON,,4
FEAR_047,none,strong,20,！,SOKUON;DAKUON,,5
FEAR_048,none,strong,9,！,SOKUON;DAKUON,,5
