WHISPER_NORMAL_001 ……シーッ、ここだけの話をしよう。誰にも聞かれたくないからさ。
WHISPER_NORMAL_002 声、小さくして。壁って意外と薄いんだよ。
WHISPER_NORMAL_003 ……起きてる？ ちょっとだけ、内緒話に付き合ってほしい。
WHISPER_NORMAL_004 ご主人様、灯りを少し落としましょう。目にもお心にも、やさしい明るさでございます。
WHISPER_NORMAL_005 ねえ、窓の外見て。街の音が遠くなって、世界が寝息を立ててるみたいだ。
WHISPER_NORMAL_006 ……そんなに肩に力入れなくていいよ。ここだけは、安全圏だから。
WHISPER_NORMAL_007 図書室だからさ、怒ってる話も、嬉しい話も、小声でね。
WHISPER_NORMAL_008 ご主人様、こちらのソファのほうが静かでございます。他の方に聞かれにくうございますよ。
WHISPER_NORMAL_009 ……今のため息、けっこう大きかったよ。バレたくないなら、もう少し控えめに。
WHISPER_NORMAL_010 ほら、息を合わせて。吸って、吐いて……周りの音が遠くなっていくでしょ。
WHISPER_NORMAL_011 お嬢様、こちらでしたら廊下から見えません。安心しておくつろぎくださいませ。
WHISPER_NORMAL_012 ……大丈夫、誰も気づいてない。こっそり抜け出すなら、今がチャンスだ。
WHISPER_NORMAL_013 ご主人様、書類は枕元のテーブルにそっと置いておきました。必要になったときだけ、ご覧ください。
WHISPER_NORMAL_014 ねえ、電気消したあとって、話しやすくならない？ なんか、本音が出てくる。
WHISPER_NORMAL_015 ……内緒で夜食持ってきた。バレたら怒られるから、音立てないで食べような。
WHISPER_NORMAL_016 お嬢様、夜風が少し冷たうございます。窓を少しだけ閉めてもよろしいでしょうか。
WHISPER_NORMAL_017 ほら、耳を澄ましてみて。時計の音と、外の車の音、それから……君の呼吸。
WHISPER_NORMAL_018 ……今だけは、仕事の話はやめよう。小さい声でくだらない話しない？
WHISPER_NORMAL_019 ご主人様、皆さまはすでにお休みです。廊下では少しだけお声をお抑えくださいませ。
WHISPER_NORMAL_020 ねえ、秘密基地ってさ、こういう狭くて暗い場所が一番それっぽいよな。
WHISPER_NORMAL_021 ……聞いた？ 冷蔵庫のモーター、がんばってる音。深夜のBGMって感じだ。
WHISPER_NORMAL_022 お嬢様、あまり夜更かしをなさいますと、明日のお肌に響きますよ。小声で失礼いたします。
WHISPER_NORMAL_023 ご主人様、この話は他の方には伏せておきましょう。ここだけのご相談ということで。
WHISPER_NORMAL_024 ……怒られたくないなら、今のうちに戻ろうか。足音だけは静かにな。
WHISPER_NORMAL_025 ね、カーテンの隙間から月がのぞいてる。ちょっと得した気分にならない？
WHISPER_NORMAL_026 お嬢様、悪夢をご覧になったようですね。安心なさってください、私はここにおります。
WHISPER_NORMAL_027 ……起きてるの、分かってるから。寝たふりしてると、余計に話したくなるんだけど。
WHISPER_NORMAL_028 ご主人様、眠れない夜には、温かいお飲み物がよろしいかと存じます。お持ちしましょうか。
WHISPER_NORMAL_029 体育館の裏でこうやってこっそり話すの、学生っぽくてちょっと楽しいよな。
WHISPER_NORMAL_030 ……今度さ、何も言わずにふらっと出かけようよ。行き先は、歩きながら決める感じで。
WHISPER_NORMAL_031 お嬢様、そのお悩みでしたら、あまり人前ではお話なさらないほうがよろしいかと。ここだけの話にいたしましょう。
WHISPER_NORMAL_032 ご主人様、少々失礼して。ネクタイがわずかに曲がっておりますので、こちらで整えさせてください。
WHISPER_NORMAL_033 ……眠くなるまで、適当に喋ってていいよ。相槌くらいはちゃんと打つから。
WHISPER_NORMAL_034 ねえ、明日のこと考えるの、今は一旦やめよう。今日を生き延びたご褒美タイムにしよ。
WHISPER_NORMAL_035 お嬢様、笑いすぎでございます。他のお客様に聞こえてしまいますので、少しだけお声をお抑えくださいませ。
WHISPER_NORMAL_036 ……静かに笑うのって、意外と難しいね。変な声出そうになる。
WHISPER_NORMAL_037 ご主人様、こちらの書類は大変重要でございます。他の方の目に触れませんよう、机の中におしまいします。
WHISPER_NORMAL_038 ……ほら、雨の音。なんか、小さい声で話したくなるリズムじゃない？
WHISPER_NORMAL_039 ねえ、今日の「ちょっとだけよかったこと」、こっそり教えて。大声で言うほどじゃないやつ。
WHISPER_NORMAL_040 お嬢様、本日はもう十分に頑張られました。これ以上は、どうかご自分を甘やかしてさしあげてくださいませ。
WHISPER_ANGRY_001 ……いいかげんにしてくれない？ 小声でも、怒ってるのは伝わるよね。
WHISPER_ANGRY_002 そんなに舐めてくれるなよ。静かにキレるのが一番怖いって、教えてあげようか。
WHISPER_ANGRY_003 ……笑ってないから。顔だけ見て、冗談だと思わないで。
WHISPER_ANGRY_004 ご主人様、失礼ながら、その決定はあまりにもご無茶でございます。再考をお願い申し上げます。
WHISPER_ANGRY_005 声を荒げろって？ あいにく、低い声で怒るほうが得意なんだ。
WHISPER_ANGRY_006 ……その一言、忘れないからね。本当に。
WHISPER_ANGRY_007 お嬢様、これ以上ご自分をおとしめるような言動は、どうかお控えくださいませ。
WHISPER_ANGRY_008 何回同じこと言わせるつもり？ 小声で言えば優しいってわけじゃないからな。
WHISPER_ANGRY_009 ……裏でこそこそやるなら、もうちょっと上手にやりなよ。見ててイラつく。
WHISPER_ANGRY_010 ご主人様、あの者らの非礼は見過ごせません。必要とあらば、私がきっぱりと釘を刺してまいります。
WHISPER_ANGRY_011 ……笑いながらごまかそうとするなって。こっちは全然笑えないんだよ。
WHISPER_ANGRY_012 お嬢様、そのご友人とやらは、お嬢様を大切にしているとは到底思えません。
WHISPER_ANGRY_013 ……傷つけるほうは、いつも軽い気持ちなんだろうな。腹立つよな、それ。
WHISPER_ANGRY_014 ご主人様、重ねて申し上げますが、その場しのぎのご対応では事態は悪化いたします。
WHISPER_ANGRY_015 ……本気で怒ってるときほど、静かに話すようにしてるんだ。叫ぶより効くからね。
WHISPER_ANGRY_016 ねえ、自分が何をしたか、自覚くらいはしてよ。見てるこっちが苦しくなる。
WHISPER_ANGRY_017 お嬢様、どうかご自分を粗末に扱う方からは、距離をお取りくださいませ。
WHISPER_ANGRY_018 ……これ以上、あいつらの好きにはさせない。さすがに限界だ。
WHISPER_ANGRY_019 ご主人様、この件につきましては、私からも強く異議を唱えさせていただきます。
WHISPER_ANGRY_020 ……本当は全部ぶちまけたいけどさ。今はまだ、飲み込んでおく。
WHISPER_ANGRY_021 目の前で大事な人を雑に扱われて、黙ってろってほうが無理なんだよ。
WHISPER_ANGRY_022 お嬢様、その涙を流す価値のない相手に、これ以上時間を割く必要はございません。
WHISPER_ANGRY_023 ……ごめん、少しきつく言うね。さすがにそれは、自分を傷つけすぎだ。
WHISPER_ANGRY_024 ご主人様、怒りを抑えることと、我慢し続けることは別物でございます。
WHISPER_ANGRY_025 ……胸の中で煮えたぎってるのに、静かに笑ってるふりするの、そろそろやめてもいいと思う。
WHISPER_ANGRY_026 ねえ、俺はちゃんと味方するから。怒っていいときは、怒っていいんだよ。
WHISPER_ANGRY_027 お嬢様、どうか「仕方ありません」で片付けないでください。理不尽は、理不尽と呼ぶべきでございます。
WHISPER_ANGRY_028 ……いつかちゃんと言い返そう。その日まで、この悔しさは忘れないでおこう。
WHISPER_ANGRY_029 ご主人様、その拳を握りしめているのは、弱さではなく、まだ諦めていない証拠でございます。
WHISPER_ANGRY_030 ……静かに、でも確実に。あいつらの思いどおりにはさせないから。
WHISPER_SAD_001 ……ねえ、気づいたら、笑い方が分からなくなってたんだ。
WHISPER_SAD_002 ごめん、強がってた。ほんとは、ずっとしんどかった。
WHISPER_SAD_003 ……嬉しいふりするの、そろそろ限界かも。
WHISPER_SAD_004 お嬢様、辛いときは、どうか涙を隠さないでくださいませ。ハンカチは、私が持っております。
WHISPER_SAD_005 置いていかれるのには慣れたつもりだったけど……やっぱり寂しいもんだね。
WHISPER_SAD_006 ……あの時の「大丈夫」は、やっぱり嘘だったな。
WHISPER_SAD_007 ご主人様、夜が長く感じられる日もございます。しかし、夜明けは必ず訪れます。
WHISPER_SAD_008 覚えてる？ あのどうしようもなくくだらないことで笑ってた日。
WHISPER_SAD_009 ……ああいう時間、もう戻ってこないんだろうなって、分かってる。
WHISPER_SAD_010 お嬢様、その写真は大切にしまっておきましょう。見るたびに胸が締め付けられるようでしたらなおさらでございます。
WHISPER_SAD_011 ねえ、がんばれって言葉、今は聞きたくないよね。ただ隣にいてほしいだけ。
WHISPER_SAD_012 ……本音を言えば、全部投げ出してどこかに逃げたい。
WHISPER_SAD_013 ご主人様、ご自分を責める言葉よりも、「ここまでよく耐えた」と労う言葉を選んでいただきたいのです。
WHISPER_SAD_014 いつのまにか、「平気だよ」が口癖になってた。ほんとは、全然平気じゃないのに。
WHISPER_SAD_015 ……泣き疲れて眠る夜が、まだ続くのかな。
WHISPER_SAD_016 お嬢様、あの日の選択が間違いだったとは、私は思っておりません。どの道を選んでも、きっと悩まれていたはずです。
WHISPER_SAD_017 忘れようとするほど、思い出って勝手に浮かんでくるよね。
WHISPER_SAD_018 ……笑って手を振ったあの日の自分を、今は少しだけ恨んでる。
WHISPER_SAD_019 ご主人様、失ったものだけでなく、まだお手元に残っているものにも、どうか目を向けてくださいませ。
WHISPER_SAD_020 ほんとは、誰かに「よくがんばったね」って抱きしめてほしかっただけなんだ。
WHISPER_SAD_021 ……大丈夫って言い張るたびに、心が少しずつすり減っていく感じがする。
WHISPER_SAD_022 お嬢様、辛いときほど、静かな場所でゆっくりお茶でもいかがでしょう。言葉が見つからないときも、そばにはおります。
WHISPER_SAD_023 戻らないって分かってるのに、「もしも」ばかり考えてしまうんだ。
WHISPER_SAD_024 ……全部投げ出したくなる夜もあるよね。ちゃんと分かるよ。
WHISPER_SAD_025 ご主人様、涙が止まらない夜は、どうかお一人で抱え込まないでください。私の袖を、遠慮なく濡らして構いません。
WHISPER_SAD_026 ねえ、明るい未来の話、いまは信じられなくてもいいよ。信じてるふりもしなくていい。
WHISPER_SAD_027 ……とりあえず、今日はここまで生きて帰ってきた。それだけで、本当は充分なんだよね。
WHISPER_SAD_028 お嬢様、その震える声で「平気」とおっしゃるたび、胸が締め付けられます。
WHISPER_SAD_029 ご主人様、どうか今夜くらいは、弱音をそのままの形で吐き出してしまわれてください。
WHISPER_SAD_030 ……泣き止まなくていいよ。涙が出るうちは、まだちゃんと心が動いてる証拠だから。
