ANGRY_001 心配していたのは分かるけど、私の荷物を開けて中身まで確かめるのはやめてほしい。
ANGRY_002 直した後で金を払わないと言うのか、作業を頼む前の約束は何だったんだよ！
ANGRY_003 教えてほしいと頼んだだけです、できない人間だと決めつける言葉まで聞くつもりはありません。
ANGRY_004 私と知り合いでも、列の前に入っていい理由にはならないね。
ANGRY_005 また私だけ後回しか…
ANGRY_006 わたしの記録を開いたのね、途中の考えを誰かに話す前に確かめてほしかったわ。
ANGRY_007 ノートを返せば済むと思うなよ、探した時間は戻らないんだ。
ANGRY_008 眠いならオレを起こせばいいだろう、誰にも言わず持ち場を離れるやつがあるかよ。
ANGRY_009 窓を割ったのは私じゃないよ、見ていたなら正直に話して。
ANGRY_010 あの子がいないところで笑うのはやめなよ、頑張ってたのをあたしたちも見たじゃない。
ANGRY_011 締切を前倒しして黙ってたのか、間に合うわけがないだろう！
ANGRY_012 皿を投げるのはおやめください、ここで働く者が黙って受け止める理由はございません。
ANGRY_013 今の説明では納得できません。
ANGRY_014 新人の失敗だけ大声で責めるのは、明らかにおかしいですよ。
ANGRY_015 ぼくのノートを黙って持っていくのはやめてよ、探して授業に遅れたんだから。
ANGRY_016 皿を投げられては困ります、食事の場で許される行為ではありません。
ANGRY_017 案内された窓口でまた別の場所と言われました、事情を確かめずに人を歩かせないでください。
ANGRY_018 わたしの皿に手を伸ばす前に、尋ねる余裕もないのかしら？
ANGRY_019 集まりに出るかどうかは私が決めたかったな、予定がないなら来るでしょと決めないでよ。
ANGRY_020 順番を守ってください。
ANGRY_021 締切を変えたなら先に知らせるべきだね、私が古い予定で動くのを見ていたでしょ。
ANGRY_022 使った跡があるのに、未使用として返すおつもりですか？
ANGRY_023 刃を出したまま台に置くなよ、次に手を伸ばすやつのことを考えれば分かるだろ。
ANGRY_024 刃が出てるだろ、知らずに手を伸ばしたらどうするんだ！
ANGRY_025 読めなかった言葉を笑うのはやめてください、挑戦する人を黙らせる教室にはしません。
ANGRY_026 新品だと言ってた袋の底に、古い縫い目が残ってるぜ。
ANGRY_027 準備が済んでから冗談だったと言われても困るよ、頼まれたから時間を空けておいたんだ。
ANGRY_028 笑って流せる話じゃないよ。
ANGRY_029 作業後に払えないと言われても、交わした約束は変わりません。
ANGRY_030 お使いになった品を未使用とおっしゃるのですか、わたくしが包みを解くところを見ました。
ANGRY_031 本人がいない時だけ笑うなよ、練習してた姿も知ってるだろう！
ANGRY_032 きみが窓を割ったところを見てたよ、それなのにぼくのせいだって言うつもり？！
ANGRY_033 別の店に行くなら言ってよ、私は約束の場所で待ってたんだよ。
ANGRY_034 急げと指示した人が確認不足で済ませるんですか、現場だけの問題にはさせません。
ANGRY_035 その言い方には納得できない。
ANGRY_036 読み間違いを笑わないでよ、声を出す勇気がなくなるでしょ。
ANGRY_037 花が枯れると分かって試したのね、結果が取れれば何をしてもよいとは言わせないわ。
ANGRY_038 顔を出さないでほしいと前に伝えたよね、忘れたで済むなら私の希望を聞く意味がないよ。
ANGRY_039 おれの車を使うなら、鍵を持ち出す前に聞くのが筋だろ。
ANGRY_040 夜中の音を小さくしてと頼んでるだけだよ、こっちが神経質だという話に変えないで。
ANGRY_041 人の弁当を勝手につまんで、冗談で済ませる気なの？
ANGRY_042 自分の担当を断りなく私の机へ置かないでください、引き受けたことにされるのは迷惑です。
ANGRY_043 返す約束を笑って済まされては、わたくしも黙っておれません。
ANGRY_044 今の言葉を取り消して！
ANGRY_045 最後のパンは分ける約束だったろ、お前だけ腹を満たして知らん顔するつもりかよ？！
ANGRY_046 反対意見を消して全員一致だと、そんな記録を認めるものか！
ANGRY_047 都合の悪い意見だけ消したのですね、それを皆さんの合意として出すことは認めません。
ANGRY_048 見張りを離れるなら呼んでよ、誰もいない時間ができたじゃない。
ANGRY_049 遅れるのは仕方なくても連絡はできるよね、ぼくは改札でずっと待ってたんだ。
ANGRY_050 残りのパンは分けると約束したのに、どうして全部食べたの？
ANGRY_051 使った道具を戻す時だけいなくなるんだね、気づかれていないと思っているなら違うよ。
ANGRY_052 勝手に決めないでほしいわ。
ANGRY_053 書きかけのノートを人に見せるなよ、私の考えを勝手に広めないで！
ANGRY_054 同じ失敗なのに新人だけ責めるんだね、立場によって基準が変わる説明をしてほしい。
ANGRY_055 質問を受け付けると言ったのに、聞いた人を責めるのでは誰も口を開けなくなります。
ANGRY_056 わたしの予定まで決める前に、ひと言相談してほしかったです。
ANGRY_057 店員が断れないと思って大声を出すのはやめてください、今の要求には応じられません。
ANGRY_058 手伝うって言ったのに、ぼくに片付けを全部任せるんだね。
ANGRY_059 私が嫌がる顔を面白がっているんだね、笑わせているつもりなら随分勘違いしているよ。
ANGRY_060 中身が気に入らないからって、荷物を蹴るんじゃない！
ANGRY_061 後ろから押すんじゃないぜ。
ANGRY_062 忙しいのは私も同じなんだよ、ご飯が出てくるまで待つだけで済むと思わないでほしい。
ANGRY_063 あたしの名前を使って、勝手な約束をしないでよ！
ANGRY_064 参加者の了承もなく費用を増やして、決定したから払えと言われても受け入れられません。
ANGRY_065 服をつかんでもお答えは変わりません、手をお離しください！
ANGRY_066 できるか聞くたびに大丈夫と言ったよね、今になって知らなかったと言われるのは腹が立つ。
ANGRY_067 花が枯れると知って試すなんて、育てた人を何だと思ってるの。
ANGRY_068 来ないなら先に言ってよ、あたしが待ってる間に別の店で遊んでたってどういうこと？！
ANGRY_069 それで謝ったつもりなの？
ANGRY_070 音がずっと漏れていますよ、聞こえないふりをしないでください。
ANGRY_071 ごみ袋がいっぱいなのを知っていて押し込んだんだね、後で拾う人のことも考えて。
ANGRY_072 生ごみを置いたまま寝るのはやめて、毎朝私が片付けてるの。
ANGRY_073 失敗した場所を布で隠していたのね、見えなくすれば直ったことになると思ったの。
ANGRY_074 見えない裏側だから手を抜いたんだな、使う人にはこっちも同じ品物なんだぞ。
ANGRY_075 資料を作った人を外して、自分だけの成果にするつもりか？！
ANGRY_076 断りなく入られては困ります。
ANGRY_077 うちの犬に食べ物をあげないでと頼んだはずです、少しくらいという判断はしないでください。
ANGRY_078 お前だけ先に着けばいいのかよ、遅い仲間を置いていくな！
ANGRY_079 お金を借りてないと言い張るなら、この返す約束まで書いた紙をどう説明するつもりなの？！
ANGRY_080 人に向かって石を投げるのは、絶対にやめなさい！
ANGRY_081 言い方が悪かったとだけ謝るんだね、私が怒っているのは話の中身を勝手に変えたことだよ。
ANGRY_082 ぼくの前で失敗した人を笑うのはやめてよ！
ANGRY_083 品物が届かないと分かった時点で連絡が欲しかったです、こちらから聞くまで黙っていたのですね。
ANGRY_084 どうして黙っていたの？
ANGRY_085 話をすり替えないで、私の質問に答えてよ！
ANGRY_086 人が下にいるのを見ていたでしょう、荷物を落としてから危ないと言っても間に合いませんよ！
ANGRY_087 自分の弁解ばかりで、わたしの話を遮らないで！
ANGRY_088 来る前に連絡してほしいと言ったよね、家にいるからいつでもいいと決めつけられると困るよ。
ANGRY_089 食べた皿くらい運んでよ、ぼくが洗うのを見ながら置いていくのはずるいよ。
ANGRY_090 使えると聞いて準備した場所です、直前に空いていないと言うなら理由を説明してください。
ANGRY_091 横から急かさないでくれ。
ANGRY_092 確認を止めたのはあなたなのに、今度は確認しなかった私の責任だと言うのですか？！
