EXPLAIN_001 この地図の赤線が安全な道だよ。
EXPLAIN_002 工作用の材料を机に並べ、木と金属に分けます。
EXPLAIN_003 最初に木工用の材料を種類別に並べ、足りない物がないか一覧表で確かめます！
EXPLAIN_004 青いファイルには完成した書類だけを入れます。
EXPLAIN_005 この装置は羽根で風を受け、その力を中央の軸へ伝えることで全体が回るんです。
EXPLAIN_006 卵は弱火でゆっくり焼いてね。
EXPLAIN_007 チャートの横軸は、時間がたつ流れを表しています。
EXPLAIN_008 表の数値を左から順に足したあと、右端の合計と一致するか確かめてみますか？
EXPLAIN_009 青い線が今回測った値で、灰色の線が比べるために残した前回の記録なんですよ。
EXPLAIN_010 計算を始める前に、入力した温度を確かめて！
EXPLAIN_011 容器を水平な場所へ置いてから、目盛りと目の高さを合わせて液体の量を読み取ります。
EXPLAIN_012 この仕組みは風の力を回転へ変えるものです。
EXPLAIN_013 この青い印が出発点です。
EXPLAIN_014 読み取りにくくなるので、文字を入れるときは前後に余分な空白を置かないでくださいね。
EXPLAIN_015 徒歩と自転車を同じ距離で比べてみますか？
EXPLAIN_016 まず大きな部品を土台へ固定し、そのあと小さなパーツを番号順に取り付けます。
EXPLAIN_017 上段の数字を下段の合計から引いてください。
EXPLAIN_018 このグラフを見ると、気温が上がるほど水の使用量も増えているのが分かりますね。
EXPLAIN_019 温度が上がると、液体の体積も少し増えます。
EXPLAIN_020 重要な設定を変える前に、現在の内容を別のファイルへ必ず保存しておきましょう。
EXPLAIN_021 葉がしおれたのは水不足です。
EXPLAIN_022 この並べ方の例外は、基本を見たあとで話しますね。
EXPLAIN_023 2つの方法では準備にかかる時間が違うので、目的に合うほうを選びましょう。
EXPLAIN_024 白いボタンを押すと、最初の画面に戻ります。
EXPLAIN_025 左上は作業全体の流れ、右下は内部の仕組みですから、順に見ていきましょう。
EXPLAIN_026 紙を中央の線に沿って半分に折ると、左右の角が同じ位置できれいに重なります。
EXPLAIN_027 図の矢印を見れば、情報が進む向きが分かります。
EXPLAIN_028 水の温度だけを変えて同じ実験を繰り返すと、結果へ影響した原因を絞り込めます。
EXPLAIN_029 地図で重要な区域を黄色のペンで囲みました！
EXPLAIN_030 細かな例外まで一度に覚えなくていいので、まず共通する基本の形だけ押さえましょう。
EXPLAIN_031 荷物は3つの箱へ分けます！
EXPLAIN_032 同じ丸印は同じ種類の部品を表します。
EXPLAIN_033 フィルターを通った水は下の容器へ集まり、大きな粒だけが網の上側に残ります。
EXPLAIN_034 表示された3つの旅行案から、費用と時間の両方に合うものを選べそうですか？
EXPLAIN_035 量を測る前に、容器を水平な台へ置きます。
EXPLAIN_036 作業前には手袋を着け、回転する部分へ指を近づけないよう十分に注意してください！
EXPLAIN_037 この表は毎月の電気使用量をまとめたものです。
EXPLAIN_038 上段が入力した値、中段が計算結果、下段が補足情報という順番で表示されます。
EXPLAIN_039 コピーした資料には、通し番号を付けておきますね。
EXPLAIN_040 地図上の赤い点を出発地点とし、矢印の方向へ進んで青い印の地点を目指します。
EXPLAIN_041 図の左側が入口です。
EXPLAIN_042 左右の温度を見比べると差が分かりますか？
EXPLAIN_043 この計算では端数を切り捨てず、小数点以下2桁までをきちんと最終結果に含めます。
EXPLAIN_044 暗証番号の欄には半角数字だけを入れます。
EXPLAIN_045 電源を入れると短い確認音が鳴り、準備が整った時点で緑のランプが点灯します。
EXPLAIN_046 薬は朝昼晩の食後に飲みます。
EXPLAIN_047 水色の帯が作業できる時間を表します。
EXPLAIN_048 最初の工程で表面の汚れを落としておくと、あとから塗る色が均一になじみます。
EXPLAIN_049 図の外側にある数字が辺の長さで、内側にある数字が面積だと覚えてください。
EXPLAIN_050 次は本物の土を使って水はけを確かめます！
EXPLAIN_051 湯を注いだティーバッグは3分後に取り出すと、香りと濃さのバランスが整います。
EXPLAIN_052 原因を探すときは温度を1つずつ変えます。
EXPLAIN_053 赤線まで水を入れます。
EXPLAIN_054 説明書の番号と部品の印を照らし合わせ、同じ記号の物から順番に組み立てましょう！
EXPLAIN_055 この部分が、全体を支える土台だと思ってください。
EXPLAIN_056 この一覧では、受付が済んだ項目に丸印、確認中の項目に三角印を付けています。
EXPLAIN_057 2本の線が交わる所を地図の基準点にします。
EXPLAIN_058 値が急に変化した部分を拡大すれば、原因となった時刻を正確に見つけられますか？
EXPLAIN_059 さっきの実験結果を別の角度から見直します。
EXPLAIN_060 コピーした用紙を3枚ずつ重ね、左上の角をそろえてからクリップで留めます。
EXPLAIN_061 白いボタンの操作は大丈夫ですか？
EXPLAIN_062 操作が終わると、確認画面が自動で開きますよ。
EXPLAIN_063 水面に浮かぶ目印が中央へ来るよう台の脚を調整すると、水平な状態になります。
EXPLAIN_064 温度が上限を超えた場合の扱いは、最後に話しますね。
EXPLAIN_065 文字の大きさを先に決めておくと、見出しと本文の位置をそろえやすくなりますよ。
EXPLAIN_066 この問題は答えだけ先に見て、詳しい面積の求め方は次の項目で順番に確かめましょう。
EXPLAIN_067 長い辺を半分に折ると中央線ができます。
EXPLAIN_068 パネルの右側にある小さな白いスイッチを押すと、室内の照明だけが点灯します。
EXPLAIN_069 この温度だけ範囲外になる理由を考えますか？
EXPLAIN_070 見本と同じ形になったことを確かめたら、接着した部分を動かさず乾かしましょう！
EXPLAIN_071 この料理は塩が決め手です。
EXPLAIN_072 フィルターは細かなごみだけを取り除きます。
EXPLAIN_073 最初の10分は弱い火で温め、その後は鍋の中身を混ぜながら温度を保ちます。
EXPLAIN_074 縦に見れば地域ごとの値が分かり、横に追えば同じ月の変化を簡単に比べられます。
EXPLAIN_075 右の欄に電池の残量が数字で表示されます。
EXPLAIN_076 資料を読む前に見出しへ目を通すと、どこに必要な情報があるか予測できます。
EXPLAIN_077 開始の合図から10秒後に温度を測ります。
EXPLAIN_078 細い管から入った空気は中央の部屋で広がり、反対側の穴からゆっくり外へ抜けます。
EXPLAIN_079 赤青黄の付箋を、質問と回答と保留で使い分けます。
EXPLAIN_080 このフォルダーへ保存するなら、ファイル名に日付も付けたほうがよいですか？
EXPLAIN_081 2本の棒を長さで比べます。
EXPLAIN_082 この棚の組み立て方を図で確認しましょう！
EXPLAIN_083 土台の丸い印へ柱の端を合わせ、ずれないよう片手でしっかり支えながら固定します。
EXPLAIN_084 外側の厚いゴム輪は瓶を守る役割です。
EXPLAIN_085 表面が乾いたかどうかを指で触れずに確かめるには、見た目の色の変化を目安にします。
EXPLAIN_086 この線が気温の平均です。
EXPLAIN_087 計算では小数点以下を2桁まで残します。
EXPLAIN_088 ここからは実際の画面を見ながら、先ほど説明した3つの操作を試してください！
EXPLAIN_089 上の欄に人数を入れると、必要な椅子と机の数が右側に出るので試してください。
EXPLAIN_090 測った温度が同じなら次の条件へ移ります。
EXPLAIN_091 白い紙を背景にすると部品の輪郭が見やすくなり、撮影後の確認も簡単になります。
EXPLAIN_092 路線図の左上から時計回りに読んでいきます。
EXPLAIN_093 違いは湯の温度なんです！
EXPLAIN_094 2本の線が交わる位置から垂直に下ろすと、横軸上の対応する時刻が分かります。
EXPLAIN_095 この木のパーツは向きを変えても使えます。
EXPLAIN_096 最初に決めた基準を途中で変えると比較が難しくなるため、最後まで統一します。
EXPLAIN_097 材料を混ぜる順を替えても結果は同じですか？
EXPLAIN_098 小さな穴へ糸を通したあと、両端の長さをそろえて外れないようしっかり結びます。
EXPLAIN_099 下のグラフには昨年との比較を載せました。
EXPLAIN_100 計測した値はその場で表へ書き込み、後から記憶だけで補わないようにします。
EXPLAIN_101 先に窓の鍵を確かめます。
EXPLAIN_102 薬の注意点を先に読んでから始めましょう！
EXPLAIN_103 この棚を組み立てるときに大事なのは、部品の順序と向きの2つを守ることです。
EXPLAIN_104 鍋のふたを閉めると中の温度が保たれます。
EXPLAIN_105 このディスクを使う場合も、先ほどと同じ手順を使って内容をコピーできますか？
EXPLAIN_106 容器のふたを開ける前に内部の圧力を安全に下げると、液体が急に飛び出しません。
EXPLAIN_107 雨で測れなかった区間は、欠測として空欄のまま残します。
EXPLAIN_108 画面の左側には操作項目が並び、右側には選んだ内容の詳しい説明が現れます。
EXPLAIN_109 円の中央にある点から外側へ細い線を伸ばします。
EXPLAIN_110 3枚のカードを番号順に並べると、作業の開始から終了までが1つの流れになります。
EXPLAIN_111 矢印どおり右へ曲がります。
EXPLAIN_112 ティーバッグに湯を注ぎ、3分待ってから取り出します。
EXPLAIN_113 温度計の先端を容器の中央へ入れ、底や側面には触れないよう注意しましょう！
EXPLAIN_114 データの欠けた日は線で結ばず、空欄のまま残して未計測だったことを示します。
EXPLAIN_115 2枚の地図を重ねると道の違いが見つかります。
EXPLAIN_116 この図形は同じ三角形4つに分けられるので、1つ分の面積から全体を求められるんです。
EXPLAIN_117 左側の座席番号は、右側の氏名と上から順に対応しています。
EXPLAIN_118 最初の案は費用を抑えやすく、2番目の案は準備時間を短くできる点が特徴です。
EXPLAIN_119 電源を切る前にデータを保存してください。
EXPLAIN_120 部品の表と裏を見分けるには、端に付いた小さな丸印の位置をよく確認します。
EXPLAIN_121 答えは表の下段にあります。
EXPLAIN_122 最後のページに答えを記入しましょう！
EXPLAIN_123 画面が暗いときは明るさを上げる前に、周囲の照明が点いているか確かめます。
EXPLAIN_124 この紙の折り方なら手順を減らせると思いますか？
EXPLAIN_125 水を注ぐ量は容器の半分までとし、上部には空気の通る空間を必ず広く残します。
EXPLAIN_126 この薬は食後に飲みます。
EXPLAIN_127 地図の濃い線は確定した経路を示しています。
EXPLAIN_128 同じ結果をもう一度得るために、温度と時間を記録しておく理由が分かりますか？
EXPLAIN_129 線を切る位置へ先に印を付け、定規を押さえながらゆっくり刃を動かしましょう！
EXPLAIN_130 空欄には前の行と同じ値をそのまま入れます。
EXPLAIN_131 入力した文章は左側の枠へ表示され、修正した内容もその場ですぐに反映されます。
EXPLAIN_132 2枚の画像の端をそろえてから中央を押さえます。
EXPLAIN_133 最後に2本のねじを締めます。
EXPLAIN_134 白い布と黒い布を同じ場所へ置くと、光を受けたあとの温度差を比べられます。
EXPLAIN_135 小さな音が鳴った時点で記録を止めます。
EXPLAIN_136 画面下の進行バーは作業済みの正確な割合を示し、右端まで進むと完了となります。
EXPLAIN_137 ピントは手前の目印に合わせています。
EXPLAIN_138 測った温度だけですぐ結論を出さず、範囲から外れた3つの値についても理由を確かめましょう。
EXPLAIN_139 この検査では速度より正確さを優先します。
