JOY_001 話している顔だけで、今の仕事があなたに合っているんだなって伝わってきます。
JOY_002 無事に帰ってきた顔を見たら、何を聞こうとしていたのか忘れてしまったね。
JOY_003 自分のお小遣いで選んだのね、花も包み紙も全部大事に取っておきたくなっちゃう。
JOY_004 週末に晴れたのは久しぶりだな、道具を置いて釣りざおを持ち出すとするか！
JOY_005 部屋に日が入るだけで和むな。
JOY_006 ほどけなかった結び目が取れたわ、あなたと話すうちに指まで軽くなったみたい。
JOY_007 合格の知らせを見たら、姉ちゃんに電話せずにはいられなかったよ。
JOY_008 村の屋根が見えたぜ、暗くなる前に帰って温かいスープを飲めるなんて最高だ！
JOY_009 2人でこねた生地がパンになったね、耳までおいしいよ。
JOY_010 あんたの声が後ろまで届いたよ、最初は顔を上げるのもやっとだったのにすごいじゃない！
JOY_011 資料を組み直した甲斐があったな、君の案で進めることになったぞ。
JOY_012 お客様のお顔をまた拝見できて、今年もこの扉を開けていてよかったと感じます。
JOY_013 最後までよく届けましたね！
JOY_014 またこうして笑えるんだね、君と話せる日が戻ってきてたまらなくうれしいよ。
JOY_015 パンの端までこんがり焼けたよ、きみが生地をこねてくれたおかげなんだ。
JOY_016 頼む前に準備してくれていたんですね、机の上を見た時に肩から力が抜けました。
JOY_017 電話の声より顔を見るのがいちばんだね、やっと安心できたよ。
JOY_018 あなたの案で進むことになったね、あの地道な調査がちゃんと伝わったと思う。
JOY_019 またお会いできましたね、今年もこの店を選んでくださって光栄です。
JOY_020 見事に膨らんだお菓子を前にすると、これまでの失敗までいい思い出になるね。
JOY_021 花を選んでくれたのね。
JOY_022 良い会になったね、準備したみんなで成功のお茶を飲もう。
JOY_023 止まってた時計が動いたな、おまえが細かいところまで磨いた分が出てるだろ。
JOY_024 間違いを自分で見つけられたのですね、答えが合ったことよりそこを喜びたいです。
JOY_025 父さんが磨いた部品で時計が動いたよ、今の音を聞いた？
JOY_026 ぼくの番号があるよ、何度も練習に付き合ってくれた母さんに最初に知らせたかった！
JOY_027 休日の青空は久しぶりだね、釣り道具を出す手まで軽くなるよ。
JOY_028 この鍋、全員で空にしよう！
JOY_029 頂いた苗が根づきましたよ、朝に葉を確かめるのが今では小さな楽しみなんです。
JOY_030 朝まで火がもってくれたぜ、お前の積んだ薪が効いたな。
JOY_031 探していたサイズが最後に残ってたの、諦める前に奥の棚まで見てよかったよ。
JOY_032 お皿が空になりましたね、お口に合って何よりです。
JOY_033 入った、今の球が入ったよ、毎日練習に付き合ってきたから自分のことみたいだ！
JOY_034 後ろまでよく届く声でした、練習を続けた成果ですね。
JOY_035 光が手の中に残っているわ、あなたの練習が形になった瞬間を見られて光栄よ！
JOY_036 見ていてくれたんですね。
JOY_037 オレの分まで乾かしてくれたんだな、ぬれてない靴下がこんなにありがたいとはな。
JOY_038 私の誕生日の飾りなの、こんなに紙の花を作ってくれたの？！
JOY_039 皆様の準備が実を結びましたね、今夜ばかりはわたくしにも乾杯させてください！
JOY_040 教えてもらう前に間違いを発見したんだ、すごい進歩だよ。
JOY_041 皆で同じ鍋を囲める夜が戻ってきましたね、湯気を見ているだけでほっとします。
JOY_042 家族で鍋をつつけると、いつもの暮らしが戻った気がするね。
JOY_043 あんたとくだらない話をしながら帰れるの、こんなにほっとすることだったのね…
JOY_044 待っててくれて助かったよ。
JOY_045 隅まできれいだね、これなら堂々と見せられる。
JOY_046 こんなにたくさんの方が来てくださるとは思わなくて、お礼の言葉が追いつきません。
JOY_047 おれの好物ばかりだな、ふたを開けた途端に笑っちまった。
JOY_048 働ける場所が決まったよ、何度も話を聞いてくれたから最後まで応募できたんだ！
JOY_049 最後の音まで届けられたね、ぼくたちの演奏にあんな大きな拍手をもらえたよ！
JOY_050 町が見える、これなら日暮れまでに帰ってご飯が食べられるね。
JOY_051 何もしないで隣に座っていられる時間が、こんなにぜいたくだとは思わなかったね。
JOY_052 あたしのために部屋を飾ったのね、壁の紙の花まで全部取っておきたいよ。
JOY_053 よく帰ってきてくれたね。
JOY_054 遠くにいても同じ疑問を追っていたのね、手紙の余白まで返事を書きたくなるわ。
JOY_055 乾いた靴下を履けるとは思わなかったよ、足から元気が戻った。
JOY_056 お前が探してた布、いちばん奥にあったぜ、これなら穴の開いた袋も直せるだろう。
JOY_057 話に付き合ってもらう間に、頑固な結び目もほどけたよ。
JOY_058 あなたと働ける日を待っていました、今夜は帰り道でお祝いの品を選びましょう！
JOY_059 迎えがあるって安心するね。
JOY_060 皆様の笑顔を残しておきたいのですが、記念のお写真を撮らせていただけますか？
JOY_061 指先に光を保てましたね、見守ってきた私まで顔が緩みます。
JOY_062 さて、片付けが済んだら好きなものを食おう、今夜はおれの財布を当てにしてくれ。
JOY_063 ぼくが植えた種、今朝見たら小さな芽が出てたよ。
JOY_064 窓を開けると川が見えるよ、ここなら朝の支度を急がず景色を眺められそうだね。
