EXPLAIN_001 まずはこちらの図をご覧ください。この赤い部分が心臓にあたります。
EXPLAIN_002 本日のニュースです。午後3時頃、市内中心部で大規模なパレードが行われました。
EXPLAIN_003 結論から申し上げますと、今回のプロジェクトは成功と言えるでしょう。
EXPLAIN_004 歴史の授業を始めます。教科書の42ページを開いてください。
EXPLAIN_005 いいですか、魔法を使うコツは、魔力を丹田(たんでん)に集中させることです。
EXPLAIN_006 次に、ボウルの卵と牛乳をよくかき混ぜます。泡立てないように注意しましょう。
EXPLAIN_007 ご主人様、当家のセキュリティシステムについてご説明いたします。
EXPLAIN_008 このグラフの通り、右肩上がりで推移しているのが分かりますね。
EXPLAIN_009 犯行の手口は極めて単純です。鍵穴にピアノ線を差し込んだのですよ。
EXPLAIN_010 チャンネル登録と高評価、よろしくお願いします！
EXPLAIN_011 気象庁によりますと、台風は明日の朝にかけて関東地方に接近する見込みです。
EXPLAIN_012 理由は三つあります。まず一つ目は、コストパフォーマンスの良さです。
EXPLAIN_013 ご主人様、こちらのワインは1980年物で、芳醇(ほうじゅん)な香りが特徴でございます。
EXPLAIN_014 右手に見えますのが、当市で最も古い歴史を持つ寺院です。
EXPLAIN_015 このボタンを押すと録画が開始され、もう一度押すと停止します。
EXPLAIN_016 つまり、AとBはイコールであるということが証明されたわけです。
EXPLAIN_017 今日のポイントはここ！ テストに出るから赤線引いておくように。
EXPLAIN_018 犯人は、被害者が油断した隙を狙って背後から近づきました。
EXPLAIN_019 ご主人様、本日の晩餐会(ばんさんかい)の流れを再度確認させていただきます。
EXPLAIN_020 諸説ありますが、一般的にはこちらの説が有力視されています。
EXPLAIN_021 画面右上のアイコンをクリックして、設定メニューを開いてください。
EXPLAIN_022 株価は前日比で大幅に下落し、市場には警戒感が広がっています。
EXPLAIN_023 なぜ空が青いのか、その仕組みを科学的に解説しましょう。
EXPLAIN_024 剣の握り方はこうだ。小指と薬指に力を入れるのがコツだぞ。
EXPLAIN_025 ご主人様、この絵画は18世紀のフランスで描かれたものでございます。
EXPLAIN_026 失敗の原因は、初期段階での設計ミスにあると考えられます。
EXPLAIN_027 はい、ここまでの解説で何か質問はありますか？
EXPLAIN_028 この成分には、肌の保湿力を高める効果が期待できます。
EXPLAIN_029 最新の研究結果によると、睡眠不足は記憶力の低下を招くそうです。
EXPLAIN_030 実況席の解説は、元プロ野球選手の山田さんにお越しいただきました。
EXPLAIN_031 ご主人様、礼儀作法において最も重要なのは、相手への敬意でございます。
EXPLAIN_032 具体的な例を挙げて説明しましょう。例えば、リンゴが落ちる現象です。
EXPLAIN_033 このエリアは立ち入り禁止区域となっております。速やかに退去してください。
EXPLAIN_034 戦術の基本は、敵の裏をかくことです。正面突破だけが能ではありません。
EXPLAIN_035 本日の講義はここまでとします。レポートの提出を忘れないように。
EXPLAIN_036 警察は、防犯カメラの映像を解析するなどして捜査を進めています。
EXPLAIN_037 ご主人様、お茶の淹(い)れ方には、温度と時間が密接に関係しております。
EXPLAIN_038 簡単に言うと、インターネットというのは情報の道路のようなものです。
EXPLAIN_039 これが、私が今回この商品をおすすめする最大の理由です。
EXPLAIN_040 伝説によれば、この剣を抜いた者が次の王になると言われています。
EXPLAIN_041 このアプリを使えば、誰でも簡単にプロ並みの写真が撮れますよ。
EXPLAIN_042 経済効果は数十億円に上ると試算されています。
EXPLAIN_043 ご主人様、帝王学の基礎について、改めて講義させていただきます。
EXPLAIN_044 ここで一旦CMに入ります。チャンネルはそのままで！
EXPLAIN_045 栄養バランスを考えて、野菜も一緒に摂るようにしましょう。
EXPLAIN_046 犯人は犯行後、盗難車を使って逃走した模様です。
EXPLAIN_047 物理法則を無視した動きですね。これはCGによる合成映像でしょう。
EXPLAIN_048 左をご覧ください。こちらが世界遺産に登録された大聖堂です。
EXPLAIN_049 ご主人様、ご予定の変更がありましたので、詳しくご説明いたします。
EXPLAIN_050 重要なのは結果ではなく、そこに至るまでのプロセスです。
EXPLAIN_051 このダンジョンの攻略法は、壁沿いに進むことです。
EXPLAIN_052 次回の動画では、さらに詳しい裏技をご紹介しますのでお楽しみに。
EXPLAIN_053 政府は本日、新たな経済対策を閣議決定しました。
EXPLAIN_054 ご主人様、この薔薇(ばら)は特別な品種で、夜にしか香りを放ちません。
EXPLAIN_055 仕組みは簡単です。熱を加えることで、空気が膨張するのです。
EXPLAIN_056 投資のリスクについては、十分にご理解いただいた上でご契約ください。
EXPLAIN_057 昔々、あるところに、おじいさんとおばあさんが住んでいました。
EXPLAIN_058 この数式を解くには、因数分解の公式を使います。
EXPLAIN_059 現場の状況から見て、放火の可能性が高いと見られています。
EXPLAIN_060 ご主人様、ネクタイの結び方には、ウィンザーノットという方法がございます。
EXPLAIN_061 さあ、ここが勝負の分かれ目です。どちらが先に仕掛けるか。
EXPLAIN_062 定期的なメンテナンスを行うことで、製品の寿命を延ばすことができます。
EXPLAIN_063 概要欄にリンクを貼っておくので、気になった人はチェックしてね。
EXPLAIN_064 心理学的に言うと、これは「吊り橋効果」と呼ばれる現象です。
EXPLAIN_065 ご主人様、当家の家訓について、今一度復習いたしましょう。
EXPLAIN_066 勝利条件は二つ。敵の全滅か、拠点の制圧です。
