CONFUSE_001 えっと、何を言いたかったんだっけ。
CONFUSE_002 状況がまるで理解できないんだけど。
CONFUSE_003 どういう意味なの？
CONFUSE_004 考えれば考えるほど分からなくなってくるよ。
CONFUSE_005 頭の中がごちゃごちゃだ。
CONFUSE_006 一体何が正解なのか見当がつかない。
CONFUSE_007 説明されても全然ピンとこないんだ。
CONFUSE_008 なんだかよく分からない展開になってきたね。
CONFUSE_009 要するにどういうことなの？
CONFUSE_010 混乱してきた、ちょっと整理させてもらっていい？
CONFUSE_011 拙者にはさっぱり見当がつかぬでござる。
CONFUSE_012 右と左のどっちに行けばいいんだろう。
CONFUSE_013 矛盾しているように聞こえるんだけど。
CONFUSE_014 この迷路はどこに続いているんだ。
CONFUSE_015 うーん。
CONFUSE_016 全体像が見えてこなくてもどかしい。
CONFUSE_017 結局何をすればいいのかさっぱりだ。
CONFUSE_018 あたし、もう何がなんだか。
CONFUSE_019 二つの情報が食い違っていてどっちを信じればいいんだ。
CONFUSE_020 そもそもの前提が間違っている気がするよ。
CONFUSE_021 言っていることが二転三転するから混乱するんだ。
CONFUSE_022 ごめん、もう一回最初から説明してくれない？
CONFUSE_023 ご主人様、わたくしには事態が飲み込めませんの。
CONFUSE_024 まさかそういう結論になるとは思わなかったよ。
CONFUSE_025 どうしてそうなるのかが理解できない。
CONFUSE_026 あれ、さっき言ったことと違くない？
CONFUSE_027 こんな複雑な問題、一人で解けるわけがないよ。
CONFUSE_028 何が原因なのか絞り込めないんだ。
CONFUSE_029 ちんぷんかんぷんだよ。
CONFUSE_030 地図を見ても現在地がよく分からない。
CONFUSE_031 この選択肢のどれを選んでも間違いそうで不安だ。
CONFUSE_032 話が複雑すぎてついていけない。
CONFUSE_033 冒険者としてはこの分岐点が悩ましいところだ。
CONFUSE_034 もう少し噛み砕いて教えてくれると助かるよ。
CONFUSE_035 答えが一つに定まらなくて困っている。
CONFUSE_036 はて、なぜこうなったのだろうか。
CONFUSE_037 自分の判断が正しかったのかどうか不安だよ。
CONFUSE_038 え、ちょっと待って？
CONFUSE_039 何から手をつけていいか分からない。
CONFUSE_040 この計算式が合っているか自信がないんだ。
CONFUSE_041 みんなの意見がバラバラで困惑しているよ。
CONFUSE_042 先輩の言っている意味がよく分かりません。
CONFUSE_043 裏と表があるみたいで何を信じたらいいか迷うよ。
CONFUSE_044 つまりどういうことなのか要約してほしいんだけど。
CONFUSE_045 想定外のことが起きすぎて整理が追いつかない。
CONFUSE_046 言葉の意味は分かるんだけど文脈が掴めないんだ。
CONFUSE_047 我が魔術の理論をもってしてもこの現象は解析できぬ。
CONFUSE_048 選べと言われても判断材料が足りないよ。
CONFUSE_049 方向音痴だからどっちに進めばいいか分からない。
CONFUSE_050 んん？
CONFUSE_051 どんどん話が脱線して何の話だったか忘れそうだ。
CONFUSE_052 正直なところ目的が見えなくてモヤモヤしているんだ。
CONFUSE_053 理由は分からないけれどなんだかしっくりこないなあ。
CONFUSE_054 この書類のどこに記入すればいいんだろう。
CONFUSE_055 考えがまとまらない。
CONFUSE_056 先生の説明が難しくてノートに取れなかった。
CONFUSE_057 二人の言うことが全然違うんだよ。
CONFUSE_058 ひとまず落ち着いて考えよう。
CONFUSE_059 こういう場面でどう振る舞えばいいのか分からないんだ。
CONFUSE_060 もやもやした気持ちが晴れないよ。
CONFUSE_061 え、お前はそう思っていたのか？
CONFUSE_062 職人としてこの素材の扱い方がどうにも掴めないんだ。
CONFUSE_063 あっちを立てればこっちが立たない状況だね。
CONFUSE_064 やっぱりよく分からない。
CONFUSE_065 はあ。
CONFUSE_066 途中までは理解していたのに急に分からなくなった。
CONFUSE_067 何度読み返しても意味がつかめない文章だよ。
CONFUSE_068 どの道を選んでも後悔しそうで決められない。
CONFUSE_069 ふむ、これは予想とは異なる結果だな。
CONFUSE_070 あたしの頭では難しすぎるよ。
CONFUSE_071 本人に聞いても要領を得ない答えしか返ってこない。
CONFUSE_072 複数の解釈ができてしまうから困るんだ。
CONFUSE_073 この暗号、解けそうで解けないんだよ。
CONFUSE_074 お嬢様、一体どちらのお召し物をご用意すればよろしいので。
CONFUSE_075 自分が何をしたいのかすら分からなくなってきた。
CONFUSE_076 手がかりが多すぎて逆に絞れないよ。
CONFUSE_077 こんがらがってきた。
CONFUSE_078 この問題の答えは一つじゃないって言われると余計に悩む。
CONFUSE_079 どこかで考え違いをしているはずなんだけど見つからない。
CONFUSE_080 それはつまり賛成なの反対なのどっちなんだ。
CONFUSE_081 騎士としてどちらの勢力につくべきか決めかねている。
CONFUSE_082 次に何をすべきか分からなくなってしまった。
CONFUSE_083 頭がぱんぱんでもう入らないよ。
CONFUSE_084 誰かこの状況を分かりやすく説明してくれないか。
CONFUSE_085 同じ話を違う角度から聞くと全然印象が違うんだな。
CONFUSE_086 気がついたら全然違う場所に来ていた。
CONFUSE_087 あれ、今何の話をしていたっけ？
CONFUSE_088 何とも言えない微妙な気分だよ。
CONFUSE_089 結局どうすればいいか誰も教えてくれないんだ。
CONFUSE_090 情報が断片的でつなぎ合わせるのが難しい。
CONFUSE_091 これはトリックなのか本物なのか見分けがつかない。
CONFUSE_092 商売の方針をどっちに向けるかで堂々巡りしているよ。
CONFUSE_093 ぽかんとしてしまったよ。
CONFUSE_094 この手順の3番目と5番目が矛盾している気がする。
CONFUSE_095 えーと、つまり何が言いたいの？
CONFUSE_096 分からない。
CONFUSE_097 どれを選んでも一長一短で困るなあ。
CONFUSE_098 ティータイムの作法が国によって違うから戸惑うわ。
CONFUSE_099 言い方を変えてもう一度教えてくれない？
CONFUSE_100 目の前の問題が大きすぎて圧倒されているんだ。
CONFUSE_101 冒険の地図に載っていない道が現れて戸惑っている。
CONFUSE_102 自分の気持ちがよく分からないんだ。
CONFUSE_103 ピントがずれている気がするけど何がずれているのか。
CONFUSE_104 さっきと話が違うじゃないか。
CONFUSE_105 友達のアドバイスがてんでバラバラで余計に悩む。
CONFUSE_106 ふむ、解せぬな。
CONFUSE_107 首をかしげるしかないよ。
CONFUSE_108 この呪文の詠唱順序がどうしても覚えられない。
CONFUSE_109 あの人が本当のことを言っているのか疑わしいな。
CONFUSE_110 もう何を基準に選べばいいのか分からなくなった。
CONFUSE_111 図と説明文の内容が一致していないんだけど。
CONFUSE_112 わけが分からない。
CONFUSE_113 みんなが当たり前のように理解していることが僕には難しい。
CONFUSE_114 優先順位のつけ方が分からなくて混乱している。
CONFUSE_115 聞けば聞くほど謎が深まっていく。
CONFUSE_116 あれ、この道さっきも通らなかったっけ。
CONFUSE_117 何がベストな選択なのか判断する自信がないよ。
CONFUSE_118 答えを出そうとすると新しい疑問が湧いてくるんだ。
CONFUSE_119 先輩、これはいったいどうやって使うんですか。
CONFUSE_120 ぐるぐる考えているうちに時間だけが過ぎていく。
CONFUSE_121 困ったなあ。
CONFUSE_122 何故そのような結論に至ったのか理解に苦しむよ。
CONFUSE_123 論点がずれていて議論がかみ合わないんだ。
CONFUSE_124 似たような選択肢が多すぎて決められない。
CONFUSE_125 賛成すべきなのか反対すべきなのか、うーん。
CONFUSE_126 この問題は考えれば考えるほど深みにはまるな。
CONFUSE_127 なんでこうなったのか時系列で説明してほしい。
CONFUSE_128 振り出しに戻った気分だよ。
CONFUSE_129 直感と理屈が反対のことを言っている。
CONFUSE_130 結局何が正しいのか、もう投げ出したい。
CONFUSE_131 ほえ？
CONFUSE_132 こんなに複雑な手続きは初めてだよ。
CONFUSE_133 自分の考えをうまく言葉にできなくて困っているんだ。
CONFUSE_134 先生の出した問題が難しすぎて手も足も出ない。
CONFUSE_135 あっちの話とこっちの話がこんがらがっている。
CONFUSE_136 本当にこれでいいのかなあ。
CONFUSE_137 パーティーの作戦が頭に入ってこないんだ。
CONFUSE_138 何が嘘で何が本当なのか分からなくなった。
CONFUSE_139 調べるほどにいろんな説が出てきて困惑するよ。
CONFUSE_140 え。
CONFUSE_141 ぱっと見は同じに見えるけど何かが違うんだよな。
CONFUSE_142 考えすぎて眠れなくなってしまったよ。
CONFUSE_143 なぜあの人はあんなことを言ったんだろう。
CONFUSE_144 この機械の使い方が説明書を読んでも分からない。
CONFUSE_145 あの時の判断が正しかったのか今でも迷っている。
CONFUSE_146 途方に暮れた。
CONFUSE_147 それとこれとは話が別じゃないのか。
CONFUSE_148 選択肢が多すぎて目移りする。
CONFUSE_149 頭の中にクエスチョンマークが浮かんでいるよ。
CONFUSE_150 道に迷ったら元の場所に戻ろう。
CONFUSE_151 ご主人様のおっしゃることがいまひとつ分かりかねます。
CONFUSE_152 簡潔に言うとどういうことなんだ。
CONFUSE_153 数字がたくさん並んでいると頭がくらくらする。
CONFUSE_154 えっと、どっちだったかな。
CONFUSE_155 何から考え始めればいいのか分からないんだ。
CONFUSE_156 こんな曖昧な指示では動きようがないよ。
CONFUSE_157 結局のところ良いの悪いのどちらなんだ。
CONFUSE_158 迷子になったみたいだ。
CONFUSE_159 いろいろ言われすぎて頭が追いつかない。
CONFUSE_160 さっぱりだよ。
CONFUSE_161 前回と今回で言っていることが違うんだけど。
CONFUSE_162 どっちから手をつけたらいいか迷っている。
CONFUSE_163 我が騎士団の進むべき道について思い悩んでいる。
CONFUSE_164 本末転倒になっていないか心配だよ。
CONFUSE_165 あの行動の意図がいまだに読めないんだ。
CONFUSE_166 ぐちゃぐちゃになっている配線を見る気が失せたよ。
CONFUSE_167 はてさて、どうしたものか。
CONFUSE_168 あたしの理解力不足なのかな。
CONFUSE_169 この謎解きは一筋縄ではいかないね。
CONFUSE_170 情報の海に溺れそうだよ。
CONFUSE_171 五里霧中とはまさにこのことだ。
CONFUSE_172 何度聞いても理解できないのは私の問題なのかな。
CONFUSE_173 もう少し具体的に言ってもらえると助かるんだけど。
CONFUSE_174 それって皮肉なのか本気なのかどっちなんだ。
CONFUSE_175 職人の目から見てもこの構造は複雑すぎる。
CONFUSE_176 混乱しすぎて笑いが出てきたよ。
CONFUSE_177 ややこしいなあ。
CONFUSE_178 あちこちから情報が入ってきて散らかっているんだ。
CONFUSE_179 どこがゴールなのか見えないまま走り続けている感じだ。
CONFUSE_180 理屈は分かるんだけど感情が納得しないんだよ。
