SAD_001 あの日のことを思い出すたびに、胸がきゅっと痛くなるんだ。
SAD_002 もう、戻れないのかな。楽しかったあの頃には。
SAD_003 ごめんなさい。私がもっとしっかりしていれば、こんなことには……。
SAD_004 誰も私の声なんて聞いていない。ずっと独りぼっちだ。
SAD_005 お嬢様がそのような顔をされると、私まで胸が張り裂けそうでございます。
SAD_006 努力はしたつもりだったんですが、結局、何も残せませんでした。
SAD_007 さよなら。君の幸せを、遠くから祈っているよ。
SAD_008 雨の音って、どうしてこんなに寂しく響くんだろうね。
SAD_009 大切なものを失ってから気づくなんて、本当に馬鹿だなぁ、僕は。
SAD_010 涙も枯れ果ててしまったわ。後はただ、虚(むな)しいだけ。
SAD_011 どうして……どうして私を置いていってしまったの？
SAD_012 信じていたのに。まさか、君までいなくなるなんて。
SAD_013 何もかも終わってしまった。もう、頑張る気力もないよ。
SAD_014 ご主人様、どうかご自愛ください。お体が心配でなりません。
SAD_015 私なんて、いてもいなくても同じだよね。
SAD_016 思い出の場所に来てみたけど、やっぱり君はいないんだね。
SAD_017 こんな結末になるなら、最初から出会わなければよかった。
SAD_018 痛いよ……心が、張り裂けそうだよ。
SAD_019 結局、私は誰の役にも立てなかった。
SAD_020 夢なら覚めてほしい。これが現実だなんて、残酷すぎる。
SAD_021 お嬢様、涙をお拭きください。メイクが崩れてしまいますよ。
SAD_022 ごめんね。約束、守れそうにないや。
SAD_023 誰も信じられない。裏切られるのが怖いんだ。
SAD_024 あの時、一言だけでも伝えていればよかった。
SAD_025 真っ暗だ。出口なんて、どこにもない気がする。
SAD_026 私のせいで、みんなを傷つけてしまった。
SAD_027 もう疲れたよ。少し、休んでもいいかな。
SAD_028 幸せだった時間は、どうしてこんなにも短いんだろう。
SAD_029 ご主人様、本日ばかりは、お慰(なぐさ)めの言葉も見つかりません。
SAD_030 忘れようとすればするほど、鮮明に思い出してしまうの。
SAD_031 君の声が聞きたい。もう一度だけでいいから。
SAD_032 期待させてごめん。僕には無理だったよ。
SAD_033 寒くて、暗くて、寂しいよ……。
SAD_034 まるで世界中から拒絶されているみたいだ。
SAD_035 全部私の責任です。本当に申し訳ありませんでした。
SAD_036 お嬢様、今は無理に笑わなくてもよろしいのですよ。
SAD_037 なんで私だけ生き残ってしまったんだろう。
SAD_038 届かない声なら、叫んだって意味がないじゃないか。
SAD_039 これが最後のお別れになるなんて、思ってもみなかった。
SAD_040 空っぽだ。心の中にぽっかり穴が開いたみたい。
SAD_041 頼れる人はもう誰もいない。
SAD_042 どんなに願っても、時間は巻き戻せないんだね。
SAD_043 君のいない明日なんて、来る意味があるのかな。
SAD_044 ご主人様、悲しみを一人で抱え込まないでください。
SAD_045 私が悪いんだ。全部、私が……。
SAD_046 もう二度と、あの笑顔を見ることはできないんだね。
SAD_047 仕方ないよ。最初から分かっていたことだもの。
SAD_048 嘘だと言ってよ。お願いだから……。
SAD_049 諦めるしかないのかな。こんなに好きなのに。
SAD_050 また一人になっちゃった。
SAD_051 お嬢様、私にお手伝いできることがあれば、何なりと。
SAD_052 自分でも情けないよ。こんなことで泣くなんて。
SAD_053 壊れてしまった絆は、もう元には戻らない。
SAD_054 遠くへ行きたい。誰も私のことを知らない場所へ。
SAD_055 夕焼けが目に染みるな……。
SAD_056 結局、代わりなんていくらでもいたってことか。
SAD_057 ごめんなさい。あなたの期待に応えられなくて。
SAD_058 何のために頑張ってきたんだろう。分からなくなっちゃった。
SAD_059 ご主人様、今宵(こよい)は雨音も寂しげに聞こえますね。
SAD_060 会いたいよ。今すぐ会いたい。
SAD_061 もう手遅れだ。何もかも失ってしまった。
SAD_062 楽しかった思い出が、今は鋭い刃(やいば)のように心を抉(えぐ)る。
SAD_063 怖かったよね。苦しかったよね。気づいてあげられなくてごめん。
SAD_064 私が必要とされる場所なんて、どこにもないのよ。
SAD_065 笑い方を忘れてしまったみたいだ。
SAD_066 お嬢様、そのように塞ぎ込んでいては、お体に障ります。
SAD_067 君の幸せを願うことが、今の僕にできる唯一の罪滅ぼしだ。
SAD_068 ああ、神様。どうして私にこんな試練を与えるのですか。
SAD_069 終わったんだ。何もかも。
SAD_070 涙って、枯れることがないんだね。
SAD_071 誰か助けて。暗闇から抜け出せないの。
SAD_072 自業自得だよね。同情なんていらないよ。
SAD_073 ご主人様、どうかご自身を責めないでください。
SAD_074 あの人の隣にいるのは、私のはずだったのに。
SAD_075 砂のお城みたいに、一瞬で崩れ去ってしまった。
SAD_076 声にならない叫びが、喉の奥でつかえている。
SAD_077 どこで間違えたんだろう。あの日かな、それとももっと前？
SAD_078 虚しいな。こんなに広い世界で、たった一人きりだなんて。
SAD_079 さよならは言わないよ。悲しくなるから。
SAD_080 お嬢様、泣きたいときは思い切り泣いてしまえばいいのです。
SAD_081 私のことなんて、忘れてください。
SAD_082 君がいない世界は、色がなくなったみたいだ。
SAD_083 後悔しても遅いことは分かってる。でも……。
SAD_084 どうすればよかったの？ 教えてよ。
SAD_085 もう誰も愛さない。傷つくのは嫌だから。
SAD_086 希望なんて言葉、今の私には眩(まぶ)しすぎるわ。
SAD_087 ご主人様、お辛いでしょうが、これも運命(さだめ)でございます。
SAD_088 帰りたい。懐かしいあの家に。
SAD_089 どうせ私なんて、その程度の存在だったのよ。
SAD_090 苦しい。息をするのも辛い。
