SURPRISE_001 えっ、うそでしょ。
SURPRISE_002 まさかこんなことが起きるなんて。
SURPRISE_003 本当に？信じられないよ。
SURPRISE_004 なんとまあ、こんな展開は予想もしていなかった。
SURPRISE_005 びっくりした。
SURPRISE_006 目の前の光景が信じられないんだけど。
SURPRISE_007 予想を大きく上回る結果で驚いているよ。
SURPRISE_008 えええ、どういうこと？
SURPRISE_009 こんなことってあるんだなあ。
SURPRISE_010 度肝を抜かれたよ。
SURPRISE_011 拙者の目を疑ったでござる。
SURPRISE_012 何が起きたのか全然分からない。
SURPRISE_013 想像の斜め上をいく展開だったね。
SURPRISE_014 心臓が飛び出るかと思ったよ。
SURPRISE_015 ちょっと待って、今なんて言ったの？
SURPRISE_016 世の中にはまだこんな不思議なことがあるんだ。
SURPRISE_017 声が出ないくらい驚いたよ。
SURPRISE_018 ああ、びっくりしたなあもう。
SURPRISE_019 夢にも思わなかった出来事だよ。
SURPRISE_020 これは驚きの発見だ。
SURPRISE_021 あり得ない、こんなことは絶対あり得ないよ。
SURPRISE_022 思わず二度見してしまったよ。
SURPRISE_023 ご主人様、これは一体どうなっておりますの？
SURPRISE_024 突然のことで頭が真っ白になった。
SURPRISE_025 奇跡みたいなことが本当に起きた。
SURPRISE_026 ひえっ、驚かさないでよ。
SURPRISE_027 こんな偶然があるのかと目を丸くしたよ。
SURPRISE_028 お前がここにいるとは思わなかった。
SURPRISE_029 わあ、すごい。
SURPRISE_030 予定外のハプニングにどう対応していいか分からない。
SURPRISE_031 そんな事実が隠されていたとは知らなかった。
SURPRISE_032 なんですって？
SURPRISE_033 まさかの逆転劇に鳥肌が立ったよ。
SURPRISE_034 先輩がそんなことを考えていたなんて意外です。
SURPRISE_035 おおっ、これは見事だ。
SURPRISE_036 衝撃的な告白に言葉を失ったよ。
SURPRISE_037 我が魔術でも説明がつかない現象が起きたのだ。
SURPRISE_038 腰が抜けるかと思った。
SURPRISE_039 え、もうそんな時間なの？
SURPRISE_040 あたし、今の状況がまだ飲み込めないんだけど。
SURPRISE_041 この展開は誰も予測していなかったよね。
SURPRISE_042 うわ、急に現れたから驚いたじゃないか。
SURPRISE_043 天地がひっくり返ったような気分だ。
SURPRISE_044 何だこれは、見たことがない光景だ。
SURPRISE_045 嬉しい驚きに満ちた一日だったね。
SURPRISE_046 冒険の途中でまさかの宝物を発見した。
SURPRISE_047 目を疑うような光景が広がっているんだ。
SURPRISE_048 へえ、そうだったのか、初めて知ったよ。
SURPRISE_049 驚きすぎて心臓がどきどきしている。
SURPRISE_050 こんな偶然は一生に一度あるかないかだよ。
SURPRISE_051 はあ？
SURPRISE_052 いきなり名前を呼ばれて飛び上がった。
SURPRISE_053 騎士の務めにおいてこのような奇跡を目撃するとは。
SURPRISE_054 普段大人しい子が急に大胆なことを言うから驚いた。
SURPRISE_055 朝起きたら雪が積もっていてびっくりしたよ。
SURPRISE_056 うそだろ。
SURPRISE_057 サプライズを仕掛けられて涙が出そうになった。
SURPRISE_058 こんなに変わるものなのかと驚嘆したよ。
SURPRISE_059 急にどうしたの、何があったの？
SURPRISE_060 おお、これは素晴らしい発明だな。
SURPRISE_061 夢の中でもないのにとんでもないことが起きた。
SURPRISE_062 まったく予期していなかったから動揺している。
SURPRISE_063 お嬢様、このような奇跡が起きるとは夢にも思いませんでした。
SURPRISE_064 常識を覆すような発見に心が震えているよ。
SURPRISE_065 ぽかんとしてしまった。
