id,character_style,intensity,punctuation,near_pair_group,scene
EXPLAIN_001,none,mid,。,P01,家で友人に紙箱を教える
EXPLAIN_002,none,weak,。,P01,工作室で子に箱作りを教える
EXPLAIN_003,none,strong,。,P02,台所で子にパンの切り方を教える
EXPLAIN_004,none,mid,。,P02,台所で友人にパンの切り方を教える
EXPLAIN_005,none,weak,。,,机で友人に紙の折り方を教える
EXPLAIN_006,none,mid,。,P03,教室で生徒に表を説明
EXPLAIN_007,none,weak,。,P03,机で後輩に表の読み方を教える
EXPLAIN_008,none,strong,。,P04,職場で後輩に整理を教える
EXPLAIN_009,none,mid,。,P04,家で子に片付けを教える
EXPLAIN_010,none,mid,。,P05,庭で友人に植え替えを教える
EXPLAIN_011,none,weak,。,P05,庭で家族に植え替えを教える
EXPLAIN_012,none,strong,。,P06,家で弟に要約を教える
EXPLAIN_013,none,mid,。,,台所で子に計量を教える
EXPLAIN_014,none,mid,。,P07,工作室で子に測り方を教える
EXPLAIN_015,none,mid,。,P06,教室で生徒に要約を教える
EXPLAIN_016,none,strong,。,P08,店で後輩に袋詰めを教える
EXPLAIN_017,none,weak,。,P07,工房で友人に測定を教える
EXPLAIN_018,none,mid,。,P09,家で客に茶の入れ方を教える
EXPLAIN_019,none,mid,。,P08,家で弟に袋詰めを教える
EXPLAIN_020,none,strong,！,,工房で仲間に確認を促す
EXPLAIN_021,none,strong,。,P10,職場で新人に記録整理を教える
EXPLAIN_022,none,weak,。,P09,台所で友人に茶の入れ方を教える
EXPLAIN_023,none,mid,。,P11,教室で生徒に混色を教える
EXPLAIN_024,none,mid,。,P10,職場で同僚に資料整理を教える
EXPLAIN_025,none,strong,。,P12,自宅で友人に音読を助言
EXPLAIN_026,none,weak,。,P11,工作室で子に色混ぜを教える
EXPLAIN_027,none,mid,。,P13,職場で後輩に布の畳み方を教える
EXPLAIN_028,none,weak,。,,庭で家族に水やりを教える
EXPLAIN_029,none,strong,。,P14,家で子にパズルを教える
EXPLAIN_030,none,mid,。,P12,教室で生徒に音読を教える
EXPLAIN_031,none,mid,。,P15,教室で仲間に記録照合を教える
EXPLAIN_032,none,weak,。,P13,家で家族に布の畳み方を教える
EXPLAIN_033,none,strong,。,P16,調理室で初心者に計量を教える
EXPLAIN_034,none,mid,。,P14,机で友人にパズルを教える
EXPLAIN_035,none,weak,。,,机で友人に書類の見出しを説明
EXPLAIN_036,none,mid,。,,教室で生徒に読み方を教える
EXPLAIN_037,none,weak,。,P15,職場で後輩に照合を教える
EXPLAIN_038,none,mid,。,,家で弟に箱の組み方を教える
EXPLAIN_039,none,mid,。,P16,台所で子に計量を教える
