id,character_style,intensity,length_chars,punctuation,phoneme_tags,near_pair_group,reading_ease_score
12_WHISPER_001,boy,mid,41,。,SOKUON;HATSUON;DAKUON,,4
12_WHISPER_002,girl,mid,41,？,YOUON;DAKUON,,4
12_WHISPER_003,maid,weak,42,。,YOUON;SOKUON;HATSUON;DAKUON,,4
12_WHISPER_004,cool,weak,40,。,HATSUON;DAKUON,,4
12_WHISPER_005,girl,weak,40,。,HATSUON;DAKUON,,4
12_WHISPER_006,friend,mid,46,。,YOUON;SOKUON;HATSUON;CHOON;DAKUON,,4
12_WHISPER_007,boy,mid,42,。,SOKUON;HATSUON;DAKUON,,4
12_WHISPER_008,maid,weak,41,？,YOUON;HATSUON;DAKUON,,4
12_WHISPER_009,cool,weak,44,。,YOUON;SOKUON;HATSUON;DAKUON,,4
12_WHISPER_010,friend,mid,37,。,YOUON;SOKUON;HATSUON;DAKUON,,4
12_WHISPER_011,boy,weak,39,？,SOKUON;HATSUON;DAKUON,,4
12_WHISPER_012,girl,mid,37,。,YOUON;SOKUON;DAKUON,,4
12_WHISPER_013,cool,weak,42,。,SOKUON;HATSUON;CHOON;DAKUON,,4
12_WHISPER_014,friend,mid,40,。,YOUON;SOKUON;HATSUON;DAKUON,,4
12_WHISPER_015,maid,weak,44,。,SOKUON;HATSUON;DAKUON,,4
12_WHISPER_016,boy,mid,35,。,SOKUON;HATSUON;DAKUON;HANDAKUON,,4
12_WHISPER_017,girl,mid,42,。,SOKUON;DAKUON,,4
12_WHISPER_018,cool,weak,39,？,SOKUON;HATSUON;DAKUON,,4
12_WHISPER_019,friend,mid,41,。,SOKUON;HATSUON;DAKUON,,4
12_WHISPER_020,maid,weak,43,。,YOUON;SOKUON;HATSUON;DAKUON,,4
12_WHISPER_021,boy,mid,40,。,YOUON;SOKUON;HATSUON;DAKUON,,4
12_WHISPER_022,girl,mid,35,。,YOUON;SOKUON;HATSUON;CHOON;DAKUON;HANDAKUON;GAIRAION,,4
12_WHISPER_023,cool,weak,39,？,YOUON;SOKUON;DAKUON,,4
12_WHISPER_024,friend,mid,43,。,YOUON;SOKUON;HATSUON;DAKUON,,4
12_WHISPER_025,maid,weak,41,？,YOUON;SOKUON;DAKUON,,4
12_WHISPER_026,boy,mid,40,。,YOUON;SOKUON;DAKUON,,4
12_WHISPER_027,girl,weak,31,。,HATSUON;DAKUON,,4
12_WHISPER_028,cool,weak,43,。,YOUON;HATSUON;CHOON;DAKUON;HANDAKUON,,4
12_WHISPER_029,friend,mid,40,？,SOKUON;HATSUON;DAKUON,,4
12_WHISPER_030,maid,weak,42,。,YOUON;SOKUON;HATSUON;DAKUON,,4
12_WHISPER_031,boy,mid,35,。,DAKUON,,4
12_WHISPER_032,girl,mid,41,。,YOUON;SOKUON;DAKUON,,4
12_WHISPER_033,cool,weak,37,？,YOUON;DAKUON,,4
12_WHISPER_034,friend,mid,37,。,YOUON;SOKUON;HATSUON;DAKUON,,4
12_WHISPER_035,maid,weak,44,。,YOUON;SOKUON;DAKUON,,4
12_WHISPER_036,boy,mid,39,。,YOUON;SOKUON;HATSUON;CHOON;DAKUON,,4
12_WHISPER_037,girl,mid,35,。,YOUON;SOKUON;HATSUON;DAKUON,,4
12_WHISPER_038,cool,weak,45,。,YOUON;SOKUON;HATSUON;CHOON;DAKUON;HANDAKUON;GAIRAION,,4
12_WHISPER_039,friend,mid,38,。,YOUON;SOKUON;CHOON;DAKUON,,4
12_WHISPER_040,maid,weak,40,？,SOKUON;HATSUON;CHOON;DAKUON;HANDAKUON,,4
12_WHISPER_041,girl,mid,43,。,SOKUON;DAKUON,,4
12_WHISPER_042,boy,weak,42,。,YOUON;SOKUON;HATSUON;DAKUON,,4
12_WHISPER_043,maid,mid,46,。,YOUON;SOKUON;HATSUON;DAKUON,,4
12_WHISPER_044,cool,weak,44,。,YOUON;SOKUON;HATSUON;CHOON;DAKUON;GAIRAION,,4
12_WHISPER_045,friend,mid,42,。,SOKUON;DAKUON;HANDAKUON,,4
12_WHISPER_046,boy,mid,44,。,SOKUON;HATSUON;CHOON;DAKUON,,4
12_WHISPER_047,cool,strong,42,。,SOKUON;HATSUON;DAKUON,,4
12_WHISPER_048,maid,weak,44,。,YOUON;SOKUON;DAKUON,,4
12_WHISPER_049,girl,weak,41,。,YOUON;SOKUON;HATSUON;DAKUON,,4
12_WHISPER_050,friend,mid,43,。,HATSUON;DAKUON,,4
12_WHISPER_051,boy,mid,44,。,SOKUON;HATSUON;DAKUON;HANDAKUON,,4
12_WHISPER_052,girl,mid,44,。,YOUON;SOKUON;HATSUON;CHOON;DAKUON,,4
12_WHISPER_053,cool,weak,46,。,YOUON;SOKUON;HATSUON;CHOON;DAKUON;HANDAKUON;GAIRAION,,4
12_WHISPER_054,friend,mid,44,。,YOUON;SOKUON;HATSUON;DAKUON,,4
12_WHISPER_055,maid,weak,47,。,YOUON;HATSUON;DAKUON,,4
12_WHISPER_056,boy,mid,38,。,SOKUON;HATSUON;DAKUON;HANDAKUON,,4
12_WHISPER_057,girl,mid,45,。,YOUON;SOKUON;HATSUON;CHOON;DAKUON,,4
12_WHISPER_058,cool,weak,47,。,HATSUON;CHOON;DAKUON,,4
12_WHISPER_059,friend,mid,35,？,YOUON;SOKUON;HATSUON;DAKUON,,4
12_WHISPER_060,maid,weak,45,。,SOKUON;HATSUON;DAKUON,,4
12_WHISPER_061,boy,mid,32,？,YOUON;SOKUON;HATSUON;DAKUON,,4
12_WHISPER_062,girl,mid,39,？,YOUON;SOKUON;HATSUON;CHOON;DAKUON,,4
12_WHISPER_063,cool,weak,37,。,YOUON;SOKUON;HATSUON;DAKUON;HANDAKUON,,4
12_WHISPER_064,friend,mid,38,。,YOUON;SOKUON;HATSUON;DAKUON,,4
12_WHISPER_065,maid,weak,39,。,YOUON;SOKUON;HATSUON;CHOON;DAKUON,,4
12_WHISPER_066,boy,mid,38,。,YOUON;SOKUON;HATSUON;DAKUON,,4
12_WHISPER_067,girl,weak,38,。,HATSUON;DAKUON,,4
12_WHISPER_068,cool,weak,40,。,HATSUON;CHOON;DAKUON;HANDAKUON,,4
12_WHISPER_069,friend,mid,39,。,YOUON;SOKUON;DAKUON,,4
12_WHISPER_070,maid,weak,45,。,YOUON;HATSUON;DAKUON,,4
12_WHISPER_071,boy,mid,38,。,CHOON;DAKUON,,4
12_WHISPER_072,girl,mid,40,？,SOKUON;HATSUON;DAKUON,,4
12_WHISPER_073,cool,weak,39,？,YOUON;DAKUON,,4
12_WHISPER_074,friend,mid,39,。,YOUON;SOKUON;HATSUON;DAKUON,,4
12_WHISPER_075,maid,weak,47,。,YOUON;HATSUON;DAKUON,,4
12_WHISPER_076,boy,mid,43,。,YOUON;SOKUON;HATSUON;CHOON;DAKUON,,4
12_WHISPER_077,girl,mid,46,？,YOUON;SOKUON;HATSUON;DAKUON,,4
12_WHISPER_078,cool,weak,42,。,YOUON;SOKUON;HATSUON;DAKUON,,4
12_WHISPER_079,friend,mid,43,。,YOUON;SOKUON;CHOON;DAKUON,,4
12_WHISPER_080,maid,weak,38,。,SOKUON;HATSUON;DAKUON;HANDAKUON,,4
12_WHISPER_081,girl,mid,44,。,DAKUON,,4
12_WHISPER_082,boy,weak,46,。,SOKUON;HATSUON;DAKUON,,4
12_WHISPER_083,maid,mid,47,。,YOUON;SOKUON;HATSUON;DAKUON,,4
12_WHISPER_084,cool,weak,42,。,YOUON;SOKUON;HATSUON;CHOON;DAKUON,,4
12_WHISPER_085,friend,mid,46,。,YOUON;SOKUON;HATSUON;DAKUON,,4
12_WHISPER_086,boy,mid,44,。,YOUON;SOKUON;HATSUON;CHOON;DAKUON,,4
12_WHISPER_087,cool,strong,46,。,SOKUON;HATSUON;DAKUON,,4
12_WHISPER_088,maid,weak,46,。,HATSUON;CHOON;DAKUON,,4
12_WHISPER_089,girl,weak,46,。,SOKUON;HATSUON;DAKUON,,4
12_WHISPER_090,friend,mid,40,。,YOUON;SOKUON;HATSUON;DAKUON,,4
12_WHISPER_091,boy,mid,44,。,HATSUON;DAKUON,,4
12_WHISPER_092,girl,mid,42,。,YOUON;SOKUON;HATSUON;DAKUON;HANDAKUON,,4
12_WHISPER_093,cool,weak,44,。,YOUON;SOKUON;HATSUON;CHOON;DAKUON,,4
12_WHISPER_094,friend,mid,40,。,YOUON;SOKUON;HATSUON;DAKUON,,4
12_WHISPER_095,maid,weak,50,。,YOUON;HATSUON;CHOON;DAKUON,,4
12_WHISPER_096,boy,mid,40,。,SOKUON;HATSUON;DAKUON;HANDAKUON,,4
12_WHISPER_097,girl,mid,41,。,YOUON;SOKUON;HATSUON;DAKUON,,4
12_WHISPER_098,cool,weak,43,。,HATSUON;DAKUON,,4
12_WHISPER_099,friend,mid,38,？,YOUON;SOKUON;HATSUON;DAKUON,,4
12_WHISPER_100,maid,weak,47,。,YOUON;HATSUON;DAKUON,,4
12_WHISPER_101,boy,mid,33,？,YOUON;SOKUON;HATSUON;DAKUON,,4
12_WHISPER_102,girl,mid,38,？,YOUON;SOKUON;HATSUON;DAKUON;HANDAKUON,,4
12_WHISPER_103,cool,weak,41,。,YOUON;SOKUON;HATSUON;DAKUON;HANDAKUON,,4
12_WHISPER_104,friend,mid,38,。,YOUON;SOKUON;HATSUON;DAKUON,,4
