06_CONTEMPT_001 ふん、その程度の魔法で私の結界が破れるとでも本気で思っているのかね。
06_CONTEMPT_002 ちっ、こんな小石につまずいて転ぶなんて、お前は本当にどんくさい奴だな。
06_CONTEMPT_003 あら、あなたみたいな下賤な者が、この私に話しかけるなんて図星が過ぎるわ。
06_CONTEMPT_004 くだらない。そんな子供騙しの剣術で、俺に勝つつもりだったというのか。
06_CONTEMPT_005 へぇ、それが一生懸命絞り出した言い訳？あまりにもお粗末すぎて笑えるよ。
06_CONTEMPT_006 おいおい、たったこれだけの荷物も運べないなんて、情けないにもほどがあるぞ。
06_CONTEMPT_007 ふふっ、あなたのその惨めな姿、見るだけで吐き気がしてきますわ。
06_CONTEMPT_008 全く……こんな簡単な計算すら間違えるとは、君の頭の中はどうなっているんだ。
06_CONTEMPT_009 お前みたいな弱虫が、この戦場にのこのこ出てくるんじゃねえよ、足手まといだ。
06_CONTEMPT_010 馬鹿ね……そんな作り話、誰が本気で信じると思ったのかしら。
06_CONTEMPT_011 けっ、どうせお前なんて、親のスネをかじるしか能のないクズ野郎だろうが。
06_CONTEMPT_012 そんなゴミみたいなプライド、さっさと捨てて地に這いつくばって謝ったらどう？
06_CONTEMPT_013 ふんっ、この古びたガラクタが宝物だと？お前の目は節穴にも程があるな。
06_CONTEMPT_014 見苦しい。敗者の分際で、いけしゃあしゃあと命乞いをする気か。
06_CONTEMPT_015 はっ！その程度の金札で俺を買収しようなんて、ずいぶんと安く見られたもんだ。
06_CONTEMPT_016 あんたのその見え透いた嘘、聞いてるこっちが恥ずかしくなってくるわ。
06_CONTEMPT_017 ちっ……何度説明しても理解できないなんて、本当に救いようのない馬鹿だな。
06_CONTEMPT_018 ふん、お前のような虫ケラに、この神聖な剣を振るう資格などあるものか。
06_CONTEMPT_019 どうでもいいわ。あなたのような小物の名前なんて、覚える価値もないから。
06_CONTEMPT_020 おい、俺の前に立つな。お前の薄汚い顔を見ると、飯が不味くなるんだよ。
06_CONTEMPT_021 へぇ……結局最後はそうやって、他人のせいにして逃げるんだ。最低だね。
06_CONTEMPT_022 おや、まだそんな古臭い道具を使っているのですか？時代遅れもいいところです。
06_CONTEMPT_023 馬鹿げている。そんな非科学的なお呪いなんて、今すぐ捨てるんだな。
06_CONTEMPT_024 ちっ、お前みたいな貧乏人が、オレ様と同じ空気を吸ってると思うだけで虫唾が走る。
06_CONTEMPT_025 ふんっ。その程度の怪我で大騒ぎするなんて、お前は本当に赤ん坊みたいな奴だな。
06_CONTEMPT_026 あら、その時代錯誤なドレス、どこかのボロ市で拾ってきたのかしら？
06_CONTEMPT_027 くだらん。貴様のような半端者に、この究極の武境を理解できるはずがない。
06_CONTEMPT_028 おいおい、そのザマは何だ？負け犬の遠吠えにもなってないぜ。
06_CONTEMPT_029 ふははっ！たった数人に囲まれただけで震え上がるとは、お笑い草だな。
06_CONTEMPT_030 なんだその目は。お前ごときが、この俺に逆らえるとでも思っているのか？
06_CONTEMPT_031 全く、何度言ったら分かるの。あなたは本当に学習能力というものがないのね。
06_CONTEMPT_032 けっ。口では偉そうなこと言ってても、いざとなれば逃げ出すくせにな。
06_CONTEMPT_033 ふん。その貧相な体で、一体誰を守れるって言うんだい？笑わせるなよ。
06_CONTEMPT_034 信じられない。あなたみたいな無能な人間が、まだこの組織に居座っていたなんて。
06_CONTEMPT_035 お黙りなさい！あなたのような下働きの分際で、口出しするなど百年早いですわ！
06_CONTEMPT_036 ちっ、なんだその情けない顔は。見てるこっちがイライラしてくるぜ。
06_CONTEMPT_037 へぇ……それがお前の全力？あまりの弱さに欠伸が出そうなんだけど。
06_CONTEMPT_038 いい加減にしてくれないか。お前のそのくだらない妄想にはもううんざりだ。
06_CONTEMPT_039 ふんっ。お前みたいな裏切り者、誰が信用するかって言うんだよ。
06_CONTEMPT_040 あら、あなたって本当に何も知らないのね。無知って罪だとは思わない？
06_CONTEMPT_041 くだらない。そんなつまらない挑発に乗るほど、俺は馬鹿じゃない。
06_CONTEMPT_042 おいおい、泣いて謝れば済むとでも思ってるのか？お前の頭はお花畑だな。
06_CONTEMPT_043 ふははっ。見ろよあの怯えたツラ。本当に見苦しいネズミそっくりだぜ。
06_CONTEMPT_044 全く……こんなゴミの山みたいな場所で、よく平気でご飯が食べられるわね。
06_CONTEMPT_045 けっ。お前みたいなゴマすり野郎、見てるだけで虫唾が走るんだよ。
06_CONTEMPT_046 ふん。その薄汚れた手で、私に触れようなどと二度と考えるな。
06_CONTEMPT_047 信じられないわ……自分の失敗を他人に押し付けるなんて、最低のクズね。
06_CONTEMPT_048 お黙りっ！あなたのような卑しい泥棒の言い訳など、誰が聞くというのです！
06_CONTEMPT_049 ちっ、なんだよその態度は。こっちはお前を助けてやったってのに。
06_CONTEMPT_050 へぇ……結局お前も、金で簡単に寝返るような安い人間だったってわけだ。
06_CONTEMPT_051 いい加減にしなさい！あなたのその無様な剣術、道場の恥ですわ！
06_CONTEMPT_052 ふんっ。お前みたいな才能の欠片もない奴が、努力したところで無駄なんだよ。
06_CONTEMPT_053 ふん、あなたがどれだけ言い訳を並べようと、その薄汚い本性は隠せませんわよ。
06_CONTEMPT_054 ちっ、そんなくだらない罠で俺を出し抜けるとでも思ったのか。甘すぎるぜ。
06_CONTEMPT_055 あら、あなたみたいなゴミ虫に、この私が同情するとでも思っていて？
06_CONTEMPT_056 くだらない。お前のような臆病者に、これ以上語るべき言葉など存在しない。
06_CONTEMPT_057 へぇ、それがお前なりの必死の抵抗ってわけ？まるで赤ん坊の泣き声だな。
06_CONTEMPT_058 おいおい、こんな簡単な任務すら失敗するなんて、お前は本当に人間のクズだな。
06_CONTEMPT_059 ふふっ、その怯えきった顔、本当に滑稽で素晴らしい見世物になっていますわ。
06_CONTEMPT_060 全く……こんな初歩的な魔術で自爆するとは、阿呆も極まるとはこのことだな。
06_CONTEMPT_061 お前みたいな嘘吐き野郎の言葉なんか、便所の落書きほどの価値もないぞ。
06_CONTEMPT_062 馬鹿ね……あなたのお遊戯みたいな作戦で、この城が落ちるとでも本気で信じていたの？
06_CONTEMPT_063 けっ、どうせお前のような寄生虫は、人の不幸を吸って生きるしか能がないんだろ。
06_CONTEMPT_064 そんなドブネズミみたいな卑屈な態度、見ているだけでこちらの品位が下がるわ。
06_CONTEMPT_065 ふんっ、この程度の偽札で私を騙そうなどと、片腹痛くて笑いも出ないな。
06_CONTEMPT_066 見苦しい。貴様のようなゴロツキは、さっさとその泥水の中で溺れて死ねばいい。
06_CONTEMPT_067 はっ！その程度の安っぽい芝居で、俺の同情を引けるとでも思ったか、間抜け。
06_CONTEMPT_068 あんたのその吐き気を催すようなごますり、聞いてるこっちが恥死しそうよ。
