id,character_style,intensity,length_chars,punctuation,phoneme_tags,near_pair_group,reading_ease_score
13_LAZY_001,girl,weak,42,。,YOUON;HATSUON;DAKUON,,4
13_LAZY_002,boy,mid,45,。,YOUON;SOKUON;HATSUON;DAKUON,,4
13_LAZY_003,maid,mid,45,。,YOUON;SOKUON;HATSUON;CHOON;DAKUON,,4
13_LAZY_004,cool,weak,49,。,YOUON;HATSUON;CHOON;DAKUON,,4
13_LAZY_005,friend,mid,46,。,YOUON;SOKUON;HATSUON;CHOON;DAKUON,,4
13_LAZY_006,boy,mid,47,。,YOUON;HATSUON;CHOON;DAKUON,,4
13_LAZY_007,cool,weak,49,。,HATSUON;CHOON;DAKUON,,4
13_LAZY_008,maid,weak,46,。,YOUON;HATSUON;CHOON;DAKUON,,4
13_LAZY_009,girl,weak,48,。,HATSUON;DAKUON,,4
13_LAZY_010,friend,mid,42,。,YOUON;HATSUON;DAKUON;HANDAKUON,,4
13_LAZY_011,girl,mid,42,。,CHOON;DAKUON,,4
13_LAZY_012,boy,mid,45,。,YOUON;SOKUON;HATSUON;DAKUON;GAIRAION,,4
13_LAZY_013,cool,weak,44,。,YOUON;SOKUON;HATSUON;CHOON;DAKUON,,4
13_LAZY_014,friend,mid,46,。,SOKUON;HATSUON;DAKUON,,4
13_LAZY_015,maid,weak,47,。,YOUON;SOKUON;HATSUON;CHOON;DAKUON;HANDAKUON,,4
13_LAZY_016,boy,mid,44,。,YOUON;SOKUON;HATSUON;CHOON;DAKUON,,4
13_LAZY_017,girl,mid,46,。,YOUON;SOKUON;HATSUON;DAKUON,,4
13_LAZY_018,cool,weak,45,。,SOKUON;HATSUON;CHOON;DAKUON;HANDAKUON,,4
13_LAZY_019,friend,mid,46,。,YOUON;HATSUON;CHOON;DAKUON,,4
13_LAZY_020,maid,weak,48,。,YOUON;SOKUON;HATSUON;CHOON;DAKUON,,4
13_LAZY_021,girl,mid,47,。,SOKUON;HATSUON;DAKUON,,4
13_LAZY_022,boy,mid,42,。,YOUON;SOKUON;HATSUON;DAKUON,,4
13_LAZY_023,cool,weak,48,。,YOUON;SOKUON;HATSUON;CHOON;DAKUON;HANDAKUON,,4
13_LAZY_024,friend,mid,48,。,YOUON;SOKUON;HATSUON;CHOON;DAKUON;GAIRAION,,4
13_LAZY_025,maid,weak,42,。,YOUON;SOKUON;HATSUON;CHOON;DAKUON,,4
13_LAZY_026,boy,mid,42,。,YOUON;SOKUON;HATSUON;CHOON;DAKUON,,4
13_LAZY_027,girl,mid,41,。,HATSUON;CHOON;DAKUON,,4
13_LAZY_028,cool,weak,44,。,YOUON;HATSUON;CHOON;DAKUON,,4
13_LAZY_029,friend,mid,44,？,SOKUON;HATSUON;CHOON;DAKUON,,4
13_LAZY_030,maid,weak,44,。,YOUON;SOKUON;HATSUON;CHOON;DAKUON,,4
13_LAZY_031,girl,weak,45,。,YOUON;HATSUON;DAKUON;GAIRAION,,4
13_LAZY_032,boy,mid,39,。,YOUON;SOKUON;HATSUON;DAKUON;HANDAKUON,,4
13_LAZY_033,cool,weak,46,。,YOUON;SOKUON;HATSUON;CHOON;DAKUON,,4
13_LAZY_034,friend,mid,48,。,YOUON;SOKUON;HATSUON;DAKUON,,4
13_LAZY_035,maid,weak,42,。,YOUON;SOKUON;HATSUON;CHOON;DAKUON,,4
13_LAZY_036,boy,mid,47,。,YOUON;SOKUON;HATSUON;DAKUON;HANDAKUON,,4
13_LAZY_037,girl,mid,47,。,YOUON;CHOON;DAKUON,,4
13_LAZY_038,cool,weak,44,。,SOKUON;HATSUON;CHOON;DAKUON,,4
13_LAZY_039,friend,mid,45,？,YOUON;SOKUON;HATSUON;CHOON;DAKUON,,4
13_LAZY_040,maid,weak,45,？,YOUON;SOKUON;HATSUON;CHOON;DAKUON;HANDAKUON,,4
13_LAZY_041,girl,weak,44,。,YOUON;SOKUON;HATSUON;DAKUON,,4
13_LAZY_042,boy,mid,52,。,YOUON;SOKUON;HATSUON;CHOON;DAKUON,,4
13_LAZY_043,maid,mid,47,。,YOUON;SOKUON;HATSUON;CHOON;DAKUON,,4
13_LAZY_044,cool,weak,47,。,YOUON;SOKUON;HATSUON;CHOON;DAKUON;HANDAKUON,,4
13_LAZY_045,friend,mid,41,？,YOUON;HATSUON;CHOON;DAKUON,,4
13_LAZY_046,boy,mid,39,。,YOUON;HATSUON;CHOON;DAKUON,,4
13_LAZY_047,cool,weak,45,。,YOUON;CHOON;DAKUON,,4
13_LAZY_048,maid,weak,45,。,YOUON;HATSUON;CHOON;DAKUON,,4
13_LAZY_049,girl,weak,39,。,YOUON;SOKUON;HATSUON;DAKUON;HANDAKUON,,4
13_LAZY_050,friend,mid,48,。,YOUON;SOKUON;HATSUON;CHOON;DAKUON;HANDAKUON,,4
13_LAZY_051,girl,mid,38,。,HATSUON;CHOON;DAKUON,,4
13_LAZY_052,boy,mid,44,。,YOUON;CHOON;DAKUON;GAIRAION,,4
13_LAZY_053,cool,weak,42,。,YOUON;HATSUON;CHOON;DAKUON,,4
13_LAZY_054,friend,mid,44,。,YOUON;HATSUON;CHOON;DAKUON,,4
13_LAZY_055,maid,weak,48,。,YOUON;SOKUON;HATSUON;CHOON;DAKUON;HANDAKUON,,4
13_LAZY_056,boy,mid,44,。,YOUON;HATSUON;DAKUON,,4
13_LAZY_057,girl,mid,46,。,YOUON;HATSUON;DAKUON,,4
13_LAZY_058,cool,weak,41,。,YOUON;SOKUON;HATSUON;CHOON;DAKUON,,4
13_LAZY_059,friend,mid,46,。,YOUON;SOKUON;HATSUON;CHOON;DAKUON;HANDAKUON,,4
13_LAZY_060,maid,weak,40,。,YOUON;SOKUON;CHOON;DAKUON,,4
13_LAZY_061,girl,mid,51,。,YOUON;SOKUON;HATSUON;DAKUON,,4
13_LAZY_062,boy,mid,46,。,YOUON;SOKUON;HATSUON;DAKUON,,4
13_LAZY_063,cool,weak,41,。,YOUON;SOKUON;HATSUON;CHOON;DAKUON;HANDAKUON,,4
13_LAZY_064,friend,mid,47,。,YOUON;SOKUON;HATSUON;CHOON;DAKUON;GAIRAION,,4
13_LAZY_065,maid,weak,47,。,YOUON;SOKUON;HATSUON;CHOON;DAKUON,,4
13_LAZY_066,boy,mid,43,。,YOUON;SOKUON;HATSUON;CHOON;DAKUON,,4
13_LAZY_067,girl,mid,41,。,SOKUON;HATSUON;DAKUON,,4
13_LAZY_068,cool,weak,44,。,YOUON;SOKUON;HATSUON;CHOON;DAKUON,,4
13_LAZY_069,friend,mid,45,。,SOKUON;HATSUON;CHOON;DAKUON,,4
13_LAZY_070,maid,weak,44,。,YOUON;HATSUON;CHOON;DAKUON,,4
13_LAZY_071,girl,weak,41,。,YOUON;SOKUON;HATSUON;DAKUON;HANDAKUON;GAIRAION,,4
13_LAZY_072,boy,mid,40,。,YOUON;HATSUON;DAKUON,,4
13_LAZY_073,cool,weak,48,。,SOKUON;CHOON;DAKUON,,4
13_LAZY_074,friend,mid,51,。,YOUON;SOKUON;HATSUON;DAKUON,,4
13_LAZY_075,maid,weak,45,。,YOUON;SOKUON;HATSUON;CHOON;DAKUON,,4
13_LAZY_076,boy,mid,50,。,YOUON;SOKUON;HATSUON;DAKUON,,4
13_LAZY_077,girl,mid,53,。,YOUON;HATSUON;CHOON;DAKUON,,4
13_LAZY_078,cool,weak,42,。,SOKUON;CHOON;DAKUON,,4
13_LAZY_079,friend,mid,41,。,YOUON;SOKUON;HATSUON;CHOON;DAKUON,,4
13_LAZY_080,maid,weak,46,？,YOUON;SOKUON;HATSUON;CHOON;DAKUON,,4
13_LAZY_081,girl,weak,43,。,YOUON;SOKUON;HATSUON;DAKUON;HANDAKUON,,4
13_LAZY_082,boy,mid,46,。,YOUON;HATSUON;DAKUON,,4
13_LAZY_083,maid,mid,48,。,YOUON;SOKUON;HATSUON;CHOON;DAKUON;GAIRAION,,4
13_LAZY_084,cool,weak,46,。,YOUON;SOKUON;HATSUON;CHOON;DAKUON,,4
13_LAZY_085,friend,mid,43,。,YOUON;SOKUON;HATSUON;CHOON;DAKUON,,4
13_LAZY_086,boy,mid,48,。,YOUON;HATSUON;CHOON;DAKUON;HANDAKUON,,4
13_LAZY_087,cool,weak,43,。,SOKUON;HATSUON;CHOON;DAKUON,,4
13_LAZY_088,maid,weak,47,。,YOUON;SOKUON;HATSUON;CHOON;DAKUON;HANDAKUON,,4
13_LAZY_089,girl,weak,43,。,YOUON;SOKUON;HATSUON;DAKUON;HANDAKUON,,4
13_LAZY_090,friend,mid,45,。,YOUON;SOKUON;HATSUON;CHOON;DAKUON;HANDAKUON,,4
13_LAZY_091,girl,mid,42,。,YOUON;HATSUON;CHOON;DAKUON,,4
13_LAZY_092,boy,mid,52,。,YOUON;SOKUON;HATSUON;DAKUON;GAIRAION,,4
13_LAZY_093,cool,weak,38,。,YOUON;SOKUON;CHOON;DAKUON,,4
13_LAZY_094,friend,mid,45,。,YOUON;SOKUON;HATSUON;DAKUON,,4
13_LAZY_095,maid,weak,46,。,YOUON;SOKUON;HATSUON;CHOON;DAKUON,,4
13_LAZY_096,boy,mid,45,。,YOUON;SOKUON;HATSUON;DAKUON,,4
13_LAZY_097,girl,mid,41,。,YOUON;SOKUON;HATSUON;DAKUON,,4
13_LAZY_098,cool,weak,41,。,YOUON;SOKUON;HATSUON;CHOON;DAKUON;HANDAKUON,,4
13_LAZY_099,friend,mid,39,。,YOUON;SOKUON;HATSUON;CHOON;DAKUON,,4
13_LAZY_100,maid,weak,46,。,YOUON;SOKUON;HATSUON;CHOON;DAKUON,,4
13_LAZY_101,girl,mid,41,。,YOUON;HATSUON;CHOON;DAKUON;HANDAKUON;GAIRAION,,4
13_LAZY_102,boy,mid,42,。,YOUON;SOKUON;DAKUON,,4
13_LAZY_103,cool,weak,42,。,CHOON;DAKUON,,4
13_LAZY_104,friend,mid,43,。,YOUON;SOKUON;HATSUON;CHOON;DAKUON;GAIRAION,,4
13_LAZY_105,maid,weak,46,。,YOUON;SOKUON;HATSUON;CHOON;DAKUON,,4
13_LAZY_106,boy,mid,41,。,YOUON;HATSUON;CHOON;DAKUON,,4
13_LAZY_107,girl,mid,49,。,YOUON;SOKUON;HATSUON;DAKUON;HANDAKUON,,4
13_LAZY_108,cool,weak,45,。,YOUON;SOKUON;HATSUON;CHOON;DAKUON,,4
13_LAZY_109,friend,mid,51,。,SOKUON;HATSUON;CHOON;DAKUON,,4
13_LAZY_110,maid,weak,42,。,YOUON;HATSUON;CHOON;DAKUON,,4
13_LAZY_111,girl,weak,48,。,YOUON;SOKUON;HATSUON;DAKUON;GAIRAION,,4
13_LAZY_112,boy,mid,42,。,YOUON;HATSUON;CHOON;DAKUON,,4
13_LAZY_113,cool,weak,48,。,YOUON;CHOON;DAKUON;HANDAKUON;GAIRAION,,4
13_LAZY_114,friend,mid,50,。,YOUON;SOKUON;HATSUON;DAKUON,,4
13_LAZY_115,maid,weak,49,。,YOUON;SOKUON;HATSUON;CHOON;DAKUON,,4
13_LAZY_116,boy,mid,54,。,YOUON;SOKUON;HATSUON;DAKUON,,4
13_LAZY_117,girl,mid,45,。,YOUON;CHOON;DAKUON,,4
13_LAZY_118,cool,weak,40,。,YOUON;SOKUON;HATSUON;CHOON;DAKUON,,4
13_LAZY_119,friend,mid,50,。,YOUON;SOKUON;HATSUON;CHOON;DAKUON,,4
13_LAZY_120,maid,weak,50,？,YOUON;SOKUON;HATSUON;CHOON;DAKUON,,4
13_LAZY_121,girl,weak,45,。,YOUON;SOKUON;HATSUON;DAKUON;HANDAKUON,,4
13_LAZY_122,boy,mid,46,。,YOUON;SOKUON;HATSUON;CHOON;DAKUON;HANDAKUON;GAIRAION,,4
13_LAZY_123,maid,mid,50,。,YOUON;SOKUON;HATSUON;CHOON;DAKUON,,4
13_LAZY_124,cool,weak,49,。,YOUON;SOKUON;HATSUON;CHOON;DAKUON,,4
13_LAZY_125,friend,mid,47,。,YOUON;HATSUON;CHOON;DAKUON,,4
13_LAZY_126,boy,mid,46,。,YOUON;SOKUON;HATSUON;CHOON;DAKUON,,4
13_LAZY_127,cool,weak,47,。,YOUON;SOKUON;CHOON;DAKUON,,4
13_LAZY_128,maid,weak,46,。,YOUON;HATSUON;CHOON;DAKUON,,4
13_LAZY_129,girl,weak,46,。,YOUON;HATSUON;DAKUON;HANDAKUON,,4
13_LAZY_130,friend,mid,46,。,YOUON;HATSUON;DAKUON,,4
13_LAZY_131,girl,mid,46,。,YOUON;SOKUON;CHOON;DAKUON;GAIRAION,,4
13_LAZY_132,boy,mid,52,。,YOUON;SOKUON;HATSUON;CHOON;DAKUON;GAIRAION,,4
13_LAZY_133,cool,weak,45,。,SOKUON;HATSUON;CHOON;DAKUON,,4
13_LAZY_134,friend,mid,46,。,DAKUON,,4
13_LAZY_135,maid,weak,46,。,YOUON;SOKUON;HATSUON;CHOON;DAKUON,,4
13_LAZY_136,boy,mid,47,。,YOUON;SOKUON;HATSUON;DAKUON,,4
13_LAZY_137,girl,mid,48,。,YOUON;HATSUON;DAKUON,,4
13_LAZY_138,cool,weak,43,。,YOUON;SOKUON;HATSUON;CHOON;DAKUON,,4
13_LAZY_139,friend,mid,46,。,YOUON;SOKUON;HATSUON;CHOON;DAKUON,,4
13_LAZY_140,maid,weak,45,。,YOUON;SOKUON;HATSUON;CHOON;DAKUON;HANDAKUON,,4
13_LAZY_141,girl,mid,44,。,YOUON;HATSUON;CHOON;DAKUON,,4
13_LAZY_142,boy,mid,49,。,YOUON;SOKUON;HATSUON;DAKUON,,4
13_LAZY_143,cool,weak,42,。,YOUON;HATSUON;CHOON;DAKUON,,4
13_LAZY_144,friend,mid,48,。,YOUON;SOKUON;HATSUON;CHOON;DAKUON;HANDAKUON;GAIRAION,,4
13_LAZY_145,maid,weak,46,。,YOUON;SOKUON;HATSUON;CHOON;DAKUON,,4
13_LAZY_146,boy,mid,43,。,YOUON;HATSUON;CHOON;DAKUON,,4
13_LAZY_147,girl,mid,49,。,YOUON;SOKUON;HATSUON;CHOON;DAKUON,,4
13_LAZY_148,cool,weak,42,。,YOUON;SOKUON;HATSUON;CHOON;DAKUON,,4
13_LAZY_149,friend,mid,48,。,YOUON;SOKUON;HATSUON;CHOON;DAKUON,,4
13_LAZY_150,maid,weak,43,。,YOUON;SOKUON;HATSUON;CHOON;DAKUON,,4
13_LAZY_151,girl,weak,50,。,YOUON;SOKUON;HATSUON;DAKUON;HANDAKUON;GAIRAION,,4
13_LAZY_152,boy,mid,51,。,YOUON;SOKUON;HATSUON;DAKUON,,4
13_LAZY_153,cool,weak,50,。,HATSUON;CHOON;DAKUON,,4
13_LAZY_154,friend,mid,51,。,YOUON;SOKUON;HATSUON;DAKUON;HANDAKUON,,4
13_LAZY_155,maid,weak,44,。,YOUON;SOKUON;HATSUON;CHOON;DAKUON;HANDAKUON,,4
13_LAZY_156,boy,mid,51,。,YOUON;SOKUON;HATSUON;DAKUON,,4
13_LAZY_157,girl,mid,47,。,YOUON;HATSUON;CHOON;DAKUON,,4
13_LAZY_158,cool,weak,44,。,SOKUON;CHOON;DAKUON;HANDAKUON,,4
13_LAZY_159,friend,mid,52,。,YOUON;SOKUON;HATSUON;CHOON;DAKUON,,4
13_LAZY_160,maid,weak,45,？,YOUON;SOKUON;HATSUON;CHOON;DAKUON,,4
13_LAZY_161,girl,weak,51,。,YOUON;SOKUON;HATSUON;DAKUON;HANDAKUON,,4
13_LAZY_162,boy,mid,51,。,YOUON;SOKUON;HATSUON;DAKUON;HANDAKUON,,4
13_LAZY_163,maid,mid,43,。,YOUON;SOKUON;HATSUON;CHOON;DAKUON;HANDAKUON,,4
13_LAZY_164,cool,weak,48,。,SOKUON;HATSUON;CHOON;DAKUON,,4
13_LAZY_165,friend,mid,48,。,YOUON;HATSUON;CHOON;DAKUON,,4
13_LAZY_166,boy,mid,48,。,YOUON;SOKUON;HATSUON;CHOON;DAKUON,,4
13_LAZY_167,cool,weak,49,。,YOUON;SOKUON;CHOON;DAKUON,,4
13_LAZY_168,maid,weak,46,。,YOUON;SOKUON;HATSUON;CHOON;DAKUON,,4
13_LAZY_169,girl,weak,44,。,YOUON;SOKUON;HATSUON;CHOON;DAKUON;HANDAKUON,,4
