id,character_style,intensity,length_chars,punctuation,phoneme_tags,near_pair_group,reading_ease_score
NORMAL_001,none,weak,9,。,,,5
NORMAL_002,none,weak,24,。,CHOON;DAKUON,,5
NORMAL_003,none,weak,36,？,SOKUON;HATSUON;DAKUON,,4
NORMAL_004,none,weak,23,。,SOKUON;HATSUON;CHOON;DAKUON;HANDAKUON,,5
NORMAL_005,none,weak,37,。,HATSUON;CHOON;DAKUON,,4
NORMAL_006,none,weak,10,。,,P10,5
NORMAL_007,none,weak,19,。,YOUON;SOKUON,,5
NORMAL_008,friend,strong,37,？,CHOON;DAKUON,,4
NORMAL_009,teacher,weak,39,。,SOKUON;CHOON;DAKUON,,4
NORMAL_010,none,strong,18,！,CHOON,,5
NORMAL_011,none,strong,38,。,SOKUON;HATSUON;DAKUON,P20,4
NORMAL_012,none,strong,19,？,HATSUON;DAKUON,,5
NORMAL_013,maid,weak,11,。,YOUON;SOKUON,,5
NORMAL_014,none,weak,38,。,YOUON;SOKUON;DAKUON,,4
NORMAL_015,none,strong,19,？,YOUON;SOKUON;CHOON,,5
NORMAL_016,friend,weak,40,。,YOUON;SOKUON;CHOON;HANDAKUON,,4
NORMAL_017,none,weak,19,。,DAKUON,,5
NORMAL_018,none,weak,37,。,SOKUON;HATSUON;CHOON;DAKUON;GAIRAION,,4
NORMAL_019,none,weak,18,。,HATSUON;DAKUON,P19,5
NORMAL_020,none,weak,37,。,SOKUON;CHOON;DAKUON,,4
NORMAL_021,none,weak,12,。,DAKUON,,5
NORMAL_022,friend,weak,20,…,SOKUON;HATSUON;CHOON;DAKUON,,5
NORMAL_023,none,weak,36,。,SOKUON;CHOON,,4
NORMAL_024,none,weak,20,。,SOKUON;CHOON,,5
NORMAL_025,none,weak,40,。,SOKUON;CHOON;DAKUON,,4
NORMAL_026,none,weak,36,。,SOKUON;DAKUON,,4
NORMAL_027,none,weak,20,。,SOKUON,P17,5
NORMAL_028,none,weak,39,。,SOKUON;HATSUON;DAKUON;HANDAKUON,P15,4
NORMAL_029,none,strong,20,！,SOKUON;HANDAKUON,,5
NORMAL_030,none,weak,38,…,SOKUON;DAKUON,,4
NORMAL_031,friend,strong,11,！,HATSUON;CHOON;HANDAKUON,P05,5
NORMAL_032,friend,weak,20,。,DAKUON,,5
NORMAL_033,none,weak,36,。,SOKUON;HATSUON;CHOON;DAKUON,,4
