07_FEAR_001 いやだ……来ないで！私にそんな恐ろしいものを近付けないでお願い！
07_FEAR_002 ひぃっ！あ、悪魔だ！本物の悪魔が地獄の底から這い上がってきたんだ！
07_FEAR_003 た、助けてくれ！誰か、あいつを俺の視界から遠ざけてくれぇ！
07_FEAR_004 嘘だろ……こんな化け物相手に、俺たちが生きて帰れるわけがない……！
07_FEAR_005 いやあああっ！窓の外に、血まみれの女の人が立っているわ！
07_FEAR_006 こ、こっちに来るなああ！俺はなにも、なにも見ていないんだっ！
07_FEAR_007 お、お願いです、命だけは、命だけはお助けくださいませ！
07_FEAR_008 ヒィッ！天井から無数のクモが、こっちに向かって落ちてくる！
07_FEAR_009 そんな……私たちの村が、一瞬で炎に包まれて消滅してしまうなんて。
07_FEAR_010 くるな……私に触らないで！その汚れた手で触れられるくらいなら死んだ方がマシよ。
07_FEAR_011 あ、あんな得体の知れない生物に、たった数人で立ち向かうなど自殺行為だ！
07_FEAR_012 だ、ダメだ、もう逃げられない……！あいつの足音、すぐそこまで来ている。
07_FEAR_013 ひぃぃっ！ドアの隙間から、ギョロリとした大きな目がこっちを覗いてる！
07_FEAR_014 いやだ、いやだあああっ！あんな暗くて冷たい場所に閉じ込めないでくれ！
07_FEAR_015 た、大佐……！レーダーに信じられない数の巨大な敵影が接近中です！
07_FEAR_016 うわあああっ！死体が……バラバラになった死体が突然動き出したぞ！
07_FEAR_017 こ、怖いよぉ……お母さん、助けて……暗くて何も見えないよぉ……。
07_FEAR_018 ああっ！私の魔法が、私の究極魔法が完全に通用しないなんて、嘘でしょ！？
07_FEAR_019 ヒッ……！う、後ろ……！あなたのすぐ後ろに、刃物を持った男が……！
07_FEAR_020 そんなバカな……伝説に語り継がれる魔神が、現代に蘇ったというのか！
07_FEAR_021 こ、来ないでください……！私にはまだ、帰りを待つ幼い子供がいるんです！
07_FEAR_022 いやああああっ！助けて、足首を底なし沼に引きずり込まれるぅ！
07_FEAR_023 バカな！あの鋼鉄の装甲が、まるで紙切れのように引き裂かれていくぞ！
07_FEAR_024 ひぃぃっ！壁の絵の人物が、血の涙を流してこっちを睨みつけているわ！
07_FEAR_025 あ、あいつの目は……完全にイカれてる。殺しを楽しむ狂人の目だ！
07_FEAR_026 た、助けて……暗闇の中で、誰かの冷たい息が私の首筋にかかっているの……！
07_FEAR_027 うわあああっ！俺の体が……腕が泥みたいにドロドロに溶け出しているっ！
07_FEAR_028 ヒィッ！やめろ、やめてくれ！もう痛いのは嫌だ！なんでもするから！
07_FEAR_029 そ、そんな……まさかこの島全体が、一つの巨大な生物だったなんて……！
07_FEAR_030 いやああっ！鏡に映る私が、私に向かって不気味に笑いかけてくるわ！
07_FEAR_031 こ、ここから出せええっ！窒息する！空気が……空気がだんだん薄くなってる！
07_FEAR_032 や、やめて……！そのハサミで、私の髪の毛を切り刻むのはやめてええっ！
07_FEAR_033 ひぃぃっ！地面から無数の白骨化した手が伸びてきて、足首を……！
07_FEAR_034 バカな！私の完璧な防御陣が、たった一睨みで粉々に砕け散るなんて！
07_FEAR_035 こ、こっちを見るな……！その空洞のような真っ黒い目で私を見つめないで！
07_FEAR_036 た、助けてくれ！背後から、チェーンソーの低いモーター音が近づいてくる！
07_FEAR_037 いやあああっ！この部屋……壁中がビッシリとゴキブリで埋め尽くされているわ！
07_FEAR_038 ヒッ……！お、俺は……俺はただ命令に従っただけだ！殺さないでくれ！
07_FEAR_039 そ、そんな……神様は私たちを見捨てたというの？なんて絶望的な世界なの……。
07_FEAR_040 ああっ！毒ガスが……！防毒マスクがない！息が、ゼイゼイして苦しい……！
07_FEAR_041 こ、怖いっ！雷の音が、まるで天地が裂けるみたいに大きくて怖いよぉ！
07_FEAR_042 いやだあああっ！あんな得体の知れないスライムに飲み込まれるなんてごめんだ！
07_FEAR_043 ば、化け物……！人間の姿をしているのに、首が180度後ろに曲がっているぞ！
07_FEAR_044 ヒィッ！ふ、布団の中に……！布団の中に、冷たい誰かの手が入ってる……！
07_FEAR_045 助けてくれ！ブレーキが、ブレーキが全く効かない！このままじゃ崖から落ちる！
07_FEAR_046 いやあああっ！顔が……私の顔が、鏡の中でどんどん別人に変わっていくわ！
07_FEAR_047 こ、こっちに来るなああ！その血にまみれた斧を俺に向かって振り下ろすな！
07_FEAR_048 そ、そんな……この館から出る扉が、一つ残らず壁と同化して消えてしまった！
07_FEAR_049 ヒィィッ！暗闇の奥から、赤ん坊の泣き声と女性のすすり泣く声が聞こえる……！
07_FEAR_050 あ、あいつの足音……確実にこっちに近づいてきてる！心臓が破裂しそうだ！
07_FEAR_051 いやだ……！そんな恐ろしい呪いの言葉、私の頭の中に直接響かせないで！
07_FEAR_052 た、助けて……！蛇が……何十匹もの毒蛇が、足元から這い上がってくるっ！
07_FEAR_053 ば、馬鹿な！この街の住人が、全員操り人形のように不気味に笑っているぞ！
07_FEAR_054 ヒッ……！み、水の中に……！プールの水底に、無数の死骸が沈んでいる……！
07_FEAR_055 うわあああっ！天井が……天井が徐々に下がってきて、このままじゃ押し潰される！
07_FEAR_056 いやあああっ！私のアカウントが……私の全てが、誰かに乗っ取られているわ！
07_FEAR_057 こ、怖いよぉ……！クローゼットの中から、誰かのカリカリ引っ掻く音がするぅ！
07_FEAR_058 そ、そんな……私の放った矢が、全部すり抜けてあいつに全く当たらないなんて！
07_FEAR_059 ヒィィッ！テレビの砂嵐の中から、恐ろしい形相の悪霊がこっちに手を伸ばしているっ！
