id,character_style,intensity,punctuation,near_pair_group,scene
SURPRISE_001,none,mid,。,,店で友人の仕事を知る
SURPRISE_002,cool,mid,。,,喫茶店で知人と再会
SURPRISE_003,none,strong,！,,駅で旧友に呼び止められる
SURPRISE_004,mage,mid,。,,居間で弟子の手仕事を見る
SURPRISE_005,none,weak,。,,台所で独り言を漏らす
SURPRISE_006,maker,mid,。,P07,工房で弟子の完成品を見る
SURPRISE_007,none,strong,？！,P01,台所で家族のパンを見つける
SURPRISE_008,scout,mid,。,P13,街道で仲間の正体を知る
SURPRISE_009,none,weak,。,P02,駅で昔の友人と再会
SURPRISE_010,senior,mid,。,P09,駅で後輩と再会する
SURPRISE_011,none,strong,！,P03,職場で同僚の絵を知る
SURPRISE_012,steward,mid,。,P05,玄関で久しい客を迎える
SURPRISE_013,teacher,weak,。,,書斎で昔の教材を見つける
SURPRISE_014,none,mid,。,P04,家で友人の贈り物を開く
SURPRISE_015,youth,mid,。,P01,台所で母のパンを見つける
SURPRISE_016,none,weak,。,P05,店先で成長した子と再会
SURPRISE_017,none,weak,。,,庭で家族の準備に気づく
SURPRISE_018,cool,mid,。,P03,職場で同僚の特技を知る
SURPRISE_019,none,mid,。,P06,居間で友人の手芸を見る
SURPRISE_020,none,mid,。,,駅で友人の声に反応
SURPRISE_021,mage,mid,。,P15,庭で弟子の発見を聞く
SURPRISE_022,none,strong,！,P07,工房で家族の作品を見る
SURPRISE_023,teacher,mid,。,P11,教室で生徒の成長に気づく
SURPRISE_024,none,weak,。,P08,自宅で妹の修理を知る
SURPRISE_025,maker,strong,！,P08,家で娘の修理に気づく
SURPRISE_026,scout,mid,。,,市場で友人の特技を見る
SURPRISE_027,none,mid,。,,部屋で友人の手芸を見る
SURPRISE_028,senior,weak,。,,家で弟の部屋をのぞく
SURPRISE_029,none,mid,。,P09,駅で友人と再会する
SURPRISE_030,steward,strong,！,P06,食堂で客の手作り品を受け取る
SURPRISE_031,none,weak,。,P10,展示室で友人の作品に気づく
SURPRISE_032,youth,strong,？！,P02,駅で昔の友人と再会
SURPRISE_033,none,strong,！,P11,教室で生徒の声に驚く
SURPRISE_034,none,strong,！,,職場で同僚の受賞を知る
SURPRISE_035,cool,weak,。,,机でファイルの中身を見る
SURPRISE_036,none,weak,。,,台所で子の料理に気づく
SURPRISE_037,maker,mid,。,,店で古い道具を見つける
SURPRISE_038,none,mid,。,,山道で景色の変化を見る
SURPRISE_039,senior,mid,。,,喫茶店で友人の特技を知る
SURPRISE_040,none,strong,？！,,家で家族の計画を聞く
SURPRISE_041,steward,mid,。,,庭で家族の作業に気づく
SURPRISE_042,none,weak,。,,教室で生徒の成長を知る
SURPRISE_043,mage,weak,。,,台所で友人の菓子を味わう
SURPRISE_044,none,mid,。,P12,庭で家族のベンチを見る
SURPRISE_045,scout,strong,？！,P14,山道で仲間の発見を聞く
SURPRISE_046,none,weak,。,P13,店で友人の家族関係を知る
SURPRISE_047,teacher,strong,！,P12,庭で家族の手仕事を知る
SURPRISE_048,none,strong,？！,P14,山道で友人の近道を知る
SURPRISE_049,youth,weak,。,,自室で古い箱を開く
SURPRISE_050,none,strong,！,,庭で生き物の動きに驚く
SURPRISE_051,none,mid,。,,店で仕組みを確かめる
SURPRISE_052,teacher,mid,。,,教室で生徒の発想を聞く
SURPRISE_053,none,strong,？！,,公園で友人の特技を見る
SURPRISE_054,youth,mid,。,,教室で友人の絵を見る
SURPRISE_055,none,weak,。,,倉庫で家族の記録を見つける
SURPRISE_056,maker,weak,。,,工房で弟子の図を読む
SURPRISE_057,none,mid,。,,食卓で友人の料理を味わう
SURPRISE_058,scout,weak,。,,宿で大きな皿を見つめる
SURPRISE_059,none,mid,。,P15,庭で子どもの発見を聞く
SURPRISE_060,cool,strong,？！,P04,家で友人から贈り物を受ける
SURPRISE_061,none,weak,。,P16,書斎で友人の仕掛けを見る
SURPRISE_062,mage,strong,？！,P16,書斎で古い本の仕掛けを見つける
SURPRISE_063,senior,strong,！,,庭で家族の仕掛けに驚く
SURPRISE_064,none,strong,！,,職場で意外な連絡を受ける
SURPRISE_065,steward,weak,。,,控室で花束を見つける
SURPRISE_066,none,strong,！,,電車で兄と偶然会う
SURPRISE_067,none,weak,。,,街角で知人の声を聞く
SURPRISE_068,senior,strong,？！,P10,教室で友人の受賞を知る
