SURPRISE_001 わっ、星が流れた！
SURPRISE_002 えっ、注文した品がこんなに早く届いたの？
SURPRISE_003 眠っている間に髪が肩まで伸び、色まで銀色に変わるなんて本当に驚いたよね。
SURPRISE_004 あの塔のてっぺんまで登ったうえ、息ひとつ乱していないとは本当に恐れ入ったよ。
SURPRISE_005 ねえ、朝の静かな池に見たこともない鳥がいるよ。
SURPRISE_006 わあ、ティーカップの絵がこちらを向いて、中から小さな手まで振っているよ！
SURPRISE_007 この小箱、指で触れただけで歌い始めた！
SURPRISE_008 え、もう着いたの？
SURPRISE_009 へえ、君の笛だけで森の動物が集まり、静かに整列するとは実に見事な腕だな。
SURPRISE_010 まさか新人が最初の挑戦で成功するとは。
SURPRISE_011 あらまあ、雪の中から温泉が見つかり、湯気の向こうに花まで咲いていますね。
SURPRISE_012 ねえ、朝一番に届いた小包を開けたら昨日なくした手袋と丁寧な手紙が入っていたよ。
SURPRISE_013 あらまあ、庭のトマトがこんなに大きい。
SURPRISE_014 まさか静かな湖の底に、これほど大きな町の跡と石造りの塔が眠っていたとは。
SURPRISE_015 まさか、君だったとは。
SURPRISE_016 ほう、この古い時計はまだ正確に動くのか？
SURPRISE_017 驚きました、あの難しい曲を譜面も見ずに最後まで正確に弾けたのですね、見事です。
SURPRISE_018 え、窓の外を白い猫が軽々と跳んでいった？
SURPRISE_019 見て、暗い洞窟の壁一面が私たちの足音に合わせて息をするように青く光り始めたよ。
SURPRISE_020 びっくりした、背後から急に声をかけるなよ！
SURPRISE_021 あら、花が開いてる！
SURPRISE_022 この紅茶、冷たいのに湯気が立っている。
SURPRISE_023 おや、壊れていたラジオから突然きれいな歌声が流れ、全員が振り向きました。
SURPRISE_024 なんと、たった1枚の紙を何度か折っただけで、人が渡れる丈夫な橋ができるのか？
SURPRISE_025 なんとまあ、傷が跡形もなく消えておる。
SURPRISE_026 あらまあ、屋根に積もった雪が朝日に照らされ、町中へ虹色の光を返しています。
SURPRISE_027 まさか先輩が手作り弁当を持ってくるなんて。
SURPRISE_028 これは予想外だな。
SURPRISE_029 ほう、初心者の君がベテランより早く、誰も気づかなかった仕掛けを見抜いたとは。
SURPRISE_030 わあ、このケーキは切ると色が変わるんだ！
SURPRISE_031 ええっ、誰もいない舞台でピアノがひとりでに鳴り、幕まで静かに開きました。
SURPRISE_032 この古びた指輪が王家の宝で、失われた印まで刻まれていたなんて夢にも思わなかった。
SURPRISE_033 おや、教室の机が全部きれいに並んでいる。
SURPRISE_034 見てよ、市場で買った普通の豆がひと晩でこんなに屋根を越えるほど育っているよ。
SURPRISE_035 うそ、空が真っ赤だ！
SURPRISE_036 ええっ、私が描いた絵が表紙に選ばれたの？
SURPRISE_037 ねえ、本のページをめくるたび景色が季節ごと変わって鳥まで飛び立っていくよ。
SURPRISE_038 そんな、さっきまで晴れていたのに大雨だ。
SURPRISE_039 これは驚きました、冷たい水を注いだのにカップが温まり、甘い香りまで広がっています。
SURPRISE_040 この鎧、見た目に反して羽みたいに軽いぞ。
SURPRISE_041 まあ、見事な腕前ね。
SURPRISE_042 あら、隠し扉の奥に小さな図書室がある。
SURPRISE_043 おやまあ、迷子だと思っていた子犬が、知らない近道を通って先に家へ帰っていましたよ。
SURPRISE_044 なんだって、あの小柄な騎士が大会の優勝者で、最後まで無傷だったというのか？
SURPRISE_045 ほう、君は地図を一度見ただけで覚えたのか？
SURPRISE_046 あら、古い写真を窓辺に置いたら、写っていた花と空だけが鮮やかに色づきました。
SURPRISE_047 わっ、パンが焼けた瞬間に3倍にふくらんだ！
SURPRISE_048 なんと、扉が動いた！
SURPRISE_049 へえ、たった3個の材料を混ぜただけで、雲みたいにふわふわのパンが焼けるんだ。
SURPRISE_050 まさか、この静かな子が隊長だったとは…
SURPRISE_051 うそ、昨日まで空き地だった場所に立派な劇場が建って客席まで埋まっているよ。
SURPRISE_052 まさか、森で拾った小さな石が夜になると淡く光り、家まで道案内してくれるとは…
SURPRISE_053 え、今の不思議な音は床の下から聞こえたの？
SURPRISE_054 おお、細い枝をひと振りしただけで荒波が静まり、船まで無事に岸へ戻ってきたぞ。
SURPRISE_055 えっ、私が一番なの？
SURPRISE_056 まあ、たった一晩で花畑になったのですね。
SURPRISE_057 まあ、あなたが選んだ地味な布から、こんな華やかで軽やかな服ができるのね。
SURPRISE_058 おお、剣を鞘から抜かずに太い縄を切ったか！
SURPRISE_059 おかしいな、見慣れた駅で降りたのにホームの向こうには青い海と白い浜が広がっている。
SURPRISE_060 驚いたな、この店は夜になると開くのか？
SURPRISE_061 おや、雨がやんでいる。
SURPRISE_062 あれ、この写真の中では雲だけ動いている？
SURPRISE_063 ほう、この小さな機械は声の調子だけで、話し手の気分と体調まで見分けるのですか？
SURPRISE_064 見て、ケーキの火を消したら天井に現れた星がこんなふうに静かに回り始めましたよ。
SURPRISE_065 なんと、薬草を煮たら銀色に輝きだした。
SURPRISE_066 あれほど重い荷物を1人で運び、階段まで上ってきたなんて本当にすごいです。
SURPRISE_067 えっ、先生もこのゲームを遊ぶんですか？
SURPRISE_068 へえ、声までそっくり。
SURPRISE_069 なんと、凍った池の下を色鮮やかな魚の群れが泳ぎ、こちらを見上げておるではないか。
SURPRISE_070 まさか、空っぽの袋からパンが出てくるとは！
SURPRISE_071 あらまあ、長く閉まっていた小さな店が、今朝から香り豊かなパン屋になっています。
SURPRISE_072 あの無口な職人が、こんな愉快な彫刻を作って広場の真ん中へ堂々と飾ったなんて！
SURPRISE_073 あら、雨音に合わせてランプが明滅している。
SURPRISE_074 おや、地図にはない細道を抜けたら、花いっぱいの広場と白い噴水に出ました。
SURPRISE_075 そんな秘密があったとは…
SURPRISE_076 へえ、この靴なら水の上でも歩けるんだ。
SURPRISE_077 これは意外だな、苦いと思った薬草茶が、はちみつより甘くて果物の香りもするぞ。
SURPRISE_078 わっ、振り向いたら全員が同じ服を着ていた！
SURPRISE_079 見てください、鐘が鳴るたび塔の色が変わって最後には透き通ってしまいました。
SURPRISE_080 おやまあ、注文を言う前に料理が届きました。
SURPRISE_081 わあ、虹が二重だ！
SURPRISE_082 え、あの小さな船で海を渡ってきたの？
SURPRISE_083 まあ、空から降った白い粒が手の上で小さな花になり、すぐ空へ舞い戻りました。
SURPRISE_084 まあ、古いドレスのポケットから、金色の文字で書かれた招待状が出てきたわ。
SURPRISE_085 これは驚いた、石の鳥が羽ばたいている。
SURPRISE_086 ほう、毎日眺めていた壁画に、朝日が差す時だけ現れる隠し文字があったとは。
SURPRISE_087 まあ、眠っていた種が今ごろ芽を出したのね。
SURPRISE_088 驚いた、もう朝なのか？
SURPRISE_089 遠くの村まで続くあの荒れた道を、君たちだけでたった1日ですっかり直してしまったのか！
SURPRISE_090 ほう、見習いにしては見事な魔法である。
SURPRISE_091 あら、眠っていた猫が目を開けた途端に時計が全部止まり、窓まで開きました。
SURPRISE_092 まさか、ただのガラス玉が月明かりを集めて、朝まで消えないランプになるなんて…
SURPRISE_093 なんだって、あの橋が朝までに完成した？
SURPRISE_094 おお、古い剣を鞘から抜いたら刃に新しい文字が浮かび、淡い光まで放ち始めたぞ。
SURPRISE_095 あっ、足跡が光った！
SURPRISE_096 あっ、割れた鏡がひとりでに戻っていく！
SURPRISE_097 ええっ、何度も失敗した実験が、砂糖を少し加えただけで見事に成功しました。
SURPRISE_098 まさか、君が私のために歌ってくれるとは。
SURPRISE_099 おやまあ、窓を閉めた途端に外の騒音が消えてきれいな鳥の声だけ残りましたよ。
SURPRISE_100 ええっ、猫がチャイムを押したんですか？
SURPRISE_101 見てくれ、港の小舟から楽器を抱えた動物たちが降り、陽気に演奏を始めたぞ。
SURPRISE_102 わあ、箱の底からもう一つ箱が出てきた！
SURPRISE_103 ねえ見て、雨上がりの水たまりに空の町が映って小さな人影まで歩いているよ。
SURPRISE_104 ええっ、本当に無料なの？
SURPRISE_105 おや、砂時計の砂が上へ流れているぞ。
SURPRISE_106 これは驚いた、フィルターを替えたら写真の人物が笑い、こちらへ手を振ったぞ。
SURPRISE_107 あの険しい山道をこんなかわいい馬車で越え、昼前に着いたなんて本当に驚いたわ。
SURPRISE_108 まあ、このスープは飲むたび香りが変わる。
SURPRISE_109 ほら、校庭の大きな木が卒業式に合わせて咲き、白い鳥まで集まってきたよね。
SURPRISE_110 へえ、森の奥にこんな立派な宿があるのか？
SURPRISE_111 なんと、敵だと思っていた竜が、けが人を背中に乗せて村まで運んできたではないか。
SURPRISE_112 まあ、ずいぶん軽いのね。
SURPRISE_113 え、たった3分でこの模型を組み立てたの？
SURPRISE_114 あらまあ、倉庫でほこりをかぶっていた木箱が、最新式の映写機だったのですね。
SURPRISE_115 ほう、料理が苦手だと言っていた君が、宴の全品を1人で作り上げたのですか？
SURPRISE_116 驚きました、静かな曲が急に行進曲へ変わった。
SURPRISE_117 まさか、ずっと追いかけていた光の正体が、手のひらほどの小さなチョウだったとは…
SURPRISE_118 なんと、炎に触れてもこの布は熱くならない。
SURPRISE_119 聞いて、誰も触れていない古いチェロが楽しそうな曲を奏で、椅子まで踊り始めたよ。
SURPRISE_120 あら、毎朝来る鳥が手紙を運んできたわ。
SURPRISE_121 おや、普段は無色のインクなのに朝露を1滴落とすと長い文章が読めるなんて不思議ですね。
SURPRISE_122 まさか、閉じた本から声が聞こえるなんて…
SURPRISE_123 ねえ、あんなに怖そうな番犬が毎朝ひよこを集めて優しく世話をしているよね。
SURPRISE_124 まさか、壁が透けるとは…
SURPRISE_125 おお、よくぞその細い棒の一撃で岩を割ったな！
SURPRISE_126 まあ、店主がすすめた赤い帽子をかぶったら、鳥の言葉がはっきり聞こえたわ。
SURPRISE_127 これは驚きだ、古い井戸の底に明るい地下庭園と透明な池が広がっているではないか。
SURPRISE_128 えっ、倉庫の奥に新品のピアノがあるの？
SURPRISE_129 まさか、崩れた塔の頂上に図書室が残り、本まで傷一つなくきれいに並んでいたとは…
SURPRISE_130 ほう、普通の針で厚い革まで縫えるのですね。
SURPRISE_131 あら、停電した瞬間に廊下の絵が淡く光り、矢印になって出口を示しましたよ。
SURPRISE_132 おお、ぴたりと合った。
SURPRISE_133 わっ、噴水の水が音楽に合わせて踊った！
SURPRISE_134 おお見事だ、練習していない難しい技を着地まで完璧に決めるとは恐れ入ったよ。
SURPRISE_135 まさか、毎朝聞いていた鳥の歌が、遠い昔から伝わる村の合図だったなんて知らなかった。
SURPRISE_136 いつも最後に来る彼が、今日は誰より早く来てる！
SURPRISE_137 見ろ、遠くにあった小さな島がゆっくり近づき、とうとう岸辺で止まったんだぞ。
SURPRISE_138 まあ、曇った窓に地図が浮かんできました。
