id,character_style,intensity,length_chars,punctuation,phoneme_tags,near_pair_group,reading_ease_score
08_CONFUSE_001,girl,mid,36,？,YOUON;SOKUON;HATSUON;DAKUON,,4
08_CONFUSE_002,boy,mid,36,？,SOKUON;HATSUON;DAKUON,,4
08_CONFUSE_003,friend,weak,36,？,YOUON;SOKUON;HATSUON;DAKUON,,4
08_CONFUSE_004,teacher,mid,40,。,YOUON;HATSUON;CHOON;DAKUON,,4
08_CONFUSE_005,swordsman,strong,36,？,SOKUON;DAKUON,,4
08_CONFUSE_006,cool,weak,34,。,SOKUON;HATSUON;DAKUON,,4
08_CONFUSE_007,adventurer,strong,34,？,YOUON;SOKUON;HATSUON;DAKUON,,4
08_CONFUSE_008,maid,weak,41,？,YOUON;HATSUON;CHOON;DAKUON;HANDAKUON;GAIRAION,,4
08_CONFUSE_009,mage,mid,39,？,YOUON;SOKUON;HATSUON;DAKUON,,4
08_CONFUSE_010,artisan,mid,38,。,YOUON;SOKUON;HATSUON;DAKUON,,4
08_CONFUSE_011,friend,weak,41,。,SOKUON;HATSUON;DAKUON,,4
08_CONFUSE_012,boy,mid,42,？,YOUON;SOKUON;DAKUON,,4
08_CONFUSE_013,knight,mid,33,？,YOUON;HATSUON;DAKUON,,4
08_CONFUSE_014,girl,mid,36,？,YOUON;SOKUON;HATSUON;DAKUON;HANDAKUON,,4
08_CONFUSE_015,swordsman,mid,35,？,SOKUON;HATSUON;DAKUON,,4
08_CONFUSE_016,boy,weak,40,。,YOUON;SOKUON;HATSUON;DAKUON;HANDAKUON,,4
08_CONFUSE_017,cool,mid,38,？,YOUON;HATSUON;DAKUON,,4
08_CONFUSE_018,friend,mid,40,。,SOKUON;CHOON;DAKUON,,4
08_CONFUSE_019,mage,mid,39,？,YOUON;HATSUON;CHOON;DAKUON;HANDAKUON,,4
08_CONFUSE_020,girl,mid,41,。,YOUON;HATSUON;DAKUON,,4
08_CONFUSE_021,adventurer,strong,38,。,SOKUON;HATSUON;DAKUON,,4
08_CONFUSE_022,maid,weak,35,？,YOUON;SOKUON;HATSUON;DAKUON,,4
08_CONFUSE_023,swordsman,mid,38,。,HATSUON;DAKUON,,4
08_CONFUSE_024,cool,weak,40,。,YOUON;SOKUON;HATSUON;DAKUON,,4
08_CONFUSE_025,girl,mid,40,？,YOUON;SOKUON;HATSUON;DAKUON,,4
08_CONFUSE_026,knight,strong,42,？,SOKUON;HATSUON;DAKUON,,4
08_CONFUSE_027,boy,weak,38,。,YOUON;HATSUON;DAKUON,,4
08_CONFUSE_028,friend,mid,39,。,HATSUON;DAKUON,,4
08_CONFUSE_029,teacher,mid,39,？,HATSUON;DAKUON;HANDAKUON,,4
08_CONFUSE_030,girl,weak,42,？,YOUON;SOKUON;HATSUON;DAKUON,,4
08_CONFUSE_031,adventurer,strong,41,。,YOUON;SOKUON;HATSUON;DAKUON,,4
08_CONFUSE_032,friend,mid,42,。,YOUON;SOKUON;HATSUON;DAKUON;HANDAKUON,,4
08_CONFUSE_033,swordsman,mid,41,？,YOUON;SOKUON;HATSUON;DAKUON,,4
08_CONFUSE_034,mage,weak,41,。,SOKUON;DAKUON,,4
08_CONFUSE_035,girl,mid,39,？,YOUON;SOKUON;DAKUON,,4
08_CONFUSE_036,mage,strong,41,。,YOUON;SOKUON;HATSUON;DAKUON,,4
08_CONFUSE_037,maid,weak,40,。,YOUON;HATSUON;DAKUON,,4
08_CONFUSE_038,knight,mid,43,。,SOKUON;DAKUON,,4
08_CONFUSE_039,friend,mid,41,？,YOUON;SOKUON;HATSUON;DAKUON,,4
08_CONFUSE_040,girl,weak,42,。,YOUON;SOKUON;HATSUON;DAKUON,,4
08_CONFUSE_041,adventurer,mid,45,。,YOUON;SOKUON;HATSUON;DAKUON;HANDAKUON,,4
08_CONFUSE_042,maid,weak,42,？,YOUON;SOKUON;HATSUON;DAKUON,,4
08_CONFUSE_043,swordsman,mid,39,。,SOKUON;HATSUON;DAKUON,,4
08_CONFUSE_044,cool,weak,43,。,SOKUON;HATSUON;DAKUON,,4
08_CONFUSE_045,girl,mid,40,？,SOKUON;DAKUON;HANDAKUON,,4
08_CONFUSE_046,knight,strong,43,？,SOKUON;DAKUON,,4
08_CONFUSE_047,maid,weak,40,。,YOUON;SOKUON;HATSUON;DAKUON,,4
08_CONFUSE_048,mage,mid,40,。,SOKUON;HATSUON;DAKUON,,4
08_CONFUSE_049,friend,mid,45,？,HATSUON;CHOON;DAKUON,,4
08_CONFUSE_050,girl,weak,49,。,YOUON;SOKUON;HATSUON;DAKUON;HANDAKUON,,4
08_CONFUSE_051,girl,mid,49,？,SOKUON;HATSUON;DAKUON,,4
08_CONFUSE_052,boy,mid,43,。,YOUON;SOKUON;HATSUON;DAKUON;HANDAKUON,,4
08_CONFUSE_053,friend,weak,41,？,YOUON;SOKUON;DAKUON,,4
08_CONFUSE_054,teacher,mid,45,。,SOKUON;HATSUON;CHOON;DAKUON,,4
08_CONFUSE_055,swordsman,strong,43,？,HATSUON;CHOON;DAKUON,,4
08_CONFUSE_056,cool,weak,44,。,YOUON;SOKUON;HATSUON;DAKUON,,4
08_CONFUSE_057,adventurer,strong,44,？,YOUON;SOKUON;HATSUON;DAKUON,,4
08_CONFUSE_058,maid,weak,49,？,YOUON;SOKUON;HATSUON;CHOON;DAKUON,,4
08_CONFUSE_059,mage,mid,45,？,YOUON;SOKUON;HATSUON;DAKUON,,4
08_CONFUSE_060,artisan,mid,46,。,YOUON;SOKUON;HATSUON;DAKUON;HANDAKUON,,4
08_CONFUSE_061,friend,weak,44,。,YOUON;SOKUON;DAKUON;HANDAKUON,,4
08_CONFUSE_062,boy,mid,45,？,YOUON;SOKUON;DAKUON,,4
08_CONFUSE_063,knight,mid,51,？,YOUON;HATSUON;DAKUON,,4
08_CONFUSE_064,girl,mid,40,？,SOKUON;DAKUON;HANDAKUON,,4
08_CONFUSE_065,swordsman,mid,44,？,YOUON;SOKUON;HATSUON;DAKUON;HANDAKUON,,4
08_CONFUSE_066,boy,weak,47,。,YOUON;SOKUON;HATSUON;DAKUON;HANDAKUON,,4
08_CONFUSE_067,cool,mid,48,？,YOUON;SOKUON;HATSUON;DAKUON,,4
08_CONFUSE_068,friend,mid,47,。,SOKUON;HATSUON;DAKUON,,4
08_CONFUSE_069,teacher,mid,42,？,YOUON;HATSUON;CHOON;DAKUON,,4
08_CONFUSE_070,girl,mid,52,。,SOKUON;HATSUON;CHOON;DAKUON;HANDAKUON,,4
08_CONFUSE_071,adventurer,strong,48,。,YOUON;SOKUON;HATSUON;DAKUON,,4
08_CONFUSE_072,maid,weak,47,？,YOUON;SOKUON;HATSUON;DAKUON,,4
08_CONFUSE_073,swordsman,mid,47,。,SOKUON;HATSUON;CHOON;DAKUON;HANDAKUON,,4
08_CONFUSE_074,cool,weak,48,。,YOUON;SOKUON;HATSUON;CHOON;DAKUON;HANDAKUON,,4
08_CONFUSE_075,girl,mid,49,？,YOUON;SOKUON;HATSUON;CHOON;DAKUON;HANDAKUON;GAIRAION,,4
08_CONFUSE_076,knight,strong,48,？,YOUON;SOKUON;HATSUON;CHOON;DAKUON,,4
08_CONFUSE_077,boy,weak,42,。,YOUON;HATSUON;DAKUON,,4
08_CONFUSE_078,friend,mid,49,。,HATSUON;DAKUON,,4
08_CONFUSE_079,teacher,mid,47,？,YOUON;SOKUON;HATSUON;DAKUON;HANDAKUON,,4
08_CONFUSE_080,girl,weak,51,？,YOUON;SOKUON;HATSUON;DAKUON,,4
08_CONFUSE_081,adventurer,strong,47,。,YOUON;SOKUON;HATSUON;DAKUON,,4
08_CONFUSE_082,friend,mid,50,。,YOUON;SOKUON;HATSUON;DAKUON;HANDAKUON,,4
08_CONFUSE_083,swordsman,mid,52,？,YOUON;SOKUON;HATSUON;DAKUON,,4
08_CONFUSE_084,mage,weak,53,。,YOUON;SOKUON;HATSUON;CHOON;DAKUON;HANDAKUON,,4
08_CONFUSE_085,girl,mid,54,？,YOUON;SOKUON;HATSUON;DAKUON,,4
08_CONFUSE_086,mage,strong,49,。,YOUON;SOKUON;HATSUON;DAKUON,,4
08_CONFUSE_087,maid,weak,53,。,SOKUON;HATSUON;DAKUON,,4
08_CONFUSE_088,knight,mid,54,。,SOKUON;DAKUON,,4
08_CONFUSE_089,friend,mid,50,？,YOUON;SOKUON;HATSUON;CHOON;DAKUON;HANDAKUON;GAIRAION,,4
08_CONFUSE_090,girl,weak,57,。,YOUON;SOKUON;HATSUON;DAKUON;HANDAKUON,,4
08_CONFUSE_091,adventurer,mid,50,。,YOUON;SOKUON;HATSUON;CHOON;DAKUON;HANDAKUON,,4
