id,character_style,intensity,length_chars,punctuation,phoneme_tags,near_pair_group,reading_ease_score
ANNOUNCE_001,none,weak,10,。,,P01,5
ANNOUNCE_002,none,weak,20,。,CHOON;DAKUON,,5
ANNOUNCE_003,none,weak,41,。,SOKUON;DAKUON,,4
ANNOUNCE_004,none,weak,20,。,,,5
ANNOUNCE_005,none,weak,40,。,DAKUON,,4
ANNOUNCE_006,none,weak,11,。,,P03,5
ANNOUNCE_007,none,weak,22,。,DAKUON,P04,5
ANNOUNCE_008,none,weak,37,。,DAKUON,P14,4
ANNOUNCE_009,none,weak,39,。,DAKUON,,4
ANNOUNCE_010,none,weak,23,。,DAKUON,,5
ANNOUNCE_011,none,weak,38,。,SOKUON;DAKUON,P18,4
ANNOUNCE_012,none,weak,21,。,DAKUON,P18,5
ANNOUNCE_013,none,weak,11,。,DAKUON,,5
ANNOUNCE_014,none,weak,38,。,DAKUON,,4
ANNOUNCE_015,none,weak,20,。,DAKUON,P14,5
ANNOUNCE_016,none,weak,38,。,DAKUON,,4
ANNOUNCE_017,none,weak,20,。,HATSUON;DAKUON;HANDAKUON,P12,5
ANNOUNCE_018,teacher,weak,38,。,SOKUON;DAKUON,,4
ANNOUNCE_019,none,weak,18,。,,,5
ANNOUNCE_020,none,weak,39,。,CHOON;DAKUON,,4
ANNOUNCE_021,none,weak,12,。,DAKUON,,5
ANNOUNCE_022,none,weak,19,。,DAKUON,P08,5
ANNOUNCE_023,none,weak,43,。,CHOON;DAKUON,,4
ANNOUNCE_024,none,weak,19,。,SOKUON;DAKUON,,5
ANNOUNCE_025,none,weak,39,。,DAKUON,,4
ANNOUNCE_026,none,weak,36,。,YOUON;CHOON;DAKUON;HANDAKUON,P05,4
ANNOUNCE_027,none,weak,18,。,DAKUON,,5
ANNOUNCE_028,none,weak,39,。,CHOON;DAKUON,,4
ANNOUNCE_029,none,weak,20,。,DAKUON,,5
ANNOUNCE_030,none,weak,36,。,CHOON;DAKUON,,4
ANNOUNCE_031,none,weak,12,。,DAKUON,,5
ANNOUNCE_032,none,weak,20,。,DAKUON,P17,5
ANNOUNCE_033,none,weak,39,。,DAKUON,,4
ANNOUNCE_034,none,weak,36,。,CHOON;DAKUON,,4
ANNOUNCE_035,none,weak,19,。,SOKUON,,5
ANNOUNCE_036,none,weak,43,。,SOKUON;DAKUON,,4
ANNOUNCE_037,none,weak,20,。,DAKUON,,5
ANNOUNCE_038,none,weak,38,。,SOKUON;DAKUON;GAIRAION,,4
ANNOUNCE_039,none,weak,19,。,CHOON;HANDAKUON,,5
ANNOUNCE_040,none,weak,41,。,SOKUON;DAKUON,P19,4
ANNOUNCE_041,none,weak,10,。,DAKUON,,5
ANNOUNCE_042,none,weak,20,。,CHOON;DAKUON;HANDAKUON,,5
ANNOUNCE_043,none,weak,38,。,DAKUON,,4
ANNOUNCE_044,none,weak,20,。,DAKUON,,5
ANNOUNCE_045,teacher,weak,39,。,DAKUON,,4
ANNOUNCE_046,none,weak,11,。,,,5
ANNOUNCE_047,none,weak,20,。,DAKUON,,5
ANNOUNCE_048,none,weak,38,。,CHOON;DAKUON;HANDAKUON,,4
ANNOUNCE_049,none,weak,38,。,DAKUON;HANDAKUON,,4
ANNOUNCE_050,none,weak,23,。,DAKUON,P13,5
ANNOUNCE_051,none,weak,37,。,HATSUON;DAKUON;HANDAKUON,,4
ANNOUNCE_052,none,weak,24,。,DAKUON,,5
ANNOUNCE_053,none,weak,10,。,DAKUON,,5
ANNOUNCE_054,none,weak,36,。,DAKUON,P09,4
ANNOUNCE_055,none,weak,19,。,,,5
ANNOUNCE_056,none,weak,36,。,DAKUON,,4
ANNOUNCE_057,none,mid,20,。,,,5
ANNOUNCE_058,none,mid,38,。,DAKUON,,4
ANNOUNCE_059,none,mid,19,。,DAKUON,,5
ANNOUNCE_060,none,mid,37,。,SOKUON;HATSUON;CHOON;DAKUON;GAIRAION,,4
ANNOUNCE_061,none,mid,16,。,DAKUON,P02,5
ANNOUNCE_062,none,mid,20,。,CHOON;DAKUON;HANDAKUON,,5
ANNOUNCE_063,none,mid,41,。,YOUON;SOKUON;DAKUON,,4
ANNOUNCE_064,none,mid,20,。,,,5
ANNOUNCE_065,teacher,mid,39,。,DAKUON,,4
ANNOUNCE_066,none,mid,38,。,CHOON;DAKUON,,4
ANNOUNCE_067,none,mid,19,。,DAKUON,,5
ANNOUNCE_068,none,mid,37,。,DAKUON,,4
ANNOUNCE_069,none,mid,22,。,DAKUON,,5
ANNOUNCE_070,friend,strong,37,。,CHOON;DAKUON,P07,4
ANNOUNCE_071,none,mid,10,。,DAKUON,,5
ANNOUNCE_072,none,mid,19,。,DAKUON,,5
ANNOUNCE_073,none,mid,38,。,DAKUON,,4
ANNOUNCE_074,none,mid,37,。,SOKUON;DAKUON,,4
ANNOUNCE_075,none,mid,20,。,DAKUON,,5
ANNOUNCE_076,none,mid,39,。,DAKUON,,4
ANNOUNCE_077,none,mid,20,。,,,5
ANNOUNCE_078,none,weak,40,。,SOKUON;DAKUON,,4
ANNOUNCE_079,none,mid,20,。,DAKUON,P06,5
ANNOUNCE_080,none,mid,38,。,SOKUON;CHOON;DAKUON,,4
ANNOUNCE_081,none,mid,10,。,DAKUON,P04,5
ANNOUNCE_082,none,mid,23,。,DAKUON,,5
ANNOUNCE_083,none,mid,42,。,DAKUON,,4
ANNOUNCE_084,none,mid,22,。,CHOON;HANDAKUON,,5
ANNOUNCE_085,none,mid,40,。,SOKUON;DAKUON;HANDAKUON,,4
ANNOUNCE_086,none,mid,11,。,DAKUON,,5
ANNOUNCE_087,none,mid,20,。,DAKUON,,5
ANNOUNCE_088,none,mid,38,。,DAKUON,,4
ANNOUNCE_089,none,mid,40,。,DAKUON,,4
ANNOUNCE_090,none,mid,19,。,SOKUON;HATSUON;CHOON;DAKUON;GAIRAION,,5
ANNOUNCE_091,none,mid,39,。,SOKUON;DAKUON,,4
ANNOUNCE_092,none,mid,22,。,DAKUON,P02,5
ANNOUNCE_093,none,mid,15,。,DAKUON,P13,5
ANNOUNCE_094,adventurer,mid,38,。,DAKUON,,4
ANNOUNCE_095,none,strong,24,。,YOUON;CHOON;DAKUON;HANDAKUON,P05,5
ANNOUNCE_096,none,mid,38,。,DAKUON;HANDAKUON;GAIRAION,,4
ANNOUNCE_097,teacher,mid,20,。,SOKUON;DAKUON;HANDAKUON,,5
ANNOUNCE_098,none,mid,38,。,DAKUON,,4
ANNOUNCE_099,none,mid,21,。,,,5
ANNOUNCE_100,none,mid,37,。,SOKUON;DAKUON,,4
