03_SAD_001 どうして……私があんなに信じていたのに、嘘だったなんて……。
03_SAD_002 まさか、君まで僕を裏切るなんて思いもしなかったよ……。
03_SAD_003 こんなに頑張ったのに……結局、合格できなかったんだね……。
03_SAD_004 必死に努力したけれど、力及ばず……本当に不甲斐ないです……。
03_SAD_005 ごめんね……君を守ると約束したのに、守りきれなかった……。
03_SAD_006 すまない……私の力が足りないばかりに、こんな結末になるとは……。
03_SAD_007 ……もう、どうすればいいのか分からない。全てが信じられないよ……。
03_SAD_008 ……何もかもが手のひらからこぼれ落ちていくみたいで、辛いや……。
03_SAD_009 ああ……あの美しい故郷は、もう二度と戻らないのか……。
03_SAD_010 あんなに平和だった村が……すべて焼けてなくなってしまったのね……。
03_SAD_011 こんなことになるなら、あの日引き留めておくべきだったな……。
03_SAD_012 もし時間を戻せるなら……君を一人で行かせるような真似はしなかったのに……。
03_SAD_013 せっかく見つけた宝物だったのに、また失っちゃった……。
03_SAD_014 苦労して手に入れた古代の秘宝も……結局灰になってしまうとはな……。
03_SAD_015 ……私の魔法じゃ、あの人を救うことはできなかったわ……。
03_SAD_016 どんなに癒しの術をかけても……傷は塞がらなかった……。
03_SAD_017 もういいよ……どうせ俺の言うことなんて誰も信じてくれないんだろ……。
03_SAD_018 どうせ私なんて、みんなの邪魔になるだけだもんね……。
03_SAD_019 こんな結末、私は決して望んでなんかいなかった……。
03_SAD_020 誰もこんな悲劇を望んではいなかった。それなのにどうして……。
03_SAD_021 先生……もう一度だけ、あなたの教えを聞きたかったです……。
03_SAD_022 師匠……あなたの遺した剣を手放すことになるとは……。
03_SAD_023 あんなに好きだったおもちゃが、壊れちゃったよ……。
03_SAD_024 ずっと大切にしていたオルゴールから、もう音は鳴らない。
03_SAD_025 ……そうか。お前も結局、力に魅入られてしまったのだな……。
03_SAD_026 ……君もあの男と同じように、欲に溺れてしまったのか……。
03_SAD_027 私がもっとしっかりしていれば、あの子を泣かせずに済んだのに。
03_SAD_028 俺がもっと早く駆けつけていれば……こんなことには……。
03_SAD_029 どうか、行かないで……私を一人にしないでよ……。
03_SAD_030 行かないでくれ。君がいなくなったら、俺はどうすればいいんだ……。
03_SAD_031 こんなことなら、最初から出会わなければよかったなんて……。
