id,character_style,intensity,length_chars,punctuation,phoneme_tags,near_pair_group,reading_ease_score
11_ANNOUNCE_001,boy,mid,46,。,YOUON;SOKUON;HATSUON;DAKUON,,4
11_ANNOUNCE_002,girl,mid,52,。,YOUON;HATSUON;DAKUON,,4
11_ANNOUNCE_003,maid,mid,62,。,HATSUON;DAKUON,,4
11_ANNOUNCE_004,cool,weak,53,。,YOUON;SOKUON;HATSUON;CHOON;DAKUON;HANDAKUON,,4
11_ANNOUNCE_005,boy,mid,53,。,YOUON;HATSUON;DAKUON,,4
11_ANNOUNCE_006,girl,mid,62,。,YOUON;SOKUON;HATSUON;DAKUON,,4
11_ANNOUNCE_007,friend,mid,48,。,YOUON;SOKUON;HATSUON;CHOON;DAKUON;HANDAKUON,,4
11_ANNOUNCE_008,girl,weak,53,。,YOUON;SOKUON;HATSUON;DAKUON,,4
11_ANNOUNCE_009,cool,mid,56,。,YOUON;SOKUON;HATSUON;DAKUON,,4
11_ANNOUNCE_010,boy,mid,54,。,YOUON;SOKUON;HATSUON;DAKUON;HANDAKUON,,4
11_ANNOUNCE_011,friend,mid,61,。,YOUON;SOKUON;HATSUON;DAKUON;HANDAKUON,,4
11_ANNOUNCE_012,girl,mid,47,。,YOUON;SOKUON;HATSUON;CHOON;DAKUON,,4
11_ANNOUNCE_013,maid,weak,63,。,YOUON;SOKUON;HATSUON;CHOON;DAKUON,,4
11_ANNOUNCE_014,cool,weak,53,。,YOUON;SOKUON;HATSUON;DAKUON;HANDAKUON,,4
11_ANNOUNCE_015,boy,mid,58,。,YOUON;HATSUON;CHOON;DAKUON;HANDAKUON,,4
11_ANNOUNCE_016,girl,weak,47,。,YOUON;HATSUON;CHOON;DAKUON,,4
11_ANNOUNCE_017,friend,mid,46,。,YOUON;SOKUON;HATSUON;DAKUON,,4
11_ANNOUNCE_018,cool,strong,43,。,YOUON;HATSUON;CHOON;DAKUON,,4
11_ANNOUNCE_019,friend,weak,49,。,YOUON;HATSUON;DAKUON,,4
11_ANNOUNCE_020,maid,mid,53,。,YOUON;HATSUON;CHOON;DAKUON,,4
11_ANNOUNCE_021,boy,mid,51,。,YOUON;SOKUON;HATSUON;DAKUON,,4
11_ANNOUNCE_022,girl,mid,57,。,YOUON;SOKUON;HATSUON;CHOON;DAKUON,,4
11_ANNOUNCE_023,cool,weak,48,。,YOUON;SOKUON;HATSUON;CHOON;DAKUON;HANDAKUON,,4
