FEAR_001 怖い、何かが近づいてくる気配がする。
FEAR_002 一人でいるのが不安でたまらない。
FEAR_003 あの暗がりの中に何かがいるような気がする。
FEAR_004 背筋が凍るような体験をしてしまった。
FEAR_005 逃げたい。
FEAR_006 心臓がばくばくして止まらないんだ。
FEAR_007 もしかしたら取り返しのつかないことになるかもしれない。
FEAR_008 震えが止まらないよ。
FEAR_009 嫌な予感がするんだ。
FEAR_010 足がすくんで一歩も動けない。
FEAR_011 拙者、この先に進むのは恐ろしいでござる。
FEAR_012 あの物音は一体なんだったんだろう。
FEAR_013 考えるだけで胸が締めつけられる。
FEAR_014 もう戻れないかもしれないと思うと怖い。
FEAR_015 何が起こるか分からなくて不安だよ。
FEAR_016 暗闇の中では自分の息遣いだけが聞こえるんだ。
FEAR_017 最悪の事態が頭をよぎった。
FEAR_018 怖くて目を開けられない。
FEAR_019 このまま朝が来なかったらどうしよう。
FEAR_020 何かがおかしい、空気が変わった気がするよ。
FEAR_021 恐怖で声が出ない。
FEAR_022 鏡に映った影が一瞬動いた気がした。
FEAR_023 ご主人様、この場所には何かよくないものを感じます。
FEAR_024 手がかじかんでうまく動かせないんだ。
FEAR_025 逃げ場がどこにもないように感じる。
FEAR_026 ひっ、何か触れたような気がする。
FEAR_027 この静けさがかえって不気味だよ。
FEAR_028 追いかけてくる足音が聞こえてきた。
FEAR_029 怖くてたまらない。
FEAR_030 結果が出るまでの時間が永遠に感じるんだ。
FEAR_031 我が魔術の結界にひびが入っている、これは由々しき事態だ。
FEAR_032 薄暗い廊下を一人で歩くのは本当に嫌だよ。
FEAR_033 振り向いたら何かいそうで振り向けない。
FEAR_034 危険が迫っている気配を感じるんだ。
FEAR_035 このままでは全員が危ない。
FEAR_036 どうか無事でいてほしい。
FEAR_037 先輩、なんだかこの道怖くないですか。
FEAR_038 体が硬直してしまった。
FEAR_039 今にも何かが飛び出してきそうで怖い。
FEAR_040 助けて。
FEAR_041 あの不気味な笑い声が忘れられない。
FEAR_042 誰かに見られている気がするよ。
FEAR_043 騎士の誇りがあっても恐怖は感じるものだ。
FEAR_044 廃墟には絶対に近づきたくない。
FEAR_045 悪い夢であってほしいと切に願っている。
FEAR_046 扉の向こうに何があるか怖くて開けられない。
