ANNOUNCE_001 本日も、当駅をご利用いただきまして、誠にありがとうございます。
ANNOUNCE_002 まもなく、1番線に電車が参ります。危ないですから、黄色い線までお下がりください。
ANNOUNCE_003 ピンポンパンポーン。迷子のお知らせをいたします。
ANNOUNCE_004 お呼び出しいたします。お車ナンバー、1234のドライバー様。
ANNOUNCE_005 只今より、タイムセールを開催いたします！ 全品20パーセントオフです！
ANNOUNCE_006 エスカレーターをご利用の際は、手すりにつかまり、黄色い線の内側にお乗りください。
ANNOUNCE_007 お電話ありがとうございます。こちらは予約専用ダイヤルです。
ANNOUNCE_008 次は、中央公園前、中央公園前でございます。お降りの方はボタンを押してお知らせください。
ANNOUNCE_009 お客様のお呼び出しを申し上げます。田中様、田中様、1階インフォメーションまでお越しください。
ANNOUNCE_010 毎度ご乗車ありがとうございます。この電車は、快速、海行きです。
ANNOUNCE_011 いらっしゃいませ！ 新鮮なお魚はいかがでしょうか！
ANNOUNCE_012 駆け込み乗車は非常に危険ですので、おやめください。
ANNOUNCE_013 ただいま、地震の影響により、運転を見合わせております。
ANNOUNCE_014 お待たせいたしました。3番窓口へお越しのお客様、どうぞ。
ANNOUNCE_015 いらっしゃいませ。何名様でしょうか？ 禁煙席へご案内いたします。
ANNOUNCE_016 本日は、ご来場いただきまして、誠にありがとうございます。
ANNOUNCE_017 開演に先立ちまして、お客様にお願い申し上げます。
ANNOUNCE_018 携帯電話の電源をお切りになるか、マナーモードに設定の上、通話はお控えください。
ANNOUNCE_019 次の停車駅は、新都心、新都心です。
ANNOUNCE_020 お降りの際は、お足元にご注意ください。
ANNOUNCE_021 ポイントカードをお持ちのお客様は、レジにてご提示ください。
ANNOUNCE_022 只今のお時間をもちまして、本日の営業を終了させていただきます。
ANNOUNCE_023 お忘れ物のないよう、ご注意ください。
ANNOUNCE_024 フードコートよりお知らせです。出来たてのお弁当を販売中です。
ANNOUNCE_025 発車いたします。閉まるドアにご注意ください。
ANNOUNCE_026 優先席付近では、混雑時には携帯電話の電源をお切りください。
ANNOUNCE_027 整理券をお取りになって、お待ちください。
ANNOUNCE_028 ただいま、電話が大変混み合っております。
ANNOUNCE_029 ピーという発信音の後に、お名前とご用件をお話しください。
ANNOUNCE_030 バスが発車します。お立ちのお客様は、つり革や手すりにおつかまりください。
ANNOUNCE_031 本日より、春のキャンペーンを実施しております。
ANNOUNCE_032 館内での喫煙は、所定の喫煙所にてお願いいたします。
ANNOUNCE_033 小さなお子様をお連れのお客様は、お子様から目を離さないようお願いいたします。
ANNOUNCE_034 次は、終点、空港前でございます。
ANNOUNCE_035 お乗り換えのご案内をいたします。地下鉄線をご利用のお客様は、乗り換えです。
ANNOUNCE_036 こちらのレジは、キャッシュレス決済専用となっております。
ANNOUNCE_037 お買い上げレシートの合計金額により、駐車料金が割引になります。
ANNOUNCE_038 大浴場は、午前中清掃のためご利用いただけません。
ANNOUNCE_039 業務連絡、業務連絡。スタッフの田中は、至急事務所まで連絡してください。
ANNOUNCE_040 緊急地震速報です。強い揺れに警戒してください。
ANNOUNCE_041 只今、システムメンテナンスを行っております。
ANNOUNCE_042 お問い合わせ番号は、0120-123-456です。
ANNOUNCE_043 診察券をお持ちの方は、自動受付機をご利用ください。
ANNOUNCE_044 本日は当館をご利用いただき、誠にありがとうございます。閉館のお時間です。
ANNOUNCE_045 雨のため、本日のイベントは中止とさせていただきます。
ANNOUNCE_046 お足元の悪い中、ご来店いただきまして誠にありがとうございます。
ANNOUNCE_047 エレベーターが参ります。ドアが開きます。ご注意ください。
ANNOUNCE_048 上へ参ります。3階、婦人服売り場でございます。
ANNOUNCE_049 次は、4階、紳士服売り場でございます。
ANNOUNCE_050 次の電車は、通過待ちのため、3分ほど停車いたします。
ANNOUNCE_051 本日は、ポイント5倍デーとなっております。
ANNOUNCE_052 特売品の卵は、お一人様1パック限りとさせていただきます。
ANNOUNCE_053 レジ袋は有料となっております。ご入用のお客様はお申し付けください。
ANNOUNCE_054 次の駅では、後ろ3両のドアは開きません。
ANNOUNCE_055 電車とホームの間が広く空いている所があります。
ANNOUNCE_056 お荷物は、座席の下か、網棚の上に置いてください。
ANNOUNCE_057 こちらは留守番電話サービスです。
ANNOUNCE_058 メッセージの保存期間は、72時間です。
ANNOUNCE_059 ナビダイヤルでおつなぎします。20秒ごとに10円の通話料がかかります。
ANNOUNCE_060 火事です。火事です。落ち着いて避難してください。
ANNOUNCE_061 訓練、訓練。ただいま地震が発生しました。
ANNOUNCE_062 危険ですので、白線の内側を通行してください。
ANNOUNCE_063 自転車置き場は、駅の南側にございます。
ANNOUNCE_064 喫茶コーナーよりお知らせです。季節限定のケーキセットはいかがでしょうか。
ANNOUNCE_065 従業員は、手洗いを徹底してください。
ANNOUNCE_066 只今より、マグロの解体ショーを行います！
ANNOUNCE_067 焼きたてのパンはいかがでしょうか。
ANNOUNCE_068 本日のスープは、コーンポタージュでございます。
ANNOUNCE_069 次は、サクラ通り、サクラ通りでございます。
