id,character_style,intensity,length_chars,punctuation,phoneme_tags,near_pair_group,reading_ease_score
JOY_001,none,weak,12,。,CHOON;DAKUON,,5
JOY_002,none,weak,19,。,HATSUON;DAKUON;HANDAKUON,,5
JOY_003,friend,weak,37,。,DAKUON,,4
JOY_004,none,weak,36,。,HATSUON;DAKUON,,4
JOY_005,none,strong,20,！,SOKUON;DAKUON,,5
JOY_006,none,weak,40,。,SOKUON;HATSUON;DAKUON,,4
JOY_007,none,strong,11,！,SOKUON;DAKUON,,5
JOY_008,none,weak,24,。,DAKUON,,4
JOY_009,artisan,strong,39,…,SOKUON;DAKUON,,4
JOY_010,none,weak,21,。,DAKUON,,5
JOY_011,none,weak,39,。,HATSUON;DAKUON,,4
JOY_012,senpai,weak,39,。,DAKUON,,4
JOY_013,friend,strong,20,？,DAKUON,,5
JOY_014,none,weak,17,。,CHOON;DAKUON,P01,5
JOY_015,mage,weak,39,。,SOKUON;HATSUON;DAKUON,,4
JOY_016,none,weak,23,。,SOKUON;DAKUON,,5
JOY_017,none,weak,36,。,SOKUON;DAKUON;HANDAKUON,P15,4
JOY_018,teacher,weak,22,。,SOKUON;DAKUON,P19,5
JOY_019,none,weak,37,。,SOKUON;DAKUON;HANDAKUON,,4
JOY_020,none,weak,23,。,SOKUON;DAKUON;HANDAKUON,P06,5
JOY_021,none,strong,19,！,SOKUON;CHOON;DAKUON,,5
JOY_022,none,weak,36,。,DAKUON,,4
JOY_023,none,weak,38,。,SOKUON;HATSUON;DAKUON,P15,4
JOY_024,maid,weak,22,。,DAKUON,,5
JOY_025,none,strong,38,！,DAKUON,P05,4
JOY_026,none,weak,14,。,HATSUON;DAKUON,,5
JOY_027,none,weak,36,。,SOKUON;DAKUON,,4
JOY_028,none,weak,20,。,HATSUON;DAKUON,,5
JOY_029,none,weak,36,。,SOKUON;DAKUON,,4
JOY_030,none,strong,23,？,SOKUON;HATSUON;DAKUON,,5
JOY_031,artisan,strong,19,！,DAKUON,,5
JOY_032,friend,weak,37,…,HATSUON;CHOON;DAKUON,,4
JOY_033,none,weak,20,。,DAKUON,,5
JOY_034,none,weak,37,。,DAKUON;GAIRAION,,4
JOY_035,none,weak,36,。,DAKUON,P04,4
JOY_036,friend,weak,11,。,SOKUON;DAKUON;HANDAKUON,P03,5
JOY_037,friend,weak,19,。,DAKUON;GAIRAION,,5
JOY_038,none,weak,40,。,SOKUON;DAKUON,P19,4
JOY_039,none,weak,19,…,SOKUON;DAKUON;HANDAKUON,,5
JOY_040,friend,weak,38,。,DAKUON,,4
JOY_041,none,weak,12,。,DAKUON,P13,5
JOY_042,none,weak,20,。,SOKUON;DAKUON,P16,5
JOY_043,friend,strong,36,！,SOKUON;HATSUON;DAKUON,,4
JOY_044,none,weak,36,。,DAKUON,,4
JOY_045,senpai,weak,22,。,DAKUON,,5
JOY_046,none,weak,37,。,DAKUON,,4
JOY_047,none,weak,13,。,CHOON;DAKUON;HANDAKUON,,5
JOY_048,none,strong,21,？,CHOON;DAKUON,,5
JOY_049,none,weak,38,。,CHOON;DAKUON,P17,4
JOY_050,none,strong,23,。,SOKUON;DAKUON,P10,5
JOY_051,none,strong,37,！,SOKUON;DAKUON,,4
JOY_052,none,weak,37,。,DAKUON,,4
JOY_053,none,weak,21,。,DAKUON,P02,5
JOY_054,none,strong,9,！,DAKUON,P14,5
JOY_055,none,weak,41,。,SOKUON;HATSUON;DAKUON;HANDAKUON,,4
JOY_056,mage,weak,19,…,SOKUON;DAKUON,,5
JOY_057,none,strong,36,！,DAKUON,,4
JOY_058,none,weak,22,。,CHOON;DAKUON,,5
JOY_059,none,weak,40,。,SOKUON;CHOON;DAKUON,,4
JOY_060,none,weak,20,。,DAKUON,P09,5
JOY_061,none,strong,18,！,SOKUON;HATSUON;DAKUON,,5
JOY_062,knight,strong,40,！,HATSUON;CHOON;DAKUON,,4
JOY_063,none,weak,36,。,HATSUON;DAKUON,,4
JOY_064,none,weak,20,。,SOKUON;CHOON;DAKUON;HANDAKUON,,5
JOY_065,none,weak,36,。,HATSUON;CHOON;DAKUON,,4
JOY_066,none,weak,17,。,SOKUON;DAKUON,,5
JOY_067,none,strong,41,！,YOUON;SOKUON;DAKUON,,4
JOY_068,friend,weak,20,？,CHOON;DAKUON,,5
JOY_069,cool,weak,36,。,SOKUON;HATSUON;DAKUON,,4
JOY_070,knight,weak,20,。,,,5
JOY_071,none,weak,20,。,SOKUON;DAKUON,,5
JOY_072,none,weak,40,。,DAKUON,,4
JOY_073,friend,mid,19,。,SOKUON;DAKUON;HANDAKUON,P03,5
JOY_074,none,strong,38,。,SOKUON;DAKUON;HANDAKUON,,4
JOY_075,mage,mid,39,。,HATSUON;DAKUON,,4
JOY_076,none,mid,11,。,YOUON;HATSUON;DAKUON,P12,5
JOY_077,none,strong,20,！,CHOON;DAKUON,,5
JOY_078,none,mid,36,。,SOKUON;DAKUON,,4
JOY_079,maid,mid,19,。,DAKUON;HANDAKUON,,5
JOY_080,none,mid,37,。,HATSUON;DAKUON,,4
JOY_081,none,mid,11,…,SOKUON,P10,5
JOY_082,friend,mid,22,。,SOKUON;HATSUON;DAKUON,,5
JOY_083,none,mid,36,…,SOKUON;DAKUON,,4
JOY_084,none,mid,38,。,SOKUON;DAKUON,,4
JOY_085,none,mid,21,。,HATSUON;DAKUON,,5
JOY_086,none,mid,36,。,CHOON;DAKUON,,4
JOY_087,friend,strong,17,。,HATSUON;DAKUON,,5
JOY_088,none,strong,21,！,DAKUON,,5
JOY_089,friend,mid,36,。,SOKUON;HATSUON;CHOON;DAKUON,,4
JOY_090,none,mid,20,。,SOKUON;DAKUON,,5
JOY_091,none,mid,38,。,CHOON;DAKUON;HANDAKUON,,4
JOY_092,none,weak,41,。,SOKUON;DAKUON,,4
JOY_093,none,mid,21,。,SOKUON;HATSUON;DAKUON,,5
JOY_094,none,mid,12,。,HATSUON;CHOON;DAKUON,,5
JOY_095,none,strong,39,！,HATSUON;DAKUON,,4
JOY_096,adventurer,mid,20,。,DAKUON,,5
JOY_097,none,mid,36,。,CHOON;DAKUON;HANDAKUON,,4
JOY_098,friend,mid,21,。,HATSUON;CHOON;DAKUON;GAIRAION,,5
JOY_099,senpai,mid,38,。,SOKUON;DAKUON,,4
JOY_100,none,mid,21,。,CHOON;DAKUON,,5
JOY_101,none,mid,20,。,,,5
JOY_102,none,mid,38,。,SOKUON;HATSUON;DAKUON,,4
JOY_103,adventurer,strong,36,！,HATSUON;CHOON;DAKUON;GAIRAION,P11,4
JOY_104,senpai,strong,21,！,SOKUON;DAKUON,,5
JOY_105,none,mid,36,。,SOKUON;CHOON;DAKUON,,4
JOY_106,friend,mid,15,。,CHOON;DAKUON,P13,5
JOY_107,artisan,strong,37,。,CHOON;DAKUON,,4
JOY_108,friend,strong,19,。,DAKUON,P08,5
JOY_109,none,weak,36,。,SOKUON;DAKUON,,4
JOY_110,none,strong,18,？,CHOON;DAKUON,,5
JOY_111,swordsman,mid,22,。,DAKUON,,5
JOY_112,none,mid,36,。,SOKUON;CHOON;DAKUON;HANDAKUON,,4
JOY_113,friend,mid,24,。,SOKUON;HATSUON;CHOON,P18,5
JOY_114,friend,strong,42,！,HATSUON;CHOON;DAKUON,,4
JOY_115,swordsman,mid,36,。,SOKUON;DAKUON,,4
JOY_116,friend,strong,12,！,HATSUON,P18,5
JOY_117,none,mid,22,。,DAKUON,P09,5
JOY_118,none,mid,36,。,CHOON;DAKUON,,4
JOY_119,none,mid,25,。,CHOON;DAKUON;HANDAKUON,,5
JOY_120,none,weak,41,。,SOKUON;DAKUON,,4
JOY_121,friend,strong,12,！,HATSUON;DAKUON,,5
JOY_122,none,strong,20,！,YOUON;HATSUON;DAKUON,,5
JOY_123,none,mid,40,。,HATSUON;CHOON;DAKUON;GAIRAION,P04,4
JOY_124,none,mid,36,。,DAKUON,,4
JOY_125,none,mid,24,。,SOKUON;DAKUON,P16,5
JOY_126,none,mid,36,…,DAKUON,,4
JOY_127,none,mid,11,。,,P01,5
JOY_128,none,mid,19,…,HATSUON;DAKUON,P07,5
JOY_129,none,strong,37,！,HATSUON;DAKUON,P08,4
JOY_130,none,mid,21,。,YOUON;SOKUON;HATSUON;DAKUON,,5
JOY_131,friend,mid,42,。,SOKUON;HATSUON;DAKUON;HANDAKUON,,4
JOY_132,none,mid,36,。,SOKUON;DAKUON,,4
JOY_133,none,mid,18,。,CHOON;HANDAKUON,,5
JOY_134,none,mid,13,。,DAKUON,,5
JOY_135,none,mid,37,。,DAKUON,,4
JOY_136,none,mid,21,。,SOKUON;DAKUON,,5
JOY_137,friend,mid,38,。,SOKUON;DAKUON,,4
JOY_138,none,strong,20,？,HATSUON;CHOON;DAKUON,,5
JOY_139,none,mid,38,。,SOKUON;DAKUON,,4
JOY_140,none,strong,24,！,SOKUON;CHOON;DAKUON,,5
JOY_141,friend,mid,21,。,HATSUON;DAKUON,,5
JOY_142,none,strong,39,！,SOKUON;HATSUON;DAKUON,,4
JOY_143,none,mid,38,。,DAKUON,,4
JOY_144,none,strong,19,！,DAKUON,,5
JOY_145,friend,strong,38,。,HATSUON;DAKUON,,4
JOY_146,none,strong,11,！,SOKUON,,5
JOY_147,none,mid,37,。,SOKUON;HATSUON;CHOON;DAKUON,,4
JOY_148,none,mid,23,。,HATSUON;CHOON;DAKUON,,5
JOY_149,none,mid,36,。,SOKUON;DAKUON,,4
JOY_150,none,mid,23,。,DAKUON,,5
JOY_151,none,mid,21,。,HATSUON;CHOON;DAKUON;GAIRAION,P11,5
JOY_152,friend,mid,41,。,HATSUON;DAKUON,,4
JOY_153,friend,mid,22,。,SOKUON;HATSUON;DAKUON,,5
JOY_154,knight,mid,37,。,CHOON;DAKUON,,4
JOY_155,friend,strong,37,…,HATSUON;DAKUON,P07,4
JOY_156,none,mid,12,…,DAKUON,,5
JOY_157,none,mid,23,。,,,5
JOY_158,none,strong,39,！,SOKUON;CHOON;DAKUON,,4
JOY_159,none,mid,20,。,SOKUON;DAKUON,,5
JOY_160,none,weak,36,。,SOKUON;DAKUON,,4
JOY_161,none,mid,16,。,YOUON;HATSUON;CHOON;DAKUON,P12,5
JOY_162,none,mid,23,。,DAKUON,,5
JOY_163,none,mid,40,。,HATSUON;DAKUON,,4
JOY_164,friend,mid,36,。,HATSUON;DAKUON,,4
JOY_165,none,mid,25,。,SOKUON,,5
JOY_166,none,strong,36,？,YOUON;CHOON;DAKUON;HANDAKUON;GAIRAION,P02,4
JOY_167,friend,strong,10,！,CHOON;DAKUON,P14,5
JOY_168,none,mid,23,。,SOKUON;DAKUON,P20,5
