CONFUSE_001 え、どういうこと。
CONFUSE_002 理解が追いつかない。
CONFUSE_003 何を言ってるのか分からない。
CONFUSE_004 これはどう受け止めればいいの。
CONFUSE_005 頭が混乱してる。
CONFUSE_006 何が正しいのか分からなくなった。
CONFUSE_007 どう反応すればいいのか。
CONFUSE_008 状況が飲み込めない。
CONFUSE_009 何が起きてるのか分からない。
CONFUSE_010 どうすればいいのか教えてほしい。
CONFUSE_011 意味が分からなくて困ってる。
CONFUSE_012 どっちを信じればいいの。
CONFUSE_013 話が見えてこない。
CONFUSE_014 自分の感情すら分からない。
CONFUSE_015 何がなんだか分からなくなってきた。
CONFUSE_016 どう判断すればいいんだろう。
CONFUSE_017 混乱して整理できない。
CONFUSE_018 これでいいのか分からない。
CONFUSE_019 何が本当なのか。
CONFUSE_020 どうしていいか分からないよ。
CONFUSE_021 理解できなくて戸惑ってる。
CONFUSE_022 どっちが正しいのか。
CONFUSE_023 状況が把握できない。
CONFUSE_024 何を考えればいいのか。
CONFUSE_025 頭の中がぐちゃぐちゃだ。
CONFUSE_026 どう対応すればいいんだろう。
CONFUSE_027 混乱して何も分からない。
CONFUSE_028 これが正解なのか。
CONFUSE_029 何を信じていいのか分からない。
CONFUSE_030 どうすればいいのか見当もつかない。
CONFUSE_031 理解が追いつかないよ。
CONFUSE_032 どっちを選べばいいの。
CONFUSE_033 話がついていけない。
CONFUSE_034 自分でも何が何だか。
CONFUSE_035 どう判断していいか分からない。
CONFUSE_036 混乱して整理がつかない。
CONFUSE_037 これでいいのかな。
CONFUSE_038 何が真実なのか。
CONFUSE_039 どうしていいか分からなくて困ってる。
CONFUSE_040 理解できなくて戸惑うよ。
CONFUSE_041 ご主人様、理解が及びません。
CONFUSE_042 どっちが本当なの。
CONFUSE_043 状況が飲み込めないんだ。
CONFUSE_044 何を考えればいいのか分からない。
CONFUSE_045 頭の中が混乱してる。
CONFUSE_046 どう対応すればいいのか。
CONFUSE_047 混乱して何も分からなくなった。
CONFUSE_048 これが正しいのか。
CONFUSE_049 何を信じればいいのか。
CONFUSE_050 どうすればいいのか分からないよ。
CONFUSE_051 理解が追いつかないんだ。
CONFUSE_052 どっちを信じればいいのか。
CONFUSE_053 話が見えてこないよ。
CONFUSE_054 自分の感情すら分からなくなった。
CONFUSE_055 どう判断すればいいんだろうね。
CONFUSE_056 混乱して整理できないんだ。
CONFUSE_057 これでいいのか分からないよ。
CONFUSE_058 何が本当なのか教えてほしい。
CONFUSE_059 どうしていいか分からない。
CONFUSE_060 理解できなくて戸惑ってるんだ。
CONFUSE_061 どっちが正しいのか分からない。
CONFUSE_062 状況が把握できないよ。
CONFUSE_063 何を考えればいいのか見当もつかない。
CONFUSE_064 頭の中がぐちゃぐちゃなんだ。
CONFUSE_065 どう対応すればいいんだろうね。
CONFUSE_066 混乱して何も分からないよ。
CONFUSE_067 これが正解なのか分からない。
CONFUSE_068 何を信じていいのか。
CONFUSE_069 どうすればいいのか全く分からない。
CONFUSE_070 理解が追いつかないんだよ。
CONFUSE_071 どっちを選べばいいのか。
CONFUSE_072 話がついていけないんだ。
CONFUSE_073 自分でも何が何だか分からない。
CONFUSE_074 どう判断していいか分からないよ。
CONFUSE_075 混乱して整理がつかないんだ。
CONFUSE_076 これでいいのかな。
CONFUSE_077 何が真実なのか分からない。
CONFUSE_078 どうしていいか分からなくて困ってるんだ。
CONFUSE_079 理解できなくて戸惑うよ。
CONFUSE_080 どっちが本当なのか教えて。
CONFUSE_081 状況が飲み込めないよ。
CONFUSE_082 何を考えればいいのか分からないんだ。
CONFUSE_083 頭の中が混乱してるよ。
CONFUSE_084 どう対応すればいいのか分からない。
CONFUSE_085 混乱して何も分からなくなったよ。
CONFUSE_086 これが正しいのか分からない。
CONFUSE_087 何を信じればいいのか教えてほしい。
CONFUSE_088 どうすればいいのか分からないんだ。
CONFUSE_089 理解が追いつかない。
CONFUSE_090 どっちを信じればいいのか分からない。
CONFUSE_091 お嬢さま、私には理解できません。
CONFUSE_092 話が見えてこないんだ。
CONFUSE_093 自分の感情すら分からなくなったよ。
CONFUSE_094 どう判断すればいいんだろう。
CONFUSE_095 混乱して整理できないよ。
CONFUSE_096 これでいいのか分からないんだ。
CONFUSE_097 何が本当なのか。
CONFUSE_098 どうしていいか分からないよ。
CONFUSE_099 理解できなくて戸惑ってる。
CONFUSE_100 どっちが正しいのか教えて。
CONFUSE_101 状況が把握できないんだ。
CONFUSE_102 何を考えればいいのか。
CONFUSE_103 頭の中がぐちゃぐちゃだよ。
CONFUSE_104 どう対応すればいいんだろうね。
CONFUSE_105 混乱して何も分からない。
CONFUSE_106 これが正解なのか分からないよ。
CONFUSE_107 何を信じていいのか分からない。
CONFUSE_108 どうすればいいのか見当もつかないよ。
CONFUSE_109 理解が追いつかないんだ。
CONFUSE_110 どっちを選べばいいのか分からない。
CONFUSE_111 話がついていけないよ。
CONFUSE_112 自分でも何が何だか分からないんだ。
CONFUSE_113 どう判断していいか分からない。
CONFUSE_114 混乱して整理がつかないよ。
CONFUSE_115 これでいいのかな。
CONFUSE_116 何が真実なのか教えてほしい。
CONFUSE_117 どうしていいか分からなくて困ってる。
CONFUSE_118 理解できなくて戸惑うんだ。
CONFUSE_119 どっちが本当なのか。
CONFUSE_120 状況が飲み込めない。
CONFUSE_121 何を考えればいいのか分からないよ。
CONFUSE_122 頭の中が混乱してるんだ。
CONFUSE_123 どう対応すればいいのか分からないよ。
CONFUSE_124 混乱して何も分からなくなった。
CONFUSE_125 これが正しいのか分からないんだ。
CONFUSE_126 何を信じればいいのか。
CONFUSE_127 どうすればいいのか分からない。
CONFUSE_128 理解が追いつかないよ。
CONFUSE_129 どっちを信じればいいのか教えて。
CONFUSE_130 話が見えてこない。
CONFUSE_131 自分の感情すら分からないんだ。
CONFUSE_132 どう判断すればいいんだろうね。
CONFUSE_133 混乱して整理できない。
CONFUSE_134 これでいいのか分からないよ。
CONFUSE_135 何が本当なのか分からない。
CONFUSE_136 どうしていいか分からないんだ。
CONFUSE_137 理解できなくて戸惑ってるよ。
CONFUSE_138 どっちが正しいのか分からないんだ。
CONFUSE_139 状況が把握できない。
CONFUSE_140 何を考えればいいのか見当もつかない。
CONFUSE_141 ご主人様、状況が理解できません。
CONFUSE_142 頭の中がぐちゃぐちゃなんだ。
CONFUSE_143 どう対応すればいいんだろう。
CONFUSE_144 混乱して何も分からないよ。
CONFUSE_145 これが正解なのか分からないんだ。
CONFUSE_146 何を信じていいのか分からないよ。
CONFUSE_147 どうすればいいのか全く分からないんだ。
CONFUSE_148 理解が追いつかない。
CONFUSE_149 どっちを選べばいいのか教えて。
CONFUSE_150 話がついていけない。
CONFUSE_151 自分でも何が何だか分からないよ。
CONFUSE_152 どう判断していいか分からないんだ。
CONFUSE_153 混乱して整理がつかない。
CONFUSE_154 これでいいのかな。
CONFUSE_155 何が真実なのか分からないよ。
CONFUSE_156 どうしていいか分からなくて困ってるんだ。
CONFUSE_157 理解できなくて戸惑う。
CONFUSE_158 どっちが本当なのか分からない。
CONFUSE_159 状況が飲み込めないんだ。
CONFUSE_160 何を考えればいいのか分からない。
CONFUSE_161 頭の中が混乱してる。
CONFUSE_162 どう対応すればいいのか分からないんだ。
CONFUSE_163 混乱して何も分からなくなったよ。
CONFUSE_164 これが正しいのか分からない。
CONFUSE_165 何を信じればいいのか分からないよ。
CONFUSE_166 どうすればいいのか分からないんだ。
CONFUSE_167 理解が追いつかないよ。
CONFUSE_168 どっちを信じればいいのか分からないんだ。
CONFUSE_169 話が見えてこないよ。
CONFUSE_170 自分の感情すら分からなくなった。
CONFUSE_171 どう判断すればいいんだろう。
CONFUSE_172 混乱して整理できないんだ。
CONFUSE_173 これでいいのか分からない。
CONFUSE_174 何が本当なのか教えてほしい。
CONFUSE_175 どうしていいか分からないよ。
CONFUSE_176 理解できなくて戸惑ってるんだ。
CONFUSE_177 どっちが正しいのか分からない。
CONFUSE_178 状況が把握できないよ。
CONFUSE_179 何を考えればいいのか分からないんだ。
CONFUSE_180 頭の中がぐちゃぐちゃだよ。
CONFUSE_181 どう対応すればいいんだろうね。
CONFUSE_182 混乱して何も分からないんだ。
CONFUSE_183 これが正解なのか分からない。
CONFUSE_184 何を信じていいのか分からないよ。
CONFUSE_185 どうすればいいのか見当もつかない。
CONFUSE_186 理解が追いつかないんだ。
CONFUSE_187 どっちを選べばいいのか分からないよ。
CONFUSE_188 話がついていけないんだ。
CONFUSE_189 自分でも何が何だか分からない。
CONFUSE_190 どう判断していいか分からないよ。
CONFUSE_191 お嬢さま、混乱しております。
CONFUSE_192 混乱して整理がつかないんだ。
CONFUSE_193 これでいいのかな。
CONFUSE_194 何が真実なのか分からない。
CONFUSE_195 どうしていいか分からなくて困ってるよ。
CONFUSE_196 理解できなくて戸惑うんだ。
CONFUSE_197 どっちが本当なのか教えてほしい。
CONFUSE_198 状況が飲み込めないよ。
CONFUSE_199 何を考えればいいのか分からないんだ。
CONFUSE_200 頭の中が混乱してるんだ。
