id,character_style,intensity,length_chars,punctuation,phoneme_tags,near_pair_group,reading_ease_score
06_CONTEMPT_001,mage,mid,34,。,SOKUON;HATSUON;DAKUON,,4
06_CONTEMPT_002,friend,mid,35,。,SOKUON;HATSUON;DAKUON,,4
06_CONTEMPT_003,cool,weak,36,。,HATSUON;DAKUON,,4
06_CONTEMPT_004,swordsman,strong,34,。,YOUON;SOKUON;HATSUON;DAKUON,,4
06_CONTEMPT_005,senpai,mid,35,。,YOUON;SOKUON;HATSUON;DAKUON,,4
06_CONTEMPT_006,adventurer,strong,37,。,SOKUON;HATSUON;DAKUON,,4
06_CONTEMPT_007,maid,strong,31,。,SOKUON;DAKUON,,4
06_CONTEMPT_008,teacher,strong,37,。,SOKUON;HATSUON;DAKUON,,4
06_CONTEMPT_009,knight,strong,37,。,YOUON;HATSUON;DAKUON,,4
06_CONTEMPT_010,none,strong,29,。,SOKUON;HATSUON;DAKUON,,4
06_CONTEMPT_011,boy,strong,35,。,SOKUON;HATSUON;DAKUON,,4
06_CONTEMPT_012,girl,strong,37,？,SOKUON;HATSUON;DAKUON;HANDAKUON,,4
06_CONTEMPT_013,merchant,strong,34,。,SOKUON;HATSUON;DAKUON,,4
06_CONTEMPT_014,cool,strong,30,。,YOUON;HATSUON;DAKUON,,4
06_CONTEMPT_015,adventurer,strong,37,。,YOUON;SOKUON;HATSUON;DAKUON,,4
06_CONTEMPT_016,mage,strong,33,。,SOKUON;HATSUON;DAKUON,,4
06_CONTEMPT_017,teacher,strong,36,。,SOKUON;HATSUON;DAKUON,,4
06_CONTEMPT_018,swordsman,strong,34,。,HATSUON;DAKUON,,4
06_CONTEMPT_019,none,weak,35,。,HATSUON;DAKUON,,4
06_CONTEMPT_020,friend,strong,34,。,HATSUON;DAKUON,,4
06_CONTEMPT_021,senpai,mid,34,。,YOUON;SOKUON;HATSUON;DAKUON,,4
06_CONTEMPT_022,maid,weak,37,。,SOKUON;HATSUON;DAKUON,,4
06_CONTEMPT_023,cool,strong,32,。,HATSUON;DAKUON,,4
06_CONTEMPT_024,boy,strong,39,。,SOKUON;HATSUON;DAKUON,,4
06_CONTEMPT_025,knight,mid,38,。,SOKUON;HATSUON;DAKUON,,4
