NORMAL_001 今日はいい天気だね。
NORMAL_002 そろそろ出かけよう。
NORMAL_003 昨日はよく眠れたよ。
NORMAL_004 買い物に行ってくるから何か必要なものはある？
NORMAL_005 特に変わったことはなかったよ。
NORMAL_006 今何時だろう。
NORMAL_007 そうだね、それでいいと思うよ。
NORMAL_008 明日の予定をそろそろ確認しておかないとな。
NORMAL_009 いつもの道を通って帰ろう。
NORMAL_010 お茶でも飲もうか。
NORMAL_011 今月の電気代がちょっと高かったなあ。
NORMAL_012 この本は先週借りたやつだよ。
NORMAL_013 なるほど、了解した。
NORMAL_014 ちょっと休憩してからまた始めよう。
NORMAL_015 拙者はこの辺りで一休みするでござる。
NORMAL_016 明日は燃えるごみの日だから出しておくね。
NORMAL_017 最近寒くなってきたから上着を持っていったほうがいい。
NORMAL_018 そろそろ夕飯の支度をしようかな。
NORMAL_019 昼ご飯は何にしようか。
NORMAL_020 ペンを貸してもらえるかな。
NORMAL_021 もう少しで終わるから待っていてくれ。
NORMAL_022 今日の予定は特にないよ。
NORMAL_023 ご主人様、お食事の準備が整いました。
NORMAL_024 駅まで歩いて10分くらいかかるよ。
NORMAL_025 そういえばあの件はどうなったんだっけ。
NORMAL_026 荷物はここに置いておけばいいよ。
NORMAL_027 靴ひもがほどけているよ。
NORMAL_028 また来週ね。
NORMAL_029 そのシャツ、似合っているね。
NORMAL_030 今日の晩ご飯はカレーにしよう。
NORMAL_031 風が少し冷たいな。
NORMAL_032 あいにく手持ちがないんだよ。
NORMAL_033 騎士の日課は朝の鍛錬から始まるのだ。
NORMAL_034 この辺りにコンビニはあるかな。
NORMAL_035 ちょっと窓を開けてもいい？
NORMAL_036 連絡が来たら教えてくれる？
NORMAL_037 先輩、お疲れ様です。
NORMAL_038 そろそろ寝る時間だ。
NORMAL_039 うん、分かった。
NORMAL_040 洗濯物を取り込まなきゃ。
NORMAL_041 最近読んだ記事にちょっと興味を持ったんだ。
NORMAL_042 散歩日和だね。
NORMAL_043 この交差点を左に曲がれば着くよ。
NORMAL_044 今日中に返事をしなければいけないなあ。
NORMAL_045 冒険者ギルドに寄ってから宿に向かおう。
NORMAL_046 コーヒーと紅茶、どっちにする？
NORMAL_047 もうそんな季節かあ。
NORMAL_048 テーブルの上に鍵を置いておくね。
NORMAL_049 あの店のパンは美味しいよ。
NORMAL_050 少し時間がかかりそうだな。
NORMAL_051 傘を持っていったほうがよさそうだ。
NORMAL_052 今日の気温は16度だって。
NORMAL_053 先に行っていてくれ。
NORMAL_054 ちょっと調べてみるから待ってて。
NORMAL_055 昨日の会議の資料をまとめておいたよ。
NORMAL_056 この辺に駐車場はあるかな。
NORMAL_057 先生、質問があるのですがよろしいですか。
NORMAL_058 隣の席が空いているから座りなよ。
NORMAL_059 のんびりした午後だなあ。
NORMAL_060 あとで電話するね。
NORMAL_061 今日は早めに帰ろうと思っている。
NORMAL_062 お嬢様、お荷物をお持ちいたします。
NORMAL_063 メモしておかないと忘れそうだ。
NORMAL_064 このペースなら間に合うと思うよ。
NORMAL_065 道路が混んでいるから少し迂回しようか。
NORMAL_066 商品の在庫を確認してくるよ。
NORMAL_067 今朝のニュースを見た？
NORMAL_068 うん、そうだね。
NORMAL_069 ここからの眺めは悪くないね。
NORMAL_070 少し肌寒くなってきた。
NORMAL_071 手紙を出しに郵便局まで行ってくるよ。
NORMAL_072 この靴はもう3年も履いているんだ。
NORMAL_073 暖房をつけようか。
NORMAL_074 特に急ぐ用事はないんだけど。
NORMAL_075 夕方には戻るつもりだよ。
NORMAL_076 棚の上のファイルを取ってもらえる？
