CONTEMPT_001 それで本気のつもりなの？冗談にしても笑えないんだけど。
CONTEMPT_002 自分でその言い訳、かっこいいと思って言ってるのか聞いてみたいね。
CONTEMPT_003 何もしないくせに文句だけ一人前って、ある意味才能だよな。
CONTEMPT_004 また他人のせいか。その発想だけはブレなくて感心するよ。
CONTEMPT_005 そんなに自信満々で間違えられるの、逆にすごいと思う。
CONTEMPT_006 口だけ動いて頭は止まってるって、どういう仕組みなんだろうね。
CONTEMPT_007 「頑張ってるつもりです」って便利な言葉だよな、何もしてなくても言えるし。
CONTEMPT_008 その程度でドヤ顔できるメンタル、少し分けてほしいくらいだ。
CONTEMPT_009 何回同じミスすれば気が済むのか、そろそろ回数数えようか。
CONTEMPT_010 期待してないから安心して。がっかりする手間すらもったいないし。
CONTEMPT_011 それ、アドバイスじゃなくてただの自分語りだって気づいてる？
CONTEMPT_012 わざわざ偉そうに言うほどの内容でもないよね、それ。
CONTEMPT_013 上から目線なのはいいけど、足元ぐらいは見て喋ったら？
CONTEMPT_014 その程度の知識で講釈たれるの、聞いててこっちが恥ずかしくなる。
CONTEMPT_015 人の悪口言う前に、自分の発言ログ一回読み返してみたら？
CONTEMPT_016 その「俺は分かってます」みたいな顔、内容が追いついてないよ。
CONTEMPT_017 マウント取りたいなら、もう少し中身を鍛えてからにしてほしいね。
CONTEMPT_018 自分がどれだけ浅い話してるか、自覚ゼロなのが逆にすごい。
CONTEMPT_019 一言でまとめると、薄いのに偉そうって最悪なバランスだよ。
CONTEMPT_020 それは意見じゃなくて、ただのデカい独り言だって理解しような。
CONTEMPT_021 ほらね、結局自分が一番可愛いだけじゃん、その行動。
CONTEMPT_022 口では綺麗ごと言うくせに、やってること全部真逆なの笑う。
CONTEMPT_023 「大変だったアピール」だけは一人前だな、お疲れさま。
CONTEMPT_024 被害者ぶるの得意そうだよね、ちょっとしたことでもすぐに。
CONTEMPT_025 努力してる人ほど黙ってるのに、してない人ほどよく喋るよな。
CONTEMPT_026 自分の都合悪いところだけ、きれいに記憶から消えるタイプでしょ。
CONTEMPT_027 いい人ぶるのは勝手だけど、バレてないと思ってるならだいぶ甘いよ。
CONTEMPT_028 「俺は悪くない」って顔が、状況全部物語ってて逆に面白い。
CONTEMPT_029 誰も責めてないのに、勝手に言い訳始めるのはなんの習性なの。
CONTEMPT_030 そんなに自分を正当化しないと崩れちゃうぐらい、薄いプライドなんだね。
CONTEMPT_031 人の時間を平気で奪っておいて、その態度はさすがにないだろ。
CONTEMPT_032 遅れてきたうえに謝りもしないって、育ちの悪さが顔に出てるぞ。
CONTEMPT_033 「忘れてた」で許される年齢、もうとっくに過ぎてるって気づいてる？
CONTEMPT_034 何度も同じ説明させておいて、そのリアクションはさすがにイラつく。
CONTEMPT_035 自分のミスなのに「仕方ない」で片付けるの、楽でいいよな。
CONTEMPT_036 相手の立場になって考えるって、人生で一度でもしたことある？
CONTEMPT_037 礼儀を知らないってレベルじゃなくて、最初から持ってないんだろうな。
CONTEMPT_038 こちらが譲るのを当たり前だと思ってる時点で、話にならない。
CONTEMPT_039 人を安く扱うやつって、自分の価値も安いって自覚してないよね。
CONTEMPT_040 感謝もできないなら、せめて邪魔だけはしないでいてくれる？
CONTEMPT_041 「忙しいアピール」してる割に、成果が見えないのはどういうこと？
CONTEMPT_042 仕事できる風を装うのにだけ全力なの、見てて逆に感心するわ。
CONTEMPT_043 報告も連絡も相談もできないなら、せめて黙っててくれたほうがマシだ。
CONTEMPT_044 そのレベルでプロ名乗るの、聞いてるこっちがいたたまれないな。
CONTEMPT_045 ミスを隠す時間で、普通に謝ってやり直したほうが早いって分からない？
CONTEMPT_046 会議で喋るだけ喋って、後片付けは全部人任せとか分かりやすいな。
CONTEMPT_047 やる気がないのか能力がないのか、判断に困るラインを攻めてくるよね。
CONTEMPT_048 責任は取りたくないけど口は出したいって、一番面倒なポジションだよ。
CONTEMPT_049 その「俺は悪くない」顔のまま、よく人前に立てるなと正直思う。
CONTEMPT_050 自分が足引っ張ってる自覚、もしかして一ミリもなかったりする？
CONTEMPT_051 テスト前だけ急に仲良くしてくるその感じ、バレてないと思ってる？
CONTEMPT_052 人の答案を当てにする前に、自分のノートくらい開いたらどうだ。
CONTEMPT_053 グループワークで空気みたいな存在のくせに、最後だけ偉そうに語るなよ。
CONTEMPT_054 掃除も準備も丸投げしておいて「楽しかったね」は、さすがに図々しい。
CONTEMPT_055 宿題写させてもらって当然って顔してるの、本気でやめたほうがいい。
CONTEMPT_056 部活には来ないのに、結果だけちゃっかり共有しようとする根性がすごい。
CONTEMPT_057 遅刻の常習犯が「先生うるさいよな」とか言ってるの、もはやギャグだろ。
CONTEMPT_058 授業をつまらなくしてる原因、自分だって可能性は考えたことある？
CONTEMPT_059 「どうせ将来使わないし」とか言って逃げてるの、見てて痛々しい。
CONTEMPT_060 誰よりも頑張ってないやつほど、学校への文句は一人前なんだよな。
CONTEMPT_061 ご主人様に媚びてばかりの連中を見ると、あまりの浅さにため息が出ますね。
CONTEMPT_062 主のお心ではなく、顔色だけ読んで動くその在り方、実に滑稽でございます。
CONTEMPT_063 ご主人様の名を盾にする者ほど、主のことを何一つ理解しておらぬようで。
CONTEMPT_064 口では忠誠を語りながら、雑事一つまともにこなせぬ者の多いこと。
CONTEMPT_065 主の椅子の影からしか物を言えぬ者に、尊敬のかけらも感じませんね。
CONTEMPT_066 ご主人様のご厚意を当然と勘違いしている者には、一度立場を理解させる必要がありそうです。
CONTEMPT_067 主の名を利用して得た信頼など、砂上の楼閣であると気づかぬとは愚かですね。
CONTEMPT_068 ご主人様への不満を陰で漏らしながら、目の前では笑っているその顔、実に見苦しい。
CONTEMPT_069 主を守るふりをして、自分の保身しか考えていない人間の多さには呆れますよ。
CONTEMPT_070 ご主人様に近づく者の品位を測るのも、執事にとってはなかなか骨の折れる仕事でございます。
CONTEMPT_071 自分で選ばなかったくせに、「こんなの望んでない」とかよく言えるな。
CONTEMPT_072 何もしないで文句だけ言う人って、世界の中心が自分だと思ってそうだよね。
CONTEMPT_073 失敗したときだけ過去のトラウマ持ち出してくるの、さすがに都合よすぎない？
CONTEMPT_074 「俺だってつらいんだ」って、それ言えば何でも許されると思ってるでしょ。
CONTEMPT_075 努力してる人を「意識高い」でまとめて叩いてる時点で、だいぶ終わってる。
CONTEMPT_076 本気でやってる人を笑ってる暇があるなら、その時間で少しは動けばいいのに。
CONTEMPT_077 自分より頑張ってる人を見るとすぐ「楽しそうでいいね」とか言うよな。
CONTEMPT_078 やらない理由を探すのだけは、天才的にうまいんだよな、君。
CONTEMPT_079 「本気出せばできるし」とか、一生言ってそうで見てて痛い。
CONTEMPT_080 何も背負ってない人ほど、背負ってる人に偉そうに説教したがるのなんなんだろう。
CONTEMPT_081 人の趣味を馬鹿にしていいほど、自分の人生おもしろいのか聞いてみたい。
CONTEMPT_082 「そんなことにお金使うの？」って、お前の財布からは出てないだろ。
CONTEMPT_083 楽しんでる人をわざわざ冷ます発言しに来るの、本当に暇なんだな。
CONTEMPT_084 価値観の違いを理解するんじゃなくて、全部「くだらない」で片付けるの楽そうだね。
CONTEMPT_085 自分が知らない世界を全部見下してる時点で、成長の余地ゼロだよ。
CONTEMPT_086 「昔はもっとよかった」とか言い始めたら、ただの老害予備軍だって気づこうな。
CONTEMPT_087 何も生み出してないやつほど、創ってる人間の揚げ足取りたがるよな。
CONTEMPT_088 「俺ならもっとやれる」って言う人に限って、一度もやってないの笑う。
CONTEMPT_089 その上から目線、鏡で自分見てからもう一回やってみてほしい。
CONTEMPT_090 嫌なら見なきゃいいだけなのに、わざわざ見に来て文句言うの、もはやファンだろ。
CONTEMPT_091 相手を試すようなことばかりしておいて、「信じてないの？」はさすがに笑う。
CONTEMPT_092 自分の不機嫌をそのままぶつけておいて、理解してくれないとキレるの筋違いだよ。
CONTEMPT_093 人の善意を当たり前だと思ってる時点で、だいぶ終わってるからな。
CONTEMPT_094 構ってもらえないと拗ねるくせに、構われたら面倒くさそうにするの、なんのプレイ？
CONTEMPT_095 謝るくらいなら最初からやるなってレベルのこと、平気で繰り返すなよ。
CONTEMPT_096 「察してほしい」とか言う割に、自分は誰のことも察しようとしないよな。
CONTEMPT_097 「自分は正直なだけ」って、それ単純に配慮がないだけって知ってる？
CONTEMPT_098 その我の強さ、もっとちゃんとした方向に使えたら多少はマシなのに。
CONTEMPT_099 自分の機嫌くらい自分で取れないなら、せめて人前で撒き散らすのやめてくれ。
CONTEMPT_100 いつまでも子どもみたいに騒いでるけど、年齢だけはちゃんと増えてるからな。
CONTEMPT_101 そこまで器ちっちゃいと、逆にどこまで縮むのか興味は湧く。
CONTEMPT_102 自分より下を探すのが趣味みたいな生き方、見ていて窮屈そうだ。
CONTEMPT_103 何かにつけて「普通はさ」と言い出すけど、その普通、どこの世界基準？
CONTEMPT_104 一回自分の発言、録音して聞き返してほしい。相当ダサいから。
CONTEMPT_105 人の欠点だけよく見えるのって、自分を見ないようにしてるからでしょ。
CONTEMPT_106 そこまで他人の粗探しが得意なら、いっそ仕事にでもすればいいのに。
CONTEMPT_107 「自分はマシ」って安心したくて、わざわざ他人を下に見に行ってる感じが痛い。
CONTEMPT_108 誰かを笑いものにしないと、自分の居場所保てないのかわいそうだな。
CONTEMPT_109 人の失敗で盛り上がる飲み会とか、本気で時間の無駄じゃない？
CONTEMPT_110 自分の番になった途端、急に黙るのほんと分かりやすくて笑う。
CONTEMPT_111 ご主人様のご判断を後ろでこそこそ批評するくらいなら、せめて目の前で堂々と言ってみてはどうです。
CONTEMPT_112 主の名を借りて威張り散らす者ほど、ご主人様の一番嫌われるタイプだと気づかぬのですか。
CONTEMPT_113 ご主人様のお言葉の表面だけをなぞって、「理解しているふり」をする者の多いこと。
CONTEMPT_114 主に気に入られたい一心で、周りを踏みにじるその浅ましさ、見ていて胸焼けがいたします。
CONTEMPT_115 ご主人様のためと称しながら、結局自分の評価しか見ていない者など、足手まといでしかありません。
CONTEMPT_116 主の真意を汲み取る努力もせず、命令だけを盾にして動く者の目は、いつも死んでおりますね。
CONTEMPT_117 ご主人様の前では猫をかぶり、背を向けた途端牙をむくような輩に、忠誠など語ってほしくありません。
CONTEMPT_118 主の恩を受けながら、その重みを理解しようともしない者は、客間にも立たせたくないものです。
CONTEMPT_119 ご主人様の笑顔だけを切り取って、自分の都合のよい物語に利用する輩の多さにはうんざりいたします。
CONTEMPT_120 せめて主の名を口にするなら、その品位を少しは意識してもらいたいものですね。
CONTEMPT_121 失礼だけど、その態度でよく人に偉そうにできるなって素直に思う。
CONTEMPT_122 反省してるふりをするのだけは上手いよね、中身が一ミリも変わらないのが問題だけど。
CONTEMPT_123 自分のこと棚に上げすぎて、もはや別の棚になってるレベルだ。
CONTEMPT_124 人を振り回しておいて「そんなつもりはなかった」は、さすがに聞き飽きた。
CONTEMPT_125 自分は被害者だと思ってるうちは、一生加害者側だって気づかないんだろうな。
CONTEMPT_126 言い訳のバリエーションだけやたら豊富なの、ある意味才能の無駄遣いだ。
CONTEMPT_127 謝るより先に自分のつらさ説明し始めるの、本気で意味分からない。
CONTEMPT_128 「分かってくれない」が口癖の人ほど、誰の話もまともに聞いてないよね。
CONTEMPT_129 そこまでして自分を守らないと崩れるプライドって、抱えてる価値ある？
CONTEMPT_130 その場しのぎで塗り固めた嘘が、いつか自分ごと崩れる日が楽しみだね。
CONTEMPT_131 夢語るのは勝手だけど、その前に現実の片付けくらい終わらせたら？
CONTEMPT_132 大きいこと言うわりに、実績が全部「やろうと思ってた」止まりなの笑う。
CONTEMPT_133 口だけで世界救ってる人、そろそろ実績一覧を見せてほしいところだ。
CONTEMPT_134 挑戦する前から「どうせ無理」とか言って、逃げる理由作ってるだけだよな。
CONTEMPT_135 本気でやってる人を「意識高い系」で雑に処理するの、もう古いよ。
CONTEMPT_136 「いつかやる」が一生来ないってことに、薄々気づいてるくせにね。
CONTEMPT_137 批評家気取りで全部語ってるけど、あなたの作品はどこにありますか。
CONTEMPT_138 挑戦してる人を笑う側にいると、安全圏から撃ってる気分で楽なんだろうな。
CONTEMPT_139 誰もあなたに完璧なんて求めてないから、とりあえず動いたら？って感じ。
CONTEMPT_140 何も賭けてない人の「俺ならこうする」は、聞くだけ時間の無駄だ。
CONTEMPT_141 ご主人様の前でだけ賢そうな顔をしてみせる者ほど、裏では一番浅い話しかしませんね。
CONTEMPT_142 主のご厚情に甘えてばかりの方々には、一度鏡をご覧いただきたいものです。
CONTEMPT_143 ご主人様の教えを語りながら、誰よりもそれを守っていない様子は滑稽でさえあります。
CONTEMPT_144 主のお名前を出せば皆が黙ると勘違いしているその態度、実に安っぽい権威主義ですね。
CONTEMPT_145 ご主人様の本心を知らぬまま、「主のため」と口にするのは、ある意味最大の不敬かと存じます。
CONTEMPT_146 主のお言葉を自分の都合よくねじ曲げて広めるなど、噂話と何も変わりませんね。
CONTEMPT_147 ご主人様の信頼を利用して己の地位を高めようとする者ほど、中身は軽く空虚でございます。
CONTEMPT_148 主のそばにいるだけで自分まで偉くなった気でいる様子、見ていて失笑を禁じ得ません。
CONTEMPT_149 ご主人様を理解しているふりをして語る者ほど、主の一番大事な部分を見落としております。
CONTEMPT_150 せめて主の名を盾にするなら、その足元にひざまずけるくらいの覚悟を持ってからにしてほしいものです。
CONTEMPT_151 そこまでして他人を見下さないと、自分を保てないってかなりしんどそうだね。
CONTEMPT_152 相手を「レベル低い」と笑ってる暇があったら、自分のレベル見直したほうが早いよ。
CONTEMPT_153 「あいつは違うんだよ」とか言いながら、実際違うのは自分の努力量だろ。
CONTEMPT_154 人をランク付けして上から順に扱うそのクセ、いつか自分に返ってくるからな。
CONTEMPT_155 ちょっとできない人を見つけた瞬間、嬉しそうに叩きに行くの本当にダサい。
CONTEMPT_156 「あいつは甘えてるだけ」と切り捨てる前に、自分の甘さも見てみたら？
CONTEMPT_157 人の失敗を見て「やっぱりな」とか言うやつ、一番信用できないんだよ。
CONTEMPT_158 その冷笑で守ってるの、プライドじゃなくてただの臆病さだって知ったほうがいい。
CONTEMPT_159 「俺は違うから」とか言ってるけど、外から見たら同じ穴のムジナだよ。
CONTEMPT_160 偉そうにジャッジしてるけど、誰もあなたに審査員頼んでないからね。
CONTEMPT_161 ご主人様を笑う者がいれば、まずその品性の浅さに笑いがこみ上げてまいります。
CONTEMPT_162 主の背中にすら追いつけない者が、遠くから石だけ投げているのは滑稽ですね。
CONTEMPT_163 ご主人様の選択を批判する前に、自分の人生の選択を一度振り返ってみてはいかがでしょう。
CONTEMPT_164 主の信頼を一度でも得たことのある者なら、その重さを茶化すような真似はしないはずです。
CONTEMPT_165 ご主人様の言葉尻だけを切り取って笑う連中に、主の器の大きさは一生理解できないでしょう。
CONTEMPT_166 主の弱さを見て喜ぶような者は、自分の弱さから逃げているだけだと気づいておりません。
CONTEMPT_167 ご主人様の覚悟を知らぬまま、「生ぬるい」と評するその口の軽さには呆れるばかりです。
CONTEMPT_168 主と並び立つ覚悟もない者が、遠くから批評だけしている姿は、なんとも惨めに映ります。
CONTEMPT_169 ご主人様の歩幅に追いつこうともせず、「速すぎる」と嘆いているだけの者に未来はありません。
CONTEMPT_170 主を見下そうとするその視線の低さこそが、自らの器の小ささを雄弁に物語っておりますね。
CONTEMPT_171 自分で何も決められないくせに、他人の決断にはやけに厳しいよね。
CONTEMPT_172 責任を負ってない人ほど、「俺ならもっとマシにやる」とか簡単に言う。
CONTEMPT_173 嫌なら離れればいいだけなのに、わざわざ近くにいて文句だけ言うの本当に謎。
CONTEMPT_174 何をしても気に入らないなら、いっそ鏡に向かって文句言ってきたら？
CONTEMPT_175 応援もしないくせに、結果だけ見て「ほらな」とか言うの、さすがにダサすぎる。
CONTEMPT_176 「俺は客観的に見てるだけ」とか言って、主観まみれの偏見垂れ流してるの笑う。
CONTEMPT_177 全力でやってる人を「必死だな」と笑った瞬間、自分の底が透けて見えるの気づいてる？
CONTEMPT_178 それでもまだ上から目線を続けられるメンタルだけは、素直にすごいと思うよ。
CONTEMPT_179 結局のところ、自分より頑張ってるやつが気に入らないだけだろ。
CONTEMPT_180 人の努力を笑ったぶんだけ、自分の未来はしっかり安っぽくなっていくから安心しろ。
CONTEMPT_181 ご主人様に守られているだけの者が、主の選択を値踏みする様子は見ていて滑稽でございます。
CONTEMPT_182 主のご苦労を知らずに「もっとこうすればいいのに」と語る口は、軽さしか感じませんね。
CONTEMPT_183 ご主人様の歩んできた傷跡を笑い話にしているような者に、寄り添う資格などございません。
CONTEMPT_184 主の覚悟を知らぬ者ほど、「甘い」と評したがるのは、己の臆病さをごまかしたいからでしょう。
CONTEMPT_185 ご主人様の優しさを弱さと勘違いする者には、一度主の怒りを正面から受けていただきたいものです。
CONTEMPT_186 主を試すようなことばかりする者は、自分が試されていることに最後まで気づかないのでしょうね。
CONTEMPT_187 ご主人様の名を軽く扱う者ほど、その名の重みを身をもって知る機会を与えられるものです。
CONTEMPT_188 主の信頼を裏切ってなお、平然としていられる神経の太さだけは、ある意味尊敬に値します。
CONTEMPT_189 ご主人様の在り方を笑う世界など、こちらから願い下げでございますよ。
CONTEMPT_190 主の隣に立つ覚悟もない者たちを見下ろすこの位置は、決して悪い眺めではありませんね。
CONTEMPT_191 人を見下して得られる安心感なんて、安物の防寒具みたいなものだよ、すぐ破ける。
CONTEMPT_192 誰かをバカにするたび、自分の小ささを宣伝して回ってるって、そろそろ気づこう。
CONTEMPT_193 安全な場所から石だけ投げて、自分は傷つかないと思ってるなら相当なお花畑だ。
