id,character_style,intensity,length_chars,punctuation,phoneme_tags,near_pair_group,reading_ease_score
03_SAD_001,girl,strong,30,。,SOKUON;HATSUON;DAKUON,P01,4
03_SAD_002,none,strong,27,。,SOKUON;HATSUON;DAKUON,P01,4
03_SAD_003,girl,mid,29,。,YOUON;SOKUON;HATSUON;DAKUON,P02,4
03_SAD_004,maid,mid,30,。,YOUON;SOKUON;HATSUON;DAKUON,P02,4
03_SAD_005,boy,strong,29,。,SOKUON;HATSUON;DAKUON,P03,4
03_SAD_006,knight,strong,32,。,HATSUON;DAKUON,P03,4
03_SAD_007,friend,mid,33,。,HATSUON;DAKUON,P04,4
03_SAD_008,boy,mid,32,。,DAKUON,P04,4
03_SAD_009,adventurer,strong,27,。,YOUON;DAKUON,P05,4
03_SAD_010,none,strong,33,。,SOKUON;HATSUON;DAKUON,P05,4
03_SAD_011,senpai,mid,30,。,SOKUON;HATSUON;DAKUON,P06,4
03_SAD_012,friend,mid,37,。,SOKUON;HATSUON;DAKUON,P06,4
03_SAD_013,girl,weak,27,。,YOUON;SOKUON;DAKUON,P07,4
03_SAD_014,merchant,weak,33,。,YOUON;SOKUON;DAKUON,P07,4
03_SAD_015,mage,mid,28,。,YOUON;SOKUON;DAKUON,P08,4
03_SAD_016,boy,mid,27,。,YOUON;SOKUON;HATSUON;DAKUON,P08,4
03_SAD_017,boy,mid,34,。,HATSUON;DAKUON,P09,4
03_SAD_018,girl,mid,26,。,YOUON;HATSUON;DAKUON,P09,4
03_SAD_019,maid,weak,25,。,SOKUON;HATSUON;DAKUON,P10,4
03_SAD_020,knight,weak,30,。,SOKUON;HATSUON;DAKUON,P10,4
03_SAD_021,boy,strong,29,。,SOKUON;HATSUON;DAKUON,P11,4
03_SAD_022,swordsman,strong,26,。,YOUON;HATSUON;DAKUON,P11,4
03_SAD_023,girl,weak,25,。,YOUON;SOKUON;HATSUON;DAKUON,P12,4
03_SAD_024,none,weak,27,。,SOKUON;CHOON;DAKUON,P12,4
03_SAD_025,knight,mid,29,。,YOUON;SOKUON;DAKUON,P13,4
03_SAD_026,merchant,mid,28,。,SOKUON;DAKUON,P13,4
03_SAD_027,maid,weak,30,。,SOKUON;HATSUON;DAKUON,P14,4
03_SAD_028,adventurer,weak,27,。,SOKUON;HATSUON;DAKUON,P14,4
03_SAD_029,girl,strong,24,。,DAKUON,,4
03_SAD_030,friend,strong,32,。,SOKUON;HATSUON;DAKUON,,4
03_SAD_031,none,mid,29,。,YOUON;SOKUON;HATSUON;DAKUON,,4
03_SAD_032,maid,mid,31,。,SOKUON;HATSUON;DAKUON,,4
03_SAD_033,boy,weak,27,。,YOUON;SOKUON;DAKUON,,4
03_SAD_034,mage,weak,29,。,HATSUON;DAKUON,,4
03_SAD_035,girl,strong,25,。,YOUON;DAKUON,,4
03_SAD_036,cool,strong,31,。,DAKUON,,4
03_SAD_037,boy,strong,28,！,SOKUON;HATSUON;DAKUON,,4
03_SAD_038,none,strong,33,。,SOKUON;HATSUON;DAKUON,,4
03_SAD_039,maid,mid,31,。,SOKUON;HATSUON;DAKUON;HANDAKUON,,4
03_SAD_040,adventurer,mid,32,。,YOUON;SOKUON;CHOON;DAKUON;HANDAKUON,,4
03_SAD_041,girl,weak,26,。,YOUON;SOKUON;HATSUON;DAKUON;HANDAKUON,,4
03_SAD_042,artisan,weak,28,。,HATSUON;DAKUON,,4
03_SAD_043,none,mid,25,。,HATSUON;DAKUON,,4
03_SAD_044,boy,mid,27,。,HATSUON;DAKUON,,4
03_SAD_045,butler,weak,29,。,DAKUON,,4
03_SAD_046,swordsman,weak,28,。,SOKUON;HATSUON;DAKUON,,4
03_SAD_047,none,mid,28,。,YOUON;SOKUON;HATSUON;DAKUON,,4
03_SAD_048,friend,mid,32,。,SOKUON;HATSUON;DAKUON,,4
03_SAD_049,girl,strong,29,。,HATSUON;DAKUON,,4
03_SAD_050,boy,strong,25,。,SOKUON;HATSUON;DAKUON,,4
03_SAD_051,mage,strong,29,。,SOKUON;HATSUON;DAKUON,,4
03_SAD_052,knight,strong,33,。,YOUON;SOKUON;HATSUON;DAKUON,,4
03_SAD_053,boy,mid,27,。,SOKUON;HATSUON;DAKUON,,4
03_SAD_054,mage,mid,30,。,HATSUON;DAKUON,,4
03_SAD_055,artisan,weak,30,。,SOKUON;DAKUON;HANDAKUON,,4
03_SAD_056,maid,weak,27,。,SOKUON;HATSUON;DAKUON,,4
03_SAD_057,girl,strong,31,。,SOKUON;HATSUON;DAKUON,,4
03_SAD_058,boy,strong,30,。,HATSUON;DAKUON,,4
03_SAD_059,none,weak,31,。,YOUON;SOKUON;DAKUON,,4
03_SAD_060,artisan,weak,27,。,SOKUON;HATSUON,,4
03_SAD_061,girl,strong,31,。,SOKUON;HATSUON;DAKUON,,4
03_SAD_062,swordsman,strong,30,。,YOUON;SOKUON;HATSUON;DAKUON,,4
03_SAD_063,boy,weak,32,。,YOUON;SOKUON;HATSUON;DAKUON;HANDAKUON,,4
03_SAD_064,friend,weak,29,。,YOUON;SOKUON;DAKUON,,4
03_SAD_065,none,strong,29,！,SOKUON;HATSUON;DAKUON,,4
03_SAD_066,cool,strong,24,。,DAKUON,,4
