SAD_001 つらい、胸に冷たい雨が降る。
SAD_002 楽しかった写真ほど、今は見るのがつらい。
SAD_003 毎朝交わしていた挨拶が聞こえないだけで、見慣れた廊下までよそよそしく感じる。
SAD_004 あれほど楽しみにしていた旅なのに、君が来られないと景色まで色を失ってしまう。
SAD_005 君の靴がないだけで、玄関の静けさが胸に刺さるよ。
SAD_006 長い時間をかけて編んだマフラーを渡せぬまま、季節だけが春へ移っていった。
SAD_007 もう会えないのが寂しい…
SAD_008 頑張ったけれど、最後の一歩が届かなかった！
SAD_009 力を尽くしても仲間を守れなかった、その事実が今も私の胸へ重く残っている。
SAD_010 みんなが帰った教室で、ひとり窓を閉めるのは寂しいな。
SAD_011 返事を待つ間に何度も窓を開けたけれど、届くのは冷たい風の音ばかりだった。
SAD_012 先輩、皆の前では平気な顔をしていたのに、ひとりで涙を拭いていたんですね。
SAD_013 あのとき声をかけていたら、変わったのかな？
SAD_014 だめ、今は笑顔を作れない。
SAD_015 大切に焼いたパンが一つも売れず、閉店後の店には香ばしい匂いだけが残っているよ。
SAD_016 ごめん、あんなに育てたつぼみを咲かせられなかった。
SAD_017 魔法で過去へ戻れないと知っているのに、あの日の選択を何度も考えてしまう…
SAD_018 どうして、温かいスープなのに今日は味が分からない。
SAD_019 卒業の日に交わした約束は今も鮮やかなのに、便りはずっと途絶えたままだよ。
SAD_020 君の席だけ空いたままで、目をそらしてしまう…
SAD_021 こんな結果になるなんて、信じたくないよ！
SAD_022 あなたのために整えた部屋を片づけるには、まだ少しだけ時間が必要でございます。
SAD_023 諦めずに練習した曲ほど本番で失敗した悔しさが強く、拍手にも顔を上げられない。
SAD_024 まだ、送れなかった手紙を机から出せずにいる。
SAD_025 ああ、森の奥で見つけた泉は枯れていて、妖精たちの歌声ももう聞こえないよ。
SAD_026 うそ、約束まで消えちゃった…
SAD_027 家族へ元気だと書いた手紙の端に、こらえきれない涙が一滴落ちてにじんだよ。
SAD_028 ご主人さまのいない屋敷は、音まで寂しいです。
SAD_029 ずっと一緒に直してきたこの船を手放すなんて、板をなでる手がどうしても止まらない。
SAD_030 帰る場所はもうない…今夜も、ひとりで夜空を見上げるしかない。
SAD_031 先輩の背中が遠くなり、何を言えば良かったの？
SAD_032 こんな別れ方をするくらいなら、あのとき意地を張らず素直に話せば良かった！
SAD_033 そんな、せっかく直した器が手の中で割れちゃった。
SAD_034 雨上がりの水たまりにふたりの傘が映っていた道を、今日はひとりで歩いている。
SAD_035 弟子たちが巣立ったことは喜ばしいのに、静かな工房へ戻ると胸が寂しくなる。
SAD_036 返事はまだ来ないの？
SAD_037 この本を開くたび、君との思い出があふれてくる…
SAD_038 最後まで希望を捨てなかった仲間へ、助けが間に合わなかったことを謝りたい。
SAD_039 つらいな、友達の輪に入れず笑い声だけ聞いていた。
SAD_040 先生にもらったノートを開けば励ましの言葉が並び、会えない寂しさがこみ上げる。
SAD_041 苦しい、心に穴が空いたみたい。
SAD_042 剣を置く日が来るとは、考えもしなかった。
SAD_043 祭りのフィナーレを告げる花火が上がるたび、楽しい時間が遠ざかっていくよ。
SAD_044 君が大切にしていた花へ水をあげながら、伝えそびれた言葉を心の中で繰り返す。
SAD_045 君は来ないのかな、約束の場所で待つ時間だけが過ぎていく。
SAD_046 城を守る任務は果たしたが、戻らなかった友の席を見ると勝利を喜べずつらい。
SAD_047 今日は少し泣かせて…
SAD_048 あんなに練習したのに、舞台へ立てないの？
SAD_049 努力は無駄ではないと分かっていても、届かなかった結果をすぐには受け入れられない。
SAD_050 お客さまの足が途絶え、店が広く感じないか？
SAD_051 ご注文の品を完成させたのに、受け取り手は来ないまま、私は夕暮れまで扉を見ている。
SAD_052 初めて負けたことより、応援してくれた人をがっかりさせたと思うのがつらい。
SAD_053 お願い、止まった時計まで別れを告げないで。
SAD_054 もう、思い出しか残ってない。
SAD_055 ぴかぴかに磨いた靴を履く日が来ないまま、箱の中へそっと戻すことになった。
SAD_056 名簿から仲間の名前が消えてる、見ているだけで苦しい。
SAD_057 朝食の席に置かれた空のカップが、家族の減った静けさを何より強く語っている。
SAD_058 私の魔法では、この花を救えなかった…
SAD_059 橋が流されて故郷へ戻れない…向こう岸の灯りは見えるのに、今夜もここでひとりなのか。
SAD_060 先生の優しい言葉ほど、今は胸にしみます。
SAD_061 このリボン、雨にぬれて力なく揺れてるね。
SAD_062 仲直りの言葉を考えているうちに相手は町を去り、もう一度会えるかも分からない。
SAD_063 せめて無事だと知らせてくれればいい、待ち続ける夜はあまりにも長すぎるよ！
SAD_064 あの景色を、もう一度一緒に見たかった。
SAD_065 あの日もらったリボンの色は少し薄れたけれど、結んでくれた手の温かさは忘れない。
SAD_066 努力が届かなくて悔しい！
SAD_067 折れた剣を抱いて戻ってきたけれど、守れなかった門を前にすると、涙をこらえられない。
SAD_068 頼られなくなったことが、こんなに寂しい…
SAD_069 どれほど丁寧に入れたティーでも、お客さまのいない午後には香りが寂しく漂う。
SAD_070 皆を守れなかった私に、騎士としての誇りなど残っているのか？
SAD_071 さよなら、遠ざかる船へ手を振ったら笑顔が崩れた。
SAD_072 いつか一緒に見ようと取っておいた本を、ひとりで開く勇気がまだ持てないよ。
SAD_073 期待に応えられず、本当に申し訳ありません。
SAD_074 期待していた知らせが届かず、何度も確認した手紙箱のふたをそっと閉じたよ。
SAD_075 小さな失敗だと笑ってくれた友がいない今、同じ言葉を自分へ言うのは難しい。
SAD_076 寂しい、この部屋は広すぎる。
SAD_077 お気に入りのカップまで割れて、朝が色あせたみたい。
SAD_078 救えなかった森に花の種をまいたけれど、芽吹く日を見ないまま私は旅立つよ…
SAD_079 もう少しだけ、ここで待っていてもいいかな？
SAD_080 家へ続く道は変わっていないのに、迎えてくれる声がないだけで足取りが重い。
SAD_081 待って、夢が遠くへ逃げていく。
