LAZY_001 今日はずっと寝てたい…
LAZY_002 この重い荷物、明日運ぶことにしない？
LAZY_003 朝から机の上に書類が積まれているけど、眺めているだけでもう十分に働いた気がするよ。
LAZY_004 朝ごはんは、座ったまま食べられる物がいい。
LAZY_005 旅の準備を始めるつもりだったのに、空のかばんを広げたところで眠くなってしまった。
LAZY_006 もう起きなきゃだめ？
LAZY_007 もう無理、今日は1歩も外へ出たくない。
LAZY_008 今日は雨がやんでも風が止まっても、このソファから動かずのんびりしていたい…
LAZY_009 会議の資料は読みましたが、考える力が残っていないので結論は午後にしてください。
LAZY_010 洗濯物は見なかったことにして昼寝しよう。
LAZY_011 朝食を作ろうと台所まで来たけれど、棚を開けるのが面倒で水だけ飲んで戻ります。
LAZY_012 急がなくても、夕方までには着くだろう。
LAZY_013 動くのは後にしよう。
LAZY_014 お嬢様、午前の訪問予定はすべて午後へ移し、朝はゆっくりお休みになりませんか。
LAZY_015 この椅子が快適すぎて、立つ理由が見つからない。
LAZY_016 森の向こうに町が見えているけど、下り坂でも歩く気がしないから馬車を待とう。
LAZY_017 会議は私が起きてから始めてもらえない？
LAZY_018 師匠から借りた魔術書は机に置いたままで、まだ表紙の文字しか読んでいません。
LAZY_019 今日は休みだから、どんな依頼も明日に回すよ。
LAZY_020 先生、宿題を忘れたわけではなく、始めどきを昨日からずっと探しているだけです。
LAZY_021 今日はもう休むよ。
LAZY_022 昼食を作るより、残ったパンで済ませたい。
LAZY_023 騎士の鎧は立派だと思うけれど、着るだけで疲れるので今日は軽い上着で十分だ。
LAZY_024 雨の音を聞いていたら、ますます眠くなった。
LAZY_025 このペンダントを磨けばきれいになるけど、今の少しくもった感じも悪くないと思う。
LAZY_026 雨が窓をたたく音を聞いていると、予定を全部取り消して昼寝したくなりますね。
LAZY_027 お嬢様、午後の予定は少なめにいたしましょう。
LAZY_028 ベッドのそばに水を置き忘れたけど、台所まで行くより喉の渇きを我慢したい。
LAZY_029 鎧は重いから、今日は着ないことにするよ。
LAZY_030 工房の道具はきれいに並んでいるから、今日は何も触らず眺めるだけにしておこう。
LAZY_031 何もする気がしない。
LAZY_032 本を開いたまま、1ページも進んでいません。
LAZY_033 君がなくした鍵は棚の上に見えるけど、椅子を運ぶ元気が出るまで待ってほしい。
LAZY_034 風のない湖に小舟を出したものの、こぐのが面倒なので岸辺をゆっくり漂っています。
LAZY_035 あの坂を上るなら、馬車を待った方がよくない？
LAZY_036 子犬がひざの上で眠ってしまったから、仕事へ戻れないということにしておきます。
LAZY_037 先輩、課題は昼寝の後でも間に合いますよね。
LAZY_038 魔術書には便利な呪文がたくさんあるのに、長い詠唱を読むだけで疲れてしまうよ。
LAZY_039 魔法で片づくなら、最初からそうしてほしい。
LAZY_040 今日の星空はきれいらしいけど、窓を開けるのも寒そうだから明日の話で聞かせて。
LAZY_041 布団から出たくない…
LAZY_042 今日は腕が重いので、剣の稽古は見学します。
LAZY_043 見張り台へ上る階段が長すぎるので、今夜は下から空を見て異常なしと報告します。
LAZY_044 冒険は逃げないから、まずここで休もうぜ。
LAZY_045 庭の花へ水をあげる時間だけど、雨雲が来そうなので自然に任せることにしました。
LAZY_046 返事は明日でいいよ。
LAZY_047 もう起こさないで、夢の続きを見ていたい…
LAZY_048 画面の汚れを拭けば明るくなるけれど、今は少し暗い方が目に優しくて楽なんだ。
LAZY_049 旅の途中で見つけた木陰が快適すぎて、目的地へ着く理由を忘れそうになっています。
LAZY_050 返事を書く気力が、まだ戻ってこない…
LAZY_051 あなたの長い手紙へ返事を書きたいけれど、便せんを選ぶところでもう疲れたよ…
LAZY_052 このソファから指示を出してもいいですか？
LAZY_053 もう全部、後回しでいいや。
LAZY_054 朝露が消えるまでに出発する予定でしたが、もう消えたので明日の朝に変更します。
LAZY_055 夕飯は温めるだけのスープで十分ですよ。
LAZY_056 この古いオルゴールは手で回す必要があるから、最初の1曲だけで休憩にしました。
LAZY_057 隊長、今日の長い見回りは半分にしませんか。
LAZY_058 友人たちは冒険の計画で盛り上がっていますが、私は宿で留守番する役を選びます。
LAZY_059 工房まで歩くのが面倒で、道具を取りに行けない。
LAZY_060 お客様のお部屋は整えましたので、残りの廊下は午後の担当へ任せてもよろしいですか。
LAZY_061 お茶、取ってくれる？
LAZY_062 その話、横になって聞いてもいいですか？
LAZY_063 竜の背中なら山を越えられるけど、乗るために塔まで上るのが面倒で迷っている。
LAZY_064 カーテンを開けるのは、もう少し後でいい。
LAZY_065 誰かに相談すれば早く決まりそうですが、説明するだけで疲れそうなので保留にします。
LAZY_066 ピアノの練習を始めたものの、椅子の座り心地が良くて指を動かす気になれません。
LAZY_067 朝の予定を全部まとめて午後へ移せませんか？
LAZY_068 隊長から届いた指示は読みましたが、返事を書く前に温かいお茶を1杯飲ませてください。
LAZY_069 今日は難しい書類を1枚も見ないと決めたよ。
LAZY_070 眠そうな猫が隣で欠伸をしたので、今日はこのまま一緒に昼寝するのが正解でしょう。
LAZY_071 立つのも面倒だな。
LAZY_072 ペンを拾うだけなのに、ひどく遠く感じる。
