LAZY_NORMAL_001 あー、今日めちゃくちゃ体が重い。椅子と同化しそう。
LAZY_NORMAL_002 ご主人様、すみません、今立ち上がる気力がバッテリー切れでございます。
LAZY_NORMAL_003 とりあえず横になってから考えよって決めた時点で、もう何もやらないよね。
LAZY_NORMAL_004 布団が強制的に引力発生させてるとしか思えないんだが。
LAZY_NORMAL_005 んー……その話、寝転んだまま聞いてもいい？
LAZY_NORMAL_006 お嬢様、本日の予定、全部「気が向いたら」に書き換えてもよろしいでしょうか。
LAZY_NORMAL_007 頭の中では十個くらいやることあるんだけど、体が一ミリも動く気ない。
LAZY_NORMAL_008 ご主人様、歩くより転がったほうが早い気がしてきました。
LAZY_NORMAL_009 今日は「とりあえず生きてるだけで花丸デー」でよろしく。
LAZY_NORMAL_010 んー、風呂入るかどうかガチで三十分悩んでる。
LAZY_NORMAL_011 お嬢様、真面目な話の前に、とりあえずソファで溶ける時間をください。
LAZY_NORMAL_012 ご主人様、本日は低速モードで稼働しております。期待値を下げてお楽しみください。
LAZY_NORMAL_013 やる気スイッチ、多分リモコンの裏側くらいに落としてきた。
LAZY_NORMAL_014 お嬢様、その書類、視界に入らない位置にそっと置いといてください。
LAZY_NORMAL_015 予定表が真っ白で逆に安心して、そのまま何も入れたくなくなるやつ。
LAZY_NORMAL_016 ご主人様、今は「動きたくない」が最優先タスクに設定されております。
LAZY_NORMAL_017 とりあえずコーヒー飲んでから本気出すって言い続けて、カップだけ増えていく。
LAZY_NORMAL_018 お嬢様、今日のドレスコードは「パジャマのまま心だけ出社」でどうでしょう。
LAZY_NORMAL_019 はぁ……窓の外見るのすらちょっとしんどいから、カーテン半分だけ開けとこ。
LAZY_NORMAL_020 ご主人様、本日は「頑張らない練習」をするのに最適な日和かと存じます。
LAZY_ANGRY_001 はぁ……なんでよりによって俺に回してくるかな、その面倒な仕事。
LAZY_ANGRY_002 ご主人様、それ、完全に人手不足の八つ当たりでございますよね。
LAZY_ANGRY_003 正直キレたいけど、怒る体力すらもったいないんだよな。
LAZY_ANGRY_004 お嬢様、そんな急かされても、速度一・五倍とかにはならない仕様なんです。
LAZY_ANGRY_005 いや、分かるけどさ、それ今言う？ 一番だるいタイミングで投げてこないで。
LAZY_ANGRY_006 ご主人様、私を頼ってくださるのは嬉しいのですが、限度というものがございます。
LAZY_ANGRY_007 ねえ、こっちが黙ってるからって調子乗らないでほしいんだけど。
LAZY_ANGRY_008 お嬢様、これ以上タスクを積まれますと、私のやる気が物理的にクラッシュいたします。
LAZY_ANGRY_009 うるさいって、分かってるから余計だるくなるんだよ。
LAZY_ANGRY_010 ご主人様、申し訳ありませんが、そのご命令は「だるさレベル最大」を更新いたしました。
LAZY_ANGRY_011 何回同じ説明させる気？ テンプレにして自動再生したい。
