id,character_style,intensity,length_chars,punctuation,phoneme_tags,near_pair_group,reading_ease_score
01_JOY_001,girl,strong,33,。,SOKUON;HATSUON;DAKUON;HANDAKUON,,4
01_JOY_002,mage,mid,31,。,YOUON;SOKUON;HATSUON;DAKUON,,5
01_JOY_003,merchant,mid,28,。,SOKUON;HATSUON;CHOON;DAKUON,,3
01_JOY_004,cool,weak,27,。,DAKUON,,3
01_JOY_005,teacher,mid,27,。,HATSUON;DAKUON,,5
01_JOY_006,friend,strong,26,！,SOKUON;HATSUON;DAKUON,,3
01_JOY_007,knight,mid,31,。,YOUON;HATSUON;DAKUON,,5
01_JOY_008,senpai,weak,26,。,YOUON;DAKUON,P15,4
01_JOY_009,none,weak,30,。,DAKUON,P17,3
01_JOY_010,senpai,strong,33,！,YOUON;SOKUON;DAKUON;HANDAKUON,,4
01_JOY_011,butler,mid,29,。,HATSUON;DAKUON,,4
01_JOY_012,teacher,mid,34,。,YOUON;SOKUON;DAKUON,,3
01_JOY_013,merchant,strong,32,！,YOUON;HATSUON;DAKUON,,3
01_JOY_014,boy,strong,31,！,YOUON;SOKUON;CHOON;DAKUON,,3
01_JOY_015,maid,weak,31,。,SOKUON;DAKUON,,5
01_JOY_016,girl,weak,28,！,YOUON;SOKUON;HATSUON;DAKUON,,5
01_JOY_017,none,strong,33,！,YOUON;SOKUON;HATSUON;CHOON;DAKUON;HANDAKUON;GAIRAION,,3
01_JOY_018,boy,strong,30,！,YOUON;SOKUON;CHOON;DAKUON,,4
01_JOY_019,friend,weak,20,。,SOKUON;HATSUON;DAKUON,P04,4
01_JOY_020,girl,weak,30,。,SOKUON;HATSUON;DAKUON;HANDAKUON,P18,5
01_JOY_021,senpai,weak,25,。,YOUON;DAKUON,P10,5
01_JOY_022,teacher,mid,34,。,YOUON;SOKUON;HATSUON;DAKUON,,5
01_JOY_023,girl,strong,27,！,HATSUON;DAKUON,,4
01_JOY_024,boy,mid,31,。,SOKUON;HATSUON;DAKUON,,3
01_JOY_025,senpai,weak,30,。,SOKUON;HATSUON;DAKUON,,4
01_JOY_026,friend,mid,28,。,HATSUON;DAKUON,,3
01_JOY_027,knight,strong,30,。,DAKUON,,4
01_JOY_028,maid,weak,27,。,HATSUON;DAKUON,P14,4
01_JOY_029,boy,strong,19,。,YOUON;SOKUON;HATSUON;DAKUON,P01,4
01_JOY_030,mage,weak,25,。,YOUON;SOKUON;HATSUON;DAKUON,P15,5
01_JOY_031,girl,weak,30,。,SOKUON;HATSUON;CHOON;DAKUON,,3
01_JOY_032,boy,strong,36,！,YOUON;SOKUON;HATSUON;DAKUON,,5
01_JOY_033,none,mid,33,。,SOKUON;HATSUON;DAKUON;HANDAKUON,,5
01_JOY_034,merchant,strong,25,！,YOUON;HATSUON;DAKUON,P11,4
01_JOY_035,boy,strong,30,！,YOUON;SOKUON;HATSUON;CHOON;DAKUON,,4
01_JOY_036,artisan,strong,29,！,SOKUON;HATSUON;DAKUON,P12,5
01_JOY_037,friend,mid,31,。,SOKUON;HATSUON;DAKUON,,5
01_JOY_038,girl,strong,32,！,YOUON;HATSUON;CHOON;DAKUON;HANDAKUON;GAIRAION,,5
01_JOY_039,girl,strong,30,！,YOUON;SOKUON;CHOON;DAKUON;HANDAKUON,,5
01_JOY_040,adventurer,mid,31,。,YOUON;SOKUON;HATSUON;DAKUON,,4
01_JOY_041,mage,mid,33,。,YOUON;SOKUON;DAKUON;HANDAKUON,,4
01_JOY_042,none,weak,33,。,DAKUON,,5
01_JOY_043,cool,weak,34,。,SOKUON;HATSUON;DAKUON,,5
01_JOY_044,girl,strong,19,！,YOUON;SOKUON;HATSUON;CHOON;DAKUON,P01,3
01_JOY_045,girl,mid,23,！,YOUON;SOKUON;DAKUON,P06,5
01_JOY_046,cool,mid,31,！,YOUON;DAKUON,,5
01_JOY_047,adventurer,strong,34,！,SOKUON;HATSUON;CHOON;DAKUON,,4
01_JOY_048,boy,mid,29,。,YOUON;SOKUON;HATSUON;CHOON;DAKUON;HANDAKUON,P16,5
01_JOY_049,boy,strong,25,！,YOUON;SOKUON;HATSUON;DAKUON,,4
01_JOY_050,girl,strong,28,！,HATSUON;CHOON;DAKUON,,3
01_JOY_051,adventurer,strong,27,！,YOUON;SOKUON;HATSUON;DAKUON,,3
01_JOY_052,girl,strong,26,！,SOKUON;CHOON;DAKUON,,5
01_JOY_053,friend,strong,33,？,YOUON;HATSUON;CHOON;DAKUON,,4
01_JOY_054,swordsman,mid,35,。,HATSUON;DAKUON,,5
01_JOY_055,swordsman,mid,31,。,YOUON;HATSUON;DAKUON;HANDAKUON,,4
01_JOY_056,maid,weak,34,。,HATSUON;DAKUON,,5
01_JOY_057,boy,strong,30,！,YOUON;SOKUON;HATSUON;DAKUON;HANDAKUON,,4
01_JOY_058,swordsman,mid,31,？,SOKUON;HATSUON;CHOON;DAKUON,,3
01_JOY_059,merchant,mid,36,。,YOUON;SOKUON;HATSUON;DAKUON;GAIRAION,,4
01_JOY_060,friend,strong,25,！,YOUON;HATSUON;DAKUON,P13,4
01_JOY_061,friend,weak,31,。,SOKUON;HATSUON;DAKUON;HANDAKUON,,4
01_JOY_062,butler,weak,33,。,HATSUON;DAKUON,,3
01_JOY_063,swordsman,mid,28,！,YOUON;SOKUON;HATSUON;DAKUON,,3
01_JOY_064,teacher,mid,27,。,HATSUON;DAKUON,,3
01_JOY_065,cool,mid,37,。,YOUON;HATSUON;DAKUON,,4
01_JOY_066,boy,strong,26,！,YOUON;SOKUON;DAKUON,,4
01_JOY_067,mage,strong,29,！,YOUON;SOKUON;HATSUON;DAKUON;HANDAKUON,P19,4
01_JOY_068,friend,strong,25,！,YOUON;SOKUON;HATSUON;DAKUON;HANDAKUON,P06,5
01_JOY_069,teacher,mid,33,。,YOUON;HATSUON;CHOON;DAKUON,,3
01_JOY_070,mage,weak,33,。,YOUON;SOKUON;HATSUON;CHOON;DAKUON;HANDAKUON,,3
01_JOY_071,maid,mid,33,。,YOUON;SOKUON;DAKUON,,4
01_JOY_072,friend,strong,33,！,SOKUON;HATSUON;DAKUON,,3
01_JOY_073,knight,mid,34,。,HATSUON;DAKUON,,3
01_JOY_074,none,mid,31,。,YOUON;SOKUON;HATSUON;CHOON;DAKUON,,4
01_JOY_075,merchant,mid,37,。,YOUON;SOKUON;HATSUON;DAKUON,,3
01_JOY_076,adventurer,strong,31,！,DAKUON,,3
01_JOY_077,mage,strong,26,！,YOUON;HATSUON;DAKUON,,4
01_JOY_078,girl,strong,31,！,YOUON;SOKUON;HATSUON;DAKUON,,4
01_JOY_079,girl,strong,30,！,YOUON;SOKUON;HATSUON;DAKUON;HANDAKUON,,3
01_JOY_080,maid,weak,34,。,YOUON;DAKUON,,4
01_JOY_081,knight,mid,42,。,YOUON;HATSUON;DAKUON,,4
01_JOY_082,girl,strong,32,！,YOUON;SOKUON;DAKUON;HANDAKUON,,3
01_JOY_083,knight,mid,29,。,YOUON;SOKUON;HATSUON;DAKUON,,3
01_JOY_084,teacher,mid,29,！,SOKUON;HATSUON;DAKUON,P19,3
01_JOY_085,swordsman,strong,24,！,SOKUON;HATSUON;DAKUON,P03,5
01_JOY_086,maid,strong,29,！,YOUON;SOKUON;HATSUON;DAKUON,P20,5
01_JOY_087,teacher,mid,27,！,DAKUON,P14,3
01_JOY_088,boy,strong,29,！,SOKUON;HATSUON;CHOON;DAKUON,,3
01_JOY_089,boy,strong,28,！,YOUON;SOKUON;HATSUON;DAKUON,,5
01_JOY_090,artisan,mid,32,！,SOKUON;HATSUON;DAKUON,,5
01_JOY_091,none,weak,31,。,SOKUON;HATSUON;DAKUON,,3
01_JOY_092,boy,strong,36,！,SOKUON;HATSUON;DAKUON,,4
01_JOY_093,girl,strong,26,！,SOKUON;DAKUON,P16,4
01_JOY_094,none,mid,35,。,SOKUON;HATSUON;DAKUON,,4
01_JOY_095,boy,strong,32,！,SOKUON;HATSUON;DAKUON,,4
01_JOY_096,artisan,mid,33,。,YOUON;HATSUON;DAKUON;HANDAKUON,,3
01_JOY_097,teacher,strong,26,！,YOUON;DAKUON,P07,5
01_JOY_098,teacher,mid,28,。,YOUON;HATSUON;DAKUON,,3
01_JOY_099,girl,strong,31,！,SOKUON;HATSUON;DAKUON,,3
01_JOY_100,girl,weak,31,。,HATSUON;DAKUON;HANDAKUON,,5
01_JOY_101,adventurer,strong,33,！,YOUON;SOKUON;HATSUON;CHOON;DAKUON,,5
01_JOY_102,girl,mid,30,。,YOUON;SOKUON;HATSUON;CHOON;DAKUON,,5
