ANGRY_001 ふざけるのも大概にしろよ。
ANGRY_002 何回同じこと言わせるんだ。
ANGRY_003 いい加減にしてくれ。もううんざりなんだよ。
ANGRY_004 お前のせいで全部台無しだ。
ANGRY_005 黙れ。もう何も聞きたくない。
ANGRY_006 こんなことになるなんて、信じられないよ。
ANGRY_007 約束を破るなんて最低だ。
ANGRY_008 勝手なことばかりして、呆れて物が言えない。
ANGRY_009 なんで分かってくれないんだ。
ANGRY_010 お前には本当に失望した。
ANGRY_011 いつまで待たせるつもりなんだ。
ANGRY_012 もう二度と顔も見たくない。
ANGRY_013 ご主人様、これ以上の無礼は許せません。
ANGRY_014 言い訳ばかりして、情けないと思わないのか。
ANGRY_015 今すぐここから出ていけ。
ANGRY_016 誰のせいでこうなったと思ってるんだ。
ANGRY_017 この裏切り者め。許さないからな。
ANGRY_018 調子に乗るのもいい加減にしろ。
ANGRY_019 お前みたいな奴、二度と信用しない。
ANGRY_020 こっちの気持ちも考えろよ。
ANGRY_021 どうしてこんなことになったんだ。
ANGRY_022 もう限界だ。これ以上は我慢できない。
ANGRY_023 やってられるか。勝手にしろ。
ANGRY_024 お前のその態度が気に入らないんだよ。
ANGRY_025 こんな結果になるとは思わなかった。
ANGRY_026 責任を取れ。逃げるな。
ANGRY_027 いつもいつも同じミスを繰り返して。
ANGRY_028 何様のつもりだ。
ANGRY_029 これだから信用できないんだ。
ANGRY_030 文句があるなら直接言えよ。
ANGRY_031 もう知らない。勝手にやってくれ。
ANGRY_032 こんなはずじゃなかったのに。
ANGRY_033 お嬢さま、この者の無礼はあまりにも過ぎます。
ANGRY_034 許せない。絶対に許せないからな。
ANGRY_035 自分が何をしたか分かってるのか。
ANGRY_036 舐めてるのか。本気で怒ってるんだぞ。
ANGRY_037 もう聞きたくない。これ以上言い訳するな。
ANGRY_038 嘘ばかりついて、よく平気でいられるな。
ANGRY_039 お前のせいで全員が迷惑してるんだ。
ANGRY_040 もう顔も見たくないくらい腹が立ってる。
ANGRY_041 こんなことで時間を無駄にしたくない。
ANGRY_042 いい加減目を覚ませ。
ANGRY_043 何度注意しても直らないじゃないか。
ANGRY_044 こっちは本気なんだよ。分かってるのか。
ANGRY_045 お前には心底失望した。
ANGRY_046 もう二度とこんな思いはしたくない。
ANGRY_047 どうしてそんなことができるんだ。
ANGRY_048 人をバカにするのもいい加減にしろよ。
ANGRY_049 こんな扱いを受ける覚えはない。
ANGRY_050 消えろ。今すぐここから消えてくれ。
ANGRY_051 ご主人様をこれ以上お困らせするわけにはいきません。
ANGRY_052 お前の態度には我慢の限界だ。
ANGRY_053 もう帰ってくるな。
ANGRY_054 どの口でそんなことが言えるんだ。
ANGRY_055 謝れば済むと思ってるのか。
ANGRY_056 こんな思いをさせやがって。
ANGRY_057 誰が許すって言った。勝手に決めるな。
ANGRY_058 お前なんかに期待した俺が馬鹿だった。
ANGRY_059 これ以上迷惑をかけるな。
ANGRY_060 いつまでそんな態度を続ける気だ。
ANGRY_061 もう我慢できない。限界を超えてる。
ANGRY_062 なんでこんなことになるんだよ。
ANGRY_063 お前のやり方には納得できない。
ANGRY_064 こんなことは二度とごめんだ。
ANGRY_065 許さない。絶対に許さないからな。
ANGRY_066 自分のしたことに責任を持て。
ANGRY_067 こんな結果になるなんて思ってもみなかった。
ANGRY_068 お前には本当に腹が立つ。
ANGRY_069 もう聞きたくない。黙ってろ。
ANGRY_070 どうしてそんな嘘をつくんだ。
ANGRY_071 こっちの身にもなってみろよ。
ANGRY_072 あんたのせいで全部おかしくなった。
ANGRY_073 もう関わりたくない。
ANGRY_074 いつになったら分かるんだ。
ANGRY_075 この状況をどう説明するつもりだ。
ANGRY_076 お嬢さま、このような無礼は看過できません。
ANGRY_077 お前みたいな奴とは一緒にいられない。
ANGRY_078 こんな扱いは受け入れられない。
ANGRY_079 ふざけたことばかり言いやがって。
ANGRY_080 もう十分だ。これ以上は無理だ。
ANGRY_081 どれだけ迷惑かけたら気が済むんだ。
ANGRY_082 こんなことで怒らせるなよ。
ANGRY_083 お前のその無責任な態度が許せない。
ANGRY_084 こっちは真剣なのに、お前は何なんだ。
ANGRY_085 もう我慢の限界を超えてる。
ANGRY_086 こんなことになるとは思わなかった。
ANGRY_087 お前には本当にうんざりだ。
ANGRY_088 何がしたいんだ。はっきりしろ。
ANGRY_089 こんな仕打ちをされるとは思わなかった。
ANGRY_090 もう信用できない。何も信じられない。
ANGRY_091 いつまでこんなことを続けるつもりだ。
ANGRY_092 自分がどれだけ迷惑かけてるか分かってるのか。
ANGRY_093 許せるわけないだろ。
ANGRY_094 こんなことで時間を無駄にしたくない。
ANGRY_095 お前のせいでこんなことになったんだ。
ANGRY_096 もう関係ない。勝手にしてくれ。
ANGRY_097 どうしてそんなことができるんだよ。
ANGRY_098 こんな扱いは二度とごめんだ。
ANGRY_099 お前には心の底から失望した。
ANGRY_100 もう何も期待していない。
ANGRY_101 ご主人様、この無礼者を許すわけにはいきません。
ANGRY_102 こんなことで怒らせて、どう責任を取るつもりだ。
ANGRY_103 もう顔も見たくないくらい腹立たしい。
ANGRY_104 何度も何度も同じことを繰り返して。
ANGRY_105 お前のその言い方が気に入らない。
ANGRY_106 こんなことになるなんて、考えもしなかった。
ANGRY_107 もう我慢できない。これが最後だ。
ANGRY_108 いつまで待たせるつもりなんだよ。
ANGRY_109 お前なんかに構ってる暇はない。
ANGRY_110 こんな結果を招いたのは誰のせいだ。
ANGRY_111 勝手なことばかりして、よく平気でいられるな。
ANGRY_112 もう二度と関わりたくない。
ANGRY_113 どの面下げてそんなことが言えるんだ。
ANGRY_114 お前には本当にがっかりだ。
ANGRY_115 こんなことで時間を無駄にするな。
ANGRY_116 いい加減にしないと本気で怒るぞ。
ANGRY_117 もう限界だ。これ以上は耐えられない。
ANGRY_118 お前のその態度が許せないんだ。
ANGRY_119 こんなことは二度としないでくれ。
ANGRY_120 何を考えてそんなことをしたんだ。
ANGRY_121 もう信じられない。何も信じられないよ。
ANGRY_122 こんな扱いを受けるいわれはない。
ANGRY_123 お嬢さま、この者には制裁が必要です。
ANGRY_124 お前のせいで全部めちゃくちゃだ。
ANGRY_125 もう帰ってこなくていい。
ANGRY_126 どうしてこんなことになったんだよ。
ANGRY_127 お前には本当に腹が立って仕方がない。
ANGRY_128 こんなことで怒らせるなんて、どういうつもりだ。
ANGRY_129 もう何も言いたくない。
ANGRY_130 いつまでそんな調子でいるつもりだ。
ANGRY_131 お前のその無責任さが許せない。
ANGRY_132 こんな結果になるなんて、信じられない。
ANGRY_133 もう我慢の限界を超えてるんだ。
ANGRY_134 何がしたいのか、はっきりさせろ。
ANGRY_135 こんなことは許されることじゃない。
ANGRY_136 お前には本当に失望しかない。
ANGRY_137 もう関わりたくない。勝手にやってくれ。
ANGRY_138 どうしてそんな嘘をつけるんだ。
ANGRY_139 こんな扱いは受け入れられるわけがない。
ANGRY_140 もう二度と同じ過ちを繰り返すな。
ANGRY_141 お前のせいでこんなことになったんだぞ。
ANGRY_142 いい加減にしろ。もう限界だ。
ANGRY_143 こんなことで時間を無駄にしたくない。
ANGRY_144 お前には本当にうんざりしてる。
ANGRY_145 もう信用できない。何も信じられないよ。
ANGRY_146 ご主人様、これ以上の侮辱は許しません。
ANGRY_147 どれだけ迷惑かけたら分かるんだ。
ANGRY_148 こんなことは二度とごめんだ。
ANGRY_149 お前のその態度には我慢できない。
ANGRY_150 もう何も期待していないから。
ANGRY_151 いつまでそんなことを続けるつもりなんだ。
ANGRY_152 お前には心底失望した。
ANGRY_153 こんな結果を招いたのは誰だ。
ANGRY_154 もう我慢できない。これが最後だからな。
ANGRY_155 何を考えてそんなことをするんだ。
ANGRY_156 こんな扱いは許されることじゃない。
ANGRY_157 お前のその言い方が気に食わない。
ANGRY_158 もう顔も見たくないくらいだ。
ANGRY_159 いい加減目を覚ませよ。
ANGRY_160 こんなことで怒らせるなんて、どうかしてる。
ANGRY_161 お前には本当に腹が立つんだ。
ANGRY_162 もう二度と関わるな。
ANGRY_163 どうしてこんなことになるんだよ。
ANGRY_164 お嬢さま、この無礼は断じて許せません。
