id,character_style,intensity,length_chars,punctuation,phoneme_tags,near_pair_group,reading_ease_score
CONTEMPT_001,none,strong,11,！,DAKUON,P05,5
CONTEMPT_002,none,strong,18,？,HATSUON;DAKUON,P20,5
CONTEMPT_003,girl,weak,38,。,HATSUON;CHOON;DAKUON,,4
CONTEMPT_004,swordsman,weak,38,。,SOKUON;DAKUON,,4
CONTEMPT_005,none,weak,21,。,DAKUON,P15,5
CONTEMPT_006,mage,strong,38,！,HATSUON;DAKUON,,4
CONTEMPT_007,swordsman,strong,18,！,HATSUON;DAKUON,,5
CONTEMPT_008,none,strong,11,？,DAKUON,,5
CONTEMPT_009,none,weak,39,。,HATSUON;CHOON;DAKUON,,4
CONTEMPT_010,none,weak,20,。,,,5
CONTEMPT_011,none,weak,37,。,HATSUON,,4
CONTEMPT_012,artisan,weak,37,。,HATSUON;DAKUON;HANDAKUON,P09,4
CONTEMPT_013,artisan,weak,22,。,,P12,5
CONTEMPT_014,none,weak,37,。,SOKUON;DAKUON,,4
CONTEMPT_015,friend,weak,11,。,HATSUON;DAKUON,,5
CONTEMPT_016,none,weak,20,。,SOKUON;DAKUON;HANDAKUON,,5
CONTEMPT_017,none,weak,36,。,SOKUON;DAKUON,,4
CONTEMPT_018,none,strong,19,？,,P18,5
CONTEMPT_019,none,weak,38,。,DAKUON,,4
CONTEMPT_020,none,strong,21,！,SOKUON;HATSUON;DAKUON;GAIRAION,,5
CONTEMPT_021,none,strong,11,！,,,5
CONTEMPT_022,none,weak,22,。,HATSUON;DAKUON,,5
CONTEMPT_023,none,weak,37,。,DAKUON,,4
CONTEMPT_024,none,weak,37,。,YOUON;DAKUON,,4
CONTEMPT_025,none,weak,19,。,DAKUON,,5
CONTEMPT_026,none,weak,38,。,SOKUON;HATSUON;DAKUON,,4
CONTEMPT_027,girl,weak,23,。,CHOON;DAKUON,,5
CONTEMPT_028,none,weak,10,。,DAKUON,P16,5
CONTEMPT_029,none,weak,36,。,HATSUON;DAKUON;GAIRAION,,4
CONTEMPT_030,none,strong,21,！,DAKUON,,5
CONTEMPT_031,none,weak,39,。,SOKUON;HATSUON;DAKUON,,4
CONTEMPT_032,friend,weak,36,。,SOKUON;HATSUON;DAKUON,P11,4
CONTEMPT_033,none,weak,23,。,,,5
CONTEMPT_034,none,weak,37,。,YOUON;SOKUON;DAKUON;HANDAKUON,,4
CONTEMPT_035,none,strong,12,！,,P20,5
CONTEMPT_036,none,strong,21,？,DAKUON,,5
CONTEMPT_037,none,weak,37,。,HATSUON;DAKUON,,4
CONTEMPT_038,none,weak,22,。,YOUON;HATSUON;DAKUON,,5
CONTEMPT_039,none,weak,36,。,HATSUON;DAKUON,P06,4
CONTEMPT_040,none,weak,21,。,DAKUON,P15,5
CONTEMPT_041,none,weak,10,。,SOKUON;HANDAKUON,P19,5
CONTEMPT_042,merchant,weak,21,。,DAKUON,,5
CONTEMPT_043,none,weak,37,。,DAKUON,,4
CONTEMPT_044,none,weak,38,。,HATSUON;DAKUON,,4
CONTEMPT_045,senpai,weak,22,。,DAKUON,,5
CONTEMPT_046,senpai,weak,39,。,HATSUON;DAKUON,,4
CONTEMPT_047,friend,weak,25,。,HATSUON;DAKUON,P11,5
CONTEMPT_048,none,strong,11,！,HATSUON,,5
CONTEMPT_049,friend,weak,38,。,HATSUON;CHOON;DAKUON;HANDAKUON,,4
CONTEMPT_050,none,weak,18,…,CHOON;DAKUON,,5
CONTEMPT_051,none,weak,36,。,SOKUON;CHOON;DAKUON;HANDAKUON,P10,4
CONTEMPT_052,none,weak,36,…,DAKUON,,4
CONTEMPT_053,none,strong,20,？,DAKUON,,5
CONTEMPT_054,artisan,weak,37,。,HATSUON;DAKUON,P08,4
CONTEMPT_055,none,strong,10,？,DAKUON,P03,5
CONTEMPT_056,none,weak,21,。,DAKUON,,5
CONTEMPT_057,none,weak,37,。,HATSUON;DAKUON,,4
CONTEMPT_058,knight,strong,19,！,DAKUON,,5
CONTEMPT_059,none,weak,36,。,SOKUON;HATSUON;DAKUON,,4
CONTEMPT_060,none,weak,21,。,SOKUON,,5
CONTEMPT_061,none,weak,10,。,DAKUON,,5
CONTEMPT_062,none,strong,20,？,SOKUON;DAKUON,,5
CONTEMPT_063,none,weak,38,。,HATSUON;DAKUON;HANDAKUON,P07,4
CONTEMPT_064,swordsman,strong,38,。,DAKUON,,4
CONTEMPT_065,none,weak,22,。,HATSUON;DAKUON,,5
CONTEMPT_066,none,weak,37,。,YOUON;DAKUON,,4
CONTEMPT_067,none,strong,22,？,SOKUON,,5
CONTEMPT_068,cool,weak,10,。,DAKUON,,5
CONTEMPT_069,none,weak,38,。,HATSUON;DAKUON,,4
CONTEMPT_070,adventurer,strong,20,！,DAKUON,,5
CONTEMPT_071,none,weak,36,。,SOKUON;HATSUON;CHOON;DAKUON;GAIRAION,,4
CONTEMPT_072,none,weak,36,。,DAKUON,,4
CONTEMPT_073,artisan,weak,22,。,DAKUON;HANDAKUON,P09,5
CONTEMPT_074,merchant,weak,38,。,SOKUON;HATSUON;DAKUON,,4
CONTEMPT_075,none,weak,10,…,DAKUON,,5
CONTEMPT_076,none,weak,23,。,SOKUON;DAKUON,,5
CONTEMPT_077,none,weak,36,。,DAKUON,,4
CONTEMPT_078,none,strong,19,！,HATSUON;DAKUON,,5
CONTEMPT_079,none,strong,36,。,HATSUON;DAKUON;HANDAKUON,,4
CONTEMPT_080,none,mid,21,。,HATSUON;DAKUON,,5
CONTEMPT_081,none,strong,10,！,DAKUON,,5
CONTEMPT_082,none,strong,19,？,DAKUON,P01,5
CONTEMPT_083,none,mid,36,。,SOKUON;CHOON;DAKUON;HANDAKUON;GAIRAION,,4
CONTEMPT_084,none,mid,38,。,SOKUON;DAKUON,,4
CONTEMPT_085,none,mid,22,。,SOKUON;HATSUON;DAKUON,,5
CONTEMPT_086,none,mid,36,。,SOKUON;DAKUON,,4
CONTEMPT_087,merchant,mid,22,。,DAKUON,,5
CONTEMPT_088,none,mid,11,。,CHOON,,5
CONTEMPT_089,none,mid,37,。,HATSUON;DAKUON,,4
CONTEMPT_090,none,mid,21,。,DAKUON,,5
CONTEMPT_091,none,mid,36,。,DAKUON,,4
CONTEMPT_092,none,mid,36,…,YOUON;SOKUON;DAKUON;HANDAKUON,,4
CONTEMPT_093,none,strong,19,？,DAKUON,,5
CONTEMPT_094,artisan,mid,37,。,DAKUON,,4
CONTEMPT_095,none,strong,10,！,DAKUON,,5
CONTEMPT_096,none,strong,18,！,DAKUON,,5
CONTEMPT_097,none,mid,36,。,SOKUON;HATSUON;DAKUON,,4
CONTEMPT_098,none,mid,22,。,DAKUON,,5
CONTEMPT_099,none,mid,36,。,HATSUON;DAKUON;GAIRAION,,4
CONTEMPT_100,none,strong,20,？,SOKUON;DAKUON;HANDAKUON,P10,5
CONTEMPT_101,friend,mid,36,。,HATSUON;DAKUON,,4
