CONTEMPT_001 その程度で自慢するの！
CONTEMPT_002 そんな見え透いたうそが通ると思うの？
CONTEMPT_003 まあ、準備を何もしていないのに、結果だけは一流を求めるなんて厚かましいわね。
CONTEMPT_004 立派な剣を腰に下げても、困った仲間を置いて逃げる者は決して騎士とは呼べない。
CONTEMPT_005 努力もせずに結果だけ欲しがるとは浅ましい。
CONTEMPT_006 ふん、派手な煙を出すだけの魔法で私たちを驚かせたつもりなら、お粗末すぎるな！
CONTEMPT_007 ふん、その鈍い剣先で私に届くものか！
CONTEMPT_008 まだ言い訳を続けるの？
CONTEMPT_009 責任を避けるために丁寧な言葉を並べても、薄い包装紙のようで誠実には見えません。
CONTEMPT_010 丁寧なふりをしても、雑な仕事は隠せない。
CONTEMPT_011 毎日遅れてくる君から時間の使い方を教わるなんて、冗談にしても笑えませんね。
CONTEMPT_012 そのピカピカの鍋は飾るためですか、使い込んだ職人の道具にはかないませんよ。
CONTEMPT_013 自分の失敗を道具のせいにするとは情けないな。
CONTEMPT_014 困った時だけ友人の顔をする者に、こちらの大切な鍵を預ける気はまったくない。
CONTEMPT_015 ずいぶん浅い考えだね。
CONTEMPT_016 その空っぽな計画では、入口にも立てまい。
CONTEMPT_017 練習もせず舞台に立ったうえ、反応が悪いと照明を責めるその姿は見苦しいよ。
CONTEMPT_018 また仲間に責任を押しつけるつもりなの？
CONTEMPT_019 他人のアイデアへ飾りを足しただけで、自分の発明と言える神経には感心しますわ。
CONTEMPT_020 はっ、その程度のフェイントで勝てるものか！
CONTEMPT_021 呆れた、また手抜きか！
CONTEMPT_022 大声を出せば正しく見えるなんて、単純ですね。
CONTEMPT_023 その大げさな肩書を外した後に残るのが、今も未完成の仕事だけとは哀れですね。
CONTEMPT_024 何度注意されても同じ場所を間違えるなら、記録を読む気さえないのでしょうね。
CONTEMPT_025 形だけ整えた報告書に、何の価値がある。
CONTEMPT_026 会議では黙っていたのに終わった途端、今さら完璧な答えを語るなんて卑怯ですね。
CONTEMPT_027 まあ、借り物の言葉でよくそこまで威張れるわね。
CONTEMPT_028 口先だけは立派だな。
