id,character_style,intensity,punctuation,near_pair_group,scene
ANNOUNCE_001,none,mid,。,P01,駅で乗客へホーム変更を案内
ANNOUNCE_002,none,weak,。,P01,駅で乗客へ乗り場変更を案内
ANNOUNCE_003,none,strong,。,P02,会館で来場者へ傘の収納を依頼
ANNOUNCE_004,none,mid,。,P02,施設で客へ傘の保管を案内
ANNOUNCE_005,none,weak,。,,会館で来場者へ開場案内
ANNOUNCE_006,none,mid,。,P03,施設で来場者へ臨時受付を案内
ANNOUNCE_007,none,weak,。,P03,会場で客へ受付場所を案内
ANNOUNCE_008,none,strong,。,P04,店内で客へ忘れ物を呼びかける
ANNOUNCE_009,none,mid,。,P04,店内で客へ忘れ物を案内
ANNOUNCE_010,none,mid,。,P05,図書館で利用者へ閉館後返却を案内
ANNOUNCE_011,none,weak,。,P05,図書館で客へ返却場所を案内
ANNOUNCE_012,none,strong,。,P06,ホールで客へ開演を案内
ANNOUNCE_013,none,mid,。,,店内で客へ営業時間案内
ANNOUNCE_014,none,mid,。,P07,駅で乗客へ到着の遅れを案内
ANNOUNCE_015,none,mid,。,P06,会館で客へ開演前の着席を依頼
ANNOUNCE_016,none,strong,。,P08,店内で客へ会計場所を案内
ANNOUNCE_017,none,weak,。,P07,駅で客へ遅延を案内
ANNOUNCE_018,none,mid,。,P09,館内で来館者へ迂回を案内
ANNOUNCE_019,none,mid,。,P08,店内で客へレジ移動を案内
ANNOUNCE_020,none,strong,。,,駅で利用者へ足元注意
ANNOUNCE_021,none,strong,。,P10,会場で客へ撮影の注意を案内
ANNOUNCE_022,none,weak,。,P09,施設で来館者へ工事区間を案内
ANNOUNCE_023,none,mid,。,P11,店内で客へ閉店を案内
ANNOUNCE_024,none,mid,。,P10,会場で客へ撮影制限を案内
ANNOUNCE_025,none,strong,。,P12,待合所で利用者へ順番を案内
ANNOUNCE_026,none,weak,。,P11,店内で客へ閉店時刻を案内
ANNOUNCE_027,none,mid,。,P13,駅で利用者へ雨天時注意を案内
ANNOUNCE_028,none,weak,。,,図書館で利用者へ返却案内
ANNOUNCE_029,none,strong,。,P14,会館で客へ資料受取を案内
ANNOUNCE_030,none,mid,。,P12,館内で客へ順番待ちを案内
ANNOUNCE_031,none,mid,。,P15,展示館で来館者へ飲食を案内
ANNOUNCE_032,none,weak,。,P13,駅で客へ足元注意を案内
ANNOUNCE_033,none,strong,。,P16,店内で客へ臨時休業を案内
ANNOUNCE_034,none,mid,。,P14,会場で客へ資料配布を案内
ANNOUNCE_035,none,weak,。,,施設で来館者へ開館時間を案内
ANNOUNCE_036,none,mid,。,,施設で来館者へ受付案内
ANNOUNCE_037,none,weak,。,P15,施設で客へ飲食場所を案内
ANNOUNCE_038,none,mid,。,,会場で客へ開始時刻を案内
ANNOUNCE_039,none,mid,。,P16,店内で客へ休業予定を案内
ANNOUNCE_040,none,strong,。,,駅で乗客へ安全確保を依頼
ANNOUNCE_041,none,weak,。,,店内で客へ季節商品を案内
ANNOUNCE_042,none,weak,。,,駅で乗客へ列車案内
ANNOUNCE_043,none,mid,。,,図書館で利用者へ返却を案内
ANNOUNCE_044,none,mid,。,,会場で来場者へ荷物案内
ANNOUNCE_045,none,strong,。,,会場で客へ通路確保を依頼
ANNOUNCE_046,none,strong,。,,会館で客へ静粛を依頼
ANNOUNCE_047,none,strong,。,,プールで利用者へ注意
ANNOUNCE_048,none,weak,。,,施設で来館者へ案内図を知らせる
ANNOUNCE_049,none,weak,。,,店内で客へ商品案内
ANNOUNCE_050,none,mid,。,,駅で乗客へ折り返しを案内
ANNOUNCE_051,none,mid,。,,図書館で利用者へ端末案内
ANNOUNCE_052,none,strong,。,,店内で客へ通路確保を依頼
ANNOUNCE_053,none,weak,。,,店内で客へ袋の案内
ANNOUNCE_054,none,weak,。,,会場で客へ休憩時間を案内
