id,character_style,intensity,punctuation,near_pair_group,scene
FEAR_001,none,weak,。,,教室で友人に試験前の不安を話す
FEAR_002,cool,mid,。,,山道で友人の先行を止める
FEAR_003,none,mid,。,,家で姉に不審な連絡を話す
FEAR_004,mage,mid,。,,台所で友人に不安を話す
FEAR_005,none,weak,…,,控室で独り言を漏らす
FEAR_006,maker,mid,。,P07,工房で仲間に床の異変を話す
FEAR_007,none,strong,？！,P01,家で兄に窓の異音を伝える
FEAR_008,scout,mid,。,P13,野営地で仲間に音を伝える
FEAR_009,none,weak,？,P02,橋で友人に助けを求める
FEAR_010,senior,mid,。,P09,駅前で友人に追跡の不安を話す
FEAR_011,none,mid,。,P03,職場で同僚に機械の異変を話す
FEAR_012,steward,mid,。,P05,廊下で同僚に空室の音を伝える
FEAR_013,teacher,weak,。,,控室で友人に緊張を語る
FEAR_014,none,strong,。,,倉庫で仲間に出口の異変を伝える
FEAR_015,youth,mid,？,,帰り道で兄に電話する
FEAR_016,none,weak,。,,夜道で友人に強がりを話す
FEAR_017,none,weak,。,P04,家で姉に窓の異常を話す
FEAR_018,cool,mid,。,P03,職場で同僚に異常を伝える
FEAR_019,none,strong,！,P05,廊下で同僚に空室の声を伝える
FEAR_020,none,mid,。,,職場で同僚に失敗の不安を話す
FEAR_021,mage,weak,。,,居間で物音に耳を澄ます
FEAR_022,none,mid,。,P06,階段で家族に異変を話す
FEAR_023,teacher,mid,。,P11,教室で同僚に異音を話す
FEAR_024,none,weak,。,P07,工房で仲間に床の不安を話す
FEAR_025,youth,mid,。,P01,家で姉に窓の音を尋ねる
FEAR_026,maker,mid,。,,家で娘に留守の物音を尋ねる
FEAR_027,none,strong,。,,山道で家族に異変を伝える
FEAR_028,scout,weak,。,,宿で夜の音を聞く
FEAR_029,none,weak,。,,寝室で家族に物音を話す
FEAR_030,senior,mid,。,,公園で友人に犬の様子を話す
FEAR_031,none,mid,。,,駅で友人に違和感を伝える
FEAR_032,steward,mid,。,,玄関で同僚に施錠を頼む
FEAR_033,none,strong,！,,地下室で仲間に呼びかける
FEAR_034,none,mid,？,P08,山道で友人に手助けを頼む
FEAR_035,mage,mid,。,P15,書斎で弟子に異変を伝える
FEAR_036,none,mid,？,,廊下で友人に確認する
FEAR_037,none,weak,。,P09,駅前で姉に電話する
FEAR_038,cool,strong,。,P04,家で友人に侵入の不安を話す
FEAR_039,scout,mid,。,,山道で仲間に崖の不安を話す
FEAR_040,none,weak,。,,家で母に鍵の不安を話す
FEAR_041,maker,strong,！,P08,山道で友人に足場を確かめる
FEAR_042,none,strong,？！,P10,部屋で家族に音を伝える
FEAR_043,senior,strong,！,P10,部屋で妹に不審な音を伝える
FEAR_044,none,mid,。,P11,教室で同僚に天井の音を話す
FEAR_045,steward,weak,。,,控室で家族に緊張を話す
FEAR_046,none,mid,。,,公園で友人に生き物の気配を伝える
FEAR_047,teacher,mid,。,,家で家族に停電の不安を話す
FEAR_048,none,strong,。,,職場で同僚に緊張を打ち明ける
FEAR_049,youth,strong,！,,倉庫で友人に助けを求める
FEAR_050,none,weak,。,,旅先で友人に不安を語る
FEAR_051,none,weak,。,P12,霧の山道で家族に頼む
FEAR_052,mage,strong,！,P16,庭で仲間に消えた灯りを話す
FEAR_053,none,strong,！,,暗室で仲間へ呼びかける
FEAR_054,scout,strong,？！,P14,遺跡で仲間に扉の異変を話す
FEAR_055,none,strong,？！,P13,野営地で友人に音を伝える
FEAR_056,steward,strong,！,P06,階段で客に異変を伝える
FEAR_057,none,mid,。,P14,遺跡で仲間に異変を話す
FEAR_058,teacher,strong,！,P12,山道で家族に霧への不安を伝える
FEAR_059,none,weak,。,P15,書斎で家族に本の音を話す
