ANGRY_001 もう、我慢の限界だ。
ANGRY_002 順番を抜かすなんて、あまりに身勝手だ。
ANGRY_003 こちらが何度も確認を求めたのに、返事をせず締め切りだけ責めるのは筋違いだ。
ANGRY_004 仲間が危険を知らせてくれたのだから、意地を張らずに立ち止まるべきだっただろう？
ANGRY_005 大切な道具を、そんな乱暴に置かないで。
ANGRY_006 丹精込めて育てた花を踏んでおいて、気づかなかったの一言で済ませるつもりか！
ANGRY_007 その言い方は失礼だ！
ANGRY_008 連絡もせず遅れるなら、せめて理由を話して。
ANGRY_009 ご注文の内容を後から次々変えられては、どれほど腕のある職人でも困ります。
ANGRY_010 こちらの説明を聞かず、決めつけるのは困る。
ANGRY_011 誰かが片づけると思って散らかしたまま帰る、その無責任な態度が許せないよ。
ANGRY_012 先生が何度も説明しているのに私語を続けるなんて、周りへの迷惑を考えてよ。
ANGRY_013 失敗を人のせいにするとは、恥ずかしい振る舞いだ。
ANGRY_014 約束を破るなんてひどい。
ANGRY_015 戦う必要のない相手へ剣を向ける者を、誇りある騎士と呼ぶわけにはいかない。
ANGRY_016 片づけた場所を、また散らかしたのは誰だ。
ANGRY_017 大切な知らせを私だけに伝えなかった理由を、今ここではっきり説明してもらおう。
ANGRY_018 お客さま、無理な値引きには応じられません。
ANGRY_019 約束した仕事を放り出して遊びに行くとは、あまりに身勝手ではありませんか？
ANGRY_020 私の仲間を軽く扱うなら、黙ってはいないぞ。
ANGRY_021 練習をさぼったままで、勝てると思うな。
ANGRY_022 急いで作ったから雑でも仕方ないなんて、待っている人への言い訳にならない！
ANGRY_023 お客さまの前で仲間の失敗を責め立てる、その振る舞いこそ店の信用を傷つける。
ANGRY_024 そのぺらぺらした弁解は、聞き飽きました。
ANGRY_025 確かめもせず噂を広げたせいで、関係のない人まで困っているじゃないか、許せない。
ANGRY_026 黙っていたなんて腹立たしい。
ANGRY_027 私の研究記録を断りなく持ち出したうえ、元の場所へ戻さないとは何事だ、今すぐ理由を答えろ。
ANGRY_028 先生の話を遮るなんて、礼儀がなってないよ。
ANGRY_029 皆で決めた規則を自分だけ破っておきながら、不公平だと騒ぐのはおかしいよ。
ANGRY_030 せっかくの料理を、ひと口も食べず残すとは失礼だ。
ANGRY_031 指示が毎回変わるから、現場が混乱するんだ。
ANGRY_032 助けを求める声を聞いていたのに、面倒だからと通り過ぎたことが信じられない…
ANGRY_033 忠告を無視した結果が、これだというのか…
ANGRY_034 何度でも申し上げますが、無理な要求に笑顔で応じることが礼儀ではございません。
ANGRY_035 後輩が準備した資料を読まずに批判するなら、まず自分の案を示してください。
ANGRY_036 もう身勝手はやめてくれ。
ANGRY_037 いくら急いでいても、人を押してはいけない。
ANGRY_038 安全を確認せず魔法を放つなど、周囲を守るべき術師のすることではない、愚かさを思い知れ！
ANGRY_039 返すと言った本を、いつまで持っているの？
ANGRY_040 せっかく全員そろったところで予定を変えるなら、もっと早く知らせるべきだ。
ANGRY_041 また同じ間違いとは困る。
ANGRY_042 不公平な判定など、騎士として認められぬ！
ANGRY_043 間違った品を届けたうえ、交換には時間がかかると平然と言われて腹が立つよ。
