JOY_001 やった、ついに合格したんだ。
JOY_002 嬉しくて涙が止まらないよ。
JOY_003 夢みたいだ。
JOY_004 こんなに幸せな気持ちは生まれて初めてだよ。
JOY_005 最高の一日になったね。
JOY_006 努力が実った瞬間を今かみしめている。
JOY_007 ありがとう、本当にありがとうございます。
JOY_008 この日が来るなんて信じられない。
JOY_009 胸がいっぱいで言葉にならないよ。
JOY_010 やっと夢が叶った。
JOY_011 拙者、これほどの喜びは初めてでござる。
JOY_012 頑張ってきてよかったと心から思う。
JOY_013 この瞬間をずっと待っていたんだ。
JOY_014 嬉しすぎて飛び跳ねたい気分だよ。
JOY_015 最高の結果じゃないか。
JOY_016 幸せだなあ。
JOY_017 みんなで喜び合おうよ。
JOY_018 この喜びを誰かと分かち合いたいな。
JOY_019 諦めなくてよかった。
JOY_020 こんな素敵な日が来るなんて思わなかった。
JOY_021 夢じゃないよね、本当に起きているんだよね。
JOY_022 嬉しすぎて何も言えないや。
JOY_023 こんなに幸せでいいのかな。
JOY_024 報われた気がする。
JOY_025 この瞬間を一生忘れないと思う。
JOY_026 最高の気分だ。
JOY_027 お嬢様、このような素晴らしい結果をお祝い申し上げます。
JOY_028 嬉しくて胸がじんとする。
JOY_029 頑張った甲斐があったよね。
JOY_030 この喜びは何にも代えがたい。
JOY_031 全部うまくいったんだ、信じられないよ。
JOY_032 ふふ、やったね。
JOY_033 感動して鳥肌が立っている。
JOY_034 今日は記念すべき日になった。
JOY_035 笑いが止まらないくらい嬉しい。
JOY_036 我が剣にかけて、この勝利を誇りに思うぞ。
JOY_037 素晴らしい知らせを聞いて心が躍っているよ。
JOY_038 まさかこんな結果になるとは思ってもみなかった。
JOY_039 やったあ。
JOY_040 心から感謝しているよ、ありがとう。
JOY_041 こんなに楽しい気持ちは久しぶりだ。
JOY_042 世界が輝いて見えるよ。
JOY_043 ご主人様、この喜びをご一緒できて光栄でございます。
JOY_044 両親に早く報告したいな。
JOY_045 おめでとう、本当によく頑張ったね。
JOY_046 とても幸せ。
JOY_047 嬉しさのあまり声が震える。
JOY_048 この結果をみんなに伝えたいんだ。
