LAZY_ANGRY_001 面倒なんだよ、それ。
LAZY_ANGRY_002 うるさいな……黙っててよ。
LAZY_ANGRY_003 はぁ……もう勝手にして。
LAZY_ANGRY_004 面倒くさい……本当に面倒くさい。
LAZY_ANGRY_005 うるさい……静かにしてくれ。
LAZY_ANGRY_006 どうでもいいよ……もう。
LAZY_ANGRY_007 めんどい……すごくめんどい。
LAZY_ANGRY_008 黙れ……だるいんだよ。
LAZY_ANGRY_009 はぁ……知らんがな。
LAZY_ANGRY_010 面倒だから……やらない。
LAZY_ANGRY_011 うるさすぎ……静かにして。
LAZY_ANGRY_012 どうでもいい……本当にどうでもいい。
LAZY_ANGRY_013 めんどくさ……放っといて。
LAZY_ANGRY_014 黙っててくれ……頼むから。
LAZY_ANGRY_015 はぁ……もう嫌だ。
LAZY_ANGRY_016 面倒なこと……言わないで。
LAZY_ANGRY_017 うるさい……本当にうるさい。
LAZY_ANGRY_018 どうでもいいから……あっち行って。
LAZY_ANGRY_019 めんどい……超めんどい。
LAZY_ANGRY_020 黙れって……だるいんだから。
LAZY_SAD_001 もう、どうでもいいや。
LAZY_SAD_002 疲れた……もう疲れたよ。
LAZY_SAD_003 もういいよ……もう十分だ。
LAZY_SAD_004 なんか、空しいね。
LAZY_SAD_005 虚しい……なんか虚しいんだ。
LAZY_SAD_006 もう諦めた……どうでもいいや。
LAZY_SAD_007 疲れ果てた……もう限界だ。
LAZY_SAD_008 もう何もかも面倒くさい。
LAZY_SAD_009 はぁ……空しいだけだ。
LAZY_SAD_010 疲れた……本当に疲れたよ。
LAZY_SAD_011 どうでもよくなった……全部。
LAZY_SAD_012 虚しくて……仕方がない。
LAZY_SAD_013 もう諦めてる……全部諦めてる。
LAZY_SAD_014 疲労感が……半端ないんだ。
LAZY_SAD_015 はぁ……何もかも空しい。
LAZY_SAD_016 疲れすぎて……何も感じない。
LAZY_SAD_017 どうでもいい……もう何もかも。
LAZY_SAD_018 虚しさしか……残ってない。
LAZY_SAD_019 諦めた……完全に諦めた。
LAZY_SAD_020 疲れ切った……心も体も。
LAZY_JOY_001 んー、まあ嬉しいかな。
LAZY_JOY_002 よかった……よかったんじゃない。
LAZY_JOY_003 ま、悪くないね。
LAZY_JOY_004 嬉しい……けど、だるい。
LAZY_JOY_005 ラッキー……かもね。
LAZY_JOY_006 よかったじゃん……多分。
LAZY_JOY_007 ま、いい感じ……かな。
LAZY_JOY_008 嬉しいけど……眠いんだよね。
LAZY_JOY_009 ラッキーだった……かもしれない。
LAZY_JOY_010 よかったね……うん、よかった。
LAZY_JOY_011 ま、まあ嬉しいよ。
LAZY_JOY_012 嬉しいは嬉しい……けどね。
LAZY_JOY_013 ラッキー……ラッキーだったね。
LAZY_JOY_014 よかった……本当によかった。
LAZY_JOY_015 ま、いい結果だね。
LAZY_JOY_016 嬉しいんだけど……だるくて。
LAZY_JOY_017 ラッキーだわ……素直に。
LAZY_JOY_018 よかったよ……ホントによかった。
LAZY_JOY_019 ま、まあまあ嬉しい。
LAZY_JOY_020 嬉しい……嬉しいんだよ、一応。
LAZY_SURPRISE_001 え……マジで。
LAZY_SURPRISE_002 へー……そうなんだ。
LAZY_SURPRISE_003 ま、驚いた……かな。
LAZY_SURPRISE_004 え……本当に。
LAZY_SURPRISE_005 へぇ……意外だね。
LAZY_SURPRISE_006 ま、びっくりした。
LAZY_SURPRISE_007 え……そうなの。
LAZY_SURPRISE_008 へー……知らなかった。
LAZY_SURPRISE_009 ま、予想外だ。
LAZY_SURPRISE_010 え……マジか。
LAZY_SURPRISE_011 へぇ……そうなんだね。
LAZY_SURPRISE_012 ま、驚いたわ。
LAZY_SURPRISE_013 え……ホントに。
LAZY_SURPRISE_014 へー……面白いね。
LAZY_SURPRISE_015 ま、びっくりだね。
LAZY_SURPRISE_016 え……そうだったの。
LAZY_SURPRISE_017 へぇ……初めて知った。
LAZY_SURPRISE_018 ま、意外すぎる。
LAZY_SURPRISE_019 え……信じられん。
LAZY_SURPRISE_020 へー……なるほどね。
LAZY_FEAR_001 はぁ……怖いんだけど。
LAZY_FEAR_002 やだ……やだなぁ。
LAZY_FEAR_003 ま、不安だね。
LAZY_FEAR_004 怖い……けど動けない。
LAZY_FEAR_005 やだなぁ……本当にやだ。
LAZY_FEAR_006 ま、怖いっちゃ怖い。
LAZY_FEAR_007 はぁ……不安すぎる。
LAZY_FEAR_008 やだ……すごくやだ。
LAZY_FEAR_009 ま、恐ろしいね。
LAZY_FEAR_010 怖いんだけど……だるくて。
LAZY_FEAR_011 やだなぁ……やだなぁ。
LAZY_FEAR_012 ま、不安だよね。
LAZY_FEAR_013 はぁ……怖すぎる。
LAZY_FEAR_014 やだ……本当にやだよ。
LAZY_FEAR_015 ま、恐怖しかない。
LAZY_FEAR_016 怖いけど……動きたくない。
LAZY_FEAR_017 やだなぁ……嫌だなぁ。
LAZY_FEAR_018 ま、不安で仕方ない。
LAZY_FEAR_019 はぁ……怖いわ。
LAZY_FEAR_020 やだ……マジでやだ。
LAZY_CONTEMPT_001 はぁ……その程度か。
LAZY_CONTEMPT_002 別に、どうでもいいけど。
LAZY_CONTEMPT_003 ふーん……そうなんだ。
LAZY_CONTEMPT_004 別に期待してないし。
LAZY_CONTEMPT_005 はぁ……しょうもない。
LAZY_CONTEMPT_006 どうでもいいよ……それ。
LAZY_CONTEMPT_007 ふーん……へぇ。
LAZY_CONTEMPT_008 別に……別にね。
LAZY_CONTEMPT_009 はぁ……つまらん。
LAZY_CONTEMPT_010 どうでもいいけど……本当に。
LAZY_CONTEMPT_011 ふーん……そう。
LAZY_CONTEMPT_012 別に興味ない……全然。
LAZY_CONTEMPT_013 はぁ……くだらん。
LAZY_CONTEMPT_014 どうでもいい……マジで。
LAZY_CONTEMPT_015 ふーん……ふーん。
