id,character_style,intensity,punctuation,near_pair_group,scene
JOY_001,none,weak,。,,喫茶店で友人の成功を聞く
JOY_002,cool,weak,。,P04,駅前で友人の帰還を迎える
JOY_003,none,mid,。,,家で子から花束を受け取る
JOY_004,maker,strong,！,P08,土手で友人と晴天を迎える
JOY_005,none,weak,。,,窓辺で独り言を漏らす
JOY_006,mage,mid,。,P15,部屋で友人と解決を喜ぶ
JOY_007,none,strong,。,P01,家で姉に合格を知らせる
JOY_008,scout,strong,！,P13,山道で仲間と帰路を見つける
JOY_009,none,weak,。,P02,食卓で夫と焼きたてを味わう
JOY_010,senior,strong,！,P09,教室で後輩の成長を喜ぶ
JOY_011,none,strong,。,P03,職場で部下の提案採用を祝う
JOY_012,steward,mid,。,P05,玄関で常連客を迎える
JOY_013,teacher,strong,！,,発表会で生徒に拍手する
JOY_014,none,strong,。,,公園で友人と仲直りする
JOY_015,youth,mid,。,P02,台所で弟とパンを焼く
JOY_016,none,mid,。,,職場で後輩の助力に礼を言う
JOY_017,none,mid,。,P04,玄関で兄の帰宅を迎える
JOY_018,cool,mid,。,P03,職場で同僚の採用を祝う
JOY_019,none,weak,。,P05,店先で馴染みの客と再会
JOY_020,none,strong,。,,台所で友人と菓子を焼く
JOY_021,mage,weak,。,,庭で子の贈り物を受ける
JOY_022,none,mid,。,P06,控室で友人と催しを終える
JOY_023,maker,mid,。,P07,工房で弟子と修理を終える
JOY_024,teacher,mid,。,P11,教室で生徒の挑戦を喜ぶ
JOY_025,none,strong,？,P07,部屋で父と時計を直す
JOY_026,youth,strong,！,P01,家で母に合格を報告
JOY_027,none,mid,。,P08,河原で姉と休日を始める
JOY_028,senior,strong,！,,台所で仲間と料理を仕上げる
JOY_029,none,weak,。,,庭で隣人に苗の成長を話す
JOY_030,scout,weak,。,,野営地で友人と朝を迎える
JOY_031,none,mid,。,,店で友人に記念品を見せる
JOY_032,steward,weak,。,,食堂で客の笑顔を見る
JOY_033,none,strong,！,,球場で仲間の得点を喜ぶ
JOY_034,none,weak,。,P09,客席で友人の発表を喜ぶ
JOY_035,mage,strong,！,P16,庭で弟子の成果を祝う
JOY_036,none,weak,。,,職場で先輩の励ましに返す
JOY_037,scout,mid,。,P14,宿で仲間から荷物を受ける
JOY_038,none,strong,？！,P10,居間で家族の祝いを受ける
JOY_039,steward,strong,！,P06,控室で仲間の成功を祝う
JOY_040,none,strong,。,P11,机で弟の気づきを喜ぶ
JOY_041,teacher,weak,。,P12,家で家族と穏やかに食事
JOY_042,none,weak,。,P12,食卓で父と夕飯を囲む
JOY_043,senior,weak,…,,帰り道で友人と和解を喜ぶ
JOY_044,none,weak,。,,バス停で友人に感謝する
JOY_045,cool,strong,。,,工房で仲間と完成品を見る
JOY_046,none,mid,。,,会場で知人の祝いを受ける
JOY_047,maker,weak,。,,家で娘の弁当を開ける
JOY_048,none,strong,！,,部屋で友人に採用通知を見せる
JOY_049,youth,strong,！,,舞台裏で仲間と成功を祝う
JOY_050,none,mid,。,P13,丘で友人と町を見つける
JOY_051,none,weak,。,,縁側で夫と夕方を過ごす
JOY_052,senior,mid,。,P10,家で妹と誕生日を祝う
JOY_053,none,weak,。,,寝室で眠る子に話しかける
JOY_054,mage,mid,。,,研究室で仲間の手紙を読む
JOY_055,none,strong,。,P14,更衣室で仲間の気遣いに感謝
JOY_056,scout,mid,。,,市場で仲間と買い物をする
JOY_057,none,weak,。,P15,作業台で友人とひもをほどく
JOY_058,teacher,strong,！,,廊下で仲間の採用を祝う
JOY_059,none,weak,。,,車内で父に礼を伝える
JOY_060,steward,mid,？,,広間で客に記念写真を誘う
JOY_061,none,mid,。,P16,庭で友人の光の術を見る
JOY_062,maker,mid,。,,作業場で納品を終えた仲間に
JOY_063,youth,weak,。,,庭で祖母に芽を見せる
JOY_064,none,mid,。,,旅行先で家族に部屋を見せる
JOY_065,cool,weak,。,,居間で恋人の気遣いに気づく
JOY_066,none,strong,！,,広場で仲間を食事に誘う
JOY_067,none,strong,。,,病室で父の回復を喜ぶ
JOY_068,scout,strong,！,,川辺で仲間の成功を祝う
JOY_069,none,weak,。,,家で母の手紙を受け取る
JOY_070,none,mid,。,,台所で子の手伝いに感謝
JOY_071,mage,strong,！,,食堂で仲間の快復を祝う
JOY_072,none,mid,。,,駅前で友人に報告を促す
JOY_073,senior,weak,。,,廊下で後輩から声をかけられる
JOY_074,none,strong,！,,発表後に友人へ駆け寄る
JOY_075,maker,mid,。,,作業場で古い椅子に座る
JOY_076,youth,strong,！,,広場で姉に走り寄る
JOY_077,none,weak,。,,店先で開店を迎えた兄に
JOY_078,steward,mid,。,,家で娘から贈り物を受ける
JOY_079,none,mid,。,,食卓で家族に好物を勧める
JOY_080,teacher,weak,。,,机で教え子の手紙を読む
JOY_081,none,strong,！,,職場で復旧を終えた仲間に
JOY_082,cool,mid,。,,屋上で同僚と晴れ間を見る
JOY_083,none,weak,…,,公園で恋人に気持ちを伝える
JOY_084,none,weak,。,,窓辺で友人の便りを開く
JOY_085,mage,mid,。,,窓辺で友人と天気を喜ぶ
JOY_086,none,mid,。,,駅で友人の来訪を喜ぶ
JOY_087,senior,mid,。,,控室で後輩の衣装を整える
JOY_088,none,strong,。,,公園で子の歩行を見守る
JOY_089,teacher,mid,。,,台所で家族に感謝する
JOY_090,none,weak,。,,書店で自作の冊子を見つける
JOY_091,scout,mid,？,,野外で仲間を食事に誘う
JOY_092,none,weak,。,,家で兄と古い写真を見る
JOY_093,youth,mid,。,,教室で友人の復帰を喜ぶ
JOY_094,none,mid,。,,庭で家族に鳥の来訪を知らせる
JOY_095,steward,strong,！,,裏口で仲間と再開を喜ぶ
JOY_096,none,mid,。,,畑で祖父に収穫を見せる
JOY_097,maker,weak,。,,裏庭で隣人に礼を言う
JOY_098,none,weak,。,,休憩室で同僚に感謝する
JOY_099,cool,weak,…,,家で妹の手紙を読み返す
JOY_100,none,mid,。,,山小屋で仲間と雨をしのぐ
JOY_101,none,strong,。,,玄関で迷い猫の帰宅を喜ぶ
JOY_102,mage,mid,？,,工房で弟子と完成品を見る
JOY_103,none,mid,。,,部屋で恋人に贈り物を渡す
JOY_104,senior,strong,！,,駅で親友との再会を喜ぶ
JOY_105,none,strong,。,,試合後に仲間へ駆け寄る
JOY_106,teacher,mid,。,,集会所で仲間と達成を味わう
JOY_107,none,strong,。,,家で弟の就職を祝う
JOY_108,steward,weak,。,,庭で家族と花を眺める
JOY_109,scout,weak,…,,宿の食卓で店主に礼を言う
JOY_110,none,mid,。,,広間で参加者に感謝を伝える
JOY_111,none,weak,…,,台所で祖母の味を再現する
JOY_112,cool,strong,！,,会場で友人の受賞を祝う
JOY_113,none,strong,！,,土手で子の自転車を見守る
JOY_114,none,weak,。,,自室で昔の道具を手に取る
JOY_115,maker,strong,！,,会場で弟子の展示を見守る
JOY_116,none,mid,。,,玄関で友人を家に招く
JOY_117,youth,weak,…,,寝室で父の言葉を思う
JOY_118,none,strong,！,,舞台袖で仲間に親指を立てる
JOY_119,steward,strong,！,,台所で弟子の料理を喜ぶ
JOY_120,none,mid,。,,店で馴染みの客に礼を言う
JOY_121,mage,weak,。,,台所で友人のお茶を飲む
JOY_122,none,strong,！,,河原で友人に記念写真を頼む
JOY_123,senior,mid,。,,店で友人の新生活を祝う
JOY_124,none,weak,…,,自室で修了の知らせを読む
JOY_125,teacher,weak,…,,公園で子の成長を見守る
JOY_126,maker,mid,。,,食卓で家族の回復を喜ぶ
JOY_127,none,mid,。,,台所で姉の差し入れを受ける
JOY_128,scout,mid,。,,坂道で仲間の回復を喜ぶ
JOY_129,none,strong,。,,会場で友人の展示を祝う
JOY_130,youth,mid,。,,山道で仲間と頂上に着く
JOY_131,none,weak,。,,バスの中で祖母と海を見る
JOY_132,none,mid,？,,広場で仲間に花束を渡す
JOY_133,cool,mid,。,,机で共同作業の結果を見る
JOY_134,mage,weak,…,,書斎で昔の便りを見つける
JOY_135,none,strong,！,,工房で仲間と注文を終える
JOY_136,none,mid,。,,会場で隣席の人に喜びを話す
JOY_137,scout,mid,。,,見張り台で仲間と朝日を見る
JOY_138,none,strong,。,,庭で家族と犬を迎える
JOY_139,senior,mid,。,,校庭で後輩の成功を見届ける
JOY_140,none,mid,。,,食堂で同僚と仕事を終える
JOY_141,steward,mid,。,,食卓で友人の心遣いを喜ぶ
JOY_142,maker,weak,…,,玄関で子の成長に気づく
JOY_143,none,weak,。,,食卓で父の冗談を聞く
JOY_144,none,strong,。,,廊下で弟に朗報を伝える
JOY_145,teacher,mid,。,,帰り道で同僚と成功を喜ぶ
JOY_146,none,weak,。,,棚の前で昔の写真を眺める
JOY_147,none,mid,？,,家で子の絵を飾る
JOY_148,youth,weak,。,,店先で友人の作品を見る
JOY_149,none,strong,！,,教室で仲間の達成を喜ぶ
JOY_150,cool,weak,。,,店で友人に席を示す
JOY_151,scout,weak,。,,軒先で子に贈り物を渡す
JOY_152,none,weak,。,,喫茶店で恋人に再会を喜ぶ
JOY_153,none,mid,？,,家で妹にお祝いを相談する
JOY_154,teacher,mid,。,,庭で隣人と花を育てる
JOY_155,none,strong,！,,庭で家族に実を見せる
JOY_156,steward,mid,。,,駅で家族の到着を迎える
JOY_157,mage,strong,！,,玄関で友人を迎える
JOY_158,none,weak,。,,手芸室で友人の作品を見る
JOY_159,none,mid,。,,工場で同僚の改善を喜ぶ
JOY_160,senior,weak,。,,家で弟の気遣いに気づく
JOY_161,none,mid,？,,店先で友人の開店を祝う
JOY_162,none,strong,！,,駅で家族の再会を喜ぶ
JOY_163,maker,mid,？,,工房で仲間に椅子を勧める
JOY_164,none,weak,…,,居間で家族の寝顔を見守る
JOY_165,cool,mid,？,,公園で恋人に散歩を提案
JOY_166,none,mid,？,,職場で同僚へお礼を申し出る
JOY_167,steward,weak,…,,自室で友人の便りを読む
JOY_168,youth,mid,？,,公園で友人に写真を頼む
JOY_169,none,strong,！,,海辺で仲間と旅を終える
JOY_170,none,weak,。,,部屋で友人の声を聞く
JOY_171,senior,mid,？,,庭で隣人と収穫を味わう
JOY_172,none,mid,？,,台所で祖父に味を尋ねる
JOY_173,scout,strong,！,,広場で仲間と再会する
JOY_174,none,strong,。,,浜辺で友人と日の出を見る
JOY_175,mage,mid,。,,食卓で仲間の心遣いに気づく
JOY_176,cool,strong,！,,職場で仲間の復帰を喜ぶ
JOY_177,none,strong,！,,控室で兄の表彰を喜ぶ
JOY_178,none,weak,。,,公園で友人と和解を確かめる
JOY_179,maker,weak,。,,縁側で友人と茶を飲む
JOY_180,teacher,strong,！,,教室で生徒の完成品を見る
JOY_181,none,mid,？,,食堂で仲間を祝いに誘う
JOY_182,youth,weak,。,,帰宅して犬に話す
JOY_183,none,strong,！,,家で両親へ感謝を伝える
JOY_184,none,strong,！,,教室で友人の復学を祝う
JOY_185,maker,strong,！,,家で孫から絵をもらう
JOY_186,none,weak,…,,書斎で届け物を開ける
JOY_187,mage,weak,。,,居間で家族の寝顔を見る
JOY_188,none,mid,？,,商店街で友人に礼を伝える
JOY_189,none,strong,！,,会場で仲間に達成を告げる
JOY_190,scout,weak,。,,宿で友人の気遣いを喜ぶ
JOY_191,none,weak,。,,部屋で家族から便りを受ける
JOY_192,steward,weak,。,,居間で家族から茶を受ける
JOY_193,none,mid,？,,駅前で友人と再会を喜ぶ
JOY_194,teacher,weak,？,,店で友人に祝いの茶を勧める
JOY_195,none,strong,！,,庭で子に花を手渡す
JOY_196,senior,weak,。,,喫茶店で友人に感謝する
JOY_197,cool,mid,。,,台所で家族と新米を味わう
JOY_198,none,weak,…,,台所で独り言を漏らす
JOY_199,youth,mid,。,,食卓で家族に初給料を話す
JOY_200,none,mid,？,,家で友人に祝福を伝える
