CONFUSE_001 あれ、順番が違う！
CONFUSE_002 この矢印は右と左のどちらを示しているの？
CONFUSE_003 受付では右の列へと言われたのに、案内板には左の窓口へ進むよう書かれています。
CONFUSE_004 地図に描かれた橋を渡ったはずなのに、現在地の印は出発した村へ戻っています。
CONFUSE_005 さっき聞いた説明と、紙に書かれた内容が違う。
CONFUSE_006 待って、箱を開ける鍵が箱の中にあるなら、最初はどうやって箱を開ければいいんだ？
CONFUSE_007 待って、青い箱を赤い棚へ置くんだっけ？
CONFUSE_008 どっちを選ぶの？
CONFUSE_009 同じ会議の記録なのに、紙の資料とファイルでは決定事項が正反対になっています。
CONFUSE_010 同じ名前のファイルが二つあって迷っている。
CONFUSE_011 先生は自由に選べと言いましたが、選択肢ごとに正しい順番が決まっているようです。
CONFUSE_012 親方から渡された設計図では歯車が5個ですが、作業台には6個並んでいます。
CONFUSE_013 入口と出口が同じ扉なのは、どういう仕組みだ。
CONFUSE_014 右へ3回曲がって広場へ出たのに、なぜか左へ進んだ仲間が先に着いていました。
CONFUSE_015 筋道がどうにも読めない。
CONFUSE_016 答えを選ぶほど、最初の疑問が増えていく。
CONFUSE_017 このパスワードは昨日変更したはずなのに、古い文字列でなければ入れません。
CONFUSE_018 ねえ、集合場所は駅と広場のどちらなの？
CONFUSE_019 注文票には冷たいスープとあり、厨房の指示には熱いうちに出せと書かれています。
CONFUSE_020 ちょっと、ページ番号が途中から戻ってるよ！
CONFUSE_021 待って、逆じゃない！
CONFUSE_022 この地図では橋があるのに、目の前には川しかない。
CONFUSE_023 騎士団の旗は進軍を示していますが、隊長の笛は撤退の合図を鳴らしています。
CONFUSE_024 ファイルを保存した場所は覚えているのに、そのフォルダ自体が見当たりません。
CONFUSE_025 パスワードを変えたのは昨日か今朝か思い出せない。
CONFUSE_026 話し合いでは全員が賛成したはずですが、議事録には反対多数と記録されています。
CONFUSE_027 先生の例と教科書の式では、記号の位置が逆です。
CONFUSE_028 何から始めるんだ。
CONFUSE_029 フィルターを2枚重ねると鮮明になると言われたのに、画面は真っ白になりました。
CONFUSE_030 ええっ、押すなと書いたボタンを押すの！
CONFUSE_031 この説明書は組み立てた後で部品を入れる手順なので、どう考えても順序が逆に見えます。
CONFUSE_032 目的地へ近づくほど案内表示の距離が増え、町の景色まで遠ざかって見えます。
CONFUSE_033 注文した品と伝票の名前が違って見えます。
CONFUSE_034 朝に届いた連絡では集合が7時なのに、午後の確認には昨日の8時と書かれています。
CONFUSE_035 ええ、意味が違うよ！
CONFUSE_036 この列は受付と会計のどちらに続いているの？
CONFUSE_037 書棚の分類は作者順だと聞きましたが、実際には色と高さで並んでいるようです。
CONFUSE_038 時計の針は進んでいるのに、表示の時刻が過去へ戻っている。
CONFUSE_039 友人から借りた地図には北が二つあり、コンパスはその間を指して動きません。
CONFUSE_040 誰の意見をまとめたのか、議事録から読み取れない。
CONFUSE_041 頭が追いつかない。
CONFUSE_042 左へ曲がったはずなのに、また同じ門へ戻った。
CONFUSE_043 画面には正常と表示されているのに、なぜ警告音だけ鳴り続けるのか分かりません。
CONFUSE_044 一度も会っていない人からお礼を言われ、私が渡したという品まで見せられました。
CONFUSE_045 騎士様、東門と北門の旗が入れ替わっています。
CONFUSE_046 赤い箱を開けたら青い箱の説明書が入り、青い箱には何も入っていませんでした。
CONFUSE_047 待って、このレシピには塩が2回出てくるよ！
CONFUSE_048 いや、数が合わない！
CONFUSE_049 先輩は最初からやり直せと言いながら、今の続きから始めるよう指示しています。
CONFUSE_050 言葉は分かるのに、意味がつながらない…
CONFUSE_051 レシピには砂糖を入れないとあるのに、材料欄では大さじ3杯必要で完全に矛盾しています。
CONFUSE_052 閉めた扉から同じ部屋へ入り、別の出口でも同じ廊下へ戻るなんて理解できない…
CONFUSE_053 さっきの合図は進めと止まれのどちらですか？
CONFUSE_054 駅の時計は6時を示していますが、発車案内には7時の列車が出たとあります。
CONFUSE_055 これは誰の席なの？
CONFUSE_056 フィルターを外したら、画像がさらにぼやけた。
CONFUSE_057 魔術書の1ページ目には最後から読めとあり、最後には最初へ戻れと書かれています。
CONFUSE_058 変だぞ、鍵を閉めたのに扉が勝手に開いた！
CONFUSE_059 商人は半額だと言いますが、値札を計算すると昨日より高くなっているようです。
CONFUSE_060 席は自由だと言われたのに、番号札を渡された。
CONFUSE_061 説明が矛盾している。
CONFUSE_062 この表は縦と横のどちらから読むのですか？
CONFUSE_063 同じ質問を3人に聞いたのに全員の答えが違って、誰を信じればよいのか困ります。
CONFUSE_064 パーティーの招待状には普段着でとありますが、会場では礼服を貸しています。
CONFUSE_065 目的地は見えるのに、道だけが見つからない。
CONFUSE_066 先生が見せた見本と完成条件が食い違い、どちらへ合わせるべきか決められません。
CONFUSE_067 まさか、先に戻ってから進むんですか？
CONFUSE_068 道が二つある、どっちへ進む？
CONFUSE_069 地下へ下りたはずなのに窓から町の屋根が下に見えて、今いる階さえ分かりません。
CONFUSE_070 いや待て、その説明の通りでは逆になるぞ！
CONFUSE_071 白い鍵盤を押すと別の弦が鳴って楽譜とも合わず、ピアノの仕組みが分かりません。
CONFUSE_072 騎士様は門を守れと命じたのに伝令は離れろと言い、どちらへ従うか判断できません。
CONFUSE_073 計算結果は合うのに、途中の式が理解できない。
CONFUSE_074 この申込書では名前を空欄にする決まりなのに、無記名だと受け取ってもらえません。
CONFUSE_075 何を忘れたんだろう…
CONFUSE_076 このティーカップだけ、取っ手が内側にある。
CONFUSE_077 フォークを右へ置く図と左へ置く写真がどちらも正解で、結局どこへ置くか迷います。
CONFUSE_078 どれを選んでも同じ場所へ着くじゃないか！
CONFUSE_079 同じ文章のはずなのに、読むたび主語が違うように感じて誰の話か分からなくなります。
CONFUSE_080 文章の最初と最後で、話し手が変わっています。
CONFUSE_081 ちょっと、話が飛んだ！
CONFUSE_082 今日の当番は私と君のどちらでしたっけ？
CONFUSE_083 番号順の棚で15番の隣に3番と40番があり、並べ方の規則がまったく見えません。
CONFUSE_084 地図では5分の距離なのに1時間歩いても景色が変わらず、道を疑い始めています。
CONFUSE_085 このフォルダを開くと、別のフォルダへ戻される。
CONFUSE_086 先に予約した人から案内すると言われ、なぜか最後に来た人から呼ばれています。
CONFUSE_087 鍵には右の扉用とあるのに、案内では左の扉用だと言われた。
CONFUSE_088 名前が思い出せない。
CONFUSE_089 ちょっと待って、完成した模型を分解してから仕上げるなんて順序が逆でしょう。
CONFUSE_090 3個必要なのに、箱には4個入っています。
CONFUSE_091 青いランプは準備中、緑は停止中と説明されましたが、今は両方光っています。
CONFUSE_092 私の手帳には知らない字で今日の予定が書かれ、しかも全部終わった印がある…
CONFUSE_093 その答えは質問と合っていないんじゃない？
CONFUSE_094 旅人に教わった近道ほど遠回りになって、本当に元の道へ戻るべきか迷っています。
CONFUSE_095 えっ、予定は明日だよ！
CONFUSE_096 待ってくれ、この説明書が上下逆さまだ！
CONFUSE_097 会計では追加料金が無料と言われましたが、伝票には無料分の料金があります。
CONFUSE_098 同じ曲なのに、楽譜と演奏で拍子が違う。
CONFUSE_099 フェンスの内側が出口という案内は、どちら側から見た話なのか分かりません。
CONFUSE_100 このスープは冷製なのに温めるのですか？
CONFUSE_101 時計を修理した職人は正確だと言うのに、長針と短針が別々の方向へ進んでいます。
CONFUSE_102 隊長、出発と待機の旗が同時に上がった！
