02_ANGRY_001 ふざけるな！そんな戯言、誰が信じると思っているんだ！
02_ANGRY_002 いい加減にしろ！お前の嘘にはもう完全にうんざりしているんだよ！
02_ANGRY_003 私を誰だと思っているの？そんな無礼な態度は決して許しませんわ！
02_ANGRY_004 私の前でその様な口を利くとは。貴様、命が惜しくはないのか！
02_ANGRY_005 おいおい、冗談だろ？約束と全然違うじゃないか！
02_ANGRY_006 なんだよこれ！俺が頼んだのはこんな安物じゃないぞ！
02_ANGRY_007 口を慎め！貴様のその暴言、我が主への侮辱と受け取るぞ！
02_ANGRY_008 控えおろう！これ以上は、この私が黙ってはおきません！
02_ANGRY_009 あなた、いい加減にして！何度言ったら分かるのよ！
02_ANGRY_010 もう我慢の限界だ！お前の勝手な振る舞いには呆れ果てたよ！
02_ANGRY_011 邪魔だ！俺の道を開けろ！さもないと痛い目を見るぞ！
02_ANGRY_012 そこをどきなさい！これ以上私の邪魔をするなら、容赦しないわ！
02_ANGRY_013 この不良品が！こんなもの売りつけて、タダで済むと思うなよ！
02_ANGRY_014 舐めるなよ！こんな粗悪な素材で、まともな剣が打てるわけないだろ！
02_ANGRY_015 おい！私の大事なプリン、お前勝手に食べただろ！
02_ANGRY_016 ちょっと！冷蔵庫に入れておいたケーキ、食べたの誰だよ！
02_ANGRY_017 なんてことだ！お前のせいで、僕の完璧な計画が台無しじゃないか！
02_ANGRY_018 信じられない！せっかくの準備をこんな形で無駄にする気？
02_ANGRY_019 ふん、馬鹿らしい。お前のような小物に構っている暇はないんだ！
02_ANGRY_020 愚か者め。私に刃向かうことがどういう意味か、思い知らせてやる！
02_ANGRY_021 許さんぞ！我が故郷を灰にした恨み、今日ここで晴らしてやる！
02_ANGRY_022 貴様らの悪行もここまでだ！この刃で、すべてに決着をつけてやる！
02_ANGRY_023 だから言ったじゃない！あんな危険な道を通るべきじゃなかったんだ。
02_ANGRY_024 ほら見なさい！私の忠告を聞かなかったから、こんな目に遭うのよ！
02_ANGRY_025 おい新入り！こんな単純なミスをどうして見逃したんだ！
02_ANGRY_026 君ね！何度同じことを指摘させれば気が済むんだい！
02_ANGRY_027 お客様、誠に申し上げにくいのですが、それは筋違いというものです！
02_ANGRY_028 旦那様！いくら何でも、今の御発言はあんまりでございます！
02_ANGRY_029 うるさい！俺のやり方に口出しするな！勝手にさせてくれよ！
02_ANGRY_030 全く、どいつもこいつも言うことを聞きやしない！腹立たしい。
02_ANGRY_031 あのね！人が話している最中に、スマホを弄るのはやめてよ！
02_ANGRY_032 おい！さっきから聞いてるのか！適当に相槌打つなよな！
02_ANGRY_033 私がどれだけ苦労してこれを完成させたか、お前に分かるのか！
02_ANGRY_034 貴様、この剣を打つためにどれほどの時間と魂を込めたと思っているんだ！
02_ANGRY_035 ふざけるな。私の許しもなく、勝手にあの魔導書を持ち出したのか？
02_ANGRY_036 いい加減にしろよ！俺の大事なコレクションに傷をつけやがって！
02_ANGRY_037 お前なぁ、そういう態度だからみんなから愛想を尽かされるんだぞ。
02_ANGRY_038 あなたって人は！本当に自分勝手で思いやりのかけらもないのね！
02_ANGRY_039 笑わせるなっ！この俺様が、こんな罠に引っかかるとでも思ったか！
02_ANGRY_040 全く、こんな簡単な謎解きに時間をかけさせないでくれ。
02_ANGRY_041 黙れ！貴様のような下劣な輩と、言葉を交わす気など毛頭ない！
02_ANGRY_042 だから、それは違うって言ってるでしょ！ちゃんと私の話を聞いてよ！
02_ANGRY_043 何だと？もう一度言ってみろ。その言葉、ただで済むと思うなよ！
02_ANGRY_044 君のその投げやりな態度は、私に対する明確な敵意と受け取るぞ。
02_ANGRY_045 おいおい、待ち合わせからもう一時間も過ぎてるんだぞ！何やってたんだ！
02_ANGRY_046 お前いい加減にしろよ！いつまで経っても準備が終わらないじゃないか！
02_ANGRY_047 ふん、私を怒らせたことをあの世でたっぷりと後悔するがいい！
02_ANGRY_048 ふざけないで！あなたが約束を破ったせいで、すべて台無しになったのよ！
02_ANGRY_049 貴様ら、我が領地を荒らし回って無事で帰れるとでも思っているのか！
02_ANGRY_050 ええい、少しは自分の頭で考えろ！いつまで俺に頼り切るつもりだ！
02_ANGRY_051 ちょっと！私の靴踏まないでよ！新品でお気に入りだったのに！
02_ANGRY_052 おいおい、冗談は顔だけにしてくれよ。これだけの報酬で動けるかよ。
02_ANGRY_053 この私が手伝ってあげると言っているのに、その恩知らずな態度は何！
02_ANGRY_054 うるさい！お前なんかに俺の気持ちが分かってたまるか！
02_ANGRY_055 お前、俺の獲物を横取りする気か？背中から斬られたいらしいな。
02_ANGRY_056 もういい！あなたとはこれ以上一秒たりとも一緒にいたくないわ！
02_ANGRY_057 いい加減にしろ！そのくだらない冗談、もう聞き飽きたんだよ！
02_ANGRY_058 なにを言っている！そんな馬鹿げた作戦で、勝てるわけがないだろう！
02_ANGRY_059 私の最高傑作を「普通だ」と抜かしたな。お前の目は節穴か！
02_ANGRY_060 お嬢様！そのように汚い言葉をお使いになるのは、絶対におやめください！
02_ANGRY_061 ふざけるな！俺は絶対に見捨てない！お前らだけで逃げろって言うのか！
02_ANGRY_062 あのなあ！もう少し周りの空気を読んでから発言してくれないか！
02_ANGRY_063 黙れ！私に指図するなど、身の程を知らないにもほどがあるわ！
02_ANGRY_064 あなたたちの無能さには、本当に心底呆れ返りましたわ。
02_ANGRY_065 おいっ！俺の順番を抜かすなよ！ちゃんとルールは守れ！
02_ANGRY_066 ふんっ！お前のような腰抜けが、私の前に立つなどおこがましい！
02_ANGRY_067 もう知らない！勝手にすればいいじゃない！私には関係ないわ！
02_ANGRY_068 いい加減にしなさい！そんな子供騙しの言い訳が通用するとでも？
