id,character_style,intensity,length_chars,punctuation,phoneme_tags,near_pair_group,reading_ease_score
10_EXPLAIN_001,girl,mid,60,。,YOUON;SOKUON;HATSUON;CHOON;DAKUON;GAIRAION,,4
10_EXPLAIN_002,boy,mid,69,。,YOUON;SOKUON;HATSUON;CHOON;DAKUON;HANDAKUON,,4
10_EXPLAIN_003,friend,weak,61,。,SOKUON;HATSUON;CHOON;DAKUON;HANDAKUON,,4
10_EXPLAIN_004,teacher,mid,68,。,YOUON;HATSUON;CHOON;DAKUON,,4
10_EXPLAIN_005,swordsman,strong,71,。,SOKUON;HATSUON;DAKUON,,4
10_EXPLAIN_006,cool,weak,66,。,YOUON;SOKUON;HATSUON;CHOON;DAKUON;HANDAKUON,,4
10_EXPLAIN_007,adventurer,strong,61,。,SOKUON;HATSUON;DAKUON,,4
10_EXPLAIN_008,maid,weak,75,。,YOUON;SOKUON;HATSUON;DAKUON;HANDAKUON,,4
10_EXPLAIN_009,mage,mid,71,。,YOUON;SOKUON;HATSUON;CHOON;DAKUON,,4
10_EXPLAIN_010,artisan,mid,71,。,YOUON;SOKUON;HATSUON;DAKUON,,4
10_EXPLAIN_011,friend,weak,75,。,YOUON;SOKUON;HATSUON;CHOON;DAKUON;HANDAKUON;GAIRAION,,4
10_EXPLAIN_012,boy,mid,74,。,YOUON;SOKUON;HATSUON;DAKUON;HANDAKUON,,4
10_EXPLAIN_013,knight,mid,73,。,YOUON;HATSUON;DAKUON,,4
10_EXPLAIN_014,girl,mid,75,。,YOUON;SOKUON;HATSUON;CHOON;DAKUON;HANDAKUON,,4
10_EXPLAIN_015,swordsman,mid,69,。,YOUON;SOKUON;HATSUON;DAKUON,,4
10_EXPLAIN_016,boy,weak,74,。,YOUON;HATSUON;CHOON;DAKUON;HANDAKUON,,4
10_EXPLAIN_017,cool,mid,73,。,YOUON;SOKUON;HATSUON;DAKUON,,4
10_EXPLAIN_018,friend,mid,77,。,YOUON;HATSUON;CHOON;DAKUON;HANDAKUON,,4
10_EXPLAIN_019,teacher,mid,81,。,YOUON;SOKUON;HATSUON;DAKUON,,4
10_EXPLAIN_020,girl,mid,80,。,YOUON;HATSUON;CHOON;DAKUON;HANDAKUON,,4
10_EXPLAIN_021,adventurer,strong,80,。,YOUON;SOKUON;HATSUON;DAKUON,,4
10_EXPLAIN_022,maid,weak,78,。,YOUON;SOKUON;HATSUON;CHOON;DAKUON,,4
10_EXPLAIN_023,swordsman,mid,77,。,YOUON;HATSUON;DAKUON;HANDAKUON,,4
10_EXPLAIN_024,cool,weak,84,。,YOUON;SOKUON;HATSUON;CHOON;DAKUON;HANDAKUON;GAIRAION,,4
10_EXPLAIN_025,girl,mid,80,。,YOUON;HATSUON;DAKUON;HANDAKUON,,4
10_EXPLAIN_026,knight,strong,80,。,YOUON;HATSUON;DAKUON,,4
10_EXPLAIN_027,boy,weak,80,。,YOUON;HATSUON;CHOON;DAKUON;HANDAKUON,,4
10_EXPLAIN_028,friend,mid,79,。,YOUON;SOKUON;HATSUON;DAKUON,,4
10_EXPLAIN_029,teacher,mid,79,。,YOUON;SOKUON;HATSUON;DAKUON,,4
10_EXPLAIN_030,girl,weak,76,。,YOUON;SOKUON;HATSUON;CHOON;DAKUON;HANDAKUON,,4
10_EXPLAIN_031,adventurer,strong,81,。,YOUON;SOKUON;HATSUON;DAKUON,,4
10_EXPLAIN_032,friend,mid,83,。,YOUON;SOKUON;HATSUON;DAKUON;HANDAKUON,,4
10_EXPLAIN_033,swordsman,mid,81,。,YOUON;HATSUON;DAKUON;HANDAKUON,,4
10_EXPLAIN_034,mage,weak,81,。,YOUON;SOKUON;HATSUON;DAKUON,,4
10_EXPLAIN_035,girl,mid,83,。,YOUON;SOKUON;HATSUON;CHOON;DAKUON,,4
10_EXPLAIN_036,mage,strong,81,。,YOUON;SOKUON;HATSUON;CHOON;DAKUON;HANDAKUON,,4
10_EXPLAIN_037,maid,weak,84,。,YOUON;SOKUON;HATSUON;CHOON;DAKUON,,4
