WHISPER_NORMAL_001 シッ、静かに。赤ちゃんがやっと寝たところなんだ。
WHISPER_NORMAL_002 図書館ではお静かにお願いしますね。
WHISPER_NORMAL_003 ……聞こえる？ 壁の向こうから、何か音がするよ。
WHISPER_NORMAL_004 ご主人様、そろそろお休みの時間でございます。
WHISPER_NORMAL_005 今、みんな寝てるから、こっそり抜け出そうか。
WHISPER_NORMAL_006 あのね、明日の朝早くに起こしてほしいんだ。
WHISPER_NORMAL_007 ……大丈夫、誰にも聞かれてないよ。
WHISPER_NORMAL_008 星がきれいだね。こんなに静かな夜は久しぶりだ。
WHISPER_NORMAL_009 ご主人様、お夜食を枕元に置いておきますね。
WHISPER_NORMAL_010 ほら、小鳥が窓辺に来てるよ。驚かせないようにね。
WHISPER_NORMAL_011 ……鍵は開けておいたから、後で入ってきて。
WHISPER_NORMAL_012 ここなら安全だ。少し休もう。
WHISPER_NORMAL_013 ご主人様、明日の朝食はベッドにお持ちしましょうか？
WHISPER_NORMAL_014 ……ねえ、私の声、ちゃんと届いてる？
WHISPER_NORMAL_015 映画館だから、お喋りはまた後でね。
WHISPER_NORMAL_016 秘密基地みたいで、なんかワクワクするね。
WHISPER_NORMAL_017 ……君にだけ教えるけど、近道があるんだ。
WHISPER_NORMAL_018 ご主人様、お加減はいかがですか？ お薬をお持ちしました。
WHISPER_NORMAL_019 足音を立てないで。気づかれるよ。
WHISPER_NORMAL_020 ……ふふ、寝顔があんまり可愛いから、見惚れちゃった。
WHISPER_NORMAL_021 授業中だよ。手紙回すから読んでね。
WHISPER_NORMAL_022 ご主人様、ネクタイが曲がっておりますよ。直しますね。
WHISPER_NORMAL_023 ……うん、分かってる。誰にも言わないよ。
WHISPER_NORMAL_024 息を潜めて。あいつが通り過ぎるのを待つんだ。
WHISPER_NORMAL_025 お嬢様、今夜は月がとても綺麗ですね。
WHISPER_NORMAL_026 ……ねえ、あそこの席の人、こっち見てない？
WHISPER_NORMAL_027 寒いね。もう少しこっちにおいで。
