id,character_style,intensity,length_chars,punctuation,phoneme_tags,near_pair_group,reading_ease_score
WHISPER_001,none,strong,12,！,SOKUON;DAKUON,P14,5
WHISPER_002,none,strong,19,？,CHOON;DAKUON,P12,5
WHISPER_003,none,weak,40,。,SOKUON;DAKUON,,4
WHISPER_004,none,weak,21,。,SOKUON;CHOON,P20,5
WHISPER_005,none,weak,37,。,DAKUON,,4
WHISPER_006,friend,weak,11,？,CHOON;DAKUON,,5
WHISPER_007,none,strong,19,！,SOKUON;CHOON;DAKUON,P01,5
WHISPER_008,none,strong,38,！,SOKUON;CHOON;DAKUON,P14,4
WHISPER_009,none,weak,37,。,CHOON;DAKUON,,4
WHISPER_010,none,weak,20,。,HATSUON;DAKUON,,5
WHISPER_011,none,weak,39,。,SOKUON;HATSUON;DAKUON,,4
WHISPER_012,none,weak,20,。,CHOON;DAKUON,,5
WHISPER_013,none,weak,11,。,,,5
WHISPER_014,butler,weak,40,。,CHOON;DAKUON,,4
WHISPER_015,none,weak,19,。,DAKUON,,5
WHISPER_016,none,weak,38,。,SOKUON;HATSUON;DAKUON,,4
WHISPER_017,none,strong,18,？,HATSUON;DAKUON,P07,5
WHISPER_018,friend,weak,39,。,SOKUON;CHOON;DAKUON,,4
WHISPER_019,none,strong,18,！,DAKUON,P04,5
WHISPER_020,none,weak,36,。,SOKUON;DAKUON,,4
WHISPER_021,none,strong,11,！,SOKUON,,5
WHISPER_022,none,weak,20,。,DAKUON,P13,5
WHISPER_023,knight,weak,38,。,DAKUON,,4
WHISPER_024,none,weak,19,。,DAKUON,,5
WHISPER_025,none,weak,38,。,HATSUON;DAKUON;HANDAKUON,,4
WHISPER_026,none,weak,38,。,CHOON;DAKUON,,4
WHISPER_027,maid,weak,18,。,DAKUON,,5
WHISPER_028,none,weak,40,。,DAKUON,,4
WHISPER_029,friend,weak,19,。,CHOON;DAKUON,,5
WHISPER_030,artisan,weak,39,。,SOKUON;CHOON;DAKUON,P20,4
WHISPER_031,friend,mid,11,。,DAKUON,,5
WHISPER_032,none,mid,24,。,SOKUON;DAKUON,P08,5
WHISPER_033,none,mid,39,。,DAKUON,,4
WHISPER_034,none,weak,38,。,SOKUON;DAKUON,,4
WHISPER_035,none,strong,19,？,DAKUON,,5
WHISPER_036,none,weak,38,。,YOUON;SOKUON;DAKUON,,4
WHISPER_037,none,mid,22,。,CHOON;DAKUON,,5
WHISPER_038,mage,mid,39,。,SOKUON;CHOON;DAKUON;HANDAKUON,,4
WHISPER_039,none,mid,23,。,CHOON;DAKUON,,5
WHISPER_040,none,weak,39,。,CHOON;DAKUON,,4
WHISPER_041,none,mid,10,。,SOKUON,,5
