id,character_style,intensity,punctuation,near_pair_group,scene
ANGRY_001,none,weak,。,,家で母の無断開封に抗議
ANGRY_002,maker,strong,！,P08,店先で客の値切りに抗議
ANGRY_003,none,mid,。,,職場で先輩の侮辱を拒む
ANGRY_004,cool,mid,。,,店で知人の割り込みを止める
ANGRY_005,none,weak,…,,自室で独り言を漏らす
ANGRY_006,mage,mid,。,P15,書斎で弟子に無断閲覧を抗議
ANGRY_007,none,strong,。,P01,教室で同級生の無断借用を責める
ANGRY_008,scout,mid,。,P13,野営地で仲間の見張り放棄を責める
ANGRY_009,none,weak,。,P02,廊下で友人に責任転嫁を抗議
ANGRY_010,senior,mid,。,P09,教室で後輩への中傷を止める
ANGRY_011,none,strong,！,P03,職場で担当者に変更未連絡を抗議
ANGRY_012,steward,mid,。,P05,食堂で客の横柄な行為を制止
ANGRY_013,teacher,weak,。,,廊下で同僚の軽視に抗議
ANGRY_014,none,mid,。,P04,職場で先輩の不公平を指摘
ANGRY_015,youth,mid,。,P01,教室で友人に無断借用を抗議
ANGRY_016,none,weak,。,P05,食堂で客の乱暴を制止
ANGRY_017,none,strong,。,,駅で係員に説明を求める
ANGRY_018,mage,mid,？,,食堂で仲間の横取りを責める
ANGRY_019,none,weak,。,,食卓で姉の無断決定に抗議
ANGRY_020,none,mid,。,,店で割り込みを制止
ANGRY_021,cool,mid,。,P03,職場で同僚に無断変更を抗議
ANGRY_022,none,mid,？,P06,受付で客の返品理由を疑う
ANGRY_023,maker,mid,。,P07,工房で弟子の道具放置を叱る
ANGRY_024,none,strong,！,P07,倉庫で同僚の刃物放置を責める
ANGRY_025,teacher,mid,。,P11,教室で嘲笑する生徒を注意
ANGRY_026,scout,mid,。,,市場で客引きの嘘を責める
ANGRY_027,none,mid,。,,教室で友人の取り消しに不満
ANGRY_028,senior,weak,。,,廊下で友人に軽口を抗議
ANGRY_029,none,weak,。,P08,店で客の支払い拒否に抗議
ANGRY_030,steward,strong,。,P06,受付で客の虚偽申告を追及
ANGRY_031,none,strong,！,P09,教室で陰口を言う仲間を止める
ANGRY_032,youth,strong,？！,P02,校庭で仲間に責任転嫁を抗議
ANGRY_033,none,mid,。,P10,駅で友人のすっぽかしを責める
ANGRY_034,none,strong,。,,現場で上司の責任逃れを責める
ANGRY_035,cool,weak,。,,職場で同僚の口調を注意
ANGRY_036,none,weak,。,P11,図書室で友人の嘲笑を止める
ANGRY_037,mage,strong,。,P16,庭で仲間に乱暴な実験を抗議
ANGRY_038,none,weak,。,,喫茶店で友人の無断公開に抗議
ANGRY_039,maker,mid,。,,家で息子の無断借用を責める
ANGRY_040,none,mid,。,,家で兄の騒音に苦情を言う
ANGRY_041,senior,mid,？,,食堂で後輩に礼儀を求める
ANGRY_042,none,strong,。,,職場で同僚の押しつけを断る
ANGRY_043,steward,mid,。,,家で兄弟に借金の軽視を抗議
ANGRY_044,none,strong,！,,職場で侮辱を止める
ANGRY_045,scout,strong,？！,P14,宿で仲間の食料独占を責める
ANGRY_046,none,strong,！,P12,職場で上司に記録の偏りを抗議
ANGRY_047,teacher,strong,。,P12,会議室で同僚に記録削除を抗議
ANGRY_048,none,mid,。,P13,野営地で仲間に見張りを注意
ANGRY_049,youth,weak,。,,駅で友人の遅刻を責める
ANGRY_050,none,weak,？,P14,食堂で兄に独り占めを抗議
ANGRY_051,none,weak,。,,体育館で仲間の不公平に抗議
ANGRY_052,mage,weak,。,,居間で友人の決めつけを拒む
ANGRY_053,none,strong,！,P15,家で妹の無断閲覧を責める
ANGRY_054,cool,strong,。,P04,会議室で上司の差別的扱いを抗議
ANGRY_055,none,mid,。,,会議室で上司の態度を責める
ANGRY_056,teacher,mid,。,,家で家族の無断変更を責める
ANGRY_057,none,strong,。,,商店で客の嫌がらせを制止
ANGRY_058,youth,mid,。,,家で兄に約束を問いただす
ANGRY_059,none,weak,。,,部屋で友人のからかいに抗議
ANGRY_060,maker,strong,！,,倉庫で相手の乱暴を制止
ANGRY_061,scout,weak,。,,川辺で仲間の急かしを止める
ANGRY_062,none,mid,。,,台所で家族に協力を求める
ANGRY_063,senior,strong,！,,教室で友人に嘘を訂正させる
ANGRY_064,none,strong,。,,集会所で係の独断に抗議
ANGRY_065,steward,strong,！,,玄関で客の威圧を止める
ANGRY_066,none,weak,。,,職場で同僚の曖昧な返事を責める
ANGRY_067,none,mid,。,P16,庭で同僚の無配慮を責める
ANGRY_068,senior,strong,？！,P10,部屋で友人に約束破りを抗議
ANGRY_069,none,weak,？,,食卓で兄に抗議する
ANGRY_070,none,weak,。,,電車で隣人の音漏れを注意
ANGRY_071,cool,weak,。,,家で同居人の放置を責める
ANGRY_072,none,mid,。,,台所で同居人の放置を責める
ANGRY_073,mage,weak,。,,工房で弟子のごまかしを責める
ANGRY_074,maker,weak,。,,工房で仲間の雑な作業を責める
ANGRY_075,none,strong,？！,,会議室で相手の横取りを責める
ANGRY_076,steward,weak,。,,廊下で同僚に無断侵入を抗議
ANGRY_077,none,mid,。,,公園で知人の無断餌やりを制止
ANGRY_078,scout,strong,！,,街道で仲間の軽視に抗議
ANGRY_079,none,strong,？！,,家で弟の嘘を追及する
ANGRY_080,teacher,strong,！,,校庭で危険な遊びを止める
ANGRY_081,none,weak,。,,学校で友人のすり替えに抗議
ANGRY_082,youth,strong,！,,教室で友人の侮辱を止める
ANGRY_083,none,mid,。,,店で担当者の未連絡を責める
ANGRY_084,none,mid,？,,廊下で友人を問い詰める
ANGRY_085,cool,strong,！,,職場で同僚の言い逃れを止める
ANGRY_086,none,strong,！,,工場で同僚の危険行為を制止
ANGRY_087,mage,strong,！,,書斎で相手の言い訳を止める
ANGRY_088,none,weak,。,,玄関で親戚の押しかけに抗議
ANGRY_089,youth,mid,。,,台所で姉に片付けを求める
ANGRY_090,none,mid,。,,会場で主催者に約束変更を抗議
ANGRY_091,maker,weak,。,,作業場で同僚の口出しを止める
ANGRY_092,none,strong,？！,,職場で上司の責任転嫁を拒む
ANGRY_093,scout,mid,？,,野営地で仲間の責任逃れを追及
ANGRY_094,none,weak,…,,自室で友人の雑な扱いに不満
ANGRY_095,senior,mid,？,,部室で後輩の成果横取りを責める
ANGRY_096,none,mid,。,,食堂で仲間の独占を責める
ANGRY_097,steward,mid,？,,受付で客の侮辱に抗議
ANGRY_098,none,strong,。,,廊下で相手に謝罪を求める
ANGRY_099,teacher,mid,？,,教室で生徒の言い逃れを問う
ANGRY_100,none,weak,。,,家で家族の雑用押しつけに不満
ANGRY_101,none,strong,！,,教室で嘲笑を制止する
ANGRY_102,cool,mid,？,,会議室で同僚に説明を求める
ANGRY_103,none,mid,。,,駅で友人の軽視を責める
ANGRY_104,mage,mid,？,,机で共同研究者の独断を問う
ANGRY_105,none,strong,。,,職場で同僚の隠蔽を追及
ANGRY_106,maker,mid,？,,作業台で同僚の言い訳を疑う
ANGRY_107,none,weak,。,,公園で知人の失礼な質問を拒む
ANGRY_108,youth,weak,。,,廊下で友人の冗談を止める
ANGRY_109,none,weak,。,,部屋で家族の勝手な処分に抗議
ANGRY_110,scout,weak,。,,宿で仲間の無断借用を抗議
ANGRY_111,none,mid,。,,台所で夫の感謝不足に抗議
ANGRY_112,senior,weak,。,,家で家族の無断処分に抗議
ANGRY_113,steward,weak,。,,庭で隣人のごみ捨てを注意
ANGRY_114,none,mid,。,,駐輪場で知人の迷惑行為を注意
ANGRY_115,teacher,weak,。,,教室で生徒の責任転嫁を止める
ANGRY_116,none,strong,！,,職場で同僚の繰り返す遅刻を責める
ANGRY_117,none,weak,。,,居間で家族に不満を言う
ANGRY_118,senior,weak,。,,部室で仲間の不公平を指摘
ANGRY_119,none,weak,。,,家で兄の無責任な返事に抗議
ANGRY_120,none,strong,！,,学校で教師の決めつけに抗議
ANGRY_121,youth,mid,？,,部室で仲間の横取りを責める
ANGRY_122,none,weak,。,,職場で同僚の私語に苦情を言う
ANGRY_123,cool,weak,。,,車内で友人の迷惑行為を注意
ANGRY_124,none,mid,。,,店で客の乱暴な扱いに抗議
