id,character_style,intensity,length_chars,punctuation,phoneme_tags,near_pair_group,reading_ease_score
EXPLAIN_001,friend,weak,15,。,DAKUON,,5
EXPLAIN_002,none,weak,22,。,DAKUON,,5
EXPLAIN_003,none,strong,36,！,DAKUON,,4
EXPLAIN_004,none,weak,22,。,DAKUON;GAIRAION,P07,5
EXPLAIN_005,none,weak,37,。,HATSUON;DAKUON,,4
EXPLAIN_006,none,weak,14,。,SOKUON;DAKUON,,5
EXPLAIN_007,none,weak,24,。,YOUON;CHOON;DAKUON,,5
EXPLAIN_008,none,strong,36,？,,,4
EXPLAIN_009,none,weak,37,。,SOKUON;HATSUON;DAKUON,,4
EXPLAIN_010,none,strong,21,！,,,5
EXPLAIN_011,none,weak,40,。,,P16,4
EXPLAIN_012,none,weak,21,。,DAKUON,,5
EXPLAIN_013,none,weak,12,。,DAKUON,,5
EXPLAIN_014,none,weak,41,。,DAKUON,,4
EXPLAIN_015,none,strong,20,？,DAKUON,,5
EXPLAIN_016,none,weak,37,。,CHOON;DAKUON;HANDAKUON,,4
EXPLAIN_017,none,weak,21,。,DAKUON,P15,5
EXPLAIN_018,none,weak,38,。,DAKUON,,4
EXPLAIN_019,none,weak,21,。,DAKUON,,5
EXPLAIN_020,none,strong,38,。,YOUON;DAKUON;GAIRAION,,4
EXPLAIN_021,none,weak,14,。,DAKUON,,5
EXPLAIN_022,none,weak,24,。,DAKUON,,5
EXPLAIN_023,none,weak,36,。,YOUON;CHOON;DAKUON,,4
EXPLAIN_024,none,weak,21,。,HATSUON;DAKUON,,5
EXPLAIN_025,none,weak,36,。,YOUON;DAKUON,,4
EXPLAIN_026,none,weak,37,。,SOKUON;DAKUON,P11,4
EXPLAIN_027,none,weak,23,。,DAKUON,P10,5
EXPLAIN_028,none,weak,38,。,DAKUON,,4
EXPLAIN_029,adventurer,strong,21,！,HATSUON;DAKUON;HANDAKUON,,5
EXPLAIN_030,none,weak,40,。,YOUON;CHOON;DAKUON,,4
EXPLAIN_031,none,strong,13,！,,,5
EXPLAIN_032,none,weak,18,。,DAKUON,,5
EXPLAIN_033,none,weak,37,。,SOKUON;CHOON;DAKUON;GAIRAION,,4
EXPLAIN_034,none,strong,36,？,CHOON;DAKUON,,4
EXPLAIN_035,none,weak,20,。,,P16,5
EXPLAIN_036,none,strong,39,！,CHOON;DAKUON,P13,4
EXPLAIN_037,none,weak,22,。,DAKUON,,5
EXPLAIN_038,teacher,weak,37,。,DAKUON,,4
EXPLAIN_039,none,weak,24,。,CHOON;HANDAKUON,P04,5
EXPLAIN_040,adventurer,weak,37,。,HATSUON;DAKUON,,4
EXPLAIN_041,none,weak,10,。,DAKUON,,5
EXPLAIN_042,none,strong,20,？,DAKUON,P10,5
EXPLAIN_043,none,weak,39,。,HATSUON;DAKUON,P03,4
EXPLAIN_044,none,weak,20,。,DAKUON,P07,5
EXPLAIN_045,none,weak,37,。,SOKUON;HATSUON;DAKUON;HANDAKUON,,4
EXPLAIN_046,none,weak,14,。,,P01,5
EXPLAIN_047,none,weak,18,。,DAKUON,,5
EXPLAIN_048,none,weak,37,。,DAKUON,,4
EXPLAIN_049,teacher,weak,36,。,DAKUON,,4
EXPLAIN_050,none,strong,20,！,SOKUON,P08,5
EXPLAIN_051,none,weak,38,。,SOKUON;HATSUON;CHOON;DAKUON;GAIRAION,P06,4
EXPLAIN_052,none,weak,20,。,DAKUON,,5
EXPLAIN_053,none,weak,11,。,DAKUON,,5
EXPLAIN_054,teacher,strong,39,！,YOUON;DAKUON,,4
EXPLAIN_055,none,weak,24,。,SOKUON;DAKUON,,5
EXPLAIN_056,none,weak,37,。,HATSUON;DAKUON,,4
EXPLAIN_057,adventurer,weak,21,。,DAKUON,P05,5
EXPLAIN_058,none,strong,38,？,SOKUON;DAKUON,,4
EXPLAIN_059,none,weak,21,。,SOKUON,,5
EXPLAIN_060,none,weak,36,。,SOKUON;CHOON;DAKUON;HANDAKUON,,4
EXPLAIN_061,none,strong,16,？,HATSUON;DAKUON,,5
EXPLAIN_062,none,weak,22,。,DAKUON,,5
EXPLAIN_063,none,weak,37,。,CHOON;DAKUON,,4
EXPLAIN_064,none,weak,25,。,DAKUON,P18,5
EXPLAIN_065,none,weak,38,。,,P17,4
