id,character_style,intensity,length_chars,punctuation,phoneme_tags,near_pair_group,reading_ease_score
SURPRISE_001,none,strong,9,！,SOKUON;DAKUON,,5
SURPRISE_002,none,mid,20,？,SOKUON;HATSUON;DAKUON,,5
SURPRISE_003,none,mid,36,。,SOKUON;HATSUON;DAKUON,,4
SURPRISE_004,none,mid,38,。,SOKUON;HATSUON;DAKUON;HANDAKUON,P08,4
SURPRISE_005,friend,weak,23,。,CHOON;DAKUON,,5
SURPRISE_006,none,strong,36,！,SOKUON;CHOON;DAKUON;HANDAKUON;GAIRAION,,4
SURPRISE_007,none,strong,19,！,DAKUON,,5
SURPRISE_008,none,mid,9,？,CHOON,P20,5
SURPRISE_009,none,weak,36,。,DAKUON,,4
SURPRISE_010,none,mid,19,。,DAKUON,,5
SURPRISE_011,girl,weak,36,。,CHOON;DAKUON,,4
SURPRISE_012,friend,weak,39,。,SOKUON;CHOON;DAKUON,,4
SURPRISE_013,girl,weak,19,。,HATSUON;CHOON;DAKUON,,5
SURPRISE_014,none,weak,36,。,SOKUON;DAKUON,P06,4
SURPRISE_015,none,mid,11,。,SOKUON;DAKUON,P03,5
SURPRISE_016,none,mid,20,？,CHOON;DAKUON,,5
SURPRISE_017,none,weak,39,。,DAKUON,P19,4
SURPRISE_018,none,mid,20,？,SOKUON;HATSUON;DAKUON,,5
SURPRISE_019,adventurer,weak,39,。,CHOON;DAKUON,,4
SURPRISE_020,none,strong,21,！,SOKUON;DAKUON,,5
SURPRISE_021,girl,strong,10,！,DAKUON,P01,5
SURPRISE_022,none,weak,19,。,SOKUON;DAKUON,,5
SURPRISE_023,none,weak,36,。,DAKUON,,4
SURPRISE_024,none,mid,38,？,SOKUON;HATSUON;DAKUON,,4
SURPRISE_025,none,weak,19,。,HATSUON;CHOON;DAKUON,,5
SURPRISE_026,girl,weak,37,。,SOKUON;CHOON;DAKUON,,4
SURPRISE_027,senpai,mid,21,。,SOKUON;HATSUON;DAKUON,,5
SURPRISE_028,none,weak,9,。,DAKUON,P18,5
SURPRISE_029,none,weak,38,。,SOKUON;HATSUON;CHOON;DAKUON,,4
SURPRISE_030,none,strong,20,！,HATSUON;CHOON;DAKUON,P14,5
SURPRISE_031,none,weak,36,。,SOKUON;CHOON;DAKUON;HANDAKUON,,4
SURPRISE_032,none,weak,40,。,SOKUON;HATSUON;DAKUON,,4
SURPRISE_033,none,weak,20,。,HATSUON;DAKUON,P07,5
SURPRISE_034,none,weak,38,。,SOKUON;HATSUON;DAKUON,,4
SURPRISE_035,none,strong,10,！,SOKUON;DAKUON,,5
SURPRISE_036,none,mid,20,？,SOKUON;CHOON;DAKUON,,5
SURPRISE_037,friend,weak,37,。,SOKUON;CHOON;DAKUON;HANDAKUON,,4
SURPRISE_038,none,weak,20,。,SOKUON;HATSUON;DAKUON,,5
SURPRISE_039,none,weak,41,。,SOKUON;DAKUON;HANDAKUON,,4
SURPRISE_040,none,weak,20,。,DAKUON,,5
SURPRISE_041,artisan,weak,10,。,CHOON,,5
SURPRISE_042,girl,weak,19,。,DAKUON,,5
SURPRISE_043,none,weak,41,。,SOKUON;CHOON;DAKUON,,4
SURPRISE_044,knight,mid,37,？,SOKUON;HATSUON;DAKUON,,4
SURPRISE_045,adventurer,mid,21,？,CHOON;DAKUON,,5
SURPRISE_046,girl,weak,38,。,SOKUON;DAKUON,,4
SURPRISE_047,none,strong,21,！,SOKUON;HATSUON;DAKUON;HANDAKUON,,5
SURPRISE_048,none,strong,10,！,HATSUON;DAKUON,,5
SURPRISE_049,none,weak,38,。,SOKUON;HATSUON;DAKUON;HANDAKUON,,4
SURPRISE_050,none,weak,19,…,SOKUON;DAKUON,P03,5
SURPRISE_051,none,weak,37,。,SOKUON;DAKUON,,4
SURPRISE_052,none,mid,38,…,SOKUON;DAKUON,,4
SURPRISE_053,none,mid,21,？,,,5
SURPRISE_054,none,weak,38,。,SOKUON;CHOON;DAKUON,,4
SURPRISE_055,none,mid,10,？,SOKUON;DAKUON,,5
