05_SURPRISE_001 えっ！？こんなところに隠し扉があったなんて、全然気付かなかったよ！
05_SURPRISE_002 うそっ！この古い壺が、国宝級の価値があるなんて信じられないわ！
05_SURPRISE_003 マジかよ！あの大人しい奴が、実は伝説の暗殺者だったなんて！
05_SURPRISE_004 おおっ！まさかこの遺跡の最深部に、竜が眠っていたとは驚きだ！
05_SURPRISE_005 ええっ！？このケーキ、私が作るよりもずっと美味しくてびっくり！
05_SURPRISE_006 はあっ！？お前、一人でその巨大な魔物を倒してきたって言うのか！？
05_SURPRISE_007 あら！こんな所に珍しい薬草が生えているなんて、本当に奇跡みたいね。
05_SURPRISE_008 なんだって！？あの堅物な館長が、突然踊り出すなんて信じられないぞ！
05_SURPRISE_009 うわっ！？後ろからいきなり声をかけないでくれ！心臓が止まるかと思った！
05_SURPRISE_010 ええーっ！この可愛いぬいぐるみが、実は監視カメラだったなんて怖いよ！
05_SURPRISE_011 まさか……この私が、こんな初歩的な罠に引っかかってしまうなんて……！
05_SURPRISE_012 ひえっ！急に天井が崩れてくるなんて、聞いてないですよ旦那様！
05_SURPRISE_013 おいおい嘘だろ！？このオンボロ船で、嵐の海を突っ切るつもりか！？
05_SURPRISE_014 うそ！？あのアカデミーの首席が、まさかスパイだったなんて驚きだわ。
05_SURPRISE_015 おおおっ！こんな見事な剣の舞、生まれて初めて見たぞ！すごいな！
05_SURPRISE_016 えっ！？このボタンを押したら、急に床が抜けるなんて聞いてないよ！
05_SURPRISE_017 なんですって！？今日のおやつが全部ネズミに食べられちゃったですって！？
05_SURPRISE_018 わあっ！急に箱からピエロが飛び出してきて、すっごくびっくりしたぁ！
05_SURPRISE_019 まさか……あの噂の怪盗が、こんな身近に潜んでいたとはな。にしてやられた。
05_SURPRISE_020 なんだと！？この俺の必殺技を、素手で受け止める奴がいるなんて！
05_SURPRISE_021 へえっ！？この変な石、お水につけたらピカピカ光り始めたよ！
05_SURPRISE_022 嘘でしょ！？あんなに高かった塔が、一瞬で崩れ落ちるなんて信じられない……。
05_SURPRISE_023 ええっ、君がそんなロマンチックな詩を書くなんて、予想外で驚いたよ。
05_SURPRISE_024 おおっ！？この洞窟の奥に、こんな美しい地底湖が広がっていたとは！
05_SURPRISE_025 わっ！？急にお化け屋敷のゾンビが動き出して、本気で泣きそうになったよ！
05_SURPRISE_026 嘘……私の魔法が全く効かないなんて、あいつ一体何者なの！？
05_SURPRISE_027 えっ！？お前、その短期間でどうやってそんな大金を稼いできたんだ！？
05_SURPRISE_028 そんなバカな！私の完璧な計算が、ここで狂うはずがないのに……！
05_SURPRISE_029 なんと！この古文書の暗号が、星の配置と連動していたとは驚きです！
05_SURPRISE_030 えええっ！？私のお気に入りのお茶碗、落として割っちゃったの！？
05_SURPRISE_031 うわっ！冷蔵庫を開けたら、ケーキが半分なくなっててびっくりしたぜ！
05_SURPRISE_032 まさか……君の方からそんな大胆な提案をしてくるなんて思いもしなかったな。
05_SURPRISE_033 えっ！？あんなに嫌いだったピーマンが、これなら美味しく食べられるなんて！
05_SURPRISE_034 うそっ！このドレスの色、温度で変わる魔法がかけられていたのね！
05_SURPRISE_035 マジか！あいつの投げたボール、すごいカーブを描いて曲がったぞ！
05_SURPRISE_036 なんだって！？あの無敗のチャンピオンが、一撃で倒されたというのか！
05_SURPRISE_037 ええっ！？私が育てたひまわり、一日でこんなに大きくなるなんてびっくり！
05_SURPRISE_038 あら！こんな森の奥深くに、これほど立派な洋館がお建ちになっていたとは！
05_SURPRISE_039 おおっ！まさかこの古い剣が、伝説の勇者の剣だったなんて驚きだ！
05_SURPRISE_040 えっ！？先生が昔、あんなヤンチャだったなんて信じられないですよ！
05_SURPRISE_041 うわっ！？ロッカーを開けたら、大量のカエルが飛び出してきて本気でビビった！
05_SURPRISE_042 そんな……！あんなに固く閉ざされていた扉が、呪文一言で開くなんて！
05_SURPRISE_043 まさか、君がこの事件の黒幕だったなんて、夢にも思わなかったよ……。
05_SURPRISE_044 ええーっ！？私が一番欲しかったあの限定のぬいぐるみ、もう売り切れなの！？
