ANNOUNCE_001 本日は電車をご利用いただきまして、誠にありがとうございます。
ANNOUNCE_002 この電車は各駅に停車する普通列車です。次は終点まで止まりませんのでご注意ください。
ANNOUNCE_003 次は、乗り換えのできる大きな駅に停まります。お降りの際は、足元にお気をつけください。
ANNOUNCE_004 車内が大変混み合っております。お荷物は前にお抱えのうえ、奥へつめてご利用ください。
ANNOUNCE_005 ドア付近で立ち止まらず、車内中央部までお進みくださいますよう、ご協力をお願いいたします。
ANNOUNCE_006 発車いたします。駆け込み乗車は大変危険ですので、おやめください。
ANNOUNCE_007 まもなくドアが閉まります。ドア付近のお客様は、手やお荷物をはさまれませんようご注意ください。
ANNOUNCE_008 ただいま、前の電車との間隔調整のため停車しております。発車まで今しばらくお待ちください。
ANNOUNCE_009 車内での通話は、周りのお客様のご迷惑となりますので、お控えください。
ANNOUNCE_010 優先席付近では、携帯電話の電源をお切りいただくか、マナーモードに設定の上、ご利用をお控えください。
ANNOUNCE_011 お年寄りの方やお体の不自由な方、妊娠中の方には、席をお譲りくださいますようご協力をお願いいたします。
ANNOUNCE_012 足元の黄色い線までお下がりください。電車は大変危険ですので、黄色い線の内側でお待ちください。
ANNOUNCE_013 まもなく電車がまいります。白線の内側までお下がりのうえ、その場でお待ちください。
ANNOUNCE_014 ホーム上での走行やふざけあいは大変危険です。お子さまからは目を離されませんようお願いいたします。
ANNOUNCE_015 列車の到着が遅れております。ご利用のお客様にはご迷惑をおかけしておりますことをおわび申し上げます。
ANNOUNCE_016 この電車は、前より〇両が先に切り離されます。お降りの車両をお間違えになりませんようご注意ください。
ANNOUNCE_017 次は終点です。お忘れ物のないようご確認のうえ、お降りください。
ANNOUNCE_018 ドアの開く側にご注意ください。お出口は進行方向右側です。
ANNOUNCE_019 この駅から先は、トンネル区間が続きます。急停車の際は、つり革や手すりにおつかまりください。
ANNOUNCE_020 安全確認のため、発車時に車両が揺れることがあります。お立ちのお客様は、十分にご注意ください。
ANNOUNCE_021 本日はバスをご利用いただきまして、ありがとうございます。
ANNOUNCE_022 このバスは、終点〇〇行きです。途中の停留所までご利用のお客様は、お降りの場所をお確かめください。
ANNOUNCE_023 お降りの際は、車内前方の降車ボタンをお押しください。押し忘れにご注意ください。
ANNOUNCE_024 両替は運賃箱横の機械で承っております。高額紙幣はご利用いただけませんので、あらかじめご準備ください。
ANNOUNCE_025 走行中は大変危険ですので、お立ちにならないようお願いいたします。やむを得ず移動される際は、手すりにつかまってお進みください。
ANNOUNCE_026 シートベルトの設置されている座席では、着席中のシートベルト着用にご協力ください。
ANNOUNCE_027 車内での大きな声での会話は、他のお客様のご迷惑となります。静かな車内環境づくりにご協力をお願いいたします。
ANNOUNCE_028 ベビーカーをご利用のお客様は、ブレーキをかけたうえでご乗車ください。固定にご協力をお願いいたします。
ANNOUNCE_029 間もなく終点に到着いたします。お忘れ物のないよう、座席周りをご確認ください。
ANNOUNCE_030 本便は、道路状況により到着が遅れる場合がございます。あらかじめご了承ください。
ANNOUNCE_031 本日は空港をご利用いただき、ありがとうございます。
ANNOUNCE_032 これより、〇〇行きご搭乗のお客様のご案内を開始いたします。搭乗券と身分証をご準備のうえ、お並びください。
ANNOUNCE_033 搭乗口が変更となりました。ご利用のお客様は、案内表示をご確認のうえ、新しい搭乗口までお越しください。
ANNOUNCE_034 機内では、離着陸時の電子機器のご使用に制限がございます。客室乗務員の案内に従ってご利用ください。
ANNOUNCE_035 預け入れ荷物の受け取りは、到着ロビーのターンテーブルにて行っております。表示をご確認のうえ、お待ちください。
ANNOUNCE_036 フェリーターミナルをご利用のお客様にご案内いたします。出航時刻の〇分前までに乗船手続きをお済ませください。
ANNOUNCE_037 桟橋では、足元が滑りやすくなっております。乗り降りの際は、手すりをお持ちいただき、ゆっくりお進みください。
ANNOUNCE_038 本日予定しておりました〇〇便は、天候不良のため欠航となりました。ご利用予定のお客様には深くおわび申し上げます。
ANNOUNCE_039 空港内では、保安上の理由により、放置されたお荷物は回収・処分の対象となります。必ずお手元から離さないようご注意ください。
ANNOUNCE_040 ご案内までしばらくお時間をいただきます。恐れ入りますが、そのままお席でお待ちください。
ANNOUNCE_041 いらっしゃいませ。本日もご来店いただき、誠にありがとうございます。
ANNOUNCE_042 ただいま店内では、ポイントアップキャンペーンを実施しております。お会計の際に会員カードをご提示ください。
ANNOUNCE_043 お買い得商品のご案内です。青果コーナーでは、本日限りのお値打ち品をご用意しております。
ANNOUNCE_044 レジが混み合ってまいりました。お並びの列の先頭のお客様から、順番に空いているレジへご案内いたします。
ANNOUNCE_045 店内での走行や、大声でのご歓談は、他のお客様のご迷惑となります。マナーを守ってお買い物をお楽しみください。
ANNOUNCE_046 小さなお子様連れのお客様は、お子様から目を離されませんよう、あわせてお願いいたします。
ANNOUNCE_047 館内は全館禁煙となっております。喫煙は、所定の喫煙コーナーをご利用ください。
ANNOUNCE_048 本日は閉店時刻が通常より早くなっております。お買い忘れのないよう、お早めにお求めください。
ANNOUNCE_049 落とし物のお知らせです。店内で鍵をお預かりしております。お心あたりのお客様は、サービスカウンターまでお越しください。
ANNOUNCE_050 本日も当店をご利用いただき、誠にありがとうございます。どうぞごゆっくりお買い物をお楽しみください。
ANNOUNCE_051 百貨店よりご案内申し上げます。本日は開店前にもかかわらずお越しいただき、誠にありがとうございます。
ANNOUNCE_052 このあと、全館一斉に営業を開始いたします。開店までもうしばらくお待ちください。
ANNOUNCE_053 ただいま、館内各所でお買い得なフェアを開催しております。詳しくは、売り場のご案内ポスターをご覧ください。
ANNOUNCE_054 地下食品フロアでは、数量限定の商品をご用意しております。なくなり次第終了となりますので、お早めにご利用ください。
ANNOUNCE_055 本日は閉店時刻が近づいております。お会計はお早めにお済ませくださいますようお願いいたします。
ANNOUNCE_056 閉店のお時間となりました。本日もご来店いただき、誠にありがとうございました。
ANNOUNCE_057 館内での飲食は、フードコートおよび指定のイートインスペースをご利用ください。通路でのご飲食はご遠慮ください。
ANNOUNCE_058 エスカレーターご利用の際は、黄色い線の内側にお立ちください。手すりにつかまってご利用をお願いいたします。
ANNOUNCE_059 ベビーカーやカートは、危険ですのでエスカレーターでのご利用をお控えください。エレベーターをご利用ください。
ANNOUNCE_060 館内で体調の優れないお客様を見かけた際は、お近くの係員までお知らせください。
ANNOUNCE_061 エレベーターがまいります。ドア付近でお待ちの方は、一度お下がりください。
ANNOUNCE_062 このエレベーターは、上階専用です。下階へお越しのお客様は、反対側のエレベーターをご利用ください。
ANNOUNCE_063 上へまいります。ドアが閉まります。足元にご注意ください。
ANNOUNCE_064 次は三階、生活雑貨フロアでございます。お降りの際は、足元にお気をつけください。
ANNOUNCE_065 このエレベーターは、一階と屋上階のみの運転です。途中階には止まりませんのでご注意ください。
ANNOUNCE_066 エレベーター内での飛び跳ねやふざけあいは、大変危険ですのでおやめください。
ANNOUNCE_067 地下駐車場への連絡通路は、エレベーターホール右手の自動扉をご利用ください。
ANNOUNCE_068 トイレのご案内です。お手洗いは、このフロア奥の通路を進んで左側にございます。
ANNOUNCE_069 バリアフリー対応トイレは、一階インフォメーション横にご用意しております。必要なお客様は、係員までお声がけください。
ANNOUNCE_070 駐車場のご利用時間がまもなく終了いたします。お車でお越しのお客様は、お早めにご出庫ください。
ANNOUNCE_071 病院からのご案内です。本日外来診療を受診される方は、まず一階受付にお立ち寄りください。
ANNOUNCE_072 診察券と保険証をご準備のうえ、受付機にお通しください。操作方法がご不明な際は、近くの職員にお声がけください。
ANNOUNCE_073 只今、外来窓口が大変混み合っております。お呼び出しまで、お掛けになってお待ちください。
ANNOUNCE_074 番号札をお持ちの方は、表示モニターにご自身の番号が表示されましたら、該当の窓口までお越しください。
ANNOUNCE_075 発熱や咳の症状のある方は、一般の待合室とは別のスペースにご案内いたします。職員の誘導に従ってお進みください。
ANNOUNCE_076 院内では、マスクの着用と手指の消毒にご協力をお願いいたします。
ANNOUNCE_077 お呼び出ししてもご不在の場合は、順番が前後することがございます。あらかじめご了承ください。
ANNOUNCE_078 会計のお客様は、計算完了のお知らせが表示されましたら、自動精算機をご利用ください。
ANNOUNCE_079 面会時間には制限がございます。詳しくは、病棟カウンターの掲示をご確認ください。
ANNOUNCE_080 非常事態が発生した際には、院内放送および職員の指示に従って行動してください。
ANNOUNCE_081 図書館からのお知らせです。館内では、お静かにご利用くださいますようお願いいたします。
ANNOUNCE_082 携帯電話は、電源をお切りいただくか、マナーモードへの設定をお願いいたします。
ANNOUNCE_083 飲食は、指定されたエリアを除きご遠慮ください。本や資料の保護にご協力をお願いいたします。
ANNOUNCE_084 貸出をご希望の方は、カウンターまたは自動貸出機をご利用ください。貸出カードのご提示をお願いいたします。
ANNOUNCE_085 返却期限を過ぎた資料がございますと、新たな貸出に制限がかかる場合がございます。お早めのご返却をお願いいたします。
ANNOUNCE_086 自習席のご利用は、おひとり様一席でお願いいたします。席取りや長時間の離席はご遠慮ください。
ANNOUNCE_087 落とし物が届けられております。お心あたりの方は、カウンターまでお申し出ください。
ANNOUNCE_088 閉館時間が近づいております。本の貸出・返却は、お早めにお済ませください。
ANNOUNCE_089 本日はご利用いただき、ありがとうございました。次回のご来館をお待ちしております。
ANNOUNCE_090 館内で不審な人物や行動を見かけた際は、決して近づかず、職員までお知らせください。
ANNOUNCE_091 学校放送です。これから全校朝礼を行います。各クラス、体育館に集合してください。
ANNOUNCE_092 授業の予鈴がまもなく鳴ります。生徒の皆さんは、教室に戻ってください。
ANNOUNCE_093 放課後の残留は、許可された生徒のみとします。顧問の先生の指示に従って行動してください。
ANNOUNCE_094 校内でボールを使って遊ぶ際は、運動場で行ってください。廊下や教室での使用は禁止です。
ANNOUNCE_095 本日の部活動は、雨天のため一部中止となっています。詳細は掲示板をご確認ください。
ANNOUNCE_096 下校時刻になりました。生徒の皆さんは、速やかに帰宅してください。
ANNOUNCE_097 不審者情報が寄せられています。寄り道をせず、複数人での下校を心がけてください。
ANNOUNCE_098 明日は学校行事のため、通常授業はありません。持ち物は、配布されたお知らせをご確認ください。
ANNOUNCE_099 校内で体調不良を感じた場合は、無理をせず保健室に申し出てください。
ANNOUNCE_100 保護者の皆さまへのお知らせです。配布物をお子様よりお受け取りのうえ、ご確認をお願いいたします。
ANNOUNCE_101 お電話ありがとうございます。〇〇サポートセンターでございます。
ANNOUNCE_102 通話内容は、サービス向上のため録音させていただく場合がございます。あらかじめご了承ください。
ANNOUNCE_103 お問い合わせの前に、お手元にお客様番号やご契約内容をご準備いただくと、スムーズにご案内できます。
ANNOUNCE_104 ただいま電話が大変混み合っております。このまましばらくお待ちいただくか、時間をおいておかけ直しください。
ANNOUNCE_105 ガイダンスに従って、番号ボタンを押してください。音声案内に切り替わるまで、そのままお待ちください。
ANNOUNCE_106 ご契約内容の確認は「1」を、技術的なご質問は「2」を押してください。
ANNOUNCE_107 オペレーターにつながるまで、今しばらくお待ちください。このまま電話を切らずにお待ちください。
ANNOUNCE_108 本日の受付時間は、午後〇時までとなっております。受付時間外のお問い合わせは、翌営業日に対応させていただきます。
ANNOUNCE_109 ご本人様確認のため、生年月日や住所などをお伺いすることがございます。ご協力をお願いいたします。
ANNOUNCE_110 お手続き完了後の内容変更には、再度お時間を頂戴する場合がございます。内容をよくご確認のうえ、お申し付けください。
ANNOUNCE_111 自動音声受付センターです。ご希望のメニューをお選びください。
ANNOUNCE_112 ご利用料金やお支払いに関するお問い合わせは「1」、サービスの解約・変更については「2」を押してください。
ANNOUNCE_113 紛失や盗難のお手続きは、24時間受け付けております。ガイダンスに従って番号をお選びください。
ANNOUNCE_114 入力された内容に誤りがあるようです。もう一度、ゆっくりと番号を押してください。
ANNOUNCE_115 操作が行われなかったため、最初のメニューに戻ります。引き続きご利用の場合は、どれかの番号を押してください。
ANNOUNCE_116 この通話を終了する場合は、そのままお電話をお切りください。ご利用ありがとうございました。
ANNOUNCE_117 オペレーターによる対応をご希望の場合は「0」を押してください。順番におつなぎいたします。
ANNOUNCE_118 ガイダンスは途中でも操作が可能です。ご希望の項目が案内された時点で、番号を押してください。
ANNOUNCE_119 国外からのお問い合わせは、専用窓口の番号をご利用ください。詳細はホームページをご確認ください。
ANNOUNCE_120 今後のサービス改善のため、通話終了後に簡単なアンケートへのご協力をお願いする場合がございます。
ANNOUNCE_121 只今、館内で安全確認のための点検を行っております。係員の指示に従って行動してください。
ANNOUNCE_122 非常ベルが作動しましたが、現在、原因を確認中です。あわてず、その場で案内をお待ちください。
ANNOUNCE_123 火災が発生しました。エレベーターは使用せず、最寄りの階段から避難してください。
ANNOUNCE_124 煙を吸い込まないよう、できるだけ低い姿勢で避難をお願いします。ハンカチや衣服で口と鼻を覆ってください。
ANNOUNCE_125 非常口の位置は、壁面の誘導表示をご確認ください。係員がお近くにいる場合は、指示に従ってください。
ANNOUNCE_126 地震が発生しました。落ち着いて、まず身の安全を確保してください。揺れがおさまるまで、無理に移動しないでください。
ANNOUNCE_127 大きな揺れがおさまりました。照明や天井からの落下物に注意しながら、ゆっくりと避難を開始してください。
ANNOUNCE_128 エレベーター内におられるお客様は、非常ボタンを押して係員の指示をお待ちください。無理に脱出しようとしないでください。
ANNOUNCE_129 これは訓練放送です。繰り返します。これは訓練放送です。実際の災害ではありません。
ANNOUNCE_130 訓練にご参加いただき、ありがとうございます。いざというときのために、本日の避難経路を覚えておいてください。
ANNOUNCE_131 お子様とはぐれたとのお問い合わせをお預かりしております。お連れのお子様から目を離されませんよう、あらためてお願いいたします。
ANNOUNCE_132 館内で迷子のお子様をお預かりしています。お心あたりの保護者の方は、インフォメーションカウンターまでお越しください。
ANNOUNCE_133 駐車場でのアイドリングは、周囲の環境悪化につながります。長時間お待ちの際は、エンジンをお切りください。
ANNOUNCE_134 深夜時間帯の大きな音や振動は、近隣へのご迷惑となります。節度あるご利用にご協力ください。
ANNOUNCE_135 只今より、館内清掃を行います。モップや清掃機械の近くをお通りの際は、足元にご注意ください。
ANNOUNCE_136 落雷の影響により、一部の設備に不具合が発生しております。復旧までの間、ご不便をおかけいたします。
ANNOUNCE_137 防犯上の理由により、一定時刻以降は出入口を限定して営業いたします。詳しくは、掲示をご確認ください。
ANNOUNCE_138 不審な荷物や、持ち主の分からないカバンを見かけた際は、決して触れず、係員までお知らせください。
ANNOUNCE_139 館内放送は、お客様の安全確保を目的としております。ご案内がありました際は、繰り返しになりますが、どうぞ耳を傾けてお聞きください。
ANNOUNCE_140 ご協力いただき、ありがとうございます。引き続き、安全で快適な環境づくりにご理解を賜りますようお願い申し上げます。
ANNOUNCE_141 ただいまより、イベント会場でトークショーを開始いたします。お時間のあるお客様は、ぜひお立ち寄りください。
ANNOUNCE_142 会場内は混雑が予想されます。スタッフの案内に従い、立ち止まらずにお進みください。
ANNOUNCE_143 写真撮影や録音・録画には制限がございます。詳細は、会場入口の案内表示をご覧ください。
ANNOUNCE_144 アトラクションをご利用の際は、身の回りの品が落下しないよう、しっかりとお持ちください。
ANNOUNCE_145 乗り物にご乗車中は、係員の指示があるまで安全バーから手を離さないでください。
ANNOUNCE_146 体調のすぐれない方や、小さなお子様連れの方は、無理をしてのご利用をお控えください。
ANNOUNCE_147 会場内の通路は、非常時の避難経路にもなっております。通路での座り込みはご遠慮ください。
ANNOUNCE_148 ペットをお連れのお客様は、決められたエリア内でのご利用をお願いいたします。リードは短くお持ちください。
ANNOUNCE_149 落とし物・お忘れ物は、インフォメーションにてお預かりしております。お気づきの際は、お早めにお申し出ください。
ANNOUNCE_150 本日のイベントは、まもなく終了時刻を迎えます。お手元のお荷物と周囲の安全をご確認のうえ、順番にご退場ください。
ANNOUNCE_151 ご主人様、お帰りなさいませ。当邸の執事より、館内のご案内を申し上げます。
ANNOUNCE_152 只今、玄関ホールでは、お飲み物と軽いお食事をご用意しております。お好みに合わせてお選びいただけます。
ANNOUNCE_153 本日、ご主人様専用の書斎には、お手紙と書類をお届けしております。お時間のあるときにご確認くださいませ。
ANNOUNCE_154 客間の暖房と照明は、ご主人様のお戻りに合わせて調整済みでございます。寒暖にご不快がございましたら、いつでもお申し付けください。
