id,character_style,intensity,punctuation,near_pair_group,scene
CONFUSE_001,none,weak,。,,家で友人に予定を確かめる
CONFUSE_002,cool,mid,。,,家で家族に持ち主を確認
CONFUSE_003,none,mid,。,,職場で同僚に数字を尋ねる
CONFUSE_004,mage,mid,。,,食堂で友人に好みを確認
CONFUSE_005,none,weak,…,,机で独り言を漏らす
CONFUSE_006,maker,mid,。,P07,工房で弟子と図面を見る
CONFUSE_007,none,strong,？！,P01,教室で友人に集合を確認
CONFUSE_008,scout,mid,。,P13,街道で仲間と道を探す
CONFUSE_009,none,weak,。,P02,家で兄に指示を聞き直す
CONFUSE_010,senior,mid,。,P09,駅で友人と待ち合わせを確認
CONFUSE_011,none,mid,。,P03,職場で同僚に予定を確認
CONFUSE_012,steward,mid,。,P05,受付で客の予約を確認
CONFUSE_013,teacher,weak,。,,机で資料を見直す
CONFUSE_014,none,strong,？！,,教室で友人の説明に戸惑う
CONFUSE_015,youth,mid,。,,店で友人に選択を相談
CONFUSE_016,none,weak,。,,台所で母に分量を聞き直す
CONFUSE_017,none,weak,？,P04,店で係員に予約を問う
CONFUSE_018,cool,mid,。,P03,職場で同僚に日程を確かめる
CONFUSE_019,none,mid,。,P05,受付で同僚に人数を確認
CONFUSE_020,none,mid,。,,駅で友人に集合を確認
CONFUSE_021,mage,weak,。,,机で図を読み解く
CONFUSE_022,none,strong,？！,P06,広間で仲間に通路を尋ねる
CONFUSE_023,teacher,mid,。,P11,教室で生徒の答えを確かめる
CONFUSE_024,none,weak,。,P07,工房で友人と図面を見る
CONFUSE_025,youth,mid,。,P01,教室で友人に部屋の違いを尋ねる
CONFUSE_026,maker,mid,。,,店で客の希望を確かめる
CONFUSE_027,none,strong,！,,職場で上司に優先順位を尋ねる
CONFUSE_028,scout,weak,。,,野営地で荷物を数える
CONFUSE_029,none,weak,。,,自宅で家族に持ち物を確かめる
CONFUSE_030,senior,mid,？,,家で妹に色を尋ねる
CONFUSE_031,none,mid,。,,店で係員に受け取りを尋ねる
CONFUSE_032,steward,mid,。,,食堂で客に注文を尋ねる
CONFUSE_033,none,strong,？！,,会場で仲間の伝言を聞く
CONFUSE_034,none,mid,？,P08,自宅で妹に頼みを確認
CONFUSE_035,mage,mid,。,P15,書斎で弟子と記録を比べる
CONFUSE_036,none,mid,？,,教室で友人に確認する
CONFUSE_037,none,weak,。,P09,駅で友人に電話する
CONFUSE_038,cool,strong,？！,P04,店で係員に矛盾を尋ねる
CONFUSE_039,scout,mid,。,,市場で仲間の注文を確認
CONFUSE_040,none,weak,。,,教室で友人に答えを相談
CONFUSE_041,maker,strong,！,P08,家で娘の説明を聞き直す
CONFUSE_042,none,strong,？！,P10,教室で仲間の伝言に困る
CONFUSE_043,senior,strong,？！,P10,教室で後輩の伝言を聞く
CONFUSE_044,none,mid,。,P11,教室で友人の答えを聞く
CONFUSE_045,steward,weak,。,,控室で帳面を見直す
CONFUSE_046,none,mid,。,,職場で同僚に修正を尋ねる
CONFUSE_047,teacher,mid,。,,家で子の頼みを聞く
CONFUSE_048,none,strong,？！,,家で兄の指示を聞く
CONFUSE_049,youth,strong,！,,教室で友人に説明を求める
CONFUSE_050,none,weak,。,,庭で母に位置を聞く
CONFUSE_051,none,weak,。,P12,職場で上司に参加条件を問う
CONFUSE_052,mage,strong,？！,P16,庭で仲間に矛盾した結果を話す
CONFUSE_053,none,strong,！,,職場で同僚を呼び止める
CONFUSE_054,scout,strong,？！,P14,宿で仲間の伝言を聞く
CONFUSE_055,none,strong,！,P13,山道で仲間に位置を尋ねる
CONFUSE_056,steward,strong,。,P06,広間で同僚の指示を確かめる
CONFUSE_057,none,mid,。,P14,宿で友人に伝言を確かめる
CONFUSE_058,teacher,strong,。,P12,職場で同僚の指示を確認
CONFUSE_059,none,weak,。,P15,工房で同僚と結果を比べる
CONFUSE_060,youth,strong,？！,P02,家で兄に矛盾した指示を問う
CONFUSE_061,cool,weak,。,,机で図面を見直す
CONFUSE_062,none,strong,？！,P16,庭で仲間に術の結果を問う
CONFUSE_063,maker,weak,。,,工房で同僚に寸法を尋ねる
CONFUSE_064,none,weak,。,,家で家族に持ち主を尋ねる
CONFUSE_065,senior,weak,。,,職場で同僚に役割を聞く
CONFUSE_066,none,mid,？,,職場で同僚に表示を尋ねる
CONFUSE_067,none,mid,。,,店で友人に支払いを尋ねる
CONFUSE_068,maker,weak,。,,作業場で部品を数える
CONFUSE_069,none,strong,！,,学校で先生に提出を尋ねる
CONFUSE_070,none,strong,！,,教室で友人の説明を止める
CONFUSE_071,cool,weak,。,,職場で上司に優先順位を尋ねる
CONFUSE_072,none,weak,。,,台所で母に手順を聞く
CONFUSE_073,mage,weak,。,,工房で弟子の説明を聞く
CONFUSE_074,none,mid,。,,店で係員に場所を尋ねる
CONFUSE_075,scout,weak,。,,山道で仲間に合図を尋ねる
CONFUSE_076,senior,weak,。,,部室で書類を見比べる
CONFUSE_077,none,strong,？！,,駅で友人に予定を問う
CONFUSE_078,steward,weak,。,,家で家族に贈り物を確認
CONFUSE_079,none,weak,。,,机で書類を見直す
CONFUSE_080,teacher,weak,。,,教室で同僚に手順を尋ねる
CONFUSE_081,none,weak,。,,家で妹に色を確かめる
CONFUSE_082,youth,mid,？,,校庭で友人にルールを聞く
CONFUSE_083,none,mid,。,,職場で同僚に用語を確認
CONFUSE_084,none,mid,？,,居間で弟にルールを確認
CONFUSE_085,youth,weak,。,,机で説明書を読み返す
CONFUSE_086,none,strong,？！,,駅で家族に案内を尋ねる
CONFUSE_087,cool,strong,！,,会議室で同僚の説明を止める
CONFUSE_088,none,weak,。,,教室で友人に話を聞き直す
CONFUSE_089,mage,strong,！,,書斎で友人の話を止める
CONFUSE_090,none,mid,。,,台所で父に料理を確認
CONFUSE_091,maker,strong,！,,倉庫で仲間の指示を止める
CONFUSE_092,none,strong,？！,,会議で同僚に判断を問う
CONFUSE_093,scout,weak,…,,街道で標識を見直す
CONFUSE_094,none,weak,。,,部屋で友人に手順を尋ねる
CONFUSE_095,senior,strong,！,,廊下で友人に説明を求める
CONFUSE_096,none,mid,。,,店で係員に価格を確かめる
CONFUSE_097,steward,strong,！,,廊下で同僚へ呼びかける
CONFUSE_098,none,strong,！,,職場で先輩の依頼を聞く
