id,character_style,intensity,length_chars,punctuation,phoneme_tags,near_pair_group,reading_ease_score
04_FUN_001,boy,strong,26,！,YOUON;SOKUON;HATSUON;CHOON;DAKUON,,4
04_FUN_002,girl,strong,28,！,YOUON;HATSUON;DAKUON,,4
04_FUN_003,none,mid,32,。,YOUON;SOKUON;HATSUON;CHOON;DAKUON,,4
04_FUN_004,friend,strong,34,！,YOUON;SOKUON;CHOON;DAKUON,,4
04_FUN_005,mage,strong,36,！,YOUON;SOKUON;HATSUON;DAKUON,,4
04_FUN_006,swordsman,strong,34,！,YOUON;HATSUON;DAKUON,,4
04_FUN_007,girl,mid,30,！,YOUON;SOKUON;HATSUON;CHOON;DAKUON;HANDAKUON;GAIRAION,,4
04_FUN_008,friend,mid,31,。,SOKUON;HATSUON;DAKUON,,4
04_FUN_009,cool,weak,28,？,SOKUON;HATSUON;DAKUON,,4
04_FUN_010,adventurer,strong,32,！,SOKUON;HATSUON;DAKUON,,4
04_FUN_011,boy,strong,34,！,YOUON;SOKUON;CHOON;DAKUON;HANDAKUON,,4
04_FUN_012,girl,strong,27,！,YOUON;SOKUON;HATSUON;DAKUON,,4
04_FUN_013,butler,mid,34,。,YOUON;HATSUON;CHOON;DAKUON;GAIRAION,,4
04_FUN_014,maid,strong,33,！,YOUON;SOKUON;HATSUON;DAKUON,,4
04_FUN_015,none,mid,30,。,HATSUON;DAKUON,,4
04_FUN_016,teacher,mid,32,。,YOUON;SOKUON;DAKUON,,4
04_FUN_017,boy,strong,32,！,HATSUON;CHOON;DAKUON,,4
04_FUN_018,girl,weak,28,？,YOUON;SOKUON;HATSUON;DAKUON,,4
04_FUN_019,senpai,strong,35,！,YOUON;SOKUON;HATSUON;DAKUON;HANDAKUON;GAIRAION,,4
04_FUN_020,artisan,strong,32,！,YOUON;SOKUON;HATSUON;DAKUON,,4
04_FUN_021,girl,mid,29,？,SOKUON;HATSUON,,4
04_FUN_022,boy,strong,36,！,YOUON;SOKUON;HATSUON;CHOON;DAKUON,,4
04_FUN_023,cool,weak,30,。,SOKUON;DAKUON;HANDAKUON,,4
04_FUN_024,friend,strong,33,！,YOUON;DAKUON,,4
04_FUN_025,mage,strong,35,！,YOUON;HATSUON;DAKUON,,4
04_FUN_026,mage,mid,34,。,YOUON;HATSUON;DAKUON,,4
04_FUN_027,girl,strong,28,！,YOUON;SOKUON;HATSUON;CHOON;DAKUON,,4
04_FUN_028,boy,strong,33,！,YOUON;SOKUON;HATSUON;CHOON;DAKUON,,4
04_FUN_029,none,mid,36,。,HATSUON;DAKUON,,4
04_FUN_030,merchant,strong,36,！,SOKUON;HATSUON;CHOON;DAKUON;HANDAKUON,,4
04_FUN_031,knight,mid,32,。,SOKUON;HATSUON;DAKUON;HANDAKUON,,4
04_FUN_032,teacher,mid,36,。,SOKUON;HATSUON;DAKUON,,4
04_FUN_033,girl,strong,32,！,YOUON;SOKUON;CHOON;DAKUON,,4
04_FUN_034,boy,strong,35,！,YOUON;SOKUON;DAKUON,,4
04_FUN_035,none,weak,34,。,SOKUON;HATSUON;CHOON;DAKUON,,4
04_FUN_036,girl,strong,34,！,SOKUON;HATSUON;DAKUON,,4
04_FUN_037,senpai,strong,31,！,YOUON;HATSUON;DAKUON;HANDAKUON,,4
04_FUN_038,none,mid,30,。,SOKUON;HATSUON;CHOON;DAKUON;HANDAKUON,,4
04_FUN_039,swordsman,strong,35,！,HATSUON;DAKUON,,4
04_FUN_040,friend,strong,35,！,YOUON;SOKUON;HATSUON;DAKUON,,4
04_FUN_041,girl,strong,32,！,YOUON;SOKUON;HATSUON;DAKUON;HANDAKUON,,4
04_FUN_042,boy,strong,29,！,YOUON;SOKUON;HATSUON;CHOON;DAKUON,,4
04_FUN_043,butler,mid,35,。,YOUON;HATSUON;DAKUON,,4
04_FUN_044,maid,strong,36,。,YOUON;SOKUON;HATSUON;DAKUON,,4
04_FUN_045,cool,mid,36,。,HATSUON;DAKUON,,4
04_FUN_046,adventurer,strong,34,！,SOKUON;HATSUON;DAKUON,,4
04_FUN_047,friend,strong,31,！,SOKUON;HATSUON;DAKUON,,4
04_FUN_048,girl,strong,33,！,YOUON;SOKUON;DAKUON,,4
04_FUN_049,teacher,mid,32,。,SOKUON;HATSUON;DAKUON,,4
04_FUN_050,mage,strong,35,！,YOUON;HATSUON;DAKUON,,4
