SURPRISE_001 えっ、今なんて言った？本当に俺の名前が呼ばれたのか？
SURPRISE_002 まさか合格してるなんて思ってなくて、画面を二度見してしまった。
SURPRISE_003 後ろを振り向いたら、ずっと会いたかった人が普通に立っていて息が止まった。
SURPRISE_004 財布を開けたら、思っていたよりお金が残っていて小さく叫びそうになった。
SURPRISE_005 予想外に晴れた空を見て、さっきまでの憂鬱が一瞬で吹き飛んだ。
SURPRISE_006 さっきまで静かだったチャット欄が、一気に流れ始めて目を疑った。
SURPRISE_007 ドアを開けた瞬間、クラッカーの音と「おめでとう」の声に頭が真っ白になった。
SURPRISE_008 鏡を見たら、思っていたよりちゃんと笑えていて自分で驚いた。
SURPRISE_009 何気なく歌ったワンフレーズが思いのほかいい感じで、思わず録音ボタンを押した。
SURPRISE_010 いつも無表情なあの人が、不意に笑った瞬間、心臓が大きく跳ねた。
SURPRISE_011 テスト用紙をめくったら、勉強してないところばかり出ていて頭が真っ白になった。
SURPRISE_012 先生に名前を呼ばれて立ち上がったら、「よく頑張ったな」と言われて耳を疑った。
SURPRISE_013 いつも静かなクラスメイトが、急に大きな声で笑い出して全員固まった。
SURPRISE_014 宿題を出し忘れたと思っていたら、ちゃんと提出済みで心底ほっとした。
SURPRISE_015 成績表の順位を見た瞬間、「これ本当に俺の？」って三度見した。
SURPRISE_016 廊下の曲がり角でぶつかった相手が、ずっと噂で聞いていた転校生で目が合った。
SURPRISE_017 教室の窓から見えた虹が大きすぎて、しばらく授業どころではなかった。
SURPRISE_018 部活の大会で、まさか自分が代表に選ばれるとは思ってなくて固まってしまった。
SURPRISE_019 文化祭の出し物の列が、想像以上に長く伸びていて全員で悲鳴を上げた。
SURPRISE_020 卒業式の後、あの人からまさかの手紙を渡されて心臓の音が耳に響いた。
SURPRISE_021 会議でいきなり「この案、採用しよう」と言われて、思わず椅子からずり落ちそうになった。
SURPRISE_022 出したばかりの企画書が「すごくいいね」と一発で通って、頭の中がポカンとした。
