id,character_style,intensity,length_chars,punctuation,phoneme_tags,near_pair_group,reading_ease_score
SAD_001,none,weak,14,。,DAKUON,,5
SAD_002,none,weak,20,。,SOKUON;DAKUON,P06,5
SAD_003,none,weak,38,。,DAKUON,,4
SAD_004,none,weak,38,。,SOKUON;DAKUON,P16,4
SAD_005,none,weak,24,。,DAKUON,,5
SAD_006,none,weak,36,。,SOKUON;HATSUON;CHOON;DAKUON,,4
SAD_007,none,weak,12,…,CHOON;DAKUON,,5
SAD_008,none,strong,21,！,SOKUON;DAKUON,P02,5
SAD_009,none,weak,36,。,SOKUON;DAKUON,P04,4
SAD_010,friend,weak,26,。,SOKUON;HATSUON;DAKUON,,5
SAD_011,none,weak,36,。,SOKUON;DAKUON,,4
SAD_012,senpai,weak,36,。,HATSUON;DAKUON,,4
SAD_013,none,strong,21,？,SOKUON,,5
SAD_014,none,weak,13,。,DAKUON,,5
SAD_015,none,weak,39,。,SOKUON;HATSUON;DAKUON;HANDAKUON,,4
SAD_016,none,weak,25,。,SOKUON;HATSUON;DAKUON,,5
SAD_017,mage,weak,36,…,SOKUON;DAKUON,P16,4
SAD_018,none,strong,25,。,CHOON;DAKUON;HANDAKUON,,5
SAD_019,friend,weak,36,。,SOKUON;DAKUON,,4
SAD_020,none,weak,22,…,DAKUON,P13,5
SAD_021,none,strong,20,！,HATSUON;DAKUON,P12,5
SAD_022,none,weak,38,。,DAKUON,,4
SAD_023,none,weak,38,。,DAKUON,,4
SAD_024,none,weak,22,。,SOKUON;DAKUON,,5
SAD_025,none,weak,36,。,CHOON;DAKUON,,4
SAD_026,none,weak,14,…,YOUON;SOKUON;DAKUON,,5
SAD_027,friend,weak,36,。,HATSUON;DAKUON,,4
SAD_028,maid,weak,22,。,DAKUON,,5
SAD_029,friend,strong,40,。,SOKUON;HATSUON;DAKUON,P20,4
SAD_030,none,weak,30,。,CHOON;DAKUON,P03,4
SAD_031,senpai,strong,22,？,SOKUON;DAKUON,,5
SAD_032,none,strong,36,！,SOKUON;HATSUON;DAKUON,,4
SAD_033,none,weak,24,。,YOUON;SOKUON;HATSUON;DAKUON,,5
SAD_034,none,weak,37,。,SOKUON;DAKUON,,4
SAD_035,artisan,weak,36,。,SOKUON;DAKUON,,4
SAD_036,none,strong,10,？,DAKUON,,5
SAD_037,none,weak,23,…,DAKUON,,5
SAD_038,none,weak,36,。,SOKUON;DAKUON,P08,4
SAD_039,none,weak,24,。,DAKUON,,5
SAD_040,none,weak,38,。,SOKUON;CHOON;DAKUON,,4
SAD_041,none,weak,15,。,DAKUON,,5
SAD_042,swordsman,weak,20,。,SOKUON;DAKUON,,5
SAD_043,none,weak,36,。,SOKUON;CHOON;DAKUON;GAIRAION,,4
SAD_044,none,weak,37,。,DAKUON,,4
SAD_045,none,weak,28,。,DAKUON,,4
SAD_046,cool,weak,36,。,SOKUON;DAKUON,,4
SAD_047,none,weak,10,…,,,5
SAD_048,none,strong,20,？,HATSUON,,5
SAD_049,cool,weak,40,。,SOKUON;DAKUON,P15,4
SAD_050,none,strong,21,？,DAKUON,,5
SAD_051,none,weak,40,。,DAKUON,,4
SAD_052,none,weak,36,。,SOKUON;DAKUON,,4
SAD_053,none,weak,21,。,SOKUON;DAKUON,,5
SAD_054,none,weak,14,。,SOKUON;CHOON,,5
SAD_055,none,weak,36,。,SOKUON;DAKUON;HANDAKUON,,4
SAD_056,none,weak,26,。,DAKUON,P10,5
SAD_057,none,weak,37,。,SOKUON;DAKUON;HANDAKUON,,4
SAD_058,mage,weak,18,…,SOKUON;DAKUON,P19,5
SAD_059,none,weak,41,。,CHOON;DAKUON,,4
SAD_060,none,weak,20,。,DAKUON,,5
SAD_061,none,weak,20,。,HATSUON;DAKUON,,5
SAD_062,none,weak,38,。,CHOON,,4
SAD_063,none,strong,36,！,CHOON;DAKUON,,4
SAD_064,friend,mid,19,。,SOKUON;CHOON,,5
SAD_065,none,weak,39,。,SOKUON;HATSUON;DAKUON,,4
SAD_066,none,strong,12,！,DAKUON,,5
SAD_067,swordsman,mid,41,。,SOKUON;DAKUON,,4
SAD_068,none,mid,20,…,SOKUON;HATSUON;DAKUON,P05,5
SAD_069,none,mid,37,。,CHOON;DAKUON;GAIRAION,,4
SAD_070,knight,strong,29,？,SOKUON;DAKUON,P04,4
SAD_071,none,mid,24,。,SOKUON;DAKUON,,5
SAD_072,friend,mid,36,。,SOKUON;CHOON;DAKUON,,4
SAD_073,none,strong,21,。,HATSUON;DAKUON,,5
SAD_074,none,mid,36,。,SOKUON;DAKUON,,4
SAD_075,none,mid,36,。,SOKUON;DAKUON,,4
SAD_076,none,mid,14,。,DAKUON,P11,5
SAD_077,none,mid,25,。,SOKUON;DAKUON;HANDAKUON,,5
SAD_078,none,mid,36,…,SOKUON;DAKUON,,4
SAD_079,none,mid,21,？,SOKUON;CHOON;DAKUON,,5
SAD_080,none,mid,36,。,SOKUON;DAKUON,,4
SAD_081,none,mid,15,。,SOKUON;DAKUON,P18,5
SAD_082,none,mid,19,。,CHOON;DAKUON,,5
SAD_083,none,mid,38,。,YOUON;HATSUON;CHOON;DAKUON,,4
SAD_084,senpai,mid,36,。,SOKUON;DAKUON,,4
SAD_085,none,mid,26,。,SOKUON;HATSUON;CHOON;DAKUON;GAIRAION,,5
SAD_086,none,mid,40,。,SOKUON;DAKUON,,4
SAD_087,none,mid,12,…,,,5
SAD_088,none,mid,19,。,SOKUON,P19,5
SAD_089,none,mid,38,。,DAKUON,,4
SAD_090,friend,mid,22,。,HATSUON;DAKUON,,5
SAD_091,none,mid,36,。,SOKUON;DAKUON,,4
SAD_092,none,mid,39,。,SOKUON;DAKUON,P15,4
SAD_093,none,weak,20,。,HATSUON,,5
SAD_094,none,strong,12,？,SOKUON;DAKUON,P01,5
SAD_095,none,strong,36,！,HATSUON;DAKUON,,4
SAD_096,swordsman,mid,19,。,DAKUON,,5
SAD_097,none,strong,38,。,SOKUON;DAKUON,,4
SAD_098,none,strong,23,？,CHOON;DAKUON,,5
SAD_099,swordsman,mid,38,。,SOKUON;DAKUON,,4
SAD_100,none,strong,19,！,DAKUON,P13,5
SAD_101,none,mid,24,。,CHOON;DAKUON;HANDAKUON,P17,5
SAD_102,none,strong,36,。,DAKUON,,4
SAD_103,none,mid,40,。,SOKUON;HATSUON;CHOON;DAKUON,,4
SAD_104,none,mid,21,。,CHOON;DAKUON,,5
SAD_105,none,mid,36,。,SOKUON;CHOON;DAKUON;GAIRAION,,4
SAD_106,none,mid,13,。,SOKUON;CHOON;DAKUON,,5
SAD_107,friend,mid,36,。,SOKUON;HATSUON;DAKUON,,4
SAD_108,adventurer,mid,25,。,DAKUON,P10,5
SAD_109,artisan,mid,36,。,DAKUON,,4
SAD_110,none,strong,19,？,CHOON;DAKUON,,5
SAD_111,none,strong,19,！,SOKUON;HATSUON;DAKUON,P01,5
SAD_112,none,mid,36,。,SOKUON;DAKUON;HANDAKUON,,4
SAD_113,none,mid,21,。,DAKUON,P06,5
SAD_114,none,strong,37,！,SOKUON;DAKUON,,4
SAD_115,none,mid,37,。,SOKUON;DAKUON,,4
SAD_116,none,weak,14,。,SOKUON;CHOON;DAKUON,P18,5
SAD_117,none,mid,21,。,HATSUON;DAKUON;HANDAKUON,,5
SAD_118,none,mid,41,。,DAKUON,,4
SAD_119,artisan,mid,26,。,SOKUON;DAKUON,P14,5
SAD_120,none,mid,36,。,CHOON;DAKUON;HANDAKUON,,4
SAD_121,none,mid,11,…,DAKUON,,5
SAD_122,none,mid,20,…,SOKUON;DAKUON,,5
SAD_123,teacher,mid,37,。,SOKUON;DAKUON,P07,4
SAD_124,friend,weak,36,…,SOKUON;HATSUON;DAKUON,,4
SAD_125,none,mid,20,。,HATSUON;DAKUON;HANDAKUON,P03,5
SAD_126,artisan,strong,36,。,DAKUON,P20,4
SAD_127,none,mid,11,…,CHOON;DAKUON,,5
SAD_128,none,weak,20,。,SOKUON;DAKUON,P09,5
SAD_129,none,mid,36,。,SOKUON;DAKUON,,4
SAD_130,none,strong,18,？,CHOON;DAKUON,,5
SAD_131,none,mid,38,。,SOKUON;HATSUON;DAKUON,,4
SAD_132,none,mid,38,。,SOKUON;CHOON;HANDAKUON,,4
SAD_133,none,mid,23,。,SOKUON;HATSUON;DAKUON,P07,5
SAD_134,none,mid,11,。,,,5
SAD_135,teacher,mid,37,。,SOKUON;DAKUON,,4
SAD_136,none,mid,22,。,SOKUON;HATSUON;DAKUON,,5
SAD_137,none,mid,38,。,SOKUON;CHOON;DAKUON;GAIRAION,,4
SAD_138,none,mid,22,。,CHOON;DAKUON,,5
