id,character_style,intensity,length_chars,punctuation,phoneme_tags,near_pair_group,reading_ease_score
07_FEAR_001,girl,strong,32,！,HATSUON;DAKUON,,4
07_FEAR_002,boy,strong,33,！,YOUON;SOKUON;HATSUON;DAKUON,,4
07_FEAR_003,friend,strong,29,！,YOUON;DAKUON,,4
07_FEAR_004,adventurer,strong,33,！,HATSUON;DAKUON,,4
07_FEAR_005,none,strong,28,！,SOKUON;HATSUON;DAKUON,,4
07_FEAR_006,swordsman,strong,30,！,SOKUON;HATSUON;DAKUON,,4
07_FEAR_007,maid,strong,27,！,DAKUON,,4
07_FEAR_008,boy,strong,29,！,YOUON;SOKUON;HATSUON;DAKUON,,4
07_FEAR_009,mage,strong,32,。,YOUON;SOKUON;HATSUON;DAKUON,,4
07_FEAR_010,cool,strong,39,。,HATSUON;DAKUON,,4
07_FEAR_011,knight,strong,35,！,SOKUON;HATSUON;DAKUON,,4
07_FEAR_012,boy,strong,35,。,DAKUON,,4
07_FEAR_013,girl,strong,34,！,YOUON;SOKUON;DAKUON,,4
07_FEAR_014,friend,strong,34,！,YOUON;SOKUON;HATSUON;DAKUON,,4
07_FEAR_015,swordsman,strong,32,！,YOUON;SOKUON;HATSUON;CHOON;DAKUON,,4
07_FEAR_016,adventurer,strong,32,！,SOKUON;HATSUON;DAKUON,,4
07_FEAR_017,girl,strong,32,。,YOUON;HATSUON,,4
07_FEAR_018,mage,strong,35,？,YOUON;SOKUON;HATSUON;DAKUON,,4
07_FEAR_019,none,strong,33,！,SOKUON;DAKUON,,4
07_FEAR_020,teacher,strong,33,！,SOKUON;HATSUON;DAKUON,,4
07_FEAR_021,maid,strong,35,！,HATSUON;DAKUON,,4
07_FEAR_022,boy,strong,30,！,YOUON;SOKUON;DAKUON,,4
07_FEAR_023,knight,strong,33,！,DAKUON,,4
07_FEAR_024,cool,strong,33,！,YOUON;SOKUON;HATSUON;DAKUON,,4
07_FEAR_025,friend,strong,31,！,YOUON;HATSUON;DAKUON,,4
07_FEAR_026,girl,strong,36,！,SOKUON;DAKUON,,4
07_FEAR_027,swordsman,strong,34,！,SOKUON;DAKUON,,4
07_FEAR_028,boy,strong,32,！,YOUON;SOKUON;HATSUON;DAKUON,,4
07_FEAR_029,adventurer,strong,34,！,YOUON;SOKUON;HATSUON;DAKUON,,4
07_FEAR_030,mage,strong,32,！,SOKUON;DAKUON,,4
07_FEAR_031,friend,strong,36,！,SOKUON;HATSUON;DAKUON,,4
