ANNOUNCE_001 まもなく、電車が参ります。黄色い線までお下がりください。
ANNOUNCE_002 次は、中央駅です。
ANNOUNCE_003 お忘れ物のないよう、ご注意ください。
ANNOUNCE_004 ドアが閉まります。ご注意ください。
ANNOUNCE_005 本日はご乗車いただき、ありがとうございます。
ANNOUNCE_006 駆け込み乗車は大変危険です。おやめください。
ANNOUNCE_007 ご乗車の際は、ドア付近に立ち止まらず、奥までお進みください。
ANNOUNCE_008 お降りの際は、足元にご注意ください。
ANNOUNCE_009 優先席付近では、携帯電話の電源をお切りください。
ANNOUNCE_010 お年寄りや体の不自由な方には、席をお譲りください。
ANNOUNCE_011 車内では、お静かにお願いいたします。
ANNOUNCE_012 ただいま、遅れが発生しております。ご迷惑をおかけして申し訳ございません。
ANNOUNCE_013 この電車は、急行です。各駅には停車いたしません。
ANNOUNCE_014 次の駅で、特急に乗り換えができます。
ANNOUNCE_015 強風のため、運行に遅れが出ております。
ANNOUNCE_016 人身事故の影響で、ダイヤが乱れております。
ANNOUNCE_017 安全確認のため、しばらく停車いたします。
ANNOUNCE_018 まもなく発車いたします。
ANNOUNCE_019 この列車は、終点まで各駅に停車いたします。
ANNOUNCE_020 次の停車駅は、新宿駅です。
ANNOUNCE_021 お客様に大切なお知らせがあります。
ANNOUNCE_022 本日は当店をご利用いただき、ありがとうございます。
ANNOUNCE_023 ただいまより、閉店時間となります。
ANNOUNCE_024 レジは1階にございます。
ANNOUNCE_025 エレベーターをご利用の方は、こちらへお進みください。
ANNOUNCE_026 本日のお買い得商品をご案内いたします。
ANNOUNCE_027 迷子のお知らせをいたします。
ANNOUNCE_028 落とし物を預かっております。
ANNOUNCE_029 駐車場は地下にございます。
ANNOUNCE_030 お手洗いは2階にございます。
ANNOUNCE_031 本日は特別セールを開催しております。
ANNOUNCE_032 営業時間は午前10時から午後8時までです。
ANNOUNCE_033 お会計は、こちらのレジでお願いいたします。
ANNOUNCE_034 ポイントカードはお持ちでしょうか。
ANNOUNCE_035 レジ袋は有料となっております。
ANNOUNCE_036 試着室は、あちらにございます。
ANNOUNCE_037 店内でのお食事はご遠慮ください。
ANNOUNCE_038 携帯電話での通話は、ご遠慮ください。
ANNOUNCE_039 写真撮影はお控えください。
ANNOUNCE_040 ペットの同伴はご遠慮いただいております。
ANNOUNCE_041 お荷物は、お手元で管理をお願いいたします。
ANNOUNCE_042 防犯カメラ作動中です。
ANNOUNCE_043 ただいま満席です。しばらくお待ちください。
ANNOUNCE_044 お呼び出しいたします。
ANNOUNCE_045 本日の営業は終了いたしました。
ANNOUNCE_046 お客様のご来店を、心よりお待ちしております。
ANNOUNCE_047 当ビルは、午後10時に施錠いたします。
ANNOUNCE_048 火災報知器が作動しました。避難をお願いします。
ANNOUNCE_049 訓練放送です。実際の火災ではございません。
ANNOUNCE_050 地震が発生しました。揺れが収まるまで、その場でお待ちください。
ANNOUNCE_051 エレベーターのご利用をお控えください。
ANNOUNCE_052 階段をご利用ください。
ANNOUNCE_053 非常口は、こちらです。
ANNOUNCE_054 係員の指示に従ってください。
ANNOUNCE_055 お静かに避難をお願いします。
ANNOUNCE_056 エレベーターが到着しました。
ANNOUNCE_057 上りのエレベーターです。
ANNOUNCE_058 下りのエレベーターです。
ANNOUNCE_059 定員を超過しています。お乗りをお控えください。
ANNOUNCE_060 ドアが閉まります。
ANNOUNCE_061 1階に到着します。
ANNOUNCE_062 地下1階に到着します。
ANNOUNCE_063 最上階に到着します。
ANNOUNCE_064 ご利用ありがとうございました。
ANNOUNCE_065 エスカレーターをご利用の際は、黄色い線の内側にお立ちください。
ANNOUNCE_066 手すりにおつかまりください。
ANNOUNCE_067 歩行はご遠慮ください。
