WHISPER_001 しっ、足音を立てないで！
WHISPER_002 この小さな秘密を君にだけ話してもいい？
WHISPER_003 古い図書室の奥には秘密の机があり、引き出しへ君あての手紙をそっと入れておいたよ。
WHISPER_004 眠った子猫を起こさないよう、静かに歩こう。
WHISPER_005 眠れない夜は窓を少しだけ開けて、遠くの波と風が重なる静かな音を聞いてみて。
WHISPER_006 ねえ、少しだけ聞いて？
WHISPER_007 しっ、廊下の向こうで誰か話しているよ！
WHISPER_008 しっ、見張りが角を曲がったら足音を立てず、今のうちに向こうの階段まで急いで！
WHISPER_009 月明かりの庭で白い花が開いたから、誰も起こさないよう君だけを呼びに来たの。
WHISPER_010 月明かりが入る窓辺で、少し休みませんか。
WHISPER_011 心配なことがあるなら小さな声で話して、どんなに時間がかかっても最後まで聞くよ。
WHISPER_012 今夜の星は、手を伸ばせば届きそうですね。
WHISPER_013 ここなら静かに話せる。
WHISPER_014 お嬢様がお休みの間に温かい紅茶を用意し、窓辺のテーブルへ静かに置いてまいります。
WHISPER_015 大丈夫、私がすぐ隣にいるから安心して。
WHISPER_016 森の奥で迷った時は、鳥の声ではなく葉の揺れる方向を見れば小道が見つかるんだ。
WHISPER_017 この手紙を読んだことは内緒にできる？
WHISPER_018 あの古い塔には夜だけ光る文字があるから、月が高くなったら一緒に確かめに行こう。
WHISPER_019 早く隠れて、見張りがこちらへ来るよ！
WHISPER_020 先生が教室へ戻る前に、机の下へ落ちたメモをそっと拾って君へ渡しておくね。
WHISPER_021 待って、声を落として！
WHISPER_022 風の音に紛れれば、小声でもよく聞こえる。
WHISPER_023 騎士様、北門の外に小さな明かりが3個見えますので、声を立てずご確認ください。
WHISPER_024 眠れないなら、穏やかな話をしてあげる。
WHISPER_025 このペンダントは母から受け継いだ大切な品だから、今夜だけ君に預けておきたい。
WHISPER_026 雨音が屋根を優しくたたいている間なら、普段言えない話も静かにできそうですね。
WHISPER_027 お嬢様、お休み前のお茶が整いました。
WHISPER_028 寝台のそばに薬と水を置きましたので、目が覚めても無理に立ち上がらないでください。
WHISPER_029 ねえ見て、庭に小さな妖精がいるみたい。
WHISPER_030 夜の工房では歯車の音がよく響くから、親方を起こさないよう道具をゆっくり運ぼう。
WHISPER_031 月がとてもきれいだよ。
WHISPER_032 司書が眠っているから、その古い本はそっと開いて。
WHISPER_033 君がなくした小さな鍵は窓辺で見つけたけれど、朝までここに隠しておく方が安全だ。
WHISPER_034 風のない湖へ小舟を浮かべると、遠い岸の歌まで水面を伝って静かに聞こえてくる。
WHISPER_035 あの木陰まで、手をつないで歩いてみる？
WHISPER_036 眠っている子犬のそばに毛布を掛けたので、私たちも暖炉の前で少し休みましょう。
WHISPER_037 先生には聞こえないよう、後で答えを教えるね。
WHISPER_038 魔術書の最後のページには秘密の呪文がありますが、声に出さず目で追ってください。
WHISPER_039 この森では、葉の揺れる音まで話しているようだ。
WHISPER_040 今夜の星空を君と見られたことがうれしくて、もう少しだけ夜が続けばいいと思うの。
WHISPER_041 そっと扉を閉めてね。
WHISPER_042 怖くないよ、夜の雨はすぐ静かになるから。
WHISPER_043 見張り台の鐘が1回鳴ったら合図ですから、その時だけ小さなランプを窓へ向けて。
WHISPER_044 騎士様、門のそばに人影が見えております。
WHISPER_045 誰にも言わずに育てていた庭の花が咲いたので、最初にあなたへ見せたかったんです。
WHISPER_046 君だけに教えるよ。
WHISPER_047 しっ、赤ちゃんがやっと眠ったところです！
WHISPER_048 フィルターを通すと月の模様まで見えますから、望遠鏡を揺らさず静かにのぞいてみて。
WHISPER_049 旅の途中で拾った白い羽には優しい香りが残り、手に持つと不思議に心が落ち着きます。
WHISPER_050 君の返事を、ここで静かに待っているよ…
WHISPER_051 あなたが遠い町へ向かうと聞いて、渡したい手紙を何度も静かに書き直していたの…
WHISPER_052 もう一度だけ、その名前を呼んでもいい？
WHISPER_053 ほら、鳥が眠ってるよ。
WHISPER_054 朝露が消える前に裏庭へ来てくれたら、草の上に残る小さな足跡を一緒に探せるよ。
WHISPER_055 眠る前に、明日の約束をそっと確認しよう。
