SAD_001 あの日のことを思い出すたびに、胸の奥がきゅっと痛くなる。
SAD_002 ちゃんとさよならを言えなかったことだけが、今でも心に刺さってる。
SAD_003 笑って「大丈夫だよ」って言った瞬間、本当は少しだけ泣きそうだった。
SAD_004 机の上に残ったメモを見るたびに、もう戻らない時間を思い知らされる。
SAD_005 ごめん、あのとき素直に謝っていれば、何か変わってたのかな。
SAD_006 嫌いになれたら、どれだけ楽だったんだろうって、ふと思う。
SAD_007 電話の履歴を見ても、二度と鳴らないって分かってるのがつらい。
SAD_008 「またね」の一言が、最後の言葉になるなんて思ってもみなかった。
SAD_009 窓の外の夕焼けだけが、昔と変わらない色でそこにある。
SAD_010 あのとき黙ってうなずいた自分を、今でも責め続けている。
SAD_011 心配してくれる声が、なぜか今はいちばん苦しく感じてしまう。
SAD_012 「大丈夫？」って聞かれるたび、本当のことを言えなくなる。
SAD_013 みんなが笑っている輪から、一歩だけ離れてしまう自分が悲しい。
SAD_014 分かってほしかった相手にだけ、最後まで分かってもらえなかった。
SAD_015 ちゃんと頑張ったはずなのに、結果だけ見れば失敗だった。
SAD_016 期待されるたびに、不安で胸が重くなるようになってしまった。
SAD_017 褒められても、なぜか「今だけだろう」と思って素直に喜べない。
SAD_018 置いていかれるのには慣れたつもりだったのに、やっぱり寂しい。
SAD_019 誰かの幸せを祝福する笑顔の裏で、そっとため息を飲み込んだ。
SAD_020 あの頃の自分を思い出すと、まぶしいくらいにまっすぐで少し切ない。
SAD_021 「また一緒にやろうね」って言葉を、本気で信じていた自分が恥ずかしい。
SAD_022 約束の時間を過ぎても、メッセージは一件も届かなかった。
SAD_023 準備していたプレゼントを、渡す相手がいなくなってしまった。
SAD_024 写真の中の笑顔だけが、今も変わらないままそこにいる。
SAD_025 あの日歩いた道を一人で歩いたら、景色がやけに広く感じた。
SAD_026 思い出話をしているときだけ、時間が少しだけ巻き戻る気がする。
SAD_027 本当に大切なものほど、失ってから気づくってずるいよな。
SAD_028 たくさん撮ったはずの写真に、今の自分はどこにもいない。
SAD_029 「あのときこうしていたら」ばかり増えて、夜が長くなった。
SAD_030 さよならを選んだのは自分なのに、今でも心がうずく。
SAD_031 強がりで「平気だよ」と笑った顔を、鏡の中で直視できなかった。
SAD_032 泣くほどじゃないけど、ずっと小さなトゲが刺さったままのようだ。
SAD_033 たった一言の「ごめん」が言えなくて、全部壊してしまった気がする。
SAD_034 あのときの沈黙が、今では一生消えない距離になっている。
SAD_035 祝福の拍手の音が、なぜか自分には遠く聞こえた。
SAD_036 「君ならできるよ」という言葉に、もう素直にうなずけない。
SAD_037 頑張っても頑張っても、誰の記憶にも残れない気がしてつらい。
SAD_038 一番聞きたかった言葉だけ、最後まで聞けなかった。
SAD_039 夢を諦めた日の空は、やけに澄んでいて腹が立った。
SAD_040 置いてきたはずの過去に、今も時々足を引っ張られてしまう。
SAD_041 「またいつか」が来ないことを、薄々分かっていた自分が悲しい。
SAD_042 心の中で何度もやり直してみても、現実は一ミリも変わらない。
SAD_043 あのとき泣かなかった涙が、今さらになってこぼれそうになる。
SAD_044 本当は悔しかったのに、「おめでとう」としか言えなかった。
SAD_045 大切なものほど手のひらからすり抜けていくのが、理不尽でたまらない。
SAD_046 守れなかった約束の数だけ、自分を嫌いになっていく。
SAD_047 背中を押してくれた人に、結果で返せなかったのが一番悔しい。
SAD_048 本気で夢中になったものほど、終わりが来たときに心に穴があく。
SAD_049 「大丈夫」と言われるほど、大丈夫じゃない自分を意識してしまう。
SAD_050 笑っていたいのに、心のどこかがずっと冷えたままなんだ。
SAD_051 送信ボタンを押せないまま、書きかけのメッセージだけが増えていく。
SAD_052 既読のつかないチャット画面を、何度も開いては閉じてしまう。
SAD_053 「会いたい」と打っては消してを繰り返す指先が情けない。
SAD_054 ブロックされたわけじゃないのに、距離だけが遠くなってしまった。
SAD_055 タイムラインに流れる楽しそうな写真が、胸にじわりと刺さる。
SAD_056 ふざけ合っていた頃のスタンプが、今では見返すのも苦しい。
SAD_057 通話履歴の一番上に、いつまでもあの名前が残り続けている。
SAD_058 配信のアーカイブを見返すたびに、あの頃の自分が少し羨ましくなる。
SAD_059 「また一緒にやろうね」というコメントが、今はもう空約束みたいに見える。
SAD_060 笑顔の絵文字の裏で、本当は何を思っていたのか考えてしまう。
SAD_061 ずっとそばにいると言ってくれた言葉を、今でも信じたままでいたかった。
SAD_062 あの人の横には、もう自分の居場所はないんだって分かってしまった。
SAD_063 終わりにしようって決めたのは自分なのに、心が全然追いついていない。
SAD_064 うまくいってほしいと願うほど、自分の居場所が遠のいていく気がした。
SAD_065 「幸せになってね」なんて言葉、本当は言いたくなかった。
SAD_066 ふたりで歩いた道を一人で歩いたとき、街灯の光が少し滲んで見えた。
SAD_067 どこを探しても、もうあの笑い声は聞こえてこない。
SAD_068 手を伸ばせば届きそうな距離にいたのに、心だけが遠かった。
SAD_069 繋いだ手の温もりを、今も指先が覚えているのがつらい。
SAD_070 「そのうち慣れるよ」って言われたけど、まだ少しも慣れないままだ。
SAD_071 みんなの輪に入ろうと笑ってみても、足が一歩だけ止まってしまう。
SAD_072 大勢の中にいるのに、ひとりきりみたいな気分になる瞬間が増えた。
SAD_073 誰かに頼る勇気もなくて、自分の殻に閉じこもってしまう。
SAD_074 話を聞いてほしいのに、迷惑かかるかもって思うと黙ってしまう。
SAD_075 「また今度ね」が続きすぎて、誘うこと自体が怖くなった。
SAD_076 既読がつくのを待っている時間が、やけに長く感じる。
SAD_077 返信が遅いだけかもしれないのに、嫌われたのかと不安になる。
SAD_078 楽しそうな声が聞こえてくるたび、自分だけ別世界にいるみたいだ。
SAD_079 誰にも迷惑をかけたくないって思うほど、孤独が深くなっていく。
SAD_080 「一人が楽だよ」って強がりを、本気で信じてしまいそうで怖い。
SAD_081 職場で笑いながら雑談しているのに、心はずっと曇ったままだ。
