id,character_style,intensity,punctuation,near_pair_group,scene
SAD_001,none,weak,。,,食卓で子の成長を惜しむ
SAD_002,cool,mid,。,,部屋で落選通知を読む
SAD_003,none,mid,。,,部屋で友人に後悔を打ち明ける
SAD_004,mage,mid,。,,食堂で友人に落胆を話す
SAD_005,none,weak,…,,自室で独り言を漏らす
SAD_006,maker,mid,。,P07,工房で弟子と廃棄品を見る
SAD_007,none,weak,。,P01,玄関で姉の帰省終了を惜しむ
SAD_008,scout,mid,。,P13,宿で仲間の空席を眺める
SAD_009,none,mid,。,P02,自室で友人に失敗を詫びる
SAD_010,senior,mid,。,P09,教室で後輩との別れを惜しむ
SAD_011,none,strong,！,P03,職場で仲間と最終日を迎える
SAD_012,steward,mid,。,P05,食堂で閉館を常連客に告げる
SAD_013,teacher,weak,。,,書斎で手紙を読み返す
SAD_014,none,strong,。,,控室で仲間と最後の公演を終える
SAD_015,youth,mid,。,,教室で落選を友人に話す
SAD_016,none,weak,。,,台所で家族に思い出を話す
SAD_017,none,weak,。,P04,家で姉に未練を話す
SAD_018,cool,mid,。,P03,職場で同僚と解散を話す
SAD_019,none,mid,。,P05,店で常連に閉店を伝える
SAD_020,none,mid,。,,教室で友人に別れを惜しむ
SAD_021,mage,weak,。,,居間で独り言を漏らす
SAD_022,none,weak,。,P06,居間で家族に後悔を語る
SAD_023,teacher,mid,。,P11,教室で生徒の転校を見送る
SAD_024,none,strong,。,P07,工房で家族に修復不能を告げる
SAD_025,youth,mid,。,P01,玄関で去る友人を見送る
SAD_026,maker,mid,。,,店で常連客に閉店を話す
SAD_027,none,strong,。,,職場で同僚に無念を語る
SAD_028,scout,weak,。,,野営地で独り言を漏らす
SAD_029,none,weak,。,,バス停で家族の不在を感じる
SAD_030,senior,mid,。,,喫茶店で友人に落選を話す
SAD_031,none,mid,。,,公園で友人に孤独を打ち明ける
SAD_032,steward,mid,。,,庭で枯れた鉢を家族に示す
SAD_033,none,strong,。,,家で兄に後悔を話す
SAD_034,none,mid,。,P08,家で友人に子の独立を話す
SAD_035,mage,mid,。,P15,庭で枯れた木を友人と見る
SAD_036,none,mid,？,,廊下で友人に別れを惜しむ
SAD_037,none,weak,。,P09,教室で友人に別れを話す
SAD_038,cool,strong,。,P04,家で友人に別れを話す
SAD_039,scout,mid,。,,川辺で友人に後悔を話す
SAD_040,none,weak,。,,旅先で友人との約束を思い出す
SAD_041,maker,strong,。,P08,家で息子の空室を眺める
SAD_042,none,mid,。,P10,自宅で姉に失言を悔やむ
SAD_043,senior,strong,。,P10,家で友人に後悔をこぼす
SAD_044,none,strong,！,P11,教室で友人の転校を惜しむ
SAD_045,steward,weak,。,,玄関で客の出発を見送る
SAD_046,none,mid,。,,書斎で家族に片付けを相談
SAD_047,teacher,mid,。,,教室で生徒に落胆を話す
SAD_048,none,strong,。,,会場で仲間に落選を話す
SAD_049,youth,strong,！,,駅で去る兄に呼びかける
SAD_050,none,weak,。,,食堂で友人の不在を語る
SAD_051,none,weak,。,P12,家で兄に後悔を打ち明ける
SAD_052,mage,strong,。,P16,書斎で消えた記録を惜しむ
SAD_053,none,strong,！,,玄関で家族を呼び止める
