FUN_001 その帽子、似合いすぎ！
FUN_002 曲が止まったら、変なポーズで固まろう。
FUN_003 朝から片方の靴下が見つからず、もう片方へ聞いてみようかと本気で考えたよ。
FUN_004 見て、厳かな騎士の兜から小鳥が飛び出して、広場じゅうが笑い声でいっぱいだよ。
FUN_005 見て、この焼きたてのパンは丸い顔みたいだよ。
FUN_006 料理長、丸いパンへ目と口を付けたら、食べる前に名前を決めたくなっちゃうよ。
FUN_007 くすぐったくて笑っちゃう。
FUN_008 その大きな帽子なら、雨も避けられそう！
FUN_009 先輩の考えた秘密の合図は派手すぎて、遠くの先生にまで一瞬で見つかったぞ！
FUN_010 猫さん、目が合ったから一緒に首をかしげようか。
FUN_011 森の奥で道に迷ったけれど、同じ木の周りを回っていたと気づいて皆で笑った。
FUN_012 ご主人さま、隠れてお菓子を召し上がるなら、口元の粉もお隠しくださいませ。
FUN_013 次の箱には、いったい何が隠れていると思う？
FUN_014 次は何して遊ぼうか？
FUN_015 先生、その難しい呪文で古いほうきが歌い出すなんて、もう笑いが止まりません！
FUN_016 先生、この似顔絵は本人より少し凛々しいですね。
FUN_017 絵に描いた扉を開けるふりをしたら、友達が向こう側から返事をしてくれたよ。
FUN_018 くじ引きで当てた笛が、妙な音を出すんだ。
FUN_019 聞いて、石ころを選んだ弟が貝殻探しでなぜか優勝して、みんなを笑わせたよ。
FUN_020 ご主人さま、靴が左右逆でございますよ。
FUN_021 地図を逆さに持って、よくここまで来たね！
FUN_022 先生、黒板の犬はどう見ても雲ですけど、しっぽだけは本当に妙に上手ですね。
FUN_023 静かにティーを楽しむ会のはずが、香り当て勝負で思いのほか盛り上がっている！
FUN_024 ほら、飛ばした風船を犬まで追いかけていったよ。
FUN_025 宝箱を開けたら色とりどりの靴下が現れて、隣の竜としばらく一緒に首をかしげたよ。
FUN_026 変な顔なら負けないよ。
FUN_027 雨宿りの小屋で始めたしりとりが白熱し、雨が上がったことにも誰も気づかなかった。
FUN_028 見て、魔法の杖からなぜか花びらが飛び出した。
FUN_029 ぴかぴかの床を靴下で滑って進んだら、廊下の端まで思った以上に速かったよ。
FUN_030 先輩、くしゃみで紙が全部舞い上がりましたよ。
FUN_031 このパイ、顔より大きいけど食べられる？
FUN_032 この地図に描かれた怪物は怖いというより、寝不足の猫みたいな顔をしている…
FUN_033 まじめな騎士にも、休みの日は必要だぞ。
FUN_034 店主さん、値札の間違いではなくて、笑った人だけ安くなる特別な日なんですね？
FUN_035 ふわふわの雪へ大の字に寝転んだら、起き上がった背中に白い羽ができていた。
FUN_036 さあ、楽しい時間だ。
FUN_037 ティーの香りを当てる遊びはいかがですか？
FUN_038 騎士団の行進へこっそり楽器を加えたら、いつの間にか町じゅうが踊っていた！
FUN_039 しまった、忍び足なのに床をきゅっと鳴らした。
FUN_040 お嬢さま、その派手なリボンのおかげで、庭の猫まで少し得意げに見えますよ。
FUN_041 その発想は面白いね。
FUN_042 見て、しっぽみたいなリボンが風で揺れているよ。
FUN_043 友達と同じ言葉を同時に話してしまい、次はどちらが先か譲り合ってまた笑った。
FUN_044 見て、宿屋の看板が風でくるりと回るたび、あの鳥が空を飛んでいるように見えるよ。
FUN_045 変装は完璧なのに、声ですぐ分かったよ。
FUN_046 料理の味を当てる遊びなのに、最初から鼻をつまんだら何も分からないでしょう？
FUN_047 もう、笑いすぎて頬が痛い。
FUN_048 みんなで歌えば、音程なんて気にならない！
FUN_049 古い鎧へ花柄の布をかけてみたら、勇ましい門番が急におしゃれな姿になった。
FUN_050 野菜の形を見て、物語を作ってみよう。
FUN_051 ぱっと開いた箱から紙の蝶が舞い上がり、驚いた猫が私の肩まで駆け上がった。
