id,character_style,intensity,length_chars,punctuation,phoneme_tags,near_pair_group,reading_ease_score
FUN_001,none,strong,11,！,DAKUON,,5
FUN_002,none,weak,19,。,SOKUON;CHOON;DAKUON;HANDAKUON,,5
FUN_003,none,weak,36,。,CHOON;DAKUON,,4
FUN_004,knight,weak,38,。,YOUON;SOKUON;DAKUON;HANDAKUON,,4
FUN_005,friend,weak,22,。,HATSUON;DAKUON;HANDAKUON,,5
FUN_006,none,weak,37,。,YOUON;SOKUON;HATSUON;DAKUON;HANDAKUON,P06,4
FUN_007,none,weak,13,。,YOUON;SOKUON;DAKUON,P18,5
FUN_008,none,strong,19,！,CHOON,,5
FUN_009,senpai,strong,36,！,SOKUON;DAKUON,,4
FUN_010,friend,weak,23,。,SOKUON;HATSUON;CHOON;DAKUON,P12,5
FUN_011,none,weak,36,。,SOKUON;DAKUON,,4
FUN_012,maid,weak,36,。,DAKUON,,4
FUN_013,none,strong,21,？,SOKUON;DAKUON,,5
FUN_014,none,strong,10,？,DAKUON,,5
FUN_015,mage,strong,37,！,HATSUON;CHOON;DAKUON,,4
FUN_016,none,weak,23,。,DAKUON,,5
FUN_017,none,weak,36,。,CHOON;DAKUON,,4
FUN_018,none,weak,20,。,HATSUON;DAKUON,,5
FUN_019,friend,weak,36,。,HATSUON;DAKUON,,4
FUN_020,maid,weak,19,。,DAKUON,,5
FUN_021,adventurer,strong,20,！,SOKUON;DAKUON,,5
FUN_022,none,strong,36,。,SOKUON;DAKUON;HANDAKUON,,4
FUN_023,none,strong,37,！,SOKUON;CHOON;DAKUON;GAIRAION,,4
FUN_024,none,weak,23,。,SOKUON;DAKUON,P20,5
FUN_025,friend,weak,39,。,DAKUON,P12,4
FUN_026,none,weak,11,。,,P04,5
FUN_027,none,weak,39,。,SOKUON;DAKUON,,4
FUN_028,mage,weak,22,。,DAKUON,,5
FUN_029,none,weak,36,。,SOKUON;HATSUON;DAKUON;HANDAKUON,,4
FUN_030,senpai,weak,22,。,YOUON;DAKUON,P07,5
FUN_031,none,strong,19,？,DAKUON;HANDAKUON,,5
FUN_032,adventurer,strong,36,…,,,4
FUN_033,knight,weak,19,。,DAKUON,,5
FUN_034,none,strong,37,？,SOKUON;HATSUON;DAKUON,,4
FUN_035,none,weak,36,。,SOKUON;HATSUON;DAKUON,,4
FUN_036,none,weak,10,。,DAKUON,,5
FUN_037,none,strong,20,？,CHOON;DAKUON;GAIRAION,,5
